u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,service,bridge,lanes,access,ref,junction,tunnel
42436374,2073622000,0,116672642,True,Clarkson Street,secondary,20 mph,70.844,"LINESTRING (-74.00695260000001 40.7294927, -74.0061177 40.7294177)",,,,,,,
42436381,42454635,0,5672510,True,Morton Street,residential,20 mph,121.256,"LINESTRING (-74.0067209 40.730945, -74.005295 40.730798)",,,,,,,
42436390,42427898,0,46610725,True,Grove Street,residential,20 mph,57.039,"LINESTRING (-74.00648889999999 40.732425, -74.005816 40.732369)",,,,,,,
42436396,42431804,0,216959248,True,West 10th Street,residential,20 mph,147.785,"LINESTRING (-74.00627919999999 40.733743, -74.004561 40.73401)",,,,,,,
42436404,42431812,0,5673052,True,Perry Street,residential,20 mph,95.892,"LINESTRING (-74.00604749999999 40.735133, -74.0049302 40.7352971)",,,,,,,
42436475,3278932288,0,561816395,False,Terrace Drive,cycleway,20 mph,11.399,"LINESTRING (-73.967039 40.772461, -73.9671579 40.77251)",,,,,,,
42436944,42436943,0,479642034,True,East 13th Street,residential,20 mph,212.655,"LINESTRING (-73.980858 40.729725, -73.9830644 40.7306534)",,,1,,,,
42436944,4298781041,0,584971531,False,Avenue A,secondary,20 mph,77.385,"LINESTRING (-73.980858 40.729725, -73.9804188 40.7303362)",,,2,,,,
42436944,42446552,0,584971531,False,Avenue A,secondary,20 mph,81.223,"LINESTRING (-73.980858 40.729725, -73.981325 40.729086)",,,2,,,,
42436947,7145875534,0,5670510,False,East 13th Street,residential,20 mph,46.22,"LINESTRING (-73.97853600000001 40.728746, -73.97805529999999 40.7285458)",,,,,,,
42436947,42436944,0,479642034,True,East 13th Street,residential,20 mph,223.905,"LINESTRING (-73.97853600000001 40.728746, -73.980858 40.729725)",,,1,,,,
42436947,4298781040,0,813956617,False,Avenue B,secondary,20 mph,76.299,"LINESTRING (-73.97853600000001 40.728746, -73.9780986 40.7293468)",,,2,yes,,,
42436947,42446562,0,813956617,False,Avenue B,secondary,20 mph,81.117,"LINESTRING (-73.97853600000001 40.728746, -73.978998 40.728106)",,,2,yes,,,
42436949,5178498523,0,5670510,False,East 13th Street,residential,20 mph,56.402,"LINESTRING (-73.9773526 40.7282532, -73.97793919999999 40.7284975)",,,,,,,
42436957,3624790934,0,5670512,False,East 13th Street,residential,20 mph,229.503,"LINESTRING (-73.9761797 40.7277545, -73.973799 40.726752)",,,,,,,
42436957,5147744247,0,440681436,False,Avenue C,secondary,20 mph,34.858,"LINESTRING (-73.9761797 40.7277545, -73.9759833 40.7280304)",,,2,,,,
42436957,42446571,0,477151468,False,Avenue C,secondary,20 mph,81.691,"LINESTRING (-73.9761797 40.7277545, -73.9766295 40.7271037)",,,2,,,,
42437343,42455051,0,195743554,False,Avenue A,secondary,20 mph,78.642,"LINESTRING (-73.985286 40.723649, -73.984837 40.724269)",,,2,,,,
42437343,42453604,0,195743554,False,Avenue A,secondary,20 mph,81.281,"LINESTRING (-73.985286 40.723649, -73.98575200000001 40.723009)",,,2,,,,
42437343,42437339,0,479642043,True,East 3rd Street,residential,20 mph,213.734,"LINESTRING (-73.985286 40.723649, -73.98750200000001 40.724584)",,,,,,,
42437346,42455083,0,5672621,False,Avenue B,secondary,20 mph,77.01,"LINESTRING (-73.982964 40.722671, -73.982524 40.723278)",,,2,,,,
42437346,42453607,0,5672621,False,Avenue B,secondary,20 mph,83.02,"LINESTRING (-73.982964 40.722671, -73.98344400000001 40.722019)",,,2,,,,
42437346,42437343,0,479642043,True,East 3rd Street,residential,20 mph,223.867,"LINESTRING (-73.982964 40.722671, -73.985286 40.723649)",,,,,,,
42437349,42455175,0,440681437,False,Avenue C,secondary,20 mph,77.065,"LINESTRING (-73.9806076 40.7216783, -73.9801561 40.722281)",,,2,,,,
42437349,5648878922,0,440681437,False,Avenue C,secondary,20 mph,75.235,"LINESTRING (-73.9806076 40.7216783, -73.9810365 40.7210849)",,,2,,,,
42437349,42437346,0,479642043,True,East 3rd Street,residential,20 mph,227.197,"LINESTRING (-73.9806076 40.7216783, -73.982964 40.722671)",,,,,,,
42437354,42437349,0,5670560,True,East 3rd Street,residential,20 mph,229.315,"LINESTRING (-73.97823099999999 40.720674, -73.9806076 40.7216783)",,,,,,,
42437354,4301308490,0,397839400,False,Avenue D,secondary,20 mph,8.247,"LINESTRING (-73.97823099999999 40.720674, -73.97818340000001 40.7207388)",,,2,,,,
42437354,4301308520,0,397839400,False,Avenue D,secondary,20 mph,5.917,"LINESTRING (-73.97823099999999 40.720674, -73.9782649 40.7206274)",,,2,,,,
42438218,1921369842,0,27518032,True,Hudson View Gardens driveway,living_street,5 mph,38.235,"LINESTRING (-73.9387583 40.8523449, -73.9392047 40.8524099)",,,1,private,,,
42439001,4298781040,0,813956617,False,Avenue B,secondary,20 mph,11.885,"LINESTRING (-73.9780305 40.7294404, -73.9780986 40.7293468)",,,2,yes,,,
42439006,4298781041,0,584971531,False,Avenue A,secondary,20 mph,11.62,"LINESTRING (-73.9803529 40.730428, -73.9804188 40.7303362)",,,2,,,,
42439057,2216963616,0,46613712,True,Center Drive,cycleway,20 mph,13.235,"LINESTRING (-73.97286 40.769581, -73.9727132 40.7695385)",,,,,,,
42439059,561949997,0,46613712,True,Center Drive,cycleway,20 mph,22.25,"LINESTRING (-73.97333380000001 40.7697906, -73.9731068 40.7696882)",,,,,,,
42439078,42454742,0,46608946,True,West 4th Street,residential,20 mph,65.053,"LINESTRING (-74.003866 40.737544, -74.003874 40.738129)",,,,,,,
42439078,5849907289,0,480112476,True,West 12th Street,unclassified,20 mph,165.202,"LINESTRING (-74.003866 40.737544, -74.0019143 40.7376868)",,,,,,,
42440401,3783146176,0,5672621,False,Avenue B,secondary,20 mph,9.611,"LINESTRING (-73.9837903 40.7215462, -73.98373549999999 40.721622)",,,2,,,,
42440754,4161568813,0,440681436,False,Avenue C,secondary,20 mph,12.188,"LINESTRING (-73.9756829 40.7284535, -73.975751 40.7283568)",,,2,,,,
42440940,42433278,0,5670941,True,Bank Street,unclassified,20 mph,135.328,"LINESTRING (-74.003714 40.736839, -74.00213599999999 40.737066)",,,,,,,
42440940,42439078,0,46608946,True,West 4th Street,residential,20 mph,79.432,"LINESTRING (-74.003714 40.736839, -74.003866 40.737544)",,,,,,,
