u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed,est_width,service,ref,junction
1134966828,1134966828,0,"[844134312, 98077395, 250867285]",Jalan Haji Achmad R.,"['living_street', 'residential']",,False,332.635,"LINESTRING (106.8964704 -6.2374115, 106.8960771 -6.2378894, 106.8960667 -6.2379001, 106.8960447 -6.2379057, 106.8959226 -6.2378941, 106.8956731 -6.2378794, 106.8955182 -6.2378874, 106.8953832 -6.2378942, 106.8953385 -6.2377854, 106.8953278 -6.2377321, 106.8953372 -6.2376115, 106.8953452 -6.2375515, 106.8953587 -6.2374428, 106.8954388 -6.2374442, 106.8955015 -6.2374518, 106.8955832 -6.2374775, 106.8956577 -6.2374881, 106.8957589 -6.2374961, 106.8958964 -6.2374988, 106.8960248 -6.2375008, 106.8960359 -6.237496, 106.8960398 -6.2374851, 106.8960409 -6.2374705, 106.8960426 -6.2373942, 106.8960496 -6.2373835, 106.8960691 -6.2373808, 106.8964704 -6.2374115)","['3', '1']","['1', '2']",,20,,,,
1134966828,1134966828,1,"[844134312, 98077395, 250867285]",Jalan Haji Achmad R.,"['living_street', 'residential']",,False,332.63500000000005,"LINESTRING (106.8964704 -6.2374115, 106.8960691 -6.2373808, 106.8960496 -6.2373835, 106.8960426 -6.2373942, 106.8960409 -6.2374705, 106.8960398 -6.2374851, 106.8960359 -6.237496, 106.8960248 -6.2375008, 106.8958964 -6.2374988, 106.8957589 -6.2374961, 106.8956577 -6.2374881, 106.8955832 -6.2374775, 106.8955015 -6.2374518, 106.8954388 -6.2374442, 106.8953587 -6.2374428, 106.8953452 -6.2375515, 106.8953372 -6.2376115, 106.8953278 -6.2377321, 106.8953385 -6.2377854, 106.8953832 -6.2378942, 106.8955182 -6.2378874, 106.8956731 -6.2378794, 106.8959226 -6.2378941, 106.8960447 -6.2379057, 106.8960667 -6.2379001, 106.8960771 -6.2378894, 106.8964704 -6.2374115)","['3', '1']","['1', '2']",,20,,,,
1134966828,1134966833,0,250867285,Jalan Haji Achmad R.,residential,,False,204.79400000000004,"LINESTRING (106.8964704 -6.2374115, 106.8965482 -6.2373282, 106.8966656 -6.2371808, 106.8967789 -6.2370209, 106.8968486 -6.2369449, 106.8969304 -6.2368436, 106.8970089 -6.2367116, 106.8972234 -6.2366269, 106.8979046 -6.236357)",3,2,,20,,,,
1134966833,1134966828,0,250867285,Jalan Haji Achmad R.,residential,,False,204.794,"LINESTRING (106.8979046 -6.236357, 106.8972234 -6.2366269, 106.8970089 -6.2367116, 106.8969304 -6.2368436, 106.8968486 -6.2369449, 106.8967789 -6.2370209, 106.8966656 -6.2371808, 106.8965482 -6.2373282, 106.8964704 -6.2374115)",3,2,,20,,,,
1154038226,1154038307,0,99824292,Jalan Roket,residential,,False,209.656,"LINESTRING (106.871067 -6.1636024, 106.8714735 -6.1629044, 106.8715471 -6.1627802, 106.8717956 -6.1623583, 106.8720165 -6.1619703)",5,1,,20,,,,
1154038307,1154038226,0,99824292,Jalan Roket,residential,,False,209.656,"LINESTRING (106.8720165 -6.1619703, 106.8717956 -6.1623583, 106.8715471 -6.1627802, 106.8714735 -6.1629044, 106.871067 -6.1636024)",5,1,,20,,,,
1231836537,320021669,0,486422352,Jalan Tebet Dalam I,tertiary,,True,360.3,"LINESTRING (106.8474939 -6.2242743, 106.8477519 -6.2242617, 106.8483493 -6.2242325, 106.8487584 -6.2242204, 106.8492584 -6.2242056, 106.8496442 -6.2241727, 106.8507488 -6.2241116)",4,1,,30,,,,
1244654030,6474518087,0,108487815,Jalan Marina Indah,residential,,True,94.26599999999999,"LINESTRING (106.7456567 -6.1115808, 106.7457317 -6.1121876, 106.7457534 -6.1123225, 106.7457631 -6.1124218)",3,1,,30,,,,
1244654204,3136666893,0,"[776410053, 528471891, 299953581]","['Jalan Lingkar Luar Damar', 'Jalan Lingkar Luar Cendana']","['tertiary', 'residential']",,False,1383.251,"LINESTRING (106.7457577 -6.1114397, 106.7468375 -6.1112897, 106.747231 -6.1112433, 106.7473739 -6.1112303, 106.7474556 -6.111235, 106.747546 -6.1112493, 106.7481251 -6.1114489, 106.7482009 -6.1114654, 106.7482746 -6.1114814, 106.7484006 -6.1114768, 106.748958 -6.1114079, 106.7490565 -6.1113977, 106.750275 -6.1112452, 106.7508804 -6.1111703, 106.7509411 -6.1111517, 106.7509878 -6.1111007, 106.7510018 -6.1110171, 106.7509559 -6.1105455, 106.7509072 -6.1101147, 106.7509059 -6.1101017, 106.7508804 -6.1098469, 106.7508525 -6.1096035, 106.750792 -6.1090952, 106.750788 -6.1090632, 106.7507322 -6.1086126, 106.7505021 -6.1065501, 106.7504621 -6.1062117, 106.7504521 -6.1060544, 106.7504613 -6.1052942, 106.7503799 -6.1044522, 106.7503755 -6.1043623, 106.7503759 -6.1043162, 106.7504741 -6.1043502, 106.750517 -6.1043676, 106.7505542 -6.1043915, 106.7505986 -6.1044281, 106.7506135 -6.1044596, 106.7506231 -6.1044956)",5,2,,30,,,,
1328590013,1328600617,0,118047637,Jalan Kiai Haji Maisin,residential,,False,319.357,"LINESTRING (106.9041668 -6.2142115, 106.904448 -6.214344, 106.9046397 -6.2144259, 106.9047618 -6.2144765, 106.9048865 -6.2144992, 106.9050622 -6.2145085, 106.9051002 -6.2145104, 106.9051366 -6.2145229, 106.9051923 -6.2145592, 106.9052483 -6.2145865, 106.9053103 -6.2145952, 106.9054413 -6.2146076, 106.9054915 -6.2146126, 106.9056795 -6.2146205, 106.9059351 -6.2146253, 106.9063282 -6.2146506, 106.9063819 -6.2146541, 106.9069707 -6.2147192)",3,1,,20,,,,
1328600617,1328590013,0,118047637,Jalan Kiai Haji Maisin,residential,,False,319.35699999999997,"LINESTRING (106.9069707 -6.2147192, 106.9063819 -6.2146541, 106.9063282 -6.2146506, 106.9059351 -6.2146253, 106.9056795 -6.2146205, 106.9054915 -6.2146126, 106.9054413 -6.2146076, 106.9053103 -6.2145952, 106.9052483 -6.2145865, 106.9051923 -6.2145592, 106.9051366 -6.2145229, 106.9051002 -6.2145104, 106.9050622 -6.2145085, 106.9048865 -6.2144992, 106.9047618 -6.2144765, 106.9046397 -6.2144259, 106.904448 -6.214344, 106.9041668 -6.2142115)",3,1,,20,,,,
1328600690,1335062371,0,508099678,Jalan Kapuk III,living_street,,False,250.34400000000005,"LINESTRING (106.9021188 -6.2180569, 106.9018227 -6.2180716, 106.9016174 -6.2180682, 106.9014211 -6.2180683, 106.9011839 -6.2180475, 106.9010266 -6.2180329, 106.9008296 -6.2179909, 106.900599 -6.2179243, 106.900261 -6.2177883, 106.9001188 -6.2177487, 106.9000063 -6.2177051, 106.899917 -6.2176705)",3,1,,20,,,,
1328600736,1682701680,0,118050180,Jalan Bulak Barat I,residential,,False,41.234,"LINESTRING (106.9035219 -6.2156816, 106.9037868 -6.215714, 106.903891 -6.215734)",3,,,20,,,,
1328600736,1328600742,0,118050180,Jalan Bulak Barat I,residential,,False,79.58000000000001,"LINESTRING (106.9035219 -6.2156816, 106.9031578 -6.2156364, 106.9029728 -6.2156164, 106.902806 -6.215611)",3,,,20,,,,
1328600736,2572204265,0,118050184,Jalan Bulak Barat II,residential,,False,109.009,"LINESTRING (106.9035219 -6.2156816, 106.9035149 -6.215728, 106.9035056 -6.2159926, 106.9034131 -6.2165239, 106.9033972 -6.2166524)",3,,,20,,,,
1328600742,1328600736,0,118050180,Jalan Bulak Barat I,residential,,False,79.58000000000001,"LINESTRING (106.902806 -6.215611, 106.9029728 -6.2156164, 106.9031578 -6.2156364, 106.9035219 -6.2156816)",3,,,20,,,,
1328600780,95017930,0,"[118050187, 759627211, 759627212, 759627213]",Jalan Bulak Tengah III,residential,permissive,False,187.67300000000003,"LINESTRING (106.9040558 -6.2174827, 106.9041391 -6.217105, 106.9041462 -6.2170763, 106.9043192 -6.2158951, 106.9043297 -6.2158179)",3,1,,20,,,,
1329145662,1345758694,0,"[119913395, 749961036, 749963015]",Jalan Pendidikan Raya,tertiary,,False,600.6719999999999,"LINESTRING (106.9171823 -6.229295, 106.9174468 -6.2292135, 106.9176468 -6.2291519, 106.9177866 -6.2291472, 106.9179168 -6.2291713, 106.9182198 -6.2292378, 106.9184729 -6.2292946, 106.9185696 -6.229326, 106.9186918 -6.2293764, 106.9188407 -6.2294378, 106.9191632 -6.2295809, 106.9193534 -6.229655, 106.9195448 -6.2297271, 106.9197657 -6.2297892, 106.9199672 -6.2298351, 106.9201981 -6.2298896, 106.9207688 -6.2300025, 106.9209869 -6.2300508, 106.9213513 -6.2301364, 106.9217465 -6.2302492, 106.9220414 -6.2303237, 106.9221636 -6.2303545, 106.9223544 -6.2303951, 106.9224114 -6.2304073)",4,2,,30,,,,
1335062371,1328600690,0,508099678,Jalan Kapuk III,living_street,,False,250.34400000000002,"LINESTRING (106.899917 -6.2176705, 106.9000063 -6.2177051, 106.9001188 -6.2177487, 106.900261 -6.2177883, 106.900599 -6.2179243, 106.9008296 -6.2179909, 106.9010266 -6.2180329, 106.9011839 -6.2180475, 106.9014211 -6.2180683, 106.9016174 -6.2180682, 106.9018227 -6.2180716, 106.9021188 -6.2180569)",3,1,,20,,,,
