u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41514777,2633195194,0,257859759,False,North Echo Canyon Circle,residential,15 mph,5.534,"LINESTRING (-111.9768225 33.5216865, -111.9767628 33.5216865)",,,private,,,
41514778,2633195201,0,5675475,False,North Echo Canyon Circle,residential,15 mph,6.562,"LINESTRING (-111.9756362 33.5222001, -111.9756188 33.5221429)",,,private,,,
41514778,2145444302,0,5690164,False,North Echo Canyon Circle,residential,15 mph,6.877,"LINESTRING (-111.9756362 33.5222001, -111.9756484 33.5222611)",,,private,,,
41514778,2145444303,0,257859759,False,North Echo Canyon Circle,residential,15 mph,16.122,"LINESTRING (-111.9756362 33.5222001, -111.9754858 33.5222729)",,,private,,,
41514778,2145444301,0,257859759,False,North Echo Canyon Circle,residential,15 mph,9.86,"LINESTRING (-111.9756362 33.5222001, -111.9757282 33.5221556)",,,private,,,
41522562,7770862248,0,832343498,True,,service,15 mph,16.955,"LINESTRING (-112.0772669 33.6403161, -112.0772161 33.6404626)",1,parking_aisle,,,,
41557216,7174098538,0,768424755,False,Grovers Park Parking Lot,service,15 mph,22.05,"LINESTRING (-112.0338255 33.6477411, -112.0338256 33.6479394)",,parking_aisle,,,,
41560040,1710297116,0,5606851,False,West Cody Drive,residential,20 mph,11.486,"LINESTRING (-112.0734328 33.4004093, -112.0735564 33.4004046)",,,,,,
41562439,158112074,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,15.081,"LINESTRING (-111.9834696 33.3630076, -111.983312 33.3630403)",2,,,,,
41562439,148874762,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,18.908,"LINESTRING (-111.9834696 33.3630076, -111.9836674 33.3629673)",2,,,,,
41562442,4334936048,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,16.127,"LINESTRING (-111.981006 33.3636427, -111.9808507 33.3637076)",2,,,,,
41562442,2307241149,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,17.437,"LINESTRING (-111.981006 33.3636427, -111.9811723 33.3635699)",2,,,,,
41562444,2307241162,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,7.222,"LINESTRING (-111.9794171 33.3641237, -111.9793395 33.3641279)",2,,,,,
41562444,2307241161,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,29.691,"LINESTRING (-111.9794171 33.3641237, -111.9797366 33.3641142)",2,,,,,
41562448,2307241175,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,16.148,"LINESTRING (-111.9787588 33.3642357, -111.9785851 33.3642422)",2,,,,,
41562448,4334936071,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,6.964,"LINESTRING (-111.9787588 33.3642357, -111.9788327 33.3642251)",2,,,,,
41562451,4334936061,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,25.537,"LINESTRING (-111.9769677 33.3640944, -111.9766936 33.3640761)",2,,,,,
41562451,2307241165,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,63.787,"LINESTRING (-111.9769677 33.3640944, -111.9776503 33.3641581)",2,,,,,
41562453,4334936065,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,28.764,"LINESTRING (-111.9763624 33.3640778, -111.9760593 33.364131)",2,,,,,
41562453,4334936059,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,10.683,"LINESTRING (-111.9763624 33.3640778, -111.9764771 33.3640705)",2,,,,,
41562455,4334936069,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,15.911,"LINESTRING (-111.9757817 33.3641786, -111.9756141 33.3642083)",2,,,,,
41562455,4334936065,0,221687504,False,East Pima Canyon Road,unclassified,15 mph,26.318,"LINESTRING (-111.9757817 33.3641786, -111.9760593 33.364131)",2,,,,,
41587263,2265635064,0,538683157,False,East Highland Avenue,tertiary,20 mph,11.034,"LINESTRING (-112.0562948 33.5056023, -112.0561758 33.5056029)",3,,,,,
41587263,2265635063,0,538683158,False,East Highland Avenue,tertiary,20 mph,10.607,"LINESTRING (-112.0562948 33.5056023, -112.0564092 33.5056018)",3,,,,,
41588134,42415720,0,809022544,False,Hospital Drive,unclassified,15 mph,27.788,"LINESTRING (-112.0237239 33.4585576, -112.0237217 33.4583077)",2,,,,,
41588986,986181147,0,5598113,False,West Pecan Road,residential,20 mph,390.479,"LINESTRING (-112.094852 33.3951192, -112.0990581 33.3951259)",,,,,,
