u,v,key,osmid,name,highway,oneway,length,geometry,bridge,lanes,width,tunnel,maxspeed,junction,ref,access
59772140,2281223169,0,205832340,EuroVelo-6 budai Duna-parti kerékpárút,cycleway,False,19.989,"LINESTRING (19.060196 47.4782365, 19.0603526 47.4780912)",,,,,,,,
81219519,3733443514,0,9927864,,cycleway,False,2.3,"LINESTRING (19.0286861 47.5702794, 19.0286989 47.5702982)",,,,,,,,
81219519,5503663563,0,9927864,,cycleway,False,36.772,"LINESTRING (19.0286861 47.5702794, 19.0284253 47.5699994)",,,,,,,,
81240185,1951723049,0,298687759,,cycleway,False,6.847,"LINESTRING (19.0480788 47.5527073, 19.0479951 47.5527318)",,,,,,,,
81241139,299937902,0,27323886,,cycleway,False,4.063,"LINESTRING (19.0629996 47.5646935, 19.0630097 47.5647294)",,,,,,,,
81241139,5051993556,0,333811422,,cycleway,False,5.669,"LINESTRING (19.0629996 47.5646935, 19.0629864 47.5646433)",,,,,,,,
81242550,3997994830,0,40726036,,cycleway,False,2.551,"LINESTRING (19.0613764 47.5648008, 19.0613578 47.56482)",,,,,,,,
81242550,81245664,0,40726036,,cycleway,False,64.622,"LINESTRING (19.0613764 47.5648008, 19.0621972 47.5646247)",,,,,,,,
81245656,5183468090,0,9928665,,cycleway,False,18.129,"LINESTRING (19.0777741 47.560242, 19.0775592 47.5603165)",yes,,,,,,,
81245656,3387087916,0,406050080,,cycleway,False,24.287,"LINESTRING (19.0777741 47.560242, 19.0780588 47.5601381)",,,,,,,,
81245657,3387087929,0,9928665,,cycleway,False,111.976,"LINESTRING (19.074785 47.5610952, 19.0761645 47.5607111)",yes,,,,,,,
81245657,5183468092,0,10901843,,cycleway,False,9.281,"LINESTRING (19.074785 47.5610952, 19.0746917 47.56115)",,,,,,,,
81245657,494789547,0,40726034,,cycleway,False,249.882,"LINESTRING (19.074785 47.5610952, 19.07171 47.561958)",,,,,,,,
81245663,3043254917,0,40726035,Újpesti vasúti híd,cycleway,False,344.961,"LINESTRING (19.06312 47.5643225, 19.0673818 47.5631587)",yes,,,,,,,
81245663,3408656007,0,384591917,,cycleway,False,68.031,"LINESTRING (19.06312 47.5643225, 19.0623076 47.5645942)",,,,,,,,
81245664,81242550,0,40726036,,cycleway,False,64.622,"LINESTRING (19.0621972 47.5646247, 19.0613764 47.5648008)",,,,,,,,
81245664,3408656007,0,40726036,,cycleway,False,8.951,"LINESTRING (19.0621972 47.5646247, 19.0623076 47.5645942)",,,,,,,,
81247726,294698200,0,9928688,,cycleway,False,18.69,"LINESTRING (19.0797374 47.5590139, 19.0795967 47.5591526)",,,,,,,,
81247726,5617477296,0,190044671,,cycleway,False,11.979,"LINESTRING (19.0797374 47.5590139, 19.0798207 47.558922)",,,,,,,,
81247727,81247728,0,406050081,,cycleway,False,19.375,"LINESTRING (19.0792763 47.5597758, 19.0790544 47.5598649)",,,,,,,,
81247727,1352852713,0,406050081,,cycleway,False,31.347,"LINESTRING (19.0792763 47.5597758, 19.0795095 47.5595419)",,,,,,,,
81247728,5186158136,0,120723215,,cycleway,False,53.93,"LINESTRING (19.0790544 47.5598649, 19.0793184 47.560316)",,,,,,,,
81247728,3387087903,0,406050080,,cycleway,False,8.501,"LINESTRING (19.0790544 47.5598649, 19.0789491 47.5598367)",,,,,,,,
81247728,81247727,0,406050081,,cycleway,False,19.375,"LINESTRING (19.0790544 47.5598649, 19.0792763 47.5597758)",,,,,,,,
81247729,3387087916,0,406050080,,cycleway,False,8.414,"LINESTRING (19.0781537 47.5600978, 19.0780588 47.5601381)",,,,,,,,
81247729,3387087913,0,406050080,,cycleway,False,19.089,"LINESTRING (19.0781537 47.5600978, 19.0783609 47.5599982)",,,,,,,,
84663800,7194923268,0,770826440,,cycleway,True,11.948,"LINESTRING (19.0245727 47.4689955, 19.0244142 47.4689874)",,,,,,,,
84685564,1937293103,0,218949643,,cycleway,False,8.041,"LINESTRING (19.0729958 47.4382732, 19.0730759 47.4383211)",,,,,,,,
84685564,2281483176,0,264978931,,cycleway,False,5.377,"LINESTRING (19.0729958 47.4382732, 19.0729413 47.4382419)",,,,,,,,
84687274,2161160872,0,410055347,,cycleway,True,12.149,"LINESTRING (19.0704928 47.4319902, 19.0706264 47.4320516)",,,,,,,,
85910961,1509539364,0,137633449,,cycleway,False,72.291,"LINESTRING (19.0334317 47.4154618, 19.0336031 47.4148221)",,,,,,,,
88169411,1260571872,0,180751776,,cycleway,False,5.165,"LINESTRING (19.0442322 47.5340731, 19.0442659 47.5341136)",,,,,,,,
88169411,2292000610,0,180751776,,cycleway,False,6.244,"LINESTRING (19.0442322 47.5340731, 19.0441876 47.5340257)",,,,,,,,
96923716,7641057499,0,818155180,,cycleway,False,8.509,"LINESTRING (19.0643704 47.5319186, 19.0644044 47.5319916)",,,,,,,,
96991357,291726656,0,233806702,,cycleway,False,56.912,"LINESTRING (19.1129255 47.5982716, 19.1133194 47.5987091)",,,,,,,,
96991357,4386857786,0,233806702,,cycleway,False,81.44,"LINESTRING (19.1129255 47.5982716, 19.1123686 47.5976428)",,,,,,,,
97012129,5183468092,0,10901843,,cycleway,False,7.937,"LINESTRING (19.0746032 47.5611891, 19.0746917 47.56115)",,,,,,,,
97012129,5183468093,0,10901843,,cycleway,False,5.324,"LINESTRING (19.0746032 47.5611891, 19.0745425 47.5612139)",,,,,,,,
97449881,3909541227,0,10928612,,cycleway,False,6.721,"LINESTRING (19.0531053 47.5953174, 19.0531428 47.5953723)",,,,,,,,
97449917,3909542063,0,299976430,,cycleway,False,43.414,"LINESTRING (19.0598278 47.6051408, 19.0600491 47.6055016)",,,,,,,,
97449917,2021466734,0,299976430,,cycleway,False,17.428,"LINESTRING (19.0598278 47.6051408, 19.0597343 47.6049973)",,,,,,,,
97449952,3909541244,0,10928612,,cycleway,False,6.337,"LINESTRING (19.0563664 47.6000789, 19.0563916 47.6001333)",,,,,,,,
97449952,3909541245,0,10928612,,cycleway,False,4.94,"LINESTRING (19.0563664 47.6000789, 19.05634 47.6000382)",,,,,,,,
97449997,3909541245,0,10928612,,cycleway,False,15.417,"LINESTRING (19.0562575 47.5999112, 19.05634 47.6000382)",,,,,,,,
97449997,3909541241,0,10928612,,cycleway,False,45.759,"LINESTRING (19.0562575 47.5999112, 19.0560118 47.5995345)",,,,,,,,
97450003,97450023,0,299976430,,cycleway,False,337.103,"LINESTRING (19.0601068 47.6058687, 19.0617377 47.6086939)",,,,,,,,
97450003,3909542061,0,299976430,,cycleway,False,5.73,"LINESTRING (19.0601068 47.6058687, 19.0600786 47.6058208)",,,,,,,,
97450023,1776996224,0,299976430,,cycleway,False,10.108,"LINESTRING (19.0617377 47.6086939, 19.0618084 47.6087713)",,,,,,,,
97450023,97450003,0,299976430,,cycleway,False,337.103,"LINESTRING (19.0617377 47.6086939, 19.0601068 47.6058687)",,,,,,,,
97450174,1776996225,0,299976430,,cycleway,False,6.592,"LINESTRING (19.0620376 47.6089521, 19.0620846 47.6090022)",,,,,,,,
97450174,1776996224,0,299976430,,cycleway,False,26.446,"LINESTRING (19.0620376 47.6089521, 19.0618084 47.6087713)",,,,,,,,
97450323,4013711333,0,10928614,,cycleway,False,77.782,"LINESTRING (19.0618095 47.6091829, 19.0607946 47.6093283)",,,,,,,,
97450323,2908254375,0,10928614,,cycleway,False,27.445,"LINESTRING (19.0618095 47.6091829, 19.0621656 47.6091256)",,,,,,,,
97450331,4013727540,0,10928614,,cycleway,False,6.839,"LINESTRING (19.0592394 47.6092911, 19.0592187 47.609351)",,,,,,,,
97450331,3781906008,0,10928614,,cycleway,False,87.282,"LINESTRING (19.0592394 47.6092911, 19.0604014 47.6093403)",,,,,,,,
97450331,4013711334,0,374810867,,cycleway,False,11.138,"LINESTRING (19.0592394 47.6092911, 19.059092 47.6092785)",,,,,,,,
101484385,710751187,0,217101803,,cycleway,False,10.717,"LINESTRING (19.1171614 47.4839445, 19.1172243 47.484031)",,,,,,,,
104619632,1666704771,0,299642844,,cycleway,False,8.737,"LINESTRING (19.1318678 47.5666659, 19.1317516 47.5666607)",,,,,,,,
132811764,727802701,0,299630716,,cycleway,False,43.484,"LINESTRING (19.0692925 47.5287347, 19.0692563 47.529125)",,,,,,,,
146997150,286265538,0,299269385,Római part,cycleway,False,12.297,"LINESTRING (19.0633508 47.5649742, 19.0635135 47.5649609)",,,,,,,,
146997150,5051993559,0,299269385,Római part,cycleway,False,18.163,"LINESTRING (19.0633508 47.5649742, 19.0631099 47.5649903)",,,,,,,,
151011440,753979079,0,282159912,,cycleway,False,8.486,"LINESTRING (19.0786703 47.4689149, 19.0787688 47.4688776)",,,,,,,,
151011440,685058990,0,686456800,,cycleway,False,6.906,"LINESTRING (19.0786703 47.4689149, 19.0785889 47.4689437)",,,,,,,,
151011457,6005110912,0,636880921,,cycleway,False,14.76,"LINESTRING (19.0758093 47.4686841, 19.0756168 47.4686579)",,,,,,,,
151011457,685059031,0,636880923,,cycleway,False,5.537,"LINESTRING (19.0758093 47.4686841, 19.0758828 47.4686874)",,,,,,,,
151013015,6206437347,0,54357780,,cycleway,False,8.745,"LINESTRING (19.0754484 47.4686448, 19.075564 47.4686537)",,,,,,,,
151013015,685059051,0,404989438,,cycleway,False,14.213,"LINESTRING (19.0754484 47.4686448, 19.0753279 47.4685463)",,,,,,,,
152920341,5761399338,0,218432850,,cycleway,False,3.569,"LINESTRING (18.9896091 47.3933192, 18.9896519 47.393333)",,,,,,,,
152920341,5761326567,0,15422551,Hugonnay Vilma utca,residential,False,1.793,"LINESTRING (18.9896091 47.3933192, 18.9896078 47.3933031)",,,,,,,,
152920341,152920343,0,229622980,Hugonnay Vilma utca,residential,False,9.403,"LINESTRING (18.9896091 47.3933192, 18.989614 47.3934037)",,,,,,,,
154402669,2839691427,0,54357145,,cycleway,False,29.141,"LINESTRING (19.0488364 47.4406267, 19.048449 47.4406321)",,,,,,,,
154402669,2379476543,0,279775506,,cycleway,False,6.468,"LINESTRING (19.0488364 47.4406267, 19.0489224 47.4406268)",,,,,,,,
154402670,2839675725,0,279775506,,cycleway,False,71.832,"LINESTRING (19.0485023 47.4384873, 19.0483724 47.4378473)",,,,,,,,
154402670,2839675726,0,279775506,,cycleway,False,119.039,"LINESTRING (19.0485023 47.4384873, 19.0487207 47.4395476)",,,,,,,,
154402672,2839675724,0,279775506,,cycleway,False,9.31,"LINESTRING (19.0483401 47.4377373, 19.0483066 47.4376567)",,,,,,,,
154402672,2839675725,0,279775506,,cycleway,False,12.47,"LINESTRING (19.0483401 47.4377373, 19.0483724 47.4378473)",,,,,,,,
154402673,154402674,0,279775506,,cycleway,False,78.367,"LINESTRING (19.0481029 47.4372015, 19.0477979 47.4365276)",,,,,,,,
154402673,2839675724,0,279775506,,cycleway,False,52.884,"LINESTRING (19.0481029 47.4372015, 19.0483066 47.4376567)",,,,,,,,
154402674,685050591,0,279775506,,cycleway,False,75.338,"LINESTRING (19.0477979 47.4365276, 19.0475054 47.4358796)",,,,,,,,
154402674,154402673,0,279775506,,cycleway,False,78.367,"LINESTRING (19.0477979 47.4365276, 19.0481029 47.4372015)",,,,,,,,
154402676,4565918204,0,54357172,,cycleway,False,18.828,"LINESTRING (19.0466867 47.4342306, 19.0466031 47.434071)",,,,,,,,
154402676,2839675722,0,54357172,,cycleway,False,167.307,"LINESTRING (19.0466867 47.4342306, 19.0473508 47.4356666)",,,,,,,,
154402678,154402680,0,54357172,,cycleway,False,82.896,"LINESTRING (19.0461835 47.4334513, 19.0457272 47.4327727)",,,,,,,,
154402678,3190274637,0,54357172,,cycleway,False,65.155,"LINESTRING (19.0461835 47.4334513, 19.0465488 47.4339826)",,,,,,,,
154402680,2379476563,0,54357172,,cycleway,False,144.819,"LINESTRING (19.0457272 47.4327727, 19.0449146 47.431592)",,,,,,,,
154402680,154402678,0,54357172,,cycleway,False,82.896,"LINESTRING (19.0457272 47.4327727, 19.0461835 47.4334513)",,,,,,,,
154402681,3190204714,0,313112427,,cycleway,False,5.282,"LINESTRING (19.0443031 47.430837, 19.0443434 47.4308759)",,,,,,,,
154402681,3190204713,0,313112427,,cycleway,False,4.456,"LINESTRING (19.0443031 47.430837, 19.0442584 47.4308107)",,,,,,,,
154402682,3190204713,0,313112427,,cycleway,False,4.058,"LINESTRING (19.0442089 47.4307962, 19.0442584 47.4308107)",,,,,,,,
154402682,154402683,0,473022222,Fibula utca,cycleway,False,8.459,"LINESTRING (19.0442089 47.4307962, 19.0440978 47.4307844)",,,,,,,,
154402683,3190204712,0,473022222,Fibula utca,cycleway,False,53.275,"LINESTRING (19.0440978 47.4307844, 19.0433981 47.4307102)",,,,,,,,
154402683,154402682,0,473022222,Fibula utca,cycleway,False,8.459,"LINESTRING (19.0440978 47.4307844, 19.0442089 47.4307962)",,,,,,,,
154402684,685050583,0,473022222,Fibula utca,cycleway,False,3.027,"LINESTRING (19.0424955 47.430615, 19.0424579 47.4306053)",,,,,,,,
