u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,lanes,tunnel,maxspeed,junction,ref,access
215402640,412348483,0,58647938,False,,cycleway,171.60500000000002,"LINESTRING (19.0074932 47.4617332, 19.0074373 47.4617427, 19.0073638 47.4617708, 19.007342 47.4617866, 19.0073251 47.4618032, 19.0073132 47.4618194, 19.0072992 47.4618328, 19.0072877 47.46184, 19.0072741 47.461844, 19.0072486 47.4618484, 19.0072105 47.4618539, 19.0071529 47.4618622, 19.0070987 47.4618744, 19.0070514 47.4618871, 19.0070107 47.4619006, 19.0069778 47.4619172, 19.0069425 47.4619378, 19.006896 47.4619675, 19.0068052 47.4620149, 19.006206 47.462148, 19.0059751 47.4621903, 19.0058352 47.4622028, 19.0056064 47.4621999, 19.0053957 47.4621764)",,,,,,,,
223746850,6379637690,0,"[690749825, 791153429, 26363127]",True,,cycleway,198.245,"LINESTRING (19.0385509 47.462873, 19.0386433 47.4627762, 19.0405529 47.4625283, 19.0408066 47.4624953, 19.040949 47.4625252, 19.0410628 47.4625351)",,,,,,,,
244946813,1541602107,0,"[140784697, 29268860]",False,Laktanya utca,"['cycleway', 'residential']",195.887,"LINESTRING (19.0457267 47.5436259, 19.045705 47.5435316, 19.0456982 47.5435023, 19.0456985 47.543402, 19.045642 47.5431474, 19.045646 47.5429803, 19.045586 47.5427137, 19.0456183 47.5426238, 19.0456356 47.5425757, 19.0458522 47.5418911)",,,,,,,,
244947430,3979912501,0,193803820,False,,cycleway,88.16,"LINESTRING (19.046639 47.5510436, 19.0466108 47.5512127, 19.0461766 47.5517621)",,,,,,,,
244965268,2014229382,0,193803819,False,,cycleway,14.547,"LINESTRING (19.0484706 47.5541023, 19.0486637 47.5540908)",,,,,,,,
260658396,276245873,0,"[25348264, 305477734]",False,,cycleway,237.305,"LINESTRING (19.0514338 47.4988746, 19.0515968 47.498919, 19.0531785 47.4990473, 19.0534855 47.4989778, 19.0536052 47.4989968, 19.0539018 47.4990398, 19.0542825 47.499102, 19.0545228 47.4991442)",,,,,,,,
260692299,272121741,0,25329114,False,Dorottya utca,cycleway,70.723,"LINESTRING (19.0494107 47.4972861, 19.0489549 47.4978426)",,,,,,,,
260903804,2267495346,0,217483074,False,,cycleway,21.945999999999998,"LINESTRING (19.0546221 47.4979521, 19.0547884 47.4979904, 19.0548986 47.4980158)",,,,,,,,
260903804,276245873,0,217903314,False,,cycleway,137.386,"LINESTRING (19.0546221 47.4979521, 19.0546312 47.4990674, 19.0546268 47.4991025, 19.0545883 47.4991315, 19.0545228 47.4991442)",,,,,,,,
260903804,715197023,0,217903314,False,,cycleway,15.302,"LINESTRING (19.0546221 47.4979521, 19.0546783 47.4979062, 19.0547589 47.4978503)",,,,,,,,
