u,v,key,osmid,name,highway,maxspeed,access,oneway,length,geometry,lanes,service,width,bridge,tunnel,junction
122554293,122554289,0,13278398,,service,15 mph,,False,120.168,"LINESTRING (-118.2456018 33.784247, -118.2456936 33.785325)",,alley,,,,
122554293,634377095,0,49917065,,service,15 mph,,False,66.441,"LINESTRING (-118.2456018 33.784247, -118.2448841 33.7842818)",,alley,,,,
122554293,634377029,0,49917065,,service,15 mph,,False,65.21,"LINESTRING (-118.2456018 33.784247, -118.2463056 33.7842052)",,alley,,,,
122583966,634344034,0,49914520,,service,15 mph,,False,8.298,"LINESTRING (-118.2565218 33.7870532, -118.2565102 33.7871272)",,alley,,,,
122585454,6030822123,0,492489389,,service,15 mph,,False,11.222,"LINESTRING (-118.5374092 34.1786572, -118.5374216 34.1785568)",,alley,,,,
122585484,6248727867,0,580278140,,service,15 mph,,False,8.707,"LINESTRING (-118.5374337 34.212028, -118.5374336 34.2119497)",,alley,,,,
122587097,4269165889,0,427725277,,service,15 mph,private,False,10.834,"LINESTRING (-118.5723047 34.2071041, -118.5721877 34.2070927)",,driveway,,,,
122598454,6663350381,0,13283856,Prairie Street,residential,15 mph,,False,8.852,"LINESTRING (-118.5317475 34.2391322, -118.5318438 34.2391322)",,,,,,
122598454,7684205618,0,32678116,West Universty Drive,residential,15 mph,permissive,False,8.153,"LINESTRING (-118.5317475 34.2391322, -118.5317452 34.2390589)",2,,,,,
122598454,6663350379,0,32678116,West Universty Drive,residential,15 mph,permissive,False,8.017,"LINESTRING (-118.5317475 34.2391322, -118.5317476 34.2392043)",2,,,,,
122598460,6648124566,0,13283856,Prairie Street,residential,15 mph,,False,10.608,"LINESTRING (-118.5338201 34.2391332, -118.5337047 34.239133)",,,,,,
122598551,4709185676,0,13408862,Bertrand Avenue,unclassified,15 mph,permissive,False,4.538,"LINESTRING (-118.5256307 34.2389881, -118.5256753 34.2389706)",2,,,,,
122599083,1268300960,0,13325458,East Colden Avenue,residential,20 mph,,False,48.031,"LINESTRING (-118.273881 33.9492041, -118.2733603 33.9492071)",,,,,,
122599083,5162561931,0,386914508,West Colden Avenue,residential,20 mph,,False,56.137,"LINESTRING (-118.273881 33.9492041, -118.2744896 33.9492031)",,,,,,
122599084,3728592182,0,386914508,West Colden Avenue,residential,20 mph,,False,87.307,"LINESTRING (-118.2766272 33.9491997, -118.2775736 33.9491874)",,,,,,
122599084,6807269317,0,386914508,West Colden Avenue,residential,20 mph,,False,88.597,"LINESTRING (-118.2766272 33.9491997, -118.2756667 33.9492012)",,,,,,
122599090,7453558935,0,706159919,West Colden Avenue,residential,20 mph,,False,168.025,"LINESTRING (-118.2802323 33.9491718, -118.2820539 33.9491667)",,,,,,
122599090,6635525330,0,706195347,West Colden Avenue,residential,20 mph,,False,16.65,"LINESTRING (-118.2802323 33.9491718, -118.2800518 33.9491729)",,,,,,
122599092,6936494485,0,165885366,West Colden Avenue,residential,20 mph,,False,238.896,"LINESTRING (-118.2827096 33.9491649, -118.2852995 33.9491535)",,,,,,
122599092,7453558935,0,706159919,West Colden Avenue,residential,20 mph,,False,60.482,"LINESTRING (-118.2827096 33.9491649, -118.2820539 33.9491667)",,,,,,
122599094,6438210988,0,165885366,West Colden Avenue,residential,20 mph,,False,81.082,"LINESTRING (-118.2869487 33.9491462, -118.2878277 33.9491403)",,,,,,
122599094,6936494485,0,165885366,West Colden Avenue,residential,20 mph,,False,152.124,"LINESTRING (-118.2869487 33.9491462, -118.2852995 33.9491535)",,,,,,
122599096,6438208084,0,165885366,West Colden Avenue,residential,20 mph,,False,104.287,"LINESTRING (-118.2893314 33.9491302, -118.290462 33.9491313)",,,,,,
122599096,6755645434,0,165885366,West Colden Avenue,residential,20 mph,,False,3.874,"LINESTRING (-118.2893314 33.9491302, -118.2892894 33.9491305)",,,,,,
122599098,6438208084,0,165885366,West Colden Avenue,residential,20 mph,,False,104.13,"LINESTRING (-118.2915909 33.9491324, -118.290462 33.9491313)",,,,,,
122599634,5694642001,0,510326751,,service,15 mph,,False,5.045,"LINESTRING (-118.6049103 34.2227996, -118.6049639 34.2227899)",,alley,,,,
122637258,5993812537,0,32499509,Philliprimm Street,service,15 mph,,False,7.751,"LINESTRING (-118.5461467 34.173052, -118.5462309 34.1730544)",,alley,,,,
122637258,5993742732,0,32499509,Philliprimm Street,service,15 mph,,False,5.663,"LINESTRING (-118.5461467 34.173052, -118.5460852 34.1730499)",,alley,,,,
122638456,3809845653,0,377604790,,service,15 mph,,False,127.412,"LINESTRING (-118.4178353 34.2684949, -118.416794 34.2692515)",,alley,,,,
122638456,3809845639,0,377604790,,service,15 mph,,False,19.3,"LINESTRING (-118.4178353 34.2684949, -118.4179912 34.2683786)",,alley,,,,
122639084,7546309150,0,317306599,,service,15 mph,,False,11.77,"LINESTRING (-118.4181751 34.1939504, -118.418182 34.1938447)",,alley,,,,
122639135,4297301303,0,13401025,Valleyheart Drive,residential,15 mph,,False,10.832,"LINESTRING (-118.4183749 34.148039, -118.4184774 34.1480869)",2,,,,,
122639135,616356276,0,13401025,Valleyheart Drive,residential,15 mph,,False,16.88,"LINESTRING (-118.4183749 34.148039, -118.4182336 34.1479422)",2,,,,,
122639205,4297301310,0,13401009,Valleyheart Drive,residential,15 mph,,False,25.626,"LINESTRING (-118.4185566 34.1476251, -118.4187907 34.1477499)",2,,,,,
122639205,595962882,0,13401009,Valleyheart Drive,residential,15 mph,,False,32.978,"LINESTRING (-118.4185566 34.1476251, -118.4182988 34.1474191)",2,,,,,
122640438,5886472808,0,483763056,,service,15 mph,,False,8.21,"LINESTRING (-118.540739 34.1756893, -118.5406537 34.1756676)",,alley,,,,
122644857,778875441,0,687276296,South Crescent Avenue,residential,20 mph,,False,41.89,"LINESTRING (-118.2841231 33.7269533, -118.2843841 33.7266454)",,,,,,
122644857,123095593,0,687276296,South Crescent Avenue,residential,20 mph,,False,72.854,"LINESTRING (-118.2841231 33.7269533, -118.283568 33.7274182)",,,,,,
122645044,1976242881,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,9.803,"LINESTRING (-118.4160344 34.1130665, -118.4159587 34.1131285)",,,,,,
122645044,1976243062,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,7.49,"LINESTRING (-118.4160344 34.1130665, -118.4160922 34.1130191)",,,,,,
122645047,1976243010,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,9.258,"LINESTRING (-118.4151952 34.1150053, -118.4151303 34.1150689)",,,,,,
122645047,222192013,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,24.073,"LINESTRING (-118.4151952 34.1150053, -118.4152656 34.1147968)",,,,,,
122645051,1524852553,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,26.391,"LINESTRING (-118.4139047 34.1159006, -118.4137815 34.1161149)",,,,,,
122645051,1976242948,0,13292282,Franklin Canyon Drive,residential,15 mph,,False,18.608,"LINESTRING (-118.4139047 34.1159006, -118.4140688 34.1158029)",,,,,,
122645051,123334688,0,24561984,Lake Drive,residential,15 mph,,False,35.053,"LINESTRING (-118.4139047 34.1159006, -118.4138258 34.1155922)",,,,,,
122645084,1976276360,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,9.324,"LINESTRING (-118.4101389 34.126137, -118.4100523 34.1260935)",2,,,,,
122645084,1976276401,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,9.33,"LINESTRING (-118.4101389 34.126137, -118.4102389 34.1261507)",2,,,,,
122645087,1976276317,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,60.13,"LINESTRING (-118.4085599 34.1255112, -118.4083522 34.1260239)",2,,,,,
122645087,1976276266,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,10.152,"LINESTRING (-118.4085599 34.1255112, -118.4086212 34.1254353)",2,,,,,
122645090,1976276407,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,10.685,"LINESTRING (-118.4086574 34.1278809, -118.4086301 34.1277875)",2,,,,,
122645856,123099173,0,47643059,Altivo Way,residential,15 mph,,False,81.851,"LINESTRING (-118.2487778 34.0944439, -118.249575 34.0947695)",1,,3,,,
