y,x,osmid,ref,highway,geometry
52.5711391,13.2049114,33355620,,,POINT (13.2049114 52.5711391)
52.5683208,13.2111762,33355629,,,POINT (13.2111762 52.5683208)
52.5132927,13.4474971,33363837,,,POINT (13.4474971 52.5132927)
52.5136132,13.4472379,33363946,,,POINT (13.4472379 52.5136132)
52.526401,13.2163368,33466863,,,POINT (13.2163368 52.526401)
52.5264845,13.2164638,33466865,,,POINT (13.2164638 52.5264845)
52.5575687,13.2312862,33483694,,,POINT (13.2312862 52.5575687)
52.5518458,13.2132796,33483718,,,POINT (13.2132796 52.5518458)
52.5537056,13.2135705,33483723,,,POINT (13.2135705 52.5537056)
52.5566867,13.2246217,33484076,,turning_circle,POINT (13.2246217 52.5566867)
52.556028,13.2245795,33484077,,turning_circle,POINT (13.2245795 52.556028)
52.5428639,13.2396465,33484080,,,POINT (13.2396465 52.5428639)
52.5429198,13.2398645,33484081,,,POINT (13.2398645 52.5429198)
52.5447306,13.2383436,33484082,,,POINT (13.2383436 52.5447306)
52.5447745,13.2385203,33484083,,,POINT (13.2385203 52.5447745)
52.5468068,13.2368382,33484084,,,POINT (13.2368382 52.5468068)
52.5468644,13.2370492,33484085,,,POINT (13.2370492 52.5468644)
52.5433805,13.2416178,33484089,,,POINT (13.2416178 52.5433805)
52.5439374,13.2437394,33484090,,,POINT (13.2437394 52.5439374)
52.5432338,13.2470127,33484092,,,POINT (13.2470127 52.5432338)
52.5441833,13.2470534,33484094,,,POINT (13.2470534 52.5441833)
52.5440841,13.2469803,33484095,,,POINT (13.2469803 52.5440841)
52.5467628,13.2304121,33484152,,,POINT (13.2304121 52.5467628)
52.5540177,13.1538267,33547366,,,POINT (13.1538267 52.5540177)
52.5562489,13.1566127,33547370,,,POINT (13.1566127 52.5562489)
52.557449,13.1572901,33547375,,,POINT (13.1572901 52.557449)
52.5587755,13.153241,33547384,,,POINT (13.153241 52.5587755)
52.5568386,13.1535856,33547392,,,POINT (13.1535856 52.5568386)
52.5554963,13.1529263,33547393,,,POINT (13.1529263 52.5554963)
52.5583203,13.1544546,33547398,,,POINT (13.1544546 52.5583203)
52.5559333,13.1582211,33547400,,,POINT (13.1582211 52.5559333)
52.5565635,13.1550323,33547406,,,POINT (13.1550323 52.5565635)
52.5591789,13.1519977,33547414,,,POINT (13.1519977 52.5591789)
52.5557435,13.1515817,33547424,,,POINT (13.1515817 52.5557435)
52.5556642,13.1595647,33547432,,,POINT (13.1595647 52.5556642)
52.5578861,13.1557633,33547438,,,POINT (13.1557633 52.5578861)
52.5573627,13.1508925,33547446,,,POINT (13.1508925 52.5573627)
52.5594648,13.1505903,33547451,,,POINT (13.1505903 52.5594648)
52.555993,13.1502244,33547454,,,POINT (13.1502244 52.555993)
52.5576188,13.1495169,33547497,,,POINT (13.1495169 52.5576188)
52.554139,13.1493899,33547503,,,POINT (13.1493899 52.554139)
52.5595277,13.15677,33547505,,,POINT (13.15677 52.5595277)
52.5571005,13.1522585,33547512,,,POINT (13.1522585 52.5571005)
52.5600816,13.1942256,33551123,,,POINT (13.1942256 52.5600816)
