u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width
26866506,26822978,0,150519560,,Karl-Heinrich-Ulrichs-Straße,tertiary,50,False,108.34299999999999,"LINESTRING (13.3530284 52.5029499, 13.3529936 52.5030984, 13.3527573 52.5039101)",,,,,,,,,
26872069,26749628,0,"[722137842, 23735661]",4,Sellerstraße,primary,50,False,380.012,"LINESTRING (13.3655925 52.5371637, 13.3656486 52.5371961, 13.3657778 52.5372706, 13.3659574 52.5373744, 13.3660665 52.5374373, 13.366482 52.5376768, 13.367078 52.5380207, 13.3674133 52.5382139, 13.3678892 52.5384929, 13.3681474 52.5386443, 13.3682873 52.5387256, 13.3684619 52.5388271, 13.3690522 52.5391585, 13.3691311 52.5392039, 13.369177 52.5392304, 13.369334 52.5393209, 13.3696696 52.5395152)",,,B 96,,,,,,
26874394,26704698,0,47973763,,Lützowufer,residential,30,False,39.415,"LINESTRING (13.3478581 52.5070953, 13.3483489 52.5069045)",,,,,,,,,
26965672,260571000,0,"[152892288, 71960546, 71746025, 71596043, 71595980, 605637372]",2,"['Siriusstraße', 'Ortolfstraße']",tertiary,"['50', '30']",False,1467.5649999999998,"LINESTRING (13.5348935 52.409934, 13.5346653 52.4095606, 13.5345269 52.4093341, 13.5343837 52.4090999, 13.5342879 52.4089431, 13.5340939 52.4086258, 13.533991 52.4084574, 13.5338787 52.4082666, 13.5337358 52.4080391, 13.5335376 52.4077237, 13.5333835 52.4074784, 13.5333421 52.4074126, 13.5331064 52.4070244, 13.5329194 52.4067163, 13.5328751 52.4066576, 13.5327936 52.4065313, 13.5326627 52.406391, 13.532638 52.4063636, 13.5317611 52.4055576, 13.5317189 52.4055197, 13.5313708 52.4051958, 13.5312777 52.4051092, 13.5312237 52.4050485, 13.5309773 52.4047717, 13.5300695 52.403756, 13.5299896 52.4036719, 13.5299602 52.403641, 13.5297143 52.4034087, 13.5294306 52.4032024, 13.5289047 52.4029058, 13.5282142 52.4025551, 13.5278704 52.4023822, 13.5277281 52.4023074, 13.5274859 52.4021698, 13.5273779 52.4020871, 13.5272599 52.4019681, 13.5271541 52.4018499, 13.5268047 52.4012906, 13.5254872 52.401602, 13.5251209 52.4016885, 13.5249831 52.4017211, 13.5244719 52.4018419, 13.5241818 52.4019169, 13.5238944 52.4019911, 13.5237801 52.4020207, 13.5235875 52.4020704, 13.5231485 52.4021839, 13.5230124 52.402219, 13.5228033 52.4022731, 13.5222869 52.4024065, 13.5221058 52.4024533)",,,,,,,,,
27177947,27177951,0,4581781,,Edinburger Straße,residential,30,False,452.75,"LINESTRING (13.3430438 52.558918, 13.3431535 52.5589021, 13.3436943 52.5585992, 13.3450047 52.5578402, 13.3455921 52.5575092, 13.3459869 52.5572981, 13.346477 52.5570175, 13.3472896 52.5565522, 13.3478044 52.5562779, 13.3478403 52.5562588, 13.3479838 52.5561823)",,,,,,,,,
27177951,27177971,0,4581781,,Edinburger Straße,residential,30,False,466.79499999999996,"LINESTRING (13.3479838 52.5561823, 13.3481436 52.5560902, 13.3482166 52.5560482, 13.3488769 52.5556676, 13.3494455 52.5553504, 13.3499316 52.5550679, 13.3516244 52.5541037, 13.3528911 52.5533822, 13.353022 52.553312)",,,,,,,,,
27177951,27177947,0,4581781,,Edinburger Straße,residential,30,False,452.75,"LINESTRING (13.3479838 52.5561823, 13.3478403 52.5562588, 13.3478044 52.5562779, 13.3472896 52.5565522, 13.346477 52.5570175, 13.3459869 52.5572981, 13.3455921 52.5575092, 13.3450047 52.5578402, 13.3436943 52.5585992, 13.3431535 52.5589021, 13.3430438 52.558918)",,,,,,,,,
27177951,34694399,0,4581771,2,Barfusstraße,secondary,50,False,471.57999999999987,"LINESTRING (13.3479838 52.5561823, 13.3481245 52.556247, 13.348182 52.5562656, 13.3485771 52.5564045, 13.348728 52.5564657, 13.3488495 52.5565215, 13.3489714 52.5565872, 13.34908 52.556652, 13.34919 52.5567319, 13.3493006 52.5568244, 13.3494032 52.556926, 13.3494868 52.5570251, 13.3496271 52.5572116, 13.34969 52.5572777, 13.3498545 52.5574441, 13.3500793 52.5576351, 13.3502468 52.5577556, 13.3504498 52.5578853, 13.3509951 52.5582026, 13.3510607 52.5582413, 13.3511848 52.5583146, 13.3513197 52.5583992, 13.3513891 52.5584428, 13.3514462 52.5584786, 13.351488 52.558506, 13.3515161 52.5585244, 13.3519739 52.5588243, 13.3521149 52.5589167, 13.3526523 52.5592686)",,,,,,,,,
27177951,21537087,0,4581771,2,Barfusstraße,secondary,50,False,274.71999999999997,"LINESTRING (13.3479838 52.5561823, 13.3478654 52.5561056, 13.3478041 52.5560658, 13.3465926 52.5552806, 13.3462508 52.5550577, 13.3460303 52.5549139, 13.3457003 52.5546886, 13.345424 52.5545, 13.3453521 52.554454, 13.3452215 52.5543705)",,,,,,,,,
27177971,27177951,0,4581781,,Edinburger Straße,residential,30,False,466.7950000000001,"LINESTRING (13.353022 52.553312, 13.3528911 52.5533822, 13.3516244 52.5541037, 13.3499316 52.5550679, 13.3494455 52.5553504, 13.3488769 52.5556676, 13.3482166 52.5560482, 13.3481436 52.5560902, 13.3479838 52.5561823)",,,,,,,,,
27252639,142093067,0,5109517,2,Leo-Baeck-Straße,residential,30,False,188.624,"LINESTRING (13.2637859 52.4220635, 13.2639953 52.4220871, 13.2640706 52.4220956, 13.2645904 52.422159, 13.2648841 52.4222273, 13.2655957 52.4223291, 13.2657728 52.4223532, 13.2658178 52.4223568, 13.2658531 52.4223596, 13.2659934 52.4223655, 13.2661819 52.4223626, 13.2663286 52.4223675, 13.2665054 52.4223811)",,,,,,,,,
27252639,27452988,0,375930756,,Teltower Damm,secondary,50,False,601.64,"LINESTRING (13.2637859 52.4220635, 13.2638118 52.4219952, 13.2638246 52.4219617, 13.2638755 52.4218276, 13.2642713 52.4207421, 13.2646618 52.4196837, 13.2647261 52.4194973, 13.2647433 52.4194476, 13.26477 52.4193701, 13.2648211 52.419222, 13.2648668 52.4190837, 13.2649869 52.4187201, 13.2651651 52.4181806, 13.2652991 52.4177749, 13.265505 52.4171377, 13.2656305 52.4167714)",,,,,,,,,
27252639,27252619,0,"[375930756, 28819510]",3,Teltower Damm,secondary,50,False,853.729,"LINESTRING (13.2637859 52.4220635, 13.2637465 52.422166, 13.2637321 52.4222035, 13.263721 52.4222322, 13.2634289 52.4229636, 13.2633215 52.4232395, 13.2631809 52.4234908, 13.2631708 52.4235066, 13.2630544 52.4236881, 13.2629299 52.4238617, 13.2627377 52.4240795, 13.2626429 52.4241869, 13.2625032 52.4243453, 13.2623853 52.4244665, 13.2613563 52.4255245, 13.2609246 52.4260501, 13.2607173 52.4263692, 13.2606308 52.4264958, 13.2605122 52.4267373, 13.2604028 52.4269507, 13.2602933 52.4272493, 13.2601399 52.4278161, 13.2600443 52.4281931, 13.259974 52.4284708, 13.2599325 52.4286346, 13.2598858 52.4290727, 13.2598753 52.4291444, 13.2598564 52.4292614)",,,,,,,,,
27324702,31178993,0,"[462582784, 462582785, 4895108, 624268772, 171766020, 171767175, 740150059, 123102510]",,"['Kladower Damm', 'Alt-Kladow']","['tertiary', 'secondary']","['50', '30']",False,136.902,"LINESTRING (13.1443244 52.4543427, 13.1443053 52.4542499, 13.1442805 52.454144, 13.1442717 52.4541042, 13.1442401 52.4540472, 13.1441512 52.4538048, 13.1441303 52.4537229, 13.144094 52.4536407, 13.1440618 52.4535937, 13.1440591 52.4535898, 13.1440216 52.4535475, 13.143919 52.453456, 13.1438507 52.4534071, 13.1437161 52.4533296, 13.1436813 52.4533095, 13.1435456 52.4532656)",,,,,,,,,
27324702,414009349,0,"[354012617, 35321362]",,,path,,False,3609.6020000000003,"LINESTRING (13.1443244 52.4543427, 13.1444214 52.454337, 13.1444412 52.4544008, 13.144487 52.4544565, 13.1445491 52.4545389, 13.14479 52.4547932, 13.1449513 52.4548902, 13.1450505 52.4549342, 13.1452721 52.4550324, 13.1453338 52.4550597, 13.1457554 52.4552681, 13.1459991 52.4553885, 13.1461202 52.4554483, 13.1464991 52.4556355, 13.1469278 52.4558754, 13.1473368 52.4561043, 13.1477173 52.4563173, 13.1480312 52.4564831, 13.1487007 52.4568677, 13.1502108 52.4577128, 13.1512657 52.4582912, 13.1528146 52.4591738, 13.1539825 52.4598603, 13.1551664 52.4605326, 13.1559137 52.4609694, 13.1587019 52.4626003, 13.1587625 52.4626358, 13.1588156 52.4626668, 13.1624055 52.4647603, 13.1625408 52.4648576, 13.1630558 52.4652281, 13.163651 52.4657223, 13.165676 52.4673001, 13.166368 52.4678388, 13.1668801 52.4682024, 13.1694581 52.4703918, 13.1703584 52.4711215, 13.172109 52.4722819, 13.174768 52.4744431, 13.1768847 52.4762822, 13.1773247 52.4767522, 13.1781432 52.4774893, 13.1791041 52.4786334)",,,,,,,,,
27324702,5895007367,0,377481632,,,path,,False,42.529,"LINESTRING (13.1443244 52.4543427, 13.1441572 52.4543953, 13.1440459 52.4544043, 13.143889 52.4544378, 13.1437603 52.4544967)",,,,,,,,,
27374304,27374305,0,5363710,,Ringstraße,tertiary,50,False,66.773,"LINESTRING (13.3654606 52.4463174, 13.3663655 52.4460799)",,yes,,,,,,,
27374305,27374304,0,5363710,,Ringstraße,tertiary,50,False,66.773,"LINESTRING (13.3663655 52.4460799, 13.3654606 52.4463174)",,yes,,,,,,,
27378688,94483180,0,183256451,,Schappachstraße,unclassified,50,False,14.737,"LINESTRING (13.6253853 52.3895914, 13.6254941 52.3897061)",,,,,,,,,
27378688,21432472,0,"[70532928, 206903426, 511575459, 421209091, 355736434, 28925245, 157743391]","['1', '2']",Adlergestell,secondary,"['50', '70', '60']",True,1852.13,"LINESTRING (13.6253853 52.3895914, 13.6280407 52.3884388, 13.6294629 52.3878185, 13.6307562 52.3872431, 13.632553 52.386475, 13.6328539 52.386343, 13.6333371 52.3861274, 13.6335036 52.3860531, 13.6336186 52.3860004, 13.6349657 52.3851357, 13.6376058 52.3834249, 13.6387386 52.3826956, 13.6391817 52.3824102, 13.6393987 52.3822713, 13.6405784 52.3815144, 13.6429407 52.3799943, 13.6431681 52.3798335, 13.6433134 52.3797382, 13.6434725 52.3796365, 13.6436745 52.3795073, 13.6439352 52.3793406, 13.6440269 52.3792778, 13.6440568 52.3792565, 13.644316 52.3790664, 13.644557 52.3788897, 13.6447274 52.3787641, 13.6447708 52.3787362, 13.6451252 52.3784728, 13.6451658 52.3784437, 13.6453192 52.3783337)",,,,,,,,,
27431838,6238212997,0,666317537,6,Columbiadamm,secondary,50,False,40.133,"LINESTRING (13.3943511 52.483955, 13.3941781 52.4839698, 13.3940782 52.4839811, 13.3938351 52.484022, 13.3937749 52.4840355)",,,,,,,,,
27452691,1632277132,0,243461323,3,Dahlemer Weg,secondary,50,False,71.841,"LINESTRING (13.2797126 52.4324283, 13.2797837 52.4325792, 13.2798003 52.4326145, 13.280005 52.4330493)",,,,,,,,,
27452691,1897741151,0,30243680,,Mühlenstraße,tertiary,50,False,16.302,"LINESTRING (13.2797126 52.4324283, 13.27954 52.4323834, 13.2794914 52.4323708)",,,,,,,,,
