u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,ref,bridge,tunnel,junction,width,access,service
125423,5194778938,0,542162305,False,Strandvænget,tertiary,50,8.602,"LINESTRING (12.5832005 55.7166392, 12.5831297 55.7166308, 12.5830672 55.7166208)",,,,,,,,
125427,20927562,0,1715110,False,Strandøre,tertiary,40,29.61,"LINESTRING (12.5773485 55.7216643, 12.5775721 55.7216311, 12.5777882 55.7215703)",,,,,,,,
125427,2119637691,0,201965314,True,Strandvejen,tertiary,50,170.034,"LINESTRING (12.5773485 55.7216643, 12.577204 55.7215159, 12.5771597 55.7210195, 12.5771489 55.7209399, 12.5771339 55.7207864, 12.5771156 55.7206006, 12.5770885 55.7203444, 12.5770677 55.7201582)",,,,,,,,
125427,20929952,0,298775710,False,Strandvejen,tertiary,50,99.87299999999999,"LINESTRING (12.5773485 55.7216643, 12.5773651 55.7217657, 12.5774894 55.7221908, 12.5776212 55.7225487)",5,,,,,,,
125429,716767714,0,2862,True,,tertiary,50,12.046,"LINESTRING (12.5762806 55.7267568, 12.5760897 55.7267434)",2,,,,,,,
125429,26013970,0,"[809709817, 57775959]",True,Strandvejen,secondary,50,83.164,"LINESTRING (12.5762806 55.7267568, 12.5762491 55.726802, 12.5762182 55.7268591, 12.5760936 55.7271067, 12.5760419 55.7272083, 12.5760077 55.7272792, 12.5759252 55.7273724, 12.5758474 55.7274612)",,152,,,,,,
125437,4519617500,0,741986463,False,Lersø Parkallé,tertiary,60,9.828,"LINESTRING (12.5426878 55.719964, 12.542767 55.7198877)",,,,,,,,
125437,458733438,0,455570577,True,Tuborgvej,primary,50,50.803000000000004,"LINESTRING (12.5426878 55.719964, 12.5424162 55.7198402, 12.5423042 55.7197997, 12.5422097 55.7197655, 12.5420459 55.7196859)",2,O2,,,,,,
125439,26490999,0,161868037,False,Tuborgvej,primary,50,48.741,"LINESTRING (12.5404786 55.7190442, 12.540657 55.7192056, 12.540832 55.7193134, 12.5409678 55.7193811)",4,O2,,,,,,
125439,17852690,0,161868037,False,Tuborgvej,primary,50,286.46700000000004,"LINESTRING (12.5404786 55.7190442, 12.5401334 55.7186428, 12.5398035 55.7182592, 12.5387464 55.7170239, 12.538718 55.7169957, 12.5385706 55.7168492, 12.538521 55.7168092, 12.5384396 55.7167399)",4,O2,,,,,,
125439,26490991,0,"[793157370, 4349662]",True,Bispebjerg Parkallé,residential,50,114.529,"LINESTRING (12.5404786 55.7190442, 12.5398764 55.7192705, 12.5398562 55.7192781, 12.5396414 55.7193658, 12.5395015 55.7194166, 12.5392681 55.7194967, 12.538947 55.7196062)",,,,,,,,
125442,3835639402,0,743336518,False,Tagensvej,tertiary,50,17.55,"LINESTRING (12.5351605 55.7133872, 12.5350268 55.7135259)",4,,,,,,,
125442,26237008,0,"[455570576, 455570571]",True,Tuborgvej,primary,50,111.036,"LINESTRING (12.5351605 55.7133872, 12.5352949 55.7135708, 12.5353898 55.7137005, 12.5357704 55.7142206, 12.5358361 55.7143104)","['3', '2']",O2,,,,,,
125442,26237009,0,742654119,False,Tagensvej,tertiary,50,194.913,"LINESTRING (12.5351605 55.7133872, 12.5352789 55.7132506, 12.535732 55.712748, 12.5359013 55.7125593, 12.5360295 55.7124164, 12.5361657 55.712261, 12.5365524 55.7118195)",4,,,,,,,
