u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,width,junction,tunnel,service,area
26489385,5340622439,0,158179232,False,4,Tagensvej,tertiary,50,40.61,"LINESTRING (12.5329931 55.7153544, 12.5334055 55.7150726)",,,,,,,,
26489385,26490147,0,158179232,False,4,Tagensvej,tertiary,50,24.143,"LINESTRING (12.5329931 55.7153544, 12.5327276 55.7155118)",,,,,,,,
26490146,20839567,0,158179232,False,4,Tagensvej,tertiary,50,35.598,"LINESTRING (12.533832 55.7147447, 12.5341404 55.7144758)",,,,,,,,
26490146,5340622439,0,158179232,False,4,Tagensvej,tertiary,50,45.2,"LINESTRING (12.533832 55.7147447, 12.5334055 55.7150726)",,,,,,,,
26490147,26489385,0,158179232,False,4,Tagensvej,tertiary,50,24.143,"LINESTRING (12.5327276 55.7155118, 12.5329931 55.7153544)",,,,,,,,
26490147,20839569,0,158179232,False,4,Tagensvej,tertiary,50,51.68,"LINESTRING (12.5327276 55.7155118, 12.5321404 55.7158383)",,,,,,,,
26490148,6964489148,0,158179232,False,4,Tagensvej,tertiary,50,10.193,"LINESTRING (12.5316044 55.7160892, 12.5317294 55.7160305)",,,,,,,,
26490148,1754665142,0,4349533,True,,Tagensvej,tertiary,50,9.106,"LINESTRING (12.5316044 55.7160892, 12.5315023 55.7161475)",,,,,,,,
26490149,17852689,0,3609429,False,,Bispebjergvej,tertiary,50,63.327,"LINESTRING (12.5323446 55.7178811, 12.5314351 55.7181299)",,,,,,,,
26490149,26490150,0,3609429,False,,Bispebjergvej,tertiary,50,26.094,"LINESTRING (12.5323446 55.7178811, 12.5327271 55.7177881)",,,,,,,,
26490150,26490149,0,3609429,False,,Bispebjergvej,tertiary,50,26.094,"LINESTRING (12.5327271 55.7177881, 12.5323446 55.7178811)",,,,,,,,
26490150,26490151,0,3609429,False,,Bispebjergvej,tertiary,50,60.027,"LINESTRING (12.5327271 55.7177881, 12.5336272 55.7176027)",,,,,,,,
26490151,26490150,0,3609429,False,,Bispebjergvej,tertiary,50,60.027,"LINESTRING (12.5336272 55.7176027, 12.5327271 55.7177881)",,,,,,,,
26490151,26490152,0,3609429,False,,Bispebjergvej,tertiary,50,25.62,"LINESTRING (12.5336272 55.7176027, 12.5340102 55.7175218)",,,,,,,,
26490152,26490151,0,3609429,False,,Bispebjergvej,tertiary,50,25.62,"LINESTRING (12.5340102 55.7175218, 12.5336272 55.7176027)",,,,,,,,
26490152,26490153,0,3609429,False,,Bispebjergvej,tertiary,50,23.111,"LINESTRING (12.5340102 55.7175218, 12.5343605 55.7174565)",,,,,,,,
26490153,26490152,0,3609429,False,,Bispebjergvej,tertiary,50,23.111,"LINESTRING (12.5343605 55.7174565, 12.5340102 55.7175218)",,,,,,,,
26490153,3634600806,0,3609429,False,,Bispebjergvej,tertiary,50,19.419,"LINESTRING (12.5343605 55.7174565, 12.5346574 55.7174062)",,,,,,,,
26490154,3634600806,0,3609429,False,,Bispebjergvej,tertiary,50,43.016,"LINESTRING (12.5353151 55.7172948, 12.5346574 55.7174062)",,,,,,,,
26490154,26490155,0,3609429,False,,Bispebjergvej,tertiary,50,49.146,"LINESTRING (12.5353151 55.7172948, 12.536059 55.7171542)",,,,,,,,
26490155,26490154,0,3609429,False,,Bispebjergvej,tertiary,50,49.146,"LINESTRING (12.536059 55.7171542, 12.5353151 55.7172948)",,,,,,,,
26490155,26490156,0,3609429,False,,Bispebjergvej,tertiary,50,15.123,"LINESTRING (12.536059 55.7171542, 12.5362883 55.7171116)",,,,,,,,
26490156,26490155,0,3609429,False,,Bispebjergvej,tertiary,50,15.123,"LINESTRING (12.5362883 55.7171116, 12.536059 55.7171542)",,,,,,,,
26490156,26490157,0,3609429,False,,Bispebjergvej,tertiary,50,26.483,"LINESTRING (12.5362883 55.7171116, 12.5366906 55.7170383)",,,,,,,,
26490157,26490156,0,3609429,False,,Bispebjergvej,tertiary,50,26.483,"LINESTRING (12.5366906 55.7170383, 12.5362883 55.7171116)",,,,,,,,
26490157,26490158,0,3609429,False,,Bispebjergvej,tertiary,50,37.612,"LINESTRING (12.5366906 55.7170383, 12.5372623 55.7169348)",,,,,,,,
26490158,26490157,0,3609429,False,,Bispebjergvej,tertiary,50,37.612,"LINESTRING (12.5372623 55.7169348, 12.5366906 55.7170383)",,,,,,,,
26490158,1054587426,0,3609429,False,,Bispebjergvej,tertiary,50,38.541,"LINESTRING (12.5372623 55.7169348, 12.5378558 55.7168433)",,,,,,,,
26490225,1738271098,0,8120078,False,4,Tuborgvej,primary,50,53.487,"LINESTRING (12.5372838 55.7158477, 12.5377772 55.7162403)",O2,,,,,,,
26490225,3835639571,0,455570570,True,2,Tuborgvej,primary,50,24.827,"LINESTRING (12.5372838 55.7158477, 12.5370256 55.7156783)",O2,,,,,,,
26490999,4519617495,0,161868037,False,4,Tuborgvej,primary,50,12.737,"LINESTRING (12.5409678 55.7193811, 12.5411321 55.7194486)",O2,,,,,,,
26490999,1585537124,0,161868037,False,4,Tuborgvej,primary,50,11.358,"LINESTRING (12.5409678 55.7193811, 12.540832 55.7193134)",O2,,,,,,,
26492937,458733441,0,161868037,False,4,Tuborgvej,primary,50,8.045,"LINESTRING (12.5415256 55.7195594, 12.5416439 55.7195876)",O2,,,,,,,
26492937,7130882742,0,161868037,False,4,Tuborgvej,primary,50,12.872,"LINESTRING (12.5415256 55.7195594, 12.5413389 55.719511)",O2,,,,,,,
26492944,458733438,0,455570577,True,2,Tuborgvej,primary,50,13.549,"LINESTRING (12.5422097 55.7197655, 12.5420459 55.7196859)",O2,,,,,,,
26492951,7126682074,0,27116543,False,2,Emdrupvej,tertiary,50,6.319,"LINESTRING (12.5396158 55.7227159, 12.5395149 55.7227167)",,,,,,,,
26492951,26237013,0,38704187,False,2,Emdrupvej,tertiary,50,44.111,"LINESTRING (12.5396158 55.7227159, 12.5403201 55.7227102)",,yes,,,,,,
26492969,1054587508,0,27116543,False,2,Emdrupvej,tertiary,50,26.056,"LINESTRING (12.5353705 55.7228482, 12.5349606 55.7228884)",,,,,,,,
26492969,26506930,0,27116543,False,2,Emdrupvej,tertiary,50,17.334,"LINESTRING (12.5353705 55.7228482, 12.5356446 55.7228265)",,,,,,,,
26492970,7126682070,0,27116543,False,2,Emdrupvej,tertiary,50,12.753,"LINESTRING (12.5341377 55.72293, 12.5339344 55.7229367)",,,,,,,,
26492970,26506929,0,27116543,False,2,Emdrupvej,tertiary,50,22.701,"LINESTRING (12.5341377 55.72293, 12.5344987 55.7229115)",,,,,,,,
26492971,6174509858,0,27116543,False,2,Emdrupvej,tertiary,50,37.886,"LINESTRING (12.5330265 55.7229658, 12.532423 55.7229895)",,,,,,,,
26492971,26506928,0,27116543,False,2,Emdrupvej,tertiary,50,13.92,"LINESTRING (12.5330265 55.7229658, 12.5332485 55.7229595)",,,,,,,,
26492972,4690617152,0,27116543,False,2,Emdrupvej,tertiary,50,77.587,"LINESTRING (12.5319066 55.7230084, 12.5306702 55.723053)",,,,,,,,
26492972,86730176,0,27116543,False,2,Emdrupvej,tertiary,50,4.863,"LINESTRING (12.5319066 55.7230084, 12.5319842 55.7230068)",,,,,,,,
26492973,5340621799,0,163788523,False,,Frederiksborgvej,tertiary,50,27.268,"LINESTRING (12.5309472 55.7209598, 12.5306891 55.7211573)",,,,,,,,
26492973,289781134,0,163788523,False,,Frederiksborgvej,tertiary,50,23.66,"LINESTRING (12.5309472 55.7209598, 12.5311626 55.720785)",,,,,,,,
26492975,373018170,0,163788523,False,,Frederiksborgvej,tertiary,50,53.524,"LINESTRING (12.5295827 55.722229, 12.5298761 55.7217769)",,,,,,,,
26492975,17345263,0,516981909,False,,Frederiksborgvej,tertiary,50,23.282,"LINESTRING (12.5295827 55.722229, 12.5294875 55.7224314)",,,,,,,,
26506928,26492971,0,27116543,False,2,Emdrupvej,tertiary,50,13.92,"LINESTRING (12.5332485 55.7229595, 12.5330265 55.7229658)",,,,,,,,
26506928,7126682070,0,27116543,False,2,Emdrupvej,tertiary,50,43.029,"LINESTRING (12.5332485 55.7229595, 12.5339344 55.7229367)",,,,,,,,
26506929,26492970,0,27116543,False,2,Emdrupvej,tertiary,50,22.701,"LINESTRING (12.5344987 55.7229115, 12.5341377 55.72293)",,,,,,,,
26506929,7126682072,0,27116543,False,2,Emdrupvej,tertiary,50,13.021,"LINESTRING (12.5344987 55.7229115, 12.5347058 55.7229011)",,,,,,,,
26506930,26492969,0,27116543,False,2,Emdrupvej,tertiary,50,17.334,"LINESTRING (12.5356446 55.7228265, 12.5353705 55.7228482)",,,,,,,,
26506930,1054587521,0,27116543,False,2,Emdrupvej,tertiary,50,71.754,"LINESTRING (12.5356446 55.7228265, 12.5367838 55.7227575)",,,,,,,,
26506931,1054587521,0,27116543,False,2,Emdrupvej,tertiary,50,22.268,"LINESTRING (12.5371386 55.7227442, 12.5367838 55.7227575)",,,,,,,,
26506931,1054587479,0,27116543,False,2,Emdrupvej,tertiary,50,29.915,"LINESTRING (12.5371386 55.7227442, 12.5376159 55.7227333)",,,,,,,,
