u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
7732632127,1769090985,0,32800244,False,,,,footway,,4,2.772,"LINESTRING (-71.07520270000001 42.3564822, -71.0752147 42.3564589)",,,,
7732632128,7718943186,0,242536777,False,,,,footway,,4,8.322,"LINESTRING (-71.07583769999999 42.3565305, -71.0759139 42.3564812)",,,,
7732632128,322648032,0,242536777,False,,,,footway,,4,8.157,"LINESTRING (-71.07583769999999 42.3565305, -71.0757674 42.3565823)",,,,
7732632129,699590339,0,29328207,False,,,,footway,,4,6.818,"LINESTRING (-71.0759771 42.3563814, -71.0758955 42.3563703)",,,,
7732632129,322648033,0,29328207,False,,,,footway,,4,4.861,"LINESTRING (-71.0759771 42.3563814, -71.0760331 42.3563955)",,,,
7732632130,7574271692,0,29328207,False,,,,footway,,4,10.753,"LINESTRING (-71.0757637 42.3563583, -71.0756336 42.3563479)",,,,
7732632130,699590339,0,29328207,False,,,,footway,,4,10.912,"LINESTRING (-71.0757637 42.3563583, -71.0758955 42.3563703)",,,,
7732632131,322650468,0,32800244,False,,,,footway,,4,7.99,"LINESTRING (-71.0754438 42.3562722, -71.0753809 42.356327)",,,,
7732632131,699590337,0,32800244,False,,,,footway,,4,9.454,"LINESTRING (-71.0754438 42.3562722, -71.0755231 42.3562106)",,,,
7732632132,1769090952,0,32800244,False,,,,footway,,4,5.598,"LINESTRING (-71.07566610000001 42.3561282, -71.0756105 42.3561573)",,,,
7732632132,369609429,0,32800244,False,,,,footway,,4,7.928,"LINESTRING (-71.07566610000001 42.3561282, -71.0757473 42.3560897)",,,,
7732632133,7718943168,0,32800244,False,,,,footway,,4,7.393,"LINESTRING (-71.07598419999999 42.3559997, -71.07590209999999 42.3560269)",,,,
7732632133,1769090940,0,32800244,False,,,,footway,,4,9.27,"LINESTRING (-71.07598419999999 42.3559997, -71.07608860000001 42.3559681)",,,,
7732632134,322649436,0,29328066,False,,,,footway,,4,4.055,"LINESTRING (-71.0776748 42.3557839, -71.0776338 42.3558042)",,,,yes
7732632134,322649434,0,29328066,False,,,,footway,,4,2.713,"LINESTRING (-71.0776748 42.3557839, -71.0777046 42.3557734)",,,,yes
7732632135,322648038,0,242536777,False,,,,footway,,4,14.864,"LINESTRING (-71.07650870000001 42.3562289, -71.0766782 42.3561822)",,,,
7732632135,7732632136,0,242536777,False,,,,footway,,4,9.316,"LINESTRING (-71.07650870000001 42.3562289, -71.076403 42.3562592)",,,,
7732632136,7732632135,0,242536777,False,,,,footway,,4,9.316,"LINESTRING (-71.076403 42.3562592, -71.07650870000001 42.3562289)",,,,
7732632136,322648034,0,242536777,False,,,,footway,,4,9.606,"LINESTRING (-71.076403 42.3562592, -71.07629660000001 42.356295)",,,,
7732632137,322648034,0,242536777,False,,,,footway,,4,11.735,"LINESTRING (-71.0761684 42.3563415, -71.07629660000001 42.356295)",,,,
7732632137,322648033,0,242536777,False,,,,footway,,4,12.635,"LINESTRING (-71.0761684 42.3563415, -71.0760331 42.3563955)",,,,
7732632138,7847744368,0,242536777,False,,,,footway,,4,3.594,"LINESTRING (-71.0759812 42.3564396, -71.0760102 42.3564154)",,,,
7732632138,7718943186,0,242536777,False,,,,footway,,4,7.21,"LINESTRING (-71.0759812 42.3564396, -71.0759139 42.3564812)",,,,
7732632139,322648032,0,242536777,False,,,,footway,,4,7.772,"LINESTRING (-71.07570200000001 42.3566328, -71.0757674 42.3565823)",,,,
7732632139,322650446,0,242536777,False,,,,footway,,4,8.281,"LINESTRING (-71.07570200000001 42.3566328, -71.0756348 42.3566883)",,,,
7732632140,7662617734,0,32800244,False,,,,footway,,4,5.0,"LINESTRING (-71.0777363 42.3555158, -71.0776765 42.3555241)",,,,
7732632140,7732632141,0,32800244,False,,,,footway,,4,5.145,"LINESTRING (-71.0777363 42.3555158, -71.0777989 42.3555147)",,,,
7732632141,7732632140,0,32800244,False,,,,footway,,4,5.145,"LINESTRING (-71.0777989 42.3555147, -71.0777363 42.3555158)",,,,
7732632141,7732632142,0,32800244,False,,,,footway,,4,4.059,"LINESTRING (-71.0777989 42.3555147, -71.0778483 42.3555148)",,,,
7732632142,7732632141,0,32800244,False,,,,footway,,4,4.059,"LINESTRING (-71.0778483 42.3555148, -71.0777989 42.3555147)",,,,
7732632142,369609419,0,32800244,False,,,,footway,,4,5.56,"LINESTRING (-71.0778483 42.3555148, -71.0779158 42.3555183)",,,,
7732632143,369609419,0,32800244,False,,,,footway,,4,8.319,"LINESTRING (-71.0780139 42.3555368, -71.0779158 42.3555183)",,,,
7732632143,369609418,0,32800244,False,,,,footway,,4,9.817,"LINESTRING (-71.0780139 42.3555368, -71.0781266 42.3555661)",,,,
7732632144,7732632145,0,29380673,False,,,,footway,,4,3.483,"LINESTRING (-71.08125440000001 42.3545096, -71.0812803 42.3545344)",,,,
7732632144,321505285,0,29380673,False,,,,footway,,4,5.177,"LINESTRING (-71.08125440000001 42.3545096, -71.0812248 42.3544685)",,,,
7732632145,7574270479,0,29380673,False,,,,footway,,4,3.268,"LINESTRING (-71.0812803 42.3545344, -71.0813062 42.3545567)",,,,
7732632145,7732632144,0,29380673,False,,,,footway,,4,3.483,"LINESTRING (-71.0812803 42.3545344, -71.08125440000001 42.3545096)",,,,
7732632146,322647448,0,29380673,False,,,,footway,,4,4.076,"LINESTRING (-71.08149210000001 42.3546668, -71.08153950000001 42.3546776)",,,,
7732632146,7574270482,0,29380673,False,,,,footway,,4,4.055,"LINESTRING (-71.08149210000001 42.3546668, -71.08144830000001 42.35465)",,,,
7732632147,7574270476,0,820802433,False,,,,footway,,4,5.527,"LINESTRING (-71.0817467 42.3546888, -71.08181380000001 42.3546854)",,,,
