u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,tunnel,bridge,service,access
64060344,64057693,0,"[8842467, 48920805, 8842476, 8842480, 8842463]",False,,,Jamaicaway Bikepath,cycleway,,,2278.3150000000005,"LINESTRING (-71.12097 42.313853, -71.120904 42.313847, -71.12080640000001 42.3138484, -71.120333 42.31391, -71.1201519 42.3139233, -71.120076 42.3139187, -71.11999900000001 42.3139178, -71.119923 42.3139201, -71.119845 42.3139277, -71.11980370000001 42.3139327, -71.1197434 42.3139401, -71.1196814 42.3139537, -71.119602 42.3139739, -71.1195366 42.3139908, -71.1194948 42.3140044, -71.118627 42.314708, -71.118126 42.315088, -71.11735299999999 42.315487, -71.11723139999999 42.3155718, -71.11719429999999 42.3156437, -71.1171604 42.3157094, -71.116933 42.31615, -71.116876 42.317615, -71.116699 42.318264, -71.11662200000001 42.31845, -71.116677 42.318662, -71.11687569999999 42.3189182, -71.1171415 42.3192238, -71.1172753 42.3194525, -71.1173115 42.3195838, -71.11732069999999 42.3197795, -71.1172528 42.3200092, -71.1171283 42.3201775, -71.1170645 42.3202638, -71.11689200000001 42.3205562, -71.11675339999999 42.3208525, -71.1167768 42.3209525, -71.1167961 42.3210351, -71.1167968 42.3210828, -71.116792 42.321138, -71.11691 42.321506, -71.117009 42.322006, -71.11700500000001 42.322397, -71.11694799999999 42.32259, -71.116782 42.322792, -71.116603 42.322933, -71.11624 42.323063, -71.115528 42.323339, -71.115247 42.323531, -71.115005 42.32402, -71.114808 42.324435, -71.114807 42.324436, -71.11476500000001 42.324488, -71.11474800000001 42.3245191, -71.11470799999999 42.324557, -71.11447099999999 42.324801, -71.114222 42.324955, -71.113879 42.325114, -71.113522 42.325358, -71.113432 42.325528, -71.113326 42.326149, -71.113191 42.326436, -71.112921 42.326949, -71.112825 42.327123, -71.112646 42.327353, -71.112441 42.327564, -71.11223 42.327936, -71.112126 42.328279, -71.112078 42.328807, -71.11215799999999 42.329175, -71.112246 42.329439, -71.11248500000001 42.329713, -71.112996 42.330332, -71.11311600000001 42.33046, -71.113236 42.330559, -71.11331800000001 42.330616, -71.11342500000001 42.330715)",,,,
64060658,5814599479,0,8814108,False,2,,Riverdale Parkway Bikepath,cycleway,,12.2,62.669000000000004,"LINESTRING (-71.1159948 42.326222, -71.1155789 42.3265532, -71.1155212 42.3266564)",,,,
64063937,1809524231,0,834362476,False,,,,footway,,4,69.929,"LINESTRING (-71.0728987 42.3611601, -71.0729437 42.3611086, -71.07297370000001 42.3610738, -71.07299020000001 42.3610319, -71.0729985 42.3609862, -71.0729979 42.3609316, -71.07299879999999 42.3608779, -71.0730056 42.3608319, -71.0730222 42.3607814, -71.0730416 42.3607246, -71.0730477 42.3606997, -71.07305169999999 42.3606718, -71.0730473 42.3606099, -71.0730421 42.3605873, -71.0730307 42.3605552)",,,,
64063937,1629873691,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,47.89,"LINESTRING (-71.0728987 42.3611601, -71.07289129999999 42.361245, -71.0728656 42.3613879, -71.0728395 42.3615008, -71.0728311 42.3615875)",,,,
64063937,1629873678,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,40.577000000000005,"LINESTRING (-71.0728987 42.3611601, -71.07290500000001 42.3610724, -71.0729029 42.3609927, -71.0728968 42.36094, -71.0728862 42.360904, -71.0728592 42.3608533, -71.0728256 42.3608063)",,,,
64064005,1769090894,0,"[822706216, 165358918, 828185862]",False,,,,footway,,4,24.093,"LINESTRING (-71.0774577 42.355274, -71.0774861 42.3553253, -71.0775234 42.3554014, -71.0775608 42.3554768)",,yes,,
64064005,322648366,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,236.35399999999998,"LINESTRING (-71.0774577 42.355274, -71.07733349999999 42.3553101, -71.07700800000001 42.3554034, -71.07664920000001 42.3554945, -71.0764466 42.3555549, -71.0762718 42.3556034, -71.0760693 42.3556598, -71.0759317 42.3556994, -71.07579250000001 42.3557447, -71.075698 42.3557751, -71.0756143 42.3558078, -71.0755118 42.3558525, -71.07541380000001 42.355904, -71.07528569999999 42.3559772, -71.0751638 42.3560537, -71.0750523 42.3561272, -71.0749572 42.356193, -71.0749162 42.3562195)",,,,
64064005,321505283,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,322.806,"LINESTRING (-71.0774577 42.355274, -71.0776357 42.3552288, -71.0778955 42.3551635, -71.0781506 42.3550971, -71.0784477 42.3550158, -71.0787287 42.354942, -71.078999 42.3548682, -71.0791713 42.3548241, -71.0792962 42.3547876, -71.0793927 42.3547604, -71.07958360000001 42.3547071, -71.0797312 42.3546681, -71.07996799999999 42.3546028, -71.08003359999999 42.3545859, -71.08008239999999 42.3545706, -71.08018130000001 42.3545401, -71.08021069999999 42.3545301, -71.0802419 42.3545185, -71.08029089999999 42.3544992, -71.08032729999999 42.3544823, -71.080361 42.3544663, -71.08038860000001 42.3544516, -71.0804201 42.354434, -71.08048890000001 42.3543957, -71.0805596 42.3543631, -71.08068780000001 42.3543065, -71.08073570000001 42.354286, -71.0809058 42.3542089, -71.0809793 42.3541727, -71.08105070000001 42.3541352)",,,,
64064005,1769090890,0,828185861,False,1,,,track,10 mph,3.5,29.252000000000002,"LINESTRING (-71.0774577 42.355274, -71.077429 42.3552177, -71.07733229999999 42.3550278)",,,,no
64065131,64065172,0,"[832387225, 98384166, 8842602, 97836633, 832387226]",False,,,,cycleway,,3.1,204.065,"LINESTRING (-71.0740201 42.3561801, -71.0739823 42.3561866, -71.0739437 42.3561907, -71.07390789999999 42.3561931, -71.0738704 42.3561955, -71.0738358 42.356196, -71.0738017 42.356195, -71.0737805 42.3561916, -71.07376739999999 42.3561828, -71.0737634 42.356177, -71.0737623 42.3561681, -71.0737646 42.3561615, -71.0737699 42.3561557, -71.0737792 42.3561525, -71.0737914 42.3561513, -71.07380910000001 42.3561513, -71.07383 42.3561513, -71.07385669999999 42.3561505, -71.07388349999999 42.3561482, -71.07391440000001 42.3561452, -71.07399359999999 42.3561338, -71.0740052 42.3561336, -71.0740153 42.3561369, -71.07402039999999 42.3561425, -71.0740199 42.3561509, -71.07401350000001 42.3561571, -71.074003 42.3561606, -71.07398910000001 42.3561636, -71.07394960000001 42.3561693, -71.0739049 42.3561733, -71.0738551 42.3561769, -71.07380980000001 42.3561783, -71.073768 42.3561778, -71.07372479999999 42.3561762, -71.0736699 42.3561723, -71.0736201 42.3561672, -71.07358000000001 42.3561607, -71.0735686 42.3561588, -71.07351800000001 42.3561487, -71.0734738 42.3561371, -71.07342010000001 42.3561205, -71.07336479999999 42.3561011, -71.0733096 42.356078, -71.0732521 42.3560508, -71.07320249999999 42.3560229, -71.0731526 42.3559923, -71.0731024 42.3559537, -71.0730666 42.3559218, -71.073032 42.3558875, -71.07300170000001 42.3558538, -71.0729757 42.3558221, -71.0729523 42.3557905, -71.0729305 42.3557565, -71.07292529999999 42.3557462, -71.0729245 42.3557382, -71.0729274 42.3557316, -71.0729352 42.3557279, -71.0729432 42.3557277, -71.0729503 42.3557306, -71.07295790000001 42.3557385, -71.0729695 42.3557562, -71.0729803 42.3557724, -71.0729948 42.3557917, -71.07301390000001 42.3558153, -71.0730344 42.3558398, -71.07305359999999 42.3558614, -71.07306490000001 42.3558766, -71.0730664 42.3558908, -71.0730629 42.3558936, -71.0730533 42.3558991, -71.07304019999999 42.3559016, -71.0730295 42.3558993, -71.0730191 42.3558932, -71.0730078 42.3558837, -71.0729877 42.355861, -71.0729678 42.3558369, -71.0729473 42.3558098, -71.0729314 42.3557863, -71.07290810000001 42.3557519)",,yes,,
