u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,ref,width,tunnel,service
81922417,7153016000,0,122412701,True,La Pampa,tertiary,30,43.964,"LINESTRING (-58.4789665 -34.5791225, -58.4785735 -34.5788953)",,,,,,,,
82527693,191896546,0,534852685,True,Otero,residential,20,108.081,"LINESTRING (-58.4523555 -34.5930621, -58.4532449 -34.5924228)",,,,,,,,
82528273,81905032,0,534852701,True,Almirante Francisco José Seguí,residential,20,124.272,"LINESTRING (-58.4611297 -34.5976971, -58.4607888 -34.5966153)",,,,,,,,
82528276,4480310917,0,534852700,True,General Manuel A. Rodríguez,residential,20,11.827,"LINESTRING (-58.4565979 -34.5986922, -58.4567157 -34.5986485)",,,,,,,,
82529569,82530013,0,92408039,True,Tres Arroyos,residential,30,113.162,"LINESTRING (-58.4505871 -34.603536, -58.4515746 -34.6041484)",,,,,,,,
82529569,195937427,0,533680264,True,Rojas,residential,20,148.781,"LINESTRING (-58.4505871 -34.603536, -58.4496179 -34.6046102)",,,,,,,,
82530013,199456325,0,92408039,True,Tres Arroyos,residential,30,113.139,"LINESTRING (-58.4515746 -34.6041484, -58.4525606 -34.6047621)",,,,,,,,
82530311,4896242054,0,128829587,True,Nicasio Oroño,residential,30,94.698,"LINESTRING (-58.4603396 -34.6000967, -58.4605896 -34.6009231)",,,,,,,,
82532188,82532189,0,472825677,True,Cucha Cucha,residential,30,137.395,"LINESTRING (-58.4606501 -34.6011229, -58.4591972 -34.6014336)",1,,,,,,,
82532189,82532190,0,308485309,True,Cucha Cucha,residential,30,158.631,"LINESTRING (-58.4591972 -34.6014336, -58.4575195 -34.6017916)",1,,,,,,,
82532190,82532191,0,308485309,True,Cucha Cucha,residential,30,48.993,"LINESTRING (-58.4575195 -34.6017916, -58.4569997 -34.6018968)",1,,,,,,,
82532191,3077545866,0,226320708,True,Cucha Cucha,residential,30,7.04,"LINESTRING (-58.4569997 -34.6018968, -58.4569278 -34.6019193)",1,,,,,,,
82566021,82567153,0,165274506,True,Bauness,residential,30,144.693,"LINESTRING (-58.4750035 -34.5890085, -58.474053 -34.5900482)",2,,,,,,,
82567030,3632329665,0,535263657,True,Quirós,residential,20,78.284,"LINESTRING (-58.4759619 -34.589746, -58.4765866 -34.5902268)",2,,,,,,,
82567153,488783442,0,75022670,False,Bauness,residential,30,111.729,"LINESTRING (-58.474053 -34.5900482, -58.4733 -34.590839)",,,,,,,,
82572925,4080758998,0,534848143,True,Echeverría,residential,20,34.783,"LINESTRING (-58.4800873 -34.5784022, -58.4804063 -34.5785721)",2,,,,,,,
82573148,2151513479,0,135717659,True,Juramento,residential,20,14.527,"LINESTRING (-58.4794441 -34.5752742, -58.4795701 -34.5753536)",,,,,,,,
82575302,82671887,0,238814136,True,Ceretti,residential,30,137.886,"LINESTRING (-58.4906444 -34.5811551, -58.4898366 -34.5822017)",,,,,,,,
