u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,access,bridge,junction,tunnel
4566219499,5177405324,0,463680549,False,Ciclovía del Libertador,cycleway,,14.295,"LINESTRING (-58.4230883 -34.5709478, -58.4229499 -34.5710073)",,,,,,
4566219499,1125823269,0,463680549,False,Ciclovía del Libertador,cycleway,,12.505,"LINESTRING (-58.4230883 -34.5709478, -58.4232094 -34.5708958)",,,,,,
4566219515,4574356255,0,463680549,False,Ciclovía del Libertador,cycleway,,28.645,"LINESTRING (-58.4225883 -34.5711608, -58.4223102 -34.5712788)",,,,,,
4566219515,1074582199,0,463680549,False,Ciclovía del Libertador,cycleway,,34.027,"LINESTRING (-58.4225883 -34.5711608, -58.4229187 -34.5710207)",,,,,,
4567618580,1038868199,0,165273452,False,Bicisenda Interparques (Sector Norte),cycleway,,11.852,"LINESTRING (-58.4887612 -34.551882, -58.4886569 -34.5518189)",,,,,,
4567618580,1038868192,0,165273452,False,Bicisenda Interparques (Sector Norte),cycleway,,6.779,"LINESTRING (-58.4887612 -34.551882, -58.4888348 -34.5518755)",,,,,,
4567709240,4571250902,0,463680556,False,Ciclovía del Libertador,cycleway,,81.986,"LINESTRING (-58.4002937 -34.5822191, -58.3994674 -34.5825034)",,,,,,
4567709240,3126885706,0,463680556,False,Ciclovía del Libertador,cycleway,,87.229,"LINESTRING (-58.4002937 -34.5822191, -58.4011871 -34.5819464)",,,,,,
4567912959,4567912963,0,97912206,False,Senderos para ciclistas,cycleway,,10.778,"LINESTRING (-58.4204296 -34.5658691, -58.4204636 -34.5657763)",,,,,,
4567912959,1074582257,0,97912206,False,Senderos para ciclistas,cycleway,,9.682,"LINESTRING (-58.4204296 -34.5658691, -58.4204536 -34.5659539)",,,,,,
4567912960,1074582076,0,97912206,False,Senderos para ciclistas,cycleway,,149.087,"LINESTRING (-58.4231123 -34.5697846, -58.4221292 -34.5687158)",,,,,,
4567912960,1125823257,0,97912206,False,Senderos para ciclistas,cycleway,,89.97,"LINESTRING (-58.4231123 -34.5697846, -58.4237929 -34.5703682)",,,,,,
4567912963,4567912964,0,97912206,False,Senderos para ciclistas,cycleway,,9.226,"LINESTRING (-58.4204636 -34.5657763, -58.4204205 -34.5657013)",,,,,,
4567912963,4567912959,0,97912206,False,Senderos para ciclistas,cycleway,,10.778,"LINESTRING (-58.4204636 -34.5657763, -58.4204296 -34.5658691)",,,,,,
4567912964,4567912965,0,97912206,False,Senderos para ciclistas,cycleway,,6.853,"LINESTRING (-58.4204205 -34.5657013, -58.4203952 -34.5656433)",,,,,,
4567912964,4567912963,0,97912206,False,Senderos para ciclistas,cycleway,,9.226,"LINESTRING (-58.4204205 -34.5657013, -58.4204636 -34.5657763)",,,,,,
4567912965,4567912966,0,97912206,False,Senderos para ciclistas,cycleway,,5.604,"LINESTRING (-58.4203952 -34.5656433, -58.4203866 -34.5655934)",,,,,,
4567912965,4567912964,0,97912206,False,Senderos para ciclistas,cycleway,,6.853,"LINESTRING (-58.4203952 -34.5656433, -58.4204205 -34.5657013)",,,,,,
4567912966,1074582345,0,97912206,False,Senderos para ciclistas,cycleway,,6.352,"LINESTRING (-58.4203866 -34.5655934, -58.4203928 -34.5655365)",,,,,,
4567912966,4567912965,0,97912206,False,Senderos para ciclistas,cycleway,,5.604,"LINESTRING (-58.4203866 -34.5655934, -58.4203952 -34.5656433)",,,,,,
4567912967,1074582205,0,92625446,False,Senderos para ciclistas,cycleway,,9.064,"LINESTRING (-58.419579 -34.5653804, -58.4194859 -34.5653527)",,,,,,
4567912967,4567912969,0,92625446,False,Senderos para ciclistas,cycleway,,6.53,"LINESTRING (-58.419579 -34.5653804, -58.4196408 -34.5654097)",,,,,,
4567912968,4567912969,0,92625446,False,Senderos para ciclistas,cycleway,,9.517,"LINESTRING (-58.4196983 -34.565481, -58.4196408 -34.5654097)",,,,,,
4567912968,4192541350,0,92625446,False,Senderos para ciclistas,cycleway,,10.19,"LINESTRING (-58.4196983 -34.565481, -58.4197199 -34.5655709)",,,,,,
4567912969,4567912967,0,92625446,False,Senderos para ciclistas,cycleway,,6.53,"LINESTRING (-58.4196408 -34.5654097, -58.419579 -34.5653804)",,,,,,
4567912969,4567912968,0,92625446,False,Senderos para ciclistas,cycleway,,9.517,"LINESTRING (-58.4196408 -34.5654097, -58.4196983 -34.565481)",,,,,,
4567941115,4567941116,0,97788046,False,Senderos para ciclistas,cycleway,,9.407,"LINESTRING (-58.4226965 -34.5641079, -58.4227438 -34.5640328)",,,,,,
4567941115,1131884944,0,97788046,False,Senderos para ciclistas,cycleway,,22.258,"LINESTRING (-58.4226965 -34.5641079, -58.4225612 -34.5642742)",,,,,,
4567941116,1131884945,0,97788046,False,Senderos para ciclistas,cycleway,,9.043,"LINESTRING (-58.4227438 -34.5640328, -58.4227814 -34.5639576)",,,,,,
4567941116,4567941115,0,97788046,False,Senderos para ciclistas,cycleway,,9.407,"LINESTRING (-58.4227438 -34.5640328, -58.4226965 -34.5641079)",,,,,,
4567941117,1131884944,0,97788046,False,Senderos para ciclistas,cycleway,,19.418,"LINESTRING (-58.4224443 -34.5644199, -58.4225612 -34.5642742)",,,,,,
4567941117,1131884947,0,97788046,False,Senderos para ciclistas,cycleway,,10.73,"LINESTRING (-58.4224443 -34.5644199, -58.4223608 -34.5644876)",,,,,,
4567941118,7776644922,0,97788046,False,Senderos para ciclistas,cycleway,,19.395,"LINESTRING (-58.4218261 -34.5648144, -58.4220059 -34.5647222)",,,,,,
4567941118,1131884943,0,97788046,False,Senderos para ciclistas,cycleway,,35.321,"LINESTRING (-58.4218261 -34.5648144, -58.4214846 -34.5649621)",,,,,,
4571250900,1610626705,0,463680556,False,Ciclovía del Libertador,cycleway,,5.425,"LINESTRING (-58.4013033 -34.5818586, -58.4012637 -34.5818949)",,,,,,
4571250900,1258956186,0,463680556,False,Ciclovía del Libertador,cycleway,,13.677,"LINESTRING (-58.4013033 -34.5818586, -58.4014377 -34.5818049)",,,,,,
4571250902,4571250903,0,463680556,False,Ciclovía del Libertador,cycleway,,9.953,"LINESTRING (-58.3994674 -34.5825034, -58.3993614 -34.5825233)",,,,,,
4571250902,4567709240,0,463680556,False,Ciclovía del Libertador,cycleway,,81.986,"LINESTRING (-58.3994674 -34.5825034, -58.4002937 -34.5822191)",,,,,,
4571250903,6409433535,0,463680556,False,Ciclovía del Libertador,cycleway,,2.183,"LINESTRING (-58.3993614 -34.5825233, -58.3993387 -34.5825293)",,,,,,
4571250903,4571250902,0,463680556,False,Ciclovía del Libertador,cycleway,,9.953,"LINESTRING (-58.3993614 -34.5825233, -58.3994674 -34.5825034)",,,,,,
