u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
84556420,82709894,0,139723113,True,Blanco Encalada,residential,30,103.01,"LINESTRING (-58.4793046 -34.5713762, -58.4802253 -34.5719086)",2,,,,,,,
84556420,84556415,0,"[47084001, 692868266, 472819071]",True,Lugones,residential,30,727.318,"LINESTRING (-58.4793046 -34.5713762, -58.4785196 -34.5722442, -58.4777493 -34.5731231, -58.4769369 -34.5740053, -58.4761677 -34.5749063, -58.4754674 -34.5756907, -58.4753942 -34.5757706, -58.4745986 -34.5766452)",,,,,,,,
84591006,82709893,0,39094943,False,Miller,residential,30,19.268,"LINESTRING (-58.4817176 -34.5701844, -58.4818447 -34.5700463)",,,,,,,,
89139834,206128124,0,334369847,True,Las Casas,residential,30,270.966,"LINESTRING (-58.4179125 -34.6355204, -58.4193536 -34.6356668, -58.4208504 -34.6358287)",,,,,,,,
89139834,195866981,0,47371225,True,Castro Barros,residential,30,406.804,"LINESTRING (-58.4179125 -34.6355204, -58.4179189 -34.635959, -58.4179146 -34.6360788, -58.4178898 -34.6362248, -58.4178702 -34.6362901, -58.4176013 -34.6372179, -58.4173678 -34.6380869, -58.4173071 -34.6383125, -58.4170883 -34.6391027)",,,,,,,,
89182930,89354489,0,"[48114523, 48114519]",True,Doctor Emilio Ravignani,residential,30,628.439,"LINESTRING (-58.4403287 -34.582558, -58.4393847 -34.5817275, -58.4383843 -34.5808638, -58.4376969 -34.5802756, -58.4375898 -34.5801781, -58.4372004 -34.5798233, -58.436535 -34.5792588, -58.4356116 -34.5784525)",,,,,,,,
89182930,89250032,0,"[48114500, 533684637, 533684638]",True,Gorriti,residential,"['20', '30']",505.585,"LINESTRING (-58.4403287 -34.582558, -58.4392724 -34.5833363, -58.4382226 -34.5841296, -58.4373228 -34.5848005, -58.4371769 -34.5849148, -58.4362364 -34.5856111)",2,,,,,,,
89182935,437539828,0,"[48114501, 625696265, 101885129, 48114507, 101885112, 10596634]",True,Godoy Cruz,residential,30,1258.0570000000002,"LINESTRING (-58.4339232 -34.5874822, -58.4330691 -34.5869597, -58.4328678 -34.5868336, -58.4318178 -34.5861603, -58.4311645 -34.5853974, -58.4301515 -34.5842836, -58.4293932 -34.5833979, -58.4291243 -34.5830872, -58.428884 -34.5828169, -58.4279946 -34.581783, -58.4270798 -34.5807314, -58.4261823 -34.5797307, -58.4253392 -34.5787462)",1,,,,,,,
89182935,98249076,0,48114505,True,Gorriti,residential,30,327.69,"LINESTRING (-58.4339232 -34.5874822, -58.4331019 -34.5881385, -58.4321664 -34.5887521, -58.4311849 -34.5893746)",2,,,,,,,
89202120,89318596,0,"[10429178, 449718661, 533804318]",True,11 de Septiembre de 1888,residential,"['20', '30']",1045.9209999999998,"LINESTRING (-58.450333 -34.5597, -58.449593 -34.5605472, -58.4495138 -34.5606405, -58.4490887 -34.5611418, -58.4489846 -34.5612645, -58.4487585 -34.5615287, -58.4487136 -34.5615839, -58.4478952 -34.5625225, -58.4471163 -34.5634514, -58.4463211 -34.5643954, -58.4455379 -34.5653118, -58.4447371 -34.5662582, -58.4437488 -34.5673858)",2,,,,,,,
89204747,191931807,0,"[293056112, 176605356, 293056119]",True,11 de Septiembre de 1888,residential,"['20', '30']",352.649,"LINESTRING (-58.456507 -34.5523609, -58.4564731 -34.5524348, -58.4557819 -34.5532427, -58.4550978 -34.5540373, -58.4550544 -34.5540878, -58.4543752 -34.554897, -58.454318 -34.5549671)",2,,,,,,,
89221808,89340051,0,"[82811102, 140254598]",True,Manuela Pedraza,residential,30,1302.76,"LINESTRING (-58.5002157 -34.569298, -58.4997412 -34.5690392, -58.4991466 -34.568717, -58.4985982 -34.56841, -58.4980251 -34.5680929, -58.4974982 -34.5677961, -58.4969467 -34.5674992, -58.4958406 -34.5668802, -58.4946111 -34.5662002, -58.4934569 -34.5656269, -58.4923608 -34.5650843, -58.4909828 -34.5644648, -58.490038 -34.564019, -58.4890572 -34.5635438, -58.4881483 -34.5631049)",1,,,,,,,
