u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,ref,bridge,access
62618709,734645394,0,421885990,False,5,secondary,35.668,"LINESTRING (-82.98269000000001 42.3603169, -82.9829885 42.360084)",35 mph,East Jefferson Avenue,,,
62618710,4553389313,0,421885987,False,5,secondary,4.724,"LINESTRING (-82.9817683 42.3609699, -82.98180979999999 42.3609405)",35 mph,East Jefferson Avenue,,,
62618710,4553389316,0,507546867,False,4,secondary,14.908,"LINESTRING (-82.9817683 42.3609699, -82.9816458 42.3610688)",35 mph,East Jefferson Avenue,,,
62618711,734645241,0,421885989,False,5,secondary,51.301,"LINESTRING (-82.9808499 42.361712, -82.9804062 42.3620366)",35 mph,East Jefferson Avenue,,,
62618711,4970266026,0,507546865,False,4,secondary,18.435,"LINESTRING (-82.9808499 42.361712, -82.9810057 42.3615927)",35 mph,East Jefferson Avenue,,,
62618713,62618715,0,421885989,False,5,secondary,61.349,"LINESTRING (-82.979983 42.3623462, -82.9794423 42.3627267)",35 mph,East Jefferson Avenue,,,
62618713,5411378326,0,421885989,False,5,secondary,22.208,"LINESTRING (-82.979983 42.3623462, -82.9801751 42.3622057)",35 mph,East Jefferson Avenue,,,
62618715,62618713,0,421885989,False,5,secondary,61.349,"LINESTRING (-82.9794423 42.3627267, -82.979983 42.3623462)",35 mph,East Jefferson Avenue,,,
62618721,4553389088,0,421885988,False,4,secondary,74.693,"LINESTRING (-82.97799569999999 42.3634758, -82.9772251 42.3638322)",35 mph,East Jefferson Avenue,,,
62618721,5411423167,0,507547776,False,5,secondary,16.024,"LINESTRING (-82.97799569999999 42.3634758, -82.9781641 42.3634031)",35 mph,East Jefferson Avenue,,,
62618723,4553389088,0,421885988,False,4,secondary,8.888,"LINESTRING (-82.9771334 42.3638746, -82.9772251 42.3638322)",35 mph,East Jefferson Avenue,,,
62618723,62618726,0,501698045,False,5,secondary,22.741,"LINESTRING (-82.9771334 42.3638746, -82.9768931 42.3639761)",35 mph,East Jefferson Avenue,,,
62618726,4553389293,0,421885986,False,5,secondary,9.238,"LINESTRING (-82.9768931 42.3639761, -82.9768031 42.3640259)",35 mph,East Jefferson Avenue,,,
62618726,62618723,0,501698045,False,5,secondary,22.741,"LINESTRING (-82.9768931 42.3639761, -82.9771334 42.3638746)",35 mph,East Jefferson Avenue,,,
62618730,4970278625,0,507547775,False,4,secondary,22.83,"LINESTRING (-82.976311 42.3642979, -82.9760751 42.3644064)",35 mph,East Jefferson Avenue,,,
62618730,4216298640,0,507547775,False,4,secondary,21.608,"LINESTRING (-82.976311 42.3642979, -82.9765216 42.3641815)",35 mph,East Jefferson Avenue,,,
62618733,62618735,0,507547774,False,5,secondary,19.078,"LINESTRING (-82.975673 42.3645999, -82.975477 42.3646919)",35 mph,East Jefferson Avenue,,,
62618733,5411423123,0,507547774,False,5,secondary,12.1,"LINESTRING (-82.975673 42.3645999, -82.97579639999999 42.3645405)",35 mph,East Jefferson Avenue,,,
62618735,4970269116,0,507547774,False,5,secondary,59.717,"LINESTRING (-82.975477 42.3646919, -82.9748654 42.3649821)",35 mph,East Jefferson Avenue,,,
62618735,62618733,0,507547774,False,5,secondary,19.078,"LINESTRING (-82.975477 42.3646919, -82.975673 42.3645999)",35 mph,East Jefferson Avenue,,,
62618737,4216298641,0,507547773,False,5,secondary,47.396,"LINESTRING (-82.97372900000001 42.3655229, -82.97324399999999 42.3657537)",35 mph,East Jefferson Avenue,,,
62618737,5411423321,0,507547773,False,5,secondary,15.018,"LINESTRING (-82.97372900000001 42.3655229, -82.9738828 42.3654499)",35 mph,East Jefferson Avenue,,,
62618738,5967859391,0,421885982,False,5,secondary,7.369,"LINESTRING (-82.972836 42.3659479, -82.9727606 42.3659838)",35 mph,East Jefferson Avenue,,,
62618738,5411423169,0,421885984,False,5,secondary,21.493,"LINESTRING (-82.972836 42.3659479, -82.97305590000001 42.3658432)",35 mph,East Jefferson Avenue,,,
62618739,62618743,0,507547772,False,4,secondary,10.53,"LINESTRING (-82.972094 42.3663009, -82.971986 42.3663519)",35 mph,East Jefferson Avenue,,,
62618739,4216298642,0,507547772,False,4,secondary,41.75,"LINESTRING (-82.972094 42.3663009, -82.9725215 42.3660979)",35 mph,East Jefferson Avenue,,,
62618743,62618744,0,421885992,False,5,secondary,32.177,"LINESTRING (-82.971986 42.3663519, -82.97165699999999 42.3665089)",35 mph,East Jefferson Avenue,,,
62618743,62618739,0,507547772,False,4,secondary,10.53,"LINESTRING (-82.971986 42.3663519, -82.972094 42.3663009)",35 mph,East Jefferson Avenue,,,
62618744,62618746,0,421885992,False,5,secondary,21.713,"LINESTRING (-82.97165699999999 42.3665089, -82.97143 42.3666089)",35 mph,East Jefferson Avenue,,,
62618744,62618743,0,421885992,False,5,secondary,32.177,"LINESTRING (-82.97165699999999 42.3665089, -82.971986 42.3663519)",35 mph,East Jefferson Avenue,,,
62618746,62618747,0,421885992,False,5,secondary,19.124,"LINESTRING (-82.97143 42.3666089, -82.97123000000001 42.3666969)",35 mph,East Jefferson Avenue,,,
62618746,62618744,0,421885992,False,5,secondary,21.713,"LINESTRING (-82.97143 42.3666089, -82.97165699999999 42.3665089)",35 mph,East Jefferson Avenue,,,
62618747,4216298643,0,421885992,False,5,secondary,22.513,"LINESTRING (-82.97123000000001 42.3666969, -82.9710011 42.3668082)",35 mph,East Jefferson Avenue,,,
62618747,62618746,0,421885992,False,5,secondary,19.124,"LINESTRING (-82.97123000000001 42.3666969, -82.97143 42.3666089)",35 mph,East Jefferson Avenue,,,
62618750,62618752,0,219568673,False,5,secondary,26.059,"LINESTRING (-82.96977560000001 42.3673852, -82.9695079 42.3675109)",35 mph,East Jefferson Avenue,,,
62618750,4216298644,0,219568673,False,5,secondary,41.822,"LINESTRING (-82.96977560000001 42.3673852, -82.9702068 42.3671853)",35 mph,East Jefferson Avenue,,,
62618752,62618755,0,219568673,False,5,secondary,30.378,"LINESTRING (-82.9695079 42.3675109, -82.9691869 42.3676465)",35 mph,East Jefferson Avenue,,,
62618752,62618750,0,219568673,False,5,secondary,26.059,"LINESTRING (-82.9695079 42.3675109, -82.96977560000001 42.3673852)",35 mph,East Jefferson Avenue,,,
62618755,1880085308,0,219568673,False,5,secondary,20.344,"LINESTRING (-82.9691869 42.3676465, -82.9689638 42.3677259)",35 mph,East Jefferson Avenue,,,
62618755,62618752,0,219568673,False,5,secondary,30.378,"LINESTRING (-82.9691869 42.3676465, -82.9695079 42.3675109)",35 mph,East Jefferson Avenue,,,
62618757,4216330854,0,219568673,False,5,secondary,30.315,"LINESTRING (-82.9683325 42.3679671, -82.9680015 42.3680876)",35 mph,East Jefferson Avenue,,,
62618757,1880085308,0,219568673,False,5,secondary,58.389,"LINESTRING (-82.9683325 42.3679671, -82.9689638 42.3677259)",35 mph,East Jefferson Avenue,,,
62618758,7037878501,0,421886746,False,5,secondary,5.432,"LINESTRING (-82.9676821 42.3682039, -82.96774139999999 42.3681823)",35 mph,East Jefferson Avenue,,,
62618758,62618760,0,499256456,False,4,secondary,89.813,"LINESTRING (-82.9676821 42.3682039, -82.9667038 42.3685644)",35 mph,East Jefferson Avenue,,,
62618760,62618758,0,499256456,False,4,secondary,89.813,"LINESTRING (-82.9667038 42.3685644, -82.9676821 42.3682039)",35 mph,East Jefferson Avenue,,,
62618760,5411423175,0,507547981,False,5,secondary,18.935,"LINESTRING (-82.9667038 42.3685644, -82.9664992 42.3686428)",35 mph,East Jefferson Avenue,,,
62618762,4078744634,0,219568679,False,5,secondary,52.047,"LINESTRING (-82.9656433 42.3689608, -82.9650769 42.3691705)",35 mph,East Jefferson Avenue,,,
62618762,5411423175,0,507547981,False,5,secondary,78.705,"LINESTRING (-82.9656433 42.3689608, -82.9664992 42.3686428)",35 mph,East Jefferson Avenue,,,
62618764,62618767,0,219568679,False,5,secondary,13.799,"LINESTRING (-82.96485629999999 42.3692245, -82.96469380000001 42.3692559)",35 mph,East Jefferson Avenue,,,
62618764,4078744634,0,219568679,False,5,secondary,19.092,"LINESTRING (-82.96485629999999 42.3692245, -82.9650769 42.3691705)",35 mph,East Jefferson Avenue,,,
62618767,452592262,0,219568679,False,5,secondary,76.123,"LINESTRING (-82.96469380000001 42.3692559, -82.9637867 42.3693956)",35 mph,East Jefferson Avenue,,,
62618767,62618764,0,219568679,False,5,secondary,13.799,"LINESTRING (-82.96469380000001 42.3692559, -82.96485629999999 42.3692245)",35 mph,East Jefferson Avenue,,,
62618769,3582078403,0,219568679,False,5,secondary,76.337,"LINESTRING (-82.962244 42.3696151, -82.96132849999999 42.3697326)",35 mph,East Jefferson Avenue,,,
