u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
62931756,62931754,0,8758535,True,,Votrobeck Court,residential,10 mph,5.67,"LINESTRING (-83.241454 42.431612, -83.24138600000001 42.431603)",,
62931759,62931756,0,8758535,True,,Votrobeck Court,residential,10 mph,5.71,"LINESTRING (-83.241514 42.431638, -83.241454 42.431612)",,
62966299,63049759,0,8770289,True,2,Bryden Street,primary,20 mph,65.039,"LINESTRING (-83.144448 42.371173, -83.14478 42.371704)",,
63017989,5698382502,0,71691789,False,,John C Lodge Drive,residential,20 mph,10.866,"LINESTRING (-83.074009 42.353757, -83.0740627 42.3538463)",,
63035831,63035833,0,71691789,False,,John C Lodge Drive,residential,20 mph,11.478,"LINESTRING (-83.07606749999999 42.3572361, -83.07612640000001 42.3573297)",,
63035831,827240827,0,71691789,False,,John C Lodge Drive,residential,20 mph,174.693,"LINESTRING (-83.07606749999999 42.3572361, -83.0752193 42.3557955)",,
63035833,63035838,0,71691789,False,,John C Lodge Drive,residential,20 mph,12.258,"LINESTRING (-83.07612640000001 42.3573297, -83.076199 42.357426)",,
63035833,63035831,0,71691789,False,,John C Lodge Drive,residential,20 mph,11.478,"LINESTRING (-83.07612640000001 42.3573297, -83.07606749999999 42.3572361)",,
63035838,6443743733,0,71691789,False,,John C Lodge Drive,residential,20 mph,6.448,"LINESTRING (-83.076199 42.357426, -83.0762553 42.3574664)",,
63035838,63035833,0,71691789,False,,John C Lodge Drive,residential,20 mph,12.258,"LINESTRING (-83.076199 42.357426, -83.07612640000001 42.3573297)",,
63035843,6443743612,0,71691789,False,,John C Lodge Drive,residential,20 mph,12.215,"LINESTRING (-83.0763146 42.3575033, -83.07644000000001 42.3575623)",,
63035843,6443743733,0,71691789,False,,John C Lodge Drive,residential,20 mph,6.37,"LINESTRING (-83.0763146 42.3575033, -83.0762553 42.3574664)",,
63035845,6443743600,0,71691789,False,,John C Lodge Drive,residential,20 mph,8.464,"LINESTRING (-83.0765815 42.3576179, -83.0766764 42.3576475)",,
