u,v,key,osmid,highway,oneway,length,geometry,name,area,width,lanes,maxspeed,bridge,tunnel,service,access,junction
276437813,276436772,0,25364030,cycleway,False,138.93,"LINESTRING (37.7562259 55.7703492, 37.7561556 55.7704904, 37.7558675 55.7706807, 37.7553995 55.7708606, 37.7548877 55.7710108, 37.7545417 55.7710877)",,,,,,,,,,
276437813,271865346,0,25364030,cycleway,False,253.188,"LINESTRING (37.7562259 55.7703492, 37.7562146 55.7701546, 37.7561255 55.7699174, 37.7560075 55.7697874, 37.7558233 55.7697068, 37.7553941 55.7696779, 37.75445 55.7698662, 37.7537204 55.7700593, 37.7535375 55.7701118, 37.753523 55.7702985)",,,,,,,,,,
276437813,1297639740,0,114591504,cycleway,False,171.187,"LINESTRING (37.7562259 55.7703492, 37.7562526 55.7708107, 37.7560831 55.7712021, 37.7555295 55.7718009)",,,,,,,,,,
276438258,430436330,0,700394768,cycleway,False,110.466,"LINESTRING (37.7573072 55.7758488, 37.759073 55.7758731)",,,,,,,,,,
276438258,276437133,0,25364129,cycleway,False,336.235,"LINESTRING (37.7573072 55.7758488, 37.7572516 55.7755146, 37.7570649 55.7753297, 37.7566516 55.7748914, 37.7561205 55.7745506, 37.756036 55.7744963, 37.7555997 55.774169, 37.7554306 55.77406, 37.7550413 55.7738901, 37.754604 55.7737015, 37.7543677 55.7735825, 37.7541801 55.7734986)",,,,,,,,,,
276438258,317259028,0,93582650,cycleway,False,253.323,"LINESTRING (37.7573072 55.7758488, 37.755641 55.7757222, 37.7532769 55.7756344)",,,,,,,,,,
287861366,1868654174,0,759352842,cycleway,False,2.517,"LINESTRING (37.5936016 55.7243549, 37.5935674 55.7243668)",,,,,,,,,,
292108029,3050483037,0,304762136,cycleway,False,102.21900000000001,"LINESTRING (37.6283785 55.8643782, 37.6283443 55.8644448, 37.6284409 55.8645148, 37.6284945 55.8645449, 37.6289302 55.8645942, 37.6291219 55.8647096, 37.6291874 55.8648199, 37.6293557 55.8648802, 37.629497 55.864906)",,,,,,,,,,
303470119,7784100332,0,27631405,cycleway,False,620.2459999999999,"LINESTRING (37.5055602 55.6858536, 37.5054039 55.6857178, 37.5039926 55.6843831, 37.5034527 55.6838438, 37.5028433 55.6833357, 37.5021144 55.682846, 37.5016413 55.682548, 37.5012023 55.6822116, 37.4999325 55.6812826)",Боровское шоссе,,,,,,,,,
303470119,703349118,0,151201276,cycleway,False,150.694,"LINESTRING (37.5055602 55.6858536, 37.5060847 55.6863919, 37.5066149 55.6867592, 37.5069629 55.6869411)",Боровское шоссе,,,,,,,,,
303470119,4888057514,0,"[833857784, 686328147, 52564723]",cycleway,False,1240.6,"LINESTRING (37.5055602 55.6858536, 37.5056328 55.6856825, 37.5057444 55.6853487, 37.5059754 55.6847585, 37.5060393 55.6845116, 37.506232 55.6840913, 37.5069537 55.6837821, 37.508013 55.6828266, 37.5079887 55.6827749, 37.5074119 55.6824795, 37.5073452 55.6824409, 37.5073691 55.6822811, 37.5074182 55.6821374, 37.5076026 55.6816618, 37.5077481 55.6810863, 37.5079605 55.6803336, 37.5081189 55.6800959, 37.5083608 55.6796804, 37.508349 55.679486, 37.5080943 55.6791808, 37.5078076 55.6789831, 37.5075629 55.6788503, 37.5074062 55.6786651, 37.5072965 55.6785342, 37.5071339 55.6784734, 37.5068698 55.6785155, 37.5063687 55.6786167, 37.5060689 55.6786536, 37.5058416 55.678685, 37.5054478 55.6787599, 37.5053004 55.6788033, 37.5049632 55.678912, 37.5045984 55.6790662, 37.5041937 55.6792283, 37.5038313 55.6794519, 37.5032944 55.6796416, 37.5029571 55.679672, 37.5026332 55.6797658)",,,,,,,,,,
303470119,864705870,0,686328147,cycleway,False,144.167,"LINESTRING (37.5055602 55.6858536, 37.5054611 55.685997, 37.5054062 55.6860501, 37.5051607 55.6862873, 37.504826 55.6864905, 37.504415 55.6866725, 37.5040714 55.6868049)",,,,,,,,,,
303470179,6549349906,0,27631405,cycleway,False,51.324,"LINESTRING (37.499263 55.6807877, 37.4997581 55.6811553)",Боровское шоссе,,,,,,,,,
317259028,276438258,0,93582650,cycleway,False,253.323,"LINESTRING (37.7532769 55.7756344, 37.755641 55.7757222, 37.7573072 55.7758488)",,,,,,,,,,
317259028,317259032,0,95496103,cycleway,False,517.5070000000001,"LINESTRING (37.7532769 55.7756344, 37.7531741 55.7758576, 37.7531761 55.7765496, 37.7531714 55.7765964, 37.7531651 55.7766592, 37.753154 55.7768199, 37.7530729 55.7779935, 37.7530326 55.7785764, 37.7530078 55.7790323, 37.7529316 55.7802785)",,,,,,,,,,
317259028,317259028,0,95496106,cycleway,False,111.161,"LINESTRING (37.7532769 55.7756344, 37.7530816 55.7758418, 37.7529485 55.7758251, 37.7528509 55.7757922, 37.7527127 55.7757136, 37.7526351 55.775661, 37.7525939 55.7756331, 37.752808 55.7756295, 37.753059 55.7756174, 37.7532586 55.7756023, 37.7532769 55.7756344)",,yes,,,,,,,,
317259028,317259028,1,95496106,cycleway,False,111.161,"LINESTRING (37.7532769 55.7756344, 37.7532586 55.7756023, 37.753059 55.7756174, 37.752808 55.7756295, 37.7525939 55.7756331, 37.7526351 55.775661, 37.7527127 55.7757136, 37.7528509 55.7757922, 37.7529485 55.7758251, 37.7530816 55.7758418, 37.7532769 55.7756344)",,yes,,,,,,,,
317259028,4369662693,0,95749452,cycleway,False,178.49099999999999,"LINESTRING (37.7532769 55.7756344, 37.7534369 55.7754277, 37.7534827 55.775302, 37.7535013 55.7752509, 37.7535045 55.7751381, 37.7534755 55.7748961, 37.7534209 55.7747066, 37.7533947 55.7746156, 37.7533689 55.774437, 37.7533551 55.7740565)",,,,,,,,,,
317259032,317259028,0,95496103,cycleway,False,517.507,"LINESTRING (37.7529316 55.7802785, 37.7530078 55.7790323, 37.7530326 55.7785764, 37.7530729 55.7779935, 37.753154 55.7768199, 37.7531651 55.7766592, 37.7531714 55.7765964, 37.7531761 55.7765496, 37.7531741 55.7758576, 37.7532769 55.7756344)",,,,,,,,,,
324568364,5676065373,0,595592417,cycleway,False,49.819,"LINESTRING (37.7245453 55.6427192, 37.7247912 55.6425354, 37.7248339 55.6423569, 37.7248389 55.6423194)",,,,,,,,,,
336036246,430436330,0,93587642,cycleway,False,102.893,"LINESTRING (37.7590246 55.776798, 37.7590342 55.7767045, 37.759073 55.7758731)",Первомайская аллея,,,,,,,,,
