u,v,key,osmid,highway,oneway,length,geometry,name,bridge,width,area,lanes,tunnel,service
253770238,253770239,0,157471593,cycleway,False,12.393,"LINESTRING (37.4147855 55.7550693, 37.4145879 55.7550769)",Велотрасса на Крылатских холмах,,,,,,
253770239,253770238,0,157471593,cycleway,False,12.393,"LINESTRING (37.4145879 55.7550769, 37.4147855 55.7550693)",Велотрасса на Крылатских холмах,,,,,,
253770239,253770240,0,157471593,cycleway,False,34.409,"LINESTRING (37.4145879 55.7550769, 37.414053 55.7551487)",Велотрасса на Крылатских холмах,,,,,,
253770240,253770239,0,157471593,cycleway,False,34.409,"LINESTRING (37.414053 55.7551487, 37.4145879 55.7550769)",Велотрасса на Крылатских холмах,,,,,,
253770240,3728962725,0,157471593,cycleway,False,5.369,"LINESTRING (37.414053 55.7551487, 37.4139686 55.7551574)",Велотрасса на Крылатских холмах,,,,,,
253770241,3728962725,0,157471593,cycleway,False,6.465,"LINESTRING (37.4138656 55.7551528, 37.4139686 55.7551574)",Велотрасса на Крылатских холмах,,,,,,
253770241,3665209261,0,157471593,cycleway,False,9.809,"LINESTRING (37.4138656 55.7551528, 37.4137249 55.7551139)",Велотрасса на Крылатских холмах,,,,,,
253770242,3665209261,0,157471593,cycleway,False,8.795,"LINESTRING (37.4136193 55.7550617, 37.4137249 55.7551139)",Велотрасса на Крылатских холмах,,,,,,
253770242,3665209260,0,157471593,cycleway,False,7.43,"LINESTRING (37.4136193 55.7550617, 37.4135501 55.7550074)",Велотрасса на Крылатских холмах,,,,,,
253770243,3715796955,0,157471593,cycleway,False,3.601,"LINESTRING (37.413496 55.7549413, 37.4135163 55.7549716)",Велотрасса на Крылатских холмах,,,,,,
253770243,3715796944,0,157471593,cycleway,False,7.393,"LINESTRING (37.413496 55.7549413, 37.4134747 55.7548759)",Велотрасса на Крылатских холмах,,,,,,
253770244,3715796944,0,157471593,cycleway,False,49.834,"LINESTRING (37.4134471 55.754428, 37.4134747 55.7548759)",Велотрасса на Крылатских холмах,,,,,,
253770244,253770245,0,157471593,cycleway,False,6.236,"LINESTRING (37.4134471 55.754428, 37.4134552 55.7543721)",Велотрасса на Крылатских холмах,,,,,,
253770245,253770244,0,157471593,cycleway,False,6.236,"LINESTRING (37.4134552 55.7543721, 37.4134471 55.754428)",Велотрасса на Крылатских холмах,,,,,,
253770245,3622998833,0,157471593,cycleway,False,6.636,"LINESTRING (37.4134552 55.7543721, 37.4134988 55.7543177)",Велотрасса на Крылатских холмах,,,,,,
253770246,1180470252,0,157471593,cycleway,False,9.795,"LINESTRING (37.4137531 55.7542422, 37.413602 55.7542652)",Велотрасса на Крылатских холмах,,,,,,
253770246,3634542036,0,157471593,cycleway,False,6.215,"LINESTRING (37.4137531 55.7542422, 37.4138522 55.7542384)",Велотрасса на Крылатских холмах,,,,,,
253770247,3634542036,0,157471593,cycleway,False,8.598,"LINESTRING (37.4139896 55.7542379, 37.4138522 55.7542384)",Велотрасса на Крылатских холмах,,,,,,
253770247,1180470493,0,157471593,cycleway,False,11.183,"LINESTRING (37.4139896 55.7542379, 37.4141678 55.7542303)",Велотрасса на Крылатских холмах,,,,,,
253770248,1180470493,0,157471593,cycleway,False,9.839,"LINESTRING (37.4142891 55.754174, 37.4141678 55.7542303)",Велотрасса на Крылатских холмах,,,,,,
253770248,1180470378,0,157471593,cycleway,False,9.413,"LINESTRING (37.4142891 55.754174, 37.4143492 55.7540964)",Велотрасса на Крылатских холмах,,,,,,
253770249,1180470378,0,157471593,cycleway,False,10.117,"LINESTRING (37.4143675 55.754006, 37.4143492 55.7540964)",Велотрасса на Крылатских холмах,,,,,,
253770249,253770250,0,157471593,cycleway,False,16.399,"LINESTRING (37.4143675 55.754006, 37.4142835 55.7538663)",Велотрасса на Крылатских холмах,,,,,,
253770250,253770249,0,157471593,cycleway,False,16.399,"LINESTRING (37.4142835 55.7538663, 37.4143675 55.754006)",Велотрасса на Крылатских холмах,,,,,,
253770250,3634542014,0,157471593,cycleway,False,6.813,"LINESTRING (37.4142835 55.7538663, 37.4142324 55.7538122)",Велотрасса на Крылатских холмах,,,,,,
253770251,2831230003,0,157471593,cycleway,False,5.704,"LINESTRING (37.4141009 55.7536838, 37.4141366 55.753731)",Велотрасса на Крылатских холмах,,,,,,
253770251,1180470546,0,157471593,cycleway,False,9.542,"LINESTRING (37.4141009 55.7536838, 37.4140879 55.7535983)",Велотрасса на Крылатских холмах,,,,,,
253770252,1180470546,0,157471593,cycleway,False,7.841,"LINESTRING (37.4141154 55.7535295, 37.4140879 55.7535983)",Велотрасса на Крылатских холмах,,,,,,
253770252,2831230005,0,157471593,cycleway,False,6.576,"LINESTRING (37.4141154 55.7535295, 37.4141698 55.7534789)",Велотрасса на Крылатских холмах,,,,,,
253770253,2831230006,0,157471593,cycleway,False,7.154,"LINESTRING (37.4144562 55.7534199, 37.4143427 55.7534276)",Велотрасса на Крылатских холмах,,,,,,
253770253,3639763358,0,157471593,cycleway,False,8.899,"LINESTRING (37.4144562 55.7534199, 37.4145984 55.7534209)",Велотрасса на Крылатских холмах,,,,,,
253770254,3639763358,0,157471593,cycleway,False,27.873,"LINESTRING (37.4150437 55.7534268, 37.4145984 55.7534209)",Велотрасса на Крылатских холмах,,,,,,
253770254,253770255,0,157471593,cycleway,False,45.352,"LINESTRING (37.4150437 55.7534268, 37.4157678 55.7534442)",Велотрасса на Крылатских холмах,,,,,,
253770255,253770254,0,157471593,cycleway,False,45.352,"LINESTRING (37.4157678 55.7534442, 37.4150437 55.7534268)",Велотрасса на Крылатских холмах,,,,,,
253770255,253770256,0,157471593,cycleway,False,23.516,"LINESTRING (37.4157678 55.7534442, 37.4161348 55.7534897)",Велотрасса на Крылатских холмах,,,,,,
253770256,253770255,0,157471593,cycleway,False,23.516,"LINESTRING (37.4161348 55.7534897, 37.4157678 55.7534442)",Велотрасса на Крылатских холмах,,,,,,
253770256,253770257,0,157471593,cycleway,False,27.882,"LINESTRING (37.4161348 55.7534897, 37.4165615 55.7535619)",Велотрасса на Крылатских холмах,,,,,,
253770257,253770256,0,157471593,cycleway,False,27.882,"LINESTRING (37.4165615 55.7535619, 37.4161348 55.7534897)",Велотрасса на Крылатских холмах,,,,,,
253770257,253770258,0,157471593,cycleway,False,23.601,"LINESTRING (37.4165615 55.7535619, 37.4169245 55.7536195)",Велотрасса на Крылатских холмах,,,,,,
253770258,253770257,0,157471593,cycleway,False,23.601,"LINESTRING (37.4169245 55.7536195, 37.4165615 55.7535619)",Велотрасса на Крылатских холмах,,,,,,
253770258,2831230008,0,157471593,cycleway,False,13.063,"LINESTRING (37.4169245 55.7536195, 37.4171268 55.7536485)",Велотрасса на Крылатских холмах,,,,,,
253770259,2831230008,0,157471593,cycleway,False,11.443,"LINESTRING (37.4173091 55.7536566, 37.4171268 55.7536485)",Велотрасса на Крылатских холмах,,,,,,
253770259,2831230007,0,157471593,cycleway,False,12.056,"LINESTRING (37.4173091 55.7536566, 37.4174976 55.7536342)",Велотрасса на Крылатских холмах,,,,,,
253770260,2831230007,0,157471593,cycleway,False,11.512,"LINESTRING (37.417671 55.7535996, 37.4174976 55.7536342)",Велотрасса на Крылатских холмах,,,,,,
253770260,2831230009,0,157471593,cycleway,False,12.93,"LINESTRING (37.417671 55.7535996, 37.417839 55.7535319)",Велотрасса на Крылатских холмах,,,,,,
253770261,2831230009,0,157471593,cycleway,False,9.971,"LINESTRING (37.4179449 55.7534649, 37.417839 55.7535319)",Велотрасса на Крылатских холмах,,,,,,
