u,v,key,osmid,oneway,highway,maxspeed,length,geometry,lanes,name,access,service,width,tunnel,junction,area,bridge
148347028,148347029,0,367204807,True,primary_link,30,16.383,"LINESTRING (37.83544 55.7066488, 37.8352441 55.7067464)",1,,,,,,,,
148347029,148347030,0,367204807,True,primary_link,30,16.985,"LINESTRING (37.8352441 55.7067464, 37.8351032 55.7068769)",1,,,,,,,,
148347030,148347031,0,367204807,True,primary_link,30,17.651,"LINESTRING (37.8351032 55.7068769, 37.8350262 55.7070296)",1,,,,,,,,
148347031,148347033,0,367204807,True,primary_link,30,18.557,"LINESTRING (37.8350262 55.7070296, 37.8349994 55.7071958)",1,,,,,,,,
148347033,995234739,0,367204807,True,primary_link,30,27.556,"LINESTRING (37.8349994 55.7071958, 37.8350048 55.7074436)",1,,,,,,,,
156304135,6899142087,0,241262708,False,residential,30,7.686,"LINESTRING (37.6588762 55.7862419, 37.6587581 55.7862611)",2,Малая Красносельская улица,,,,,,,
156304135,2296977919,0,241262768,False,tertiary,30,9.972,"LINESTRING (37.6588762 55.7862419, 37.6589727 55.7861705)",2,Верхняя Красносельская улица,,,,,,,
156304137,2434321694,0,241262768,False,tertiary,30,39.635,"LINESTRING (37.6627181 55.7831677, 37.6623493 55.7834576)",2,Верхняя Красносельская улица,,,,,,,
156304137,7331576022,0,241262768,False,tertiary,30,7.141,"LINESTRING (37.6627181 55.7831677, 37.6627831 55.7831149)",2,Верхняя Красносельская улица,,,,,,,
156304684,1038961929,0,241262768,False,tertiary,30,15.43,"LINESTRING (37.6601936 55.785207, 37.6600547 55.7853217)",2,Верхняя Красносельская улица,,,,,,,
156304684,332454583,0,241262768,False,tertiary,30,6.082,"LINESTRING (37.6601936 55.785207, 37.6602521 55.7851633)",2,Верхняя Красносельская улица,,,,,,,
156305937,1038961890,0,241262768,False,tertiary,30,23.406,"LINESTRING (37.6630079 55.782846, 37.6628652 55.7830406)",2,Верхняя Красносельская улица,,,,,,,
156305937,3052614784,0,241262768,False,tertiary,30,90.508,"LINESTRING (37.6630079 55.782846, 37.6635266 55.7820861)",2,Верхняя Красносельская улица,,,,,,,
156305939,2434325782,0,241262768,False,tertiary,30,7.585,"LINESTRING (37.6639894 55.7814872, 37.6639388 55.7815492)",2,Верхняя Красносельская улица,,,,,,,
156305939,6341309522,0,241262768,False,tertiary,30,20.654,"LINESTRING (37.6639894 55.7814872, 37.6641351 55.7813205)",2,Верхняя Красносельская улица,,,,,,,
156305941,332449790,0,241262768,False,tertiary,30,18.508,"LINESTRING (37.6651588 55.7801619, 37.6649968 55.7803012)",2,Верхняя Красносельская улица,,,,,,,
156305941,4304948219,0,241262768,False,tertiary,30,49.004,"LINESTRING (37.6651588 55.7801619, 37.6656387 55.7798135)",2,Верхняя Красносельская улица,,,,,,,
159825373,3033578501,0,62359043,False,service,20,19.44,"LINESTRING (37.8362534 55.8086443, 37.8362197 55.8084705)",,,yes,driveway,,,,,
161223607,1906419578,0,40686336,False,tertiary,20,10.586,"LINESTRING (37.711508 55.8815587, 37.7116504 55.8816105)",2,Анадырский проезд,,,,,,,
161223607,4199405809,0,40686336,False,tertiary,20,10.252,"LINESTRING (37.711508 55.8815587, 37.7113798 55.881501)",2,Анадырский проезд,,,,,,,
161611909,257569119,0,23703676,True,secondary,20,26.981,"LINESTRING (37.8253491 55.8228466, 37.8252329 55.8230803)",2,Хабаровская улица,,,,,,,
163833063,1083464123,0,161928329,False,residential,20,9.148,"LINESTRING (37.6811044 55.892804, 37.6810213 55.8928718)",4,Северодвинская улица,,,,,,,
163833063,1750323097,0,161928329,False,residential,20,17.337,"LINESTRING (37.6811044 55.892804, 37.6812498 55.8926711)",4,Северодвинская улица,,,,,,,
198642492,1057570269,0,681127785,True,service,20,0.85,"LINESTRING (37.589015 55.7934619, 37.5890165 55.7934695)",1,,,,,,,,
198652572,1057571918,0,176374570,True,primary_link,20,6.391,"LINESTRING (37.5866383 55.793798, 37.5866996 55.793752)",1,,,,,,,,
198652574,352286427,0,176374570,True,primary_link,20,4.145,"LINESTRING (37.5867517 55.7935967, 37.586723 55.7935631)",1,,,,,,,,
209807012,209807014,0,305686727,True,tertiary,20,9.347,"LINESTRING (37.6059507 55.6900673, 37.6060997 55.6900638)",2,улица Свержевского,,,,,,,
209807014,209807016,0,305686727,True,tertiary,20,6.514,"LINESTRING (37.6060997 55.6900638, 37.6061908 55.690092)",2,улица Свержевского,,,,,,,
209807016,209807017,0,305686727,True,tertiary,20,6.688,"LINESTRING (37.6061908 55.690092, 37.6062654 55.690135)",2,улица Свержевского,,,,,,,
209807017,5227105937,0,305686727,True,tertiary,20,8.664,"LINESTRING (37.6062654 55.690135, 37.6063296 55.690204)",2,улица Свержевского,,,,,,,
221581578,3791677400,0,375827865,False,service,20,7.529,"LINESTRING (37.8149508 55.7892672, 37.8148304 55.7892656)",,,,,,,,,
238134269,5395545499,0,174315446,False,unclassified,20,8.584,"LINESTRING (37.6428918 55.7636983, 37.6429851 55.7637549)",2,Большой Харитоньевский переулок,,,,,,,
238134269,1846074944,0,174315446,False,unclassified,20,13.18,"LINESTRING (37.6428918 55.7636983, 37.6427491 55.7636111)",2,Большой Харитоньевский переулок,,,,,,,
241864860,4178705224,0,142774541,True,service,10,6.882,"LINESTRING (37.6186972 55.7573842, 37.6186242 55.7573379)",1,,,,,,,,
242157535,5944867859,0,669048483,True,unclassified,20,5.773,"LINESTRING (37.6517639 55.7597111, 37.6518242 55.7597504)",1,Малый Казённый переулок,,,,,,,
244019769,5111809399,0,30639916,False,unclassified,20,10.391,"LINESTRING (37.6247567 55.7554491, 37.6246404 55.7555158)",2,Богоявленский переулок,,,,,,,
244019818,7088079011,0,300953545,False,unclassified,10,37.912,"LINESTRING (37.6231934 55.7544955, 37.6236472 55.7542696)",1,Ветошный переулок,,,,,,,
244019818,2459967968,0,300953545,False,unclassified,10,32.54,"LINESTRING (37.6231934 55.7544955, 37.6228039 55.7546894)",1,Ветошный переулок,,,,,,,
244019819,1277331818,0,300953545,False,unclassified,10,8.587,"LINESTRING (37.6237784 55.7542021, 37.6236776 55.7542545)",1,Ветошный переулок,,,,,,,
247787013,2829972078,0,206599535,False,residential,20,12.451,"LINESTRING (37.5585415 55.8737319, 37.5583562 55.8736903)",2,улица Зарянова,,,,,,,
247899942,7057170505,0,112594242,False,footway,20,16.966,"LINESTRING (37.7418716 55.6296531, 37.7416016 55.6296462)",,,,,,,,,
247913938,247917340,0,49031864,False,residential,20,39.079,"LINESTRING (37.5867926 55.8871844, 37.5874183 55.8871649)",4,Костромская улица,,,,,,,
247913941,2420045902,0,398991093,False,residential,20,51.545,"LINESTRING (37.5931765 55.8870878, 37.5939914 55.8870102)",4,Костромская улица,,,,,,,
247913941,1219591833,0,398991093,False,residential,20,70.162,"LINESTRING (37.5931765 55.8870878, 37.592053 55.8871213)",4,Костромская улица,,,,,,,
247913943,247913944,0,105184106,False,residential,20,65.307,"LINESTRING (37.5948733 55.8868963, 37.5958432 55.8866748)",4,Костромская улица,,,,,,,
247913943,1219591924,0,105184106,False,residential,20,13.176,"LINESTRING (37.5948733 55.8868963, 37.5946689 55.8869263)",4,Костромская улица,,,,,,,
247913944,247913945,0,105184106,False,residential,20,60.329,"LINESTRING (37.5958432 55.8866748, 37.5967015 55.8864245)",4,Костромская улица,,,,,,,
247913944,247913943,0,105184106,False,residential,20,65.307,"LINESTRING (37.5958432 55.8866748, 37.5948733 55.8868963)",4,Костромская улица,,,,,,,
247913945,1219591914,0,105184106,False,residential,20,16.118,"LINESTRING (37.5967015 55.8864245, 37.5969252 55.8863519)",4,Костромская улица,,,,,,,
247913945,247913944,0,105184106,False,residential,20,60.329,"LINESTRING (37.5967015 55.8864245, 37.5958432 55.8866748)",4,Костромская улица,,,,,,,
247913946,1219591797,0,105184106,False,residential,20,24.132,"LINESTRING (37.5976167 55.8860626, 37.5979184 55.8859267)",4,Костромская улица,,,,,,,
247913946,1219591943,0,105184106,False,residential,20,24.677,"LINESTRING (37.5976167 55.8860626, 37.5973002 55.8861958)",4,Костромская улица,,,,,,,
247913947,1177527520,0,105184106,False,residential,20,52.226,"LINESTRING (37.5983069 55.8857434, 37.5988926 55.8854077)",4,Костромская улица,,,,,,,
247913947,1219591797,0,105184106,False,residential,20,31.661,"LINESTRING (37.5983069 55.8857434, 37.5979184 55.8859267)",4,Костромская улица,,,,,,,
247917340,1219591774,0,49031864,False,residential,20,10.241,"LINESTRING (37.5874183 55.8871649, 37.5875825 55.8871632)",4,Костромская улица,,,,,,,
247917340,247913938,0,49031864,False,residential,20,39.079,"LINESTRING (37.5874183 55.8871649, 37.5867926 55.8871844)",4,Костромская улица,,,,,,,
248073654,659784486,0,693638398,False,secondary,20,9.439,"LINESTRING (37.7086873 55.6991751, 37.7087743 55.6991058)",2,Южнопортовая улица,,,,,,,
248073654,6512231037,0,693638398,False,secondary,20,20.642,"LINESTRING (37.7086873 55.6991751, 37.7084017 55.6992676)",2,Южнопортовая улица,,,,,,,
248073656,6512231038,0,693638398,False,secondary,20,5.615,"LINESTRING (37.7098946 55.6980867, 37.7099534 55.6980486)",2,Южнопортовая улица,,,,,,,
248073656,2433780846,0,693638398,False,secondary,20,25.739,"LINESTRING (37.7098946 55.6980867, 37.7095556 55.6982174)",2,Южнопортовая улица,,,,,,,
248442771,1839023975,0,341455017,False,secondary,20,22.332,"LINESTRING (37.3434635 55.848791, 37.343583 55.8486017)",,улица Барышиха,,,,,,,
248543382,264182989,0,539208876,False,residential,20,25.739,"LINESTRING (37.3671307 55.8498529, 37.3674363 55.8496975)",,Пятницкое шоссе (дублёр),,,,,,,
248543382,2344725472,0,539208876,False,residential,20,18.658,"LINESTRING (37.3671307 55.8498529, 37.3669099 55.849966)",,Пятницкое шоссе (дублёр),,,,,,,
248789405,1746594953,0,97252269,False,service,10,12.144,"LINESTRING (37.443293 55.8432805, 37.4433817 55.8433777)",,,,,3.5,,,,
249073622,2416541984,0,105184106,False,residential,20,15.828,"LINESTRING (37.5940333 55.8870062, 37.5942824 55.8869789)",4,Костромская улица,,,,,,,
249073622,2420045902,0,398991093,False,residential,20,2.651,"LINESTRING (37.5940333 55.8870062, 37.5939914 55.8870102)",4,Костромская улица,,,,,,,
249238341,1529572589,0,139534212,False,service,20,21.812,"LINESTRING (37.7311377 55.6235329, 37.7314529 55.6234504)",,,,,,,,,
249238342,1529572684,0,755536993,False,tertiary,20,3.051,"LINESTRING (37.7321407 55.6246057, 37.7321134 55.624583)",2,Ореховый проезд,,,,,,,
249690741,3818500607,0,378442080,False,residential,20,7.657,"LINESTRING (37.3656828 55.8440566, 37.365581 55.844095)",2,Митинская улица (дублер),,,,,,,
250316545,2928063957,0,655099951,False,unclassified,20,137.364,"LINESTRING (37.6195786 55.8405229, 37.6217691 55.8406381)",2,Кольцевая дорога ВДНХ,,,,,,,
250316545,4959159464,0,655099951,False,unclassified,20,37.659,"LINESTRING (37.6195786 55.8405229, 37.6189899 55.8404492)",2,Кольцевая дорога ВДНХ,,,,,,,
250316546,4232453917,0,655099951,False,unclassified,20,26.087,"LINESTRING (37.6236199 55.8405421, 37.6240373 55.8405315)",2,Кольцевая дорога ВДНХ,,,,,,,
250316546,5316613044,0,655099951,False,unclassified,20,86.81,"LINESTRING (37.6236199 55.8405421, 37.6222354 55.8406139)",2,Кольцевая дорога ВДНХ,,,,,,,
250316552,5316612908,0,655099951,False,unclassified,20,66.031,"LINESTRING (37.6139732 55.8395153, 37.6149333 55.8397643)",2,Кольцевая дорога ВДНХ,,,,,,,
250316552,631230771,0,655099951,False,unclassified,20,9.935,"LINESTRING (37.6139732 55.8395153, 37.6138495 55.8394591)",2,Кольцевая дорога ВДНХ,,,,,,,
250556638,1778258937,0,449702353,False,residential,20,6.716,"LINESTRING (37.4453434 55.849936, 37.4453638 55.8498767)",2,Штурвальная улица,,,,,,,
250559590,1098293936,0,54169774,True,service,5,11.202,"LINESTRING (37.3924623 55.8034255, 37.3922968 55.8034642)",,,,,,,,,
250559770,1098293048,0,527768892,False,tertiary,20,19.263,"LINESTRING (37.4024498 55.8182925, 37.4023303 55.8181328)",,улица Кулакова,,,,,,,
250559776,4315860096,0,768587335,False,tertiary,20,12.381,"LINESTRING (37.4143176 55.8103145, 37.4144583 55.8102361)",4,улица Исаковского,,,,,,,
250559776,264911497,0,768587335,False,tertiary,20,9.673,"LINESTRING (37.4143176 55.8103145, 37.4142103 55.8103772)",4,улица Исаковского,,,,,,,
250560218,3078389904,0,50285229,False,service,20,11.867,"LINESTRING (37.4028249 55.8111174, 37.4029512 55.8111971)",,,,,,,,,
250560222,1673816292,0,45049658,False,service,20,4.856,"LINESTRING (37.3989188 55.81232, 37.398966 55.8123547)",,,,,,,,,
251472529,5131632357,0,27800074,False,service,20,23.263,"LINESTRING (37.4895065 55.8042608, 37.4893637 55.804454)",,,,,,,,,
251475648,5102516756,0,51728520,True,service,20,2.486,"LINESTRING (37.4613796 55.8094108, 37.4613399 55.8094123)",,,,parking_aisle,,,,,
251480055,303525911,0,539208876,False,residential,20,47.443,"LINESTRING (37.364546 55.8511122, 37.3651232 55.8508346)",,Пятницкое шоссе (дублёр),,,,,,,
251480055,1624880767,0,539208876,False,residential,20,86.858,"LINESTRING (37.364546 55.8511122, 37.3634818 55.8516155)",,Пятницкое шоссе (дублёр),,,,,,,
251641811,5241762232,0,624227646,True,secondary,20,10.671,"LINESTRING (37.3971763 55.799131, 37.3970143 55.7991613)",2,Таллинская улица,,,,,,,
251642128,4813342090,0,624227617,True,secondary,20,22.517,"LINESTRING (37.3976994 55.7988942, 37.3980576 55.7988726)",2,Таллинская улица,,,,,,,
251642130,5241762230,0,624227617,True,secondary,20,20.604,"LINESTRING (37.3987414 55.7988701, 37.3990697 55.7988869)",2,Таллинская улица,,,,,,,
251642669,3442369149,0,435282150,True,secondary,20,46.426,"LINESTRING (37.4085163 55.8023071, 37.4087902 55.8026952)",3,Таллинская улица,,,,,,,
251781697,7827768640,0,838813791,False,residential,20,12.33,"LINESTRING (37.3551853 55.8386404, 37.3549882 55.8386336)",,Пенягинская улица,,,,,,,
251781698,1247823402,0,838813791,False,residential,20,9.03,"LINESTRING (37.3545885 55.8385831, 37.3547266 55.8386072)",,Пенягинская улица,,,,,,,
252118348,4259411273,0,189264619,False,secondary,20,1.94,"LINESTRING (37.6634613 55.6448423, 37.663486 55.6448318)",4,улица Москворечье,,,,,,,
252118834,4259460335,0,189264619,False,secondary,20,16.079,"LINESTRING (37.6661832 55.6437817, 37.666388 55.6436948)",4,улица Москворечье,,,,,,,
252118834,2165047841,0,189264619,False,secondary,20,34.096,"LINESTRING (37.6661832 55.6437817, 37.6657379 55.6439574)",4,улица Москворечье,,,,,,,
252175213,1420902980,0,609981874,False,service,5,6.83,"LINESTRING (37.6615365 55.6680385, 37.6616448 55.668032)",,,,,,,,,
252191750,6868079756,0,733392340,True,secondary,20,25.313,"LINESTRING (37.6726815 55.6347928, 37.672366 55.634651)",2,Кавказский бульвар,,,,,,,
