u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,access,bridge,tunnel,area,service
7526506332,7526506324,0,804657857,True,carril bici Valencia COVID,cycleway,,376.437,"LINESTRING (2.1472838 41.3806923, 2.1481192 41.381318, 2.148227 41.3813987, 2.1484283 41.3815494, 2.149375 41.3822584, 2.1497126 41.3825112, 2.1499038 41.3826543, 2.1501249 41.3828199, 2.1504773 41.3830838)",,1,,,,,,
7526506339,7526506332,0,804657857,True,carril bici Valencia COVID,cycleway,,285.618,"LINESTRING (2.1448608 41.3788778, 2.1450658 41.3790313, 2.1458899 41.3796485, 2.1459598 41.3797009, 2.1460484 41.3797672, 2.1470654 41.3805288, 2.1472838 41.3806923)",,1,,,,,,
7526529967,2819073904,0,245966534,False,Carrer de Girona,cycleway,,232.13,"LINESTRING (2.1685552 41.3967208, 2.1684122 41.3968264, 2.1677509 41.3973425, 2.1676841 41.3973908, 2.1674794 41.3975388, 2.1672823 41.3976843, 2.1667703 41.398071, 2.1666678 41.3981487, 2.1665907 41.3981989)",2,2.5,,,,,,
7526529967,3184415046,0,245966534,False,Carrer de Girona,cycleway,,278.28299999999996,"LINESTRING (2.1685552 41.3967208, 2.1686071 41.3966825, 2.1688273 41.3965268, 2.1688597 41.3965039, 2.1691536 41.3962678, 2.1694968 41.3960116, 2.1697309 41.3958313, 2.1700114 41.3956235, 2.1703491 41.3953663, 2.1706542 41.3951374, 2.1706891 41.3951112, 2.1708659 41.3949742, 2.1709031 41.3949434)",2,2.5,,,,,,
7526529967,7679990621,0,804657856,True,carril bici Valencia COVID,cycleway,,462.446,"LINESTRING (2.1685552 41.3967208, 2.168569 41.3967297, 2.1685825 41.3967384, 2.1697465 41.3976045, 2.1708323 41.3983955, 2.1709131 41.3984552, 2.1720157 41.3992693, 2.1723284 41.3995116, 2.1724052 41.3995619, 2.1725036 41.3996398)",,0.5,,,,,,
7526529973,7515360116,0,"[803424592, 803424593, 803424594]",True,carril bici Lluria Provisional COVID,cycleway,,258.874,"LINESTRING (2.1663057 41.3950215, 2.165212 41.3958335, 2.1642994 41.3965351, 2.1641168 41.3966718)",,1,,,,,,
7526529973,7526529967,0,804657856,True,carril bici Valencia COVID,cycleway,,266.321,"LINESTRING (2.1663057 41.3950215, 2.1663346 41.3950389, 2.1673166 41.3957716, 2.1674734 41.3958941, 2.1675433 41.3959477, 2.1684946 41.3966734, 2.1685552 41.3967208)",,0.5,,,,,,
7526529975,7511926391,0,"[803424576, 803424577, 803424579, 803424575]",True,carril bici Pau Claris Provisional COVID,cycleway,,277.584,"LINESTRING (2.1652433 41.3942183, 2.1652772 41.3941928, 2.1653502 41.3941377, 2.1654246 41.3940816, 2.1655577 41.3939813, 2.1658287 41.3937769, 2.1661771 41.3935012, 2.1664101 41.3933347, 2.1664437 41.3933132, 2.166476 41.3932889, 2.1665 41.3932708, 2.1675492 41.3924829, 2.16759 41.3924489)",,1,,,,,,
7526529975,7526529973,0,804657856,True,carril bici Valencia COVID,cycleway,,125.829,"LINESTRING (2.1652433 41.3942183, 2.1652794 41.3942494, 2.1663057 41.3950215)",,0.5,,,,,,
7526564089,4059473351,0,"[220239216, 403598905, 493079383]",False,"['Plaça del Doctor Letamendi', ""Carrer d'Enric Granados""]",cycleway,,157.86100000000002,"LINESTRING (2.159548 41.3899024, 2.1595939 41.3898677, 2.1601525 41.3894472, 2.1601534 41.3893946, 2.1601637 41.3888031, 2.1601641 41.3887773, 2.1602688 41.3887044)",2,3,,,,,,
7526564089,2641101889,0,"[220239216, 220239098]",False,Carrer d'Enric Granados,cycleway,,261.247,"LINESTRING (2.159548 41.3899024, 2.159024 41.3902979, 2.1587251 41.3905217, 2.1586632 41.3905685, 2.1584373 41.3907396, 2.1578946 41.3911574, 2.1575084 41.391448, 2.1573442 41.3915716)",2,3,,,,,,
7526564089,7526529975,0,804657856,True,carril bici Valencia COVID,cycleway,,675.4069999999999,"LINESTRING (2.159548 41.3899024, 2.1595976 41.3899376, 2.1605211 41.3906224, 2.160702 41.3907641, 2.1609053 41.3909313, 2.1621812 41.3918858, 2.162266 41.3919445, 2.1623315 41.3919955, 2.1629413 41.3924622, 2.1636315 41.3929879, 2.1637807 41.3930858, 2.1639263 41.3931941, 2.1645949 41.3937087, 2.1651921 41.3941802, 2.1652433 41.3942183)",,0.5,,,,,,
7546057039,7546057040,0,806947677,False,,cycleway,,55.625,"LINESTRING (2.1826724 41.4293777, 2.1833394 41.4293656)",,,,,,,,
7546057040,7546057039,0,806947677,False,,cycleway,,55.625,"LINESTRING (2.1833394 41.4293656, 2.1826724 41.4293777)",,,,,,,,
7551637804,5000015111,0,506457180,True,Passeig de Sant Joan,cycleway,,286.03000000000003,"LINESTRING (2.1653878 41.4028018, 2.1652254 41.402924, 2.1645111 41.4034611, 2.1643334 41.4035948, 2.1642811 41.4036343, 2.1630213 41.4045573, 2.1629853 41.4045816, 2.1629507 41.4046113)",,,,,,,,
7551637804,7551748201,0,807541519,True,,cycleway,,520.365,"LINESTRING (2.1653878 41.4028018, 2.1654149 41.4028258, 2.1658116 41.403135, 2.1663784 41.4035763, 2.1669142 41.403985, 2.1674555 41.4043954, 2.1680555 41.4048536, 2.1685959 41.4052568, 2.1697697 41.4061008, 2.1697913 41.4061162)",,,,,,,,
