u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,width,est_width,access,bridge,tunnel,area,service
2819073400,3184415060,0,245966534,False,2,Carrer de Girona,cycleway,,32.884,"LINESTRING (2.1697309 41.3958313, 2.1700114 41.3956235)",2.5,,,,,,
2819073902,3184416471,0,245966534,False,2,Carrer de Girona,cycleway,,23.066,"LINESTRING (2.1674794 41.3975388, 2.1672823 41.3976843)",2.5,,,,,,
2819073902,6855299019,0,245966534,False,2,Carrer de Girona,cycleway,,23.714,"LINESTRING (2.1674794 41.3975388, 2.1676841 41.3973908)",2.5,,,,,,
2819073903,2819073904,0,245966534,False,2,Carrer de Girona,cycleway,,8.516,"LINESTRING (2.1666678 41.3981487, 2.1665907 41.3981989)",2.5,,,,,,
2819073903,3207273479,0,245966534,False,2,Carrer de Girona,cycleway,,12.155,"LINESTRING (2.1666678 41.3981487, 2.1667703 41.398071)",2.5,,,,,,
2819073904,1864143454,0,175855335,True,,Avinguda Diagonal,cycleway,,4.191,"LINESTRING (2.1665907 41.3981989, 2.1666381 41.3982114)",,2.5,,,,,
2819073904,2819073905,0,245966534,False,2,Carrer de Girona,cycleway,,12.882,"LINESTRING (2.1665907 41.3981989, 2.1664862 41.3982842)",2.5,,,,,,
2819073904,2819073903,0,245966534,False,2,Carrer de Girona,cycleway,,8.516,"LINESTRING (2.1665907 41.3981989, 2.1666678 41.3981487)",2.5,,,,,,
2819073905,6374595630,0,245966534,False,2,Carrer de Girona,cycleway,,14.326,"LINESTRING (2.1664862 41.3982842, 2.1663832 41.3983873)",2.5,,,,,,
2819073905,2819073904,0,245966534,False,2,Carrer de Girona,cycleway,,12.882,"LINESTRING (2.1664862 41.3982842, 2.1665907 41.3981989)",2.5,,,,,,
2819073906,7354352905,0,314679874,True,,Avinguda Diagonal,cycleway,,137.199,"LINESTRING (2.1663722 41.3983845, 2.1648149 41.3979873)",,2.5,,,,,
2819073908,7045171438,0,245966534,False,2,Carrer de Girona,cycleway,,4.162,"LINESTRING (2.1662658 41.3984779, 2.1662321 41.3985055)",2.5,,,,,,
2819073908,5927245609,0,245966534,False,2,Carrer de Girona,cycleway,,8.207,"LINESTRING (2.1662658 41.3984779, 2.1663305 41.3984223)",2.5,,,,,,
2819073911,4858308200,0,245966534,False,2,Carrer de Girona,cycleway,,66.663,"LINESTRING (2.1640937 41.4000949, 2.1646543 41.3996676)",2.5,,,,,,
2828177961,2828177962,0,43811852,False,2,Carrer de Vilamarí,cycleway,,11.078,"LINESTRING (2.1518308 41.3770547, 2.1519267 41.3769858)",2,3,,,,,
2828177961,3527091663,0,43811852,False,2,Carrer de Vilamarí,cycleway,,12.176,"LINESTRING (2.1518308 41.3770547, 2.1517292 41.3771333)",2,3,,,,,
2828177962,4709079561,0,43811852,False,2,Carrer de Vilamarí,cycleway,,2.547,"LINESTRING (2.1519267 41.3769858, 2.1519476 41.3769691)",2,3,,,,,
2828177962,2828177961,0,43811852,False,2,Carrer de Vilamarí,cycleway,,11.078,"LINESTRING (2.1519267 41.3769858, 2.1518308 41.3770547)",2,3,,,,,
2828177963,5165987700,0,43811852,False,2,Carrer de Vilamarí,cycleway,,10.085,"LINESTRING (2.1519906 41.3769346, 2.1520753 41.3768699)",2,3,,,,,
2828177963,5801456345,0,43811852,False,2,Carrer de Vilamarí,cycleway,,1.729,"LINESTRING (2.1519906 41.3769346, 2.1519765 41.376946)",2,3,,,,,
2828177964,6778360305,0,43811852,False,2,Carrer de Vilamarí,cycleway,,14.558,"LINESTRING (2.1530649 41.3761135, 2.1531906 41.3760227)",2,3,,,,,
2828177964,7160432342,0,43811852,False,2,Carrer de Vilamarí,cycleway,,25.632,"LINESTRING (2.1530649 41.3761135, 2.1528497 41.376278)",2,3,,,,,
2828177965,6778377390,0,43811852,False,2,Carrer de Vilamarí,cycleway,,16.353,"LINESTRING (2.1534239 41.37583, 2.1535789 41.37574)",2,3,,,,,
2828177965,4858092669,0,43811852,False,2,Carrer de Vilamarí,cycleway,,21.963,"LINESTRING (2.1534239 41.37583, 2.1532511 41.375979)",2,3,,,,,
2828177966,2828177968,0,43811852,False,2,Carrer de Vilamarí,cycleway,,37.572,"LINESTRING (2.1537104 41.3756636, 2.1540032 41.3754069)",2,3,,,,,
2828177966,6778377390,0,43811852,False,2,Carrer de Vilamarí,cycleway,,13.877,"LINESTRING (2.1537104 41.3756636, 2.1535789 41.37574)",2,3,,,,,
2828177968,4858092668,0,43811852,False,2,Carrer de Vilamarí,cycleway,,11.228,"LINESTRING (2.1540032 41.3754069, 2.1541377 41.3754039)",2,3,,,,,
2828177968,2828177966,0,43811852,False,2,Carrer de Vilamarí,cycleway,,37.572,"LINESTRING (2.1540032 41.3754069, 2.1537104 41.3756636)",2,3,,,,,
2828177969,2828177970,0,43811852,False,2,Carrer de Vilamarí,cycleway,,5.613,"LINESTRING (2.1542965 41.3754007, 2.1543424 41.3753638)",2,3,,,,,
2828177969,4858092668,0,43811852,False,2,Carrer de Vilamarí,cycleway,,13.255,"LINESTRING (2.1542965 41.3754007, 2.1541377 41.3754039)",2,3,,,,,
2828177970,2828177971,0,43811852,False,2,Carrer de Vilamarí,cycleway,,5.464,"LINESTRING (2.1543424 41.3753638, 2.1543787 41.3753229)",2,3,,,,,
2828177970,2828177969,0,43811852,False,2,Carrer de Vilamarí,cycleway,,5.613,"LINESTRING (2.1543424 41.3753638, 2.1542965 41.3754007)",2,3,,,,,
2828177971,7387068458,0,43811852,False,2,Carrer de Vilamarí,cycleway,,14.9,"LINESTRING (2.1543787 41.3753229, 2.1543794 41.3751889)",2,3,,,,,
2828177971,2828177970,0,43811852,False,2,Carrer de Vilamarí,cycleway,,5.464,"LINESTRING (2.1543787 41.3753229, 2.1543424 41.3753638)",2,3,,,,,
2828179806,3314271847,0,655748534,False,2,Carrer d'Enric Granados,cycleway,,3.968,"LINESTRING (2.1629797 41.3873081, 2.1629455 41.3873329)",3,,,,,,
2828182360,7326548097,0,114570864,False,2,Avinguda Diagonal,cycleway,,9.072,"LINESTRING (2.2186148 41.4115853, 2.2186913 41.4116433)",3,,,,,,
2828182360,7326548098,0,114570864,False,2,Avinguda Diagonal,cycleway,,8.764,"LINESTRING (2.2186148 41.4115853, 2.2185363 41.4115329)",3,,,,,,
2828182361,4906795964,0,114570864,False,2,Avinguda Diagonal,cycleway,,17.847,"LINESTRING (2.2187965 41.4117263, 2.2189526 41.4118361)",3,,,,,,
2828182361,5013852746,0,114570864,False,2,Avinguda Diagonal,cycleway,,5.027,"LINESTRING (2.2187965 41.4117263, 2.218752 41.4116958)",3,,,,,,
2836500336,1377225818,0,732293513,True,1,Plaça del Cinc d'Oros,cycleway,,6.811,"LINESTRING (2.1598621 41.3963993, 2.1599422 41.3964112)",2.5,2.5,,,,,
2844926041,7159042939,0,280316237,False,,,cycleway,,30.925,"LINESTRING (2.181873 41.4598883, 2.1815925 41.4597062)",,,,,,,
2844926041,1297790793,0,280350182,False,,,cycleway,,173.806,"LINESTRING (2.181873 41.4598883, 2.1834362 41.4609231)",,,,yes,,,
2845200027,2400142457,0,271792295,False,,,cycleway,,19.11,"LINESTRING (2.1963729 41.3873103, 2.1961446 41.3872962)",,,,,,,
2845200041,2845200042,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,137.557,"LINESTRING (2.1955542 41.3843737, 2.1948612 41.3832512)",3,,,,,,
2845200042,2845200043,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,59.708,"LINESTRING (2.1948612 41.3832512, 2.1945632 41.382763)",3,,,,,,
2845200042,2845200041,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,137.557,"LINESTRING (2.1948612 41.3832512, 2.1955542 41.3843737)",3,,,,,,
2845200043,2845200044,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,121.43,"LINESTRING (2.1945632 41.382763, 2.1939483 41.3817732)",3,,,,,,
2845200043,2845200042,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,59.708,"LINESTRING (2.1945632 41.382763, 2.1948612 41.3832512)",3,,,,,,
2845200044,2845200045,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,104.416,"LINESTRING (2.1939483 41.3817732, 2.1934221 41.3809212)",3,,,,,,
2845200044,2845200043,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,121.43,"LINESTRING (2.1939483 41.3817732, 2.1945632 41.382763)",3,,,,,,
2845200045,2845200046,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,58.781,"LINESTRING (2.1934221 41.3809212, 2.1931255 41.3804417)",3,,,,,,
2845200045,2845200044,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,104.416,"LINESTRING (2.1934221 41.3809212, 2.1939483 41.3817732)",3,,,,,,
2845200046,2845200047,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,92.453,"LINESTRING (2.1931255 41.3804417, 2.1926752 41.379682)",3,,,,,,
2845200046,2845200045,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,58.781,"LINESTRING (2.1931255 41.3804417, 2.1934221 41.3809212)",3,,,,,,
2845200047,4850297229,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,46.67,"LINESTRING (2.1926752 41.379682, 2.1924216 41.3793079)",3,,,,,,
2845200047,2845200046,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,92.453,"LINESTRING (2.1926752 41.379682, 2.1931255 41.3804417)",3,,,,,,
2845200048,4850297229,0,280405219,False,2,Passeig Marítim de la Barceloneta,cycleway,,45.818,"LINESTRING (2.192186 41.3789357, 2.1924216 41.3793079)",3,,,,,,
2845227534,2845227535,0,280408883,False,,,cycleway,,6.321,"LINESTRING (2.1451969 41.3651506, 2.1451394 41.3651876)",,,,,,,
2845227535,2267420361,0,280408883,False,,,cycleway,,5.058,"LINESTRING (2.1451394 41.3651876, 2.1450788 41.3651884)",,,,,,,
2845227535,2845227534,0,280408883,False,,,cycleway,,6.321,"LINESTRING (2.1451394 41.3651876, 2.1451969 41.3651506)",,,,,,,
2845227536,2267420368,0,280408883,False,,,cycleway,,10.833,"LINESTRING (2.1449702 41.3653265, 2.1450033 41.3652323)",,,,,,,
2845227536,2845227537,0,701725125,False,,,cycleway,,6.841,"LINESTRING (2.1449702 41.3653265, 2.1448883 41.3653291)",,,,,,,
2845227537,6590144395,0,701725125,False,,,cycleway,,9.19,"LINESTRING (2.1448883 41.3653291, 2.1447782 41.3653308)",,,,,,,
2845227537,2845227536,0,701725125,False,,,cycleway,,6.841,"LINESTRING (2.1448883 41.3653291, 2.1449702 41.3653265)",,,,,,,
2869959961,1796485269,0,790614659,False,2,Ronda del Guinardó,cycleway,,39.408,"LINESTRING (2.1764602 41.4193065, 2.1763123 41.4189699)",2.5,,,,,,
2869959961,6247558353,0,790614659,False,2,Ronda del Guinardó,cycleway,,15.187,"LINESTRING (2.1764602 41.4193065, 2.1765108 41.4194377)",2.5,,,,,,
2869959964,7391288256,0,790614662,False,2,Ronda del Guinardó,cycleway,,3.87,"LINESTRING (2.1762596 41.4188372, 2.1762475 41.4188036)",2.5,,,,,,
2869959964,7391288255,0,790614662,False,2,Ronda del Guinardó,cycleway,,3.887,"LINESTRING (2.1762596 41.4188372, 2.1762729 41.4188707)",2.5,,,,,,
2869959980,1796485171,0,790614661,False,2,Ronda del Guinardó,cycleway,,60.996,"LINESTRING (2.175663 41.4178621, 2.1751963 41.4174397)",2.5,,,,,,
2869959980,3735276551,0,790614661,False,2,Ronda del Guinardó,cycleway,,29.888,"LINESTRING (2.175663 41.4178621, 2.1758639 41.4180847)",2.5,,,,,,
2874226366,5268180290,0,316789514,False,,Gran Via de les Corts Catalanes,cycleway,,3.191,"LINESTRING (2.1686741 41.3895501, 2.168701 41.3895297)",,,,,,,
2874226366,5268180286,0,316789514,False,,Gran Via de les Corts Catalanes,cycleway,,2.275,"LINESTRING (2.1686741 41.3895501, 2.1686546 41.3895644)",,,,,,,
2874226367,5268180308,0,316789514,False,,Gran Via de les Corts Catalanes,cycleway,,1.695,"LINESTRING (2.1684555 41.3897252, 2.1684697 41.3897143)",,,,,,,
2874226367,4620983838,0,316789514,False,,Gran Via de les Corts Catalanes,cycleway,,3.04,"LINESTRING (2.1684555 41.3897252, 2.1684308 41.3897453)",,,,,,,
2874232222,2874232223,0,701739499,False,,Plaça de Mossèn Jacint Verdaguer,cycleway,,10.148,"LINESTRING (2.1703964 41.3992086, 2.1703553 41.3992945)",2,,,,,,
2874232222,430535717,0,701739499,False,,Plaça de Mossèn Jacint Verdaguer,cycleway,,8.673,"LINESTRING (2.1703964 41.3992086, 2.1704323 41.3991354)",2,,,,,,
2874232223,430535718,0,701739499,False,,Plaça de Mossèn Jacint Verdaguer,cycleway,,8.938,"LINESTRING (2.1703553 41.3992945, 2.1703171 41.3993696)",2,,,,,,
2874232223,2874232222,0,701739499,False,,Plaça de Mossèn Jacint Verdaguer,cycleway,,10.148,"LINESTRING (2.1703553 41.3992945, 2.1703964 41.3992086)",2,,,,,,
