u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,ref,junction,access,bridge,service,tunnel,area
1374757842,359236960,0,663685437,False,Carrer del Marquès de Mulhacén,residential,30,104.50399999999999,"LINESTRING (2.1203927 41.3909568, 2.1205718 41.3907541, 2.1207215 41.3905446, 2.1209192 41.3901103)",,,,,,,,,,
1374757842,359236956,0,663685437,False,Carrer del Marquès de Mulhacén,residential,30,58.356,"LINESTRING (2.1203927 41.3909568, 2.1201753 41.3911324, 2.1199061 41.3913337)",,,,,,,,,,
1374800793,1374801041,0,123214379,False,Carrer de la Festa Major,residential,30,46.932,"LINESTRING (2.1053198 41.3888433, 2.1049978 41.3884972)",,,,,,,,,,
1374800793,1374800911,0,416714468,True,Carrer dels Herois del Bruc,residential,30,18.397,"LINESTRING (2.1053198 41.3888433, 2.1054753 41.388791, 2.1055209 41.3887754)",,,,,,,,,,
1374800819,1374801046,0,123214377,False,Carrer d'Aiguallonga,residential,30,66.296,"LINESTRING (2.1046813 41.3884066, 2.1051325 41.3888974)",,,,,,,,,,
1374800890,1374800961,0,123214353,False,Carrer de Can Falgàs,residential,30,78.217,"LINESTRING (2.1057568 41.3904047, 2.1058024 41.3906562, 2.1058482 41.3908825, 2.1058427 41.3909923, 2.105795 41.3910972)",,,,,,,,,,
1374800910,1374800965,0,416713364,False,Costa de Sant Bartomeu de la Quadra,residential,30,37.381,"LINESTRING (2.1041181 41.38962, 2.1038482 41.3896361, 2.1036729 41.389616)",,,,,,,,,,
1374800910,1374801002,0,416717047,False,Costa de Sant Bartomeu de la Quadra,residential,30,56.978,"LINESTRING (2.1041181 41.38962, 2.1042308 41.3892256, 2.1042398 41.3892005, 2.1042572 41.3891748, 2.1042816 41.3891613, 2.1043188 41.3891467)",,,,,,,,,,
1374800910,5983132720,0,633896459,False,Passatge de Santa de Vilalba,residential,30,31.208,"LINESTRING (2.1041181 41.38962, 2.104166 41.389628, 2.1042498 41.3897221, 2.1044002 41.3896562)",,,,,,,,,,
1374800911,1567090304,0,143215465,False,Carrer d'Ardena,residential,30,55.332,"LINESTRING (2.1055209 41.3887754, 2.105172 41.3883522)",,,,,,,,,,
1374800911,1374801052,0,123214362,False,Carrer del Torrent de les Roses,residential,30,78.57600000000001,"LINESTRING (2.1055209 41.3887754, 2.1055481 41.3888473, 2.105585 41.3889531, 2.1055899 41.3890775, 2.1055772 41.3891561, 2.105542 41.3892342, 2.1054684 41.3893113, 2.1053707 41.3893753, 2.105325 41.3894034)",2,4.5,,,,destination,,,,
1374800911,690679215,0,123214371,False,Carrer d'Eduard Toldrà,residential,30,131.97199999999998,"LINESTRING (2.1055209 41.3887754, 2.1056791 41.3886883, 2.1059183 41.3885707, 2.1067734 41.3881501, 2.1068411 41.3881222)",,,,,,,,,,
1374800911,359236628,0,143215467,True,Carrer d'Ardena,residential,30,230.128,"LINESTRING (2.1055209 41.3887754, 2.1065276 41.3899617, 2.1068602 41.3902616, 2.1071359 41.39044)",,,,,,,,,,
