u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,lanes,ref,width,est_width,bridge,tunnel,junction,area,service
26057341,30242757,0,"[34608163, 584532229]",Plaça d'Urquinaona,secondary_link,50,True,47.696,"LINESTRING (2.1737489 41.3893436, 2.1736292 41.389452, 2.173626 41.3894558, 2.1736195 41.3894645, 2.1735855 41.3895, 2.1734065 41.3896867)",,4,,,,,,,,
26057342,26057345,0,237910182,Carrer del Bruc,residential,30,True,108.376,"LINESTRING (2.1753258 41.3899292, 2.1754936 41.3898042, 2.1755209 41.389783, 2.1757693 41.3895897, 2.1760078 41.3894078, 2.1760282 41.3893913, 2.1762283 41.3892283)",,,,,,,,,,
26057342,26057341,0,"[546133684, 511211614]",Ronda de Sant Pere,secondary,50,True,146.791,"LINESTRING (2.1753258 41.3899292, 2.1751258 41.3898555, 2.1750298 41.3898189, 2.1746196 41.3896622, 2.1739949 41.3894375, 2.1739462 41.3894189, 2.1737489 41.3893436)",,4,,,,,,,,
26057345,533662625,0,"[546184105, 237566135]",Carrer de Trafalgar,secondary,50,True,137.032,"LINESTRING (2.1762283 41.3892283, 2.1764709 41.3894054, 2.1764716 41.3894059, 2.1764867 41.389417, 2.176903 41.389722, 2.1769405 41.3897513, 2.1772217 41.3899686, 2.1772564 41.3899932, 2.1773652 41.3900703, 2.1773975 41.3900937)",,3,,,,,,,,
26057346,26057345,0,546184105,Carrer de Trafalgar,secondary,50,True,41.504,"LINESTRING (2.1758863 41.3889575, 2.1760227 41.3890608, 2.1760538 41.3890847, 2.1761528 41.3891609, 2.1762283 41.3892283)",,3,,,,,,,,
26057347,26057346,0,237725943,Carrer de Trafalgar,secondary,50,True,178.851,"LINESTRING (2.1737424 41.3889558, 2.1738737 41.3889553, 2.1739038 41.3889554, 2.1756659 41.3889572, 2.175684 41.3889572, 2.1758863 41.3889575)",,3,,,,,,,,
26057347,26057341,0,237725954,Plaça d'Urquinaona,secondary_link,50,True,43.304,"LINESTRING (2.1737424 41.3889558, 2.1737222 41.3890912, 2.1737283 41.3891491, 2.1737489 41.3893436)",,2,,,,,,,,
26057388,26057389,0,"[532696001, 545718433]",Gran Via de les Corts Catalanes,primary,50,True,132.58299999999997,"LINESTRING (2.1608564 41.3838266, 2.1610161 41.3839475, 2.161607 41.3844029, 2.1616377 41.3844258, 2.1618194 41.3845684, 2.1619691 41.3846778)",,5,C-31,12,,,,,,
26057388,30238009,0,"[550280513, 237506925]",Carrer de Casanova,tertiary,30,True,150.438,"LINESTRING (2.1608564 41.3838266, 2.1607665 41.3838944, 2.160723 41.3839272, 2.1606982 41.3839469, 2.1606726 41.3839653, 2.1605811 41.3840342, 2.1598054 41.3846191, 2.1595845 41.3847856)",,3,,,,,,,,
26057389,559026424,0,328020785,Carrer de Muntaner,secondary,50,True,17.76,"LINESTRING (2.1619691 41.3846778, 2.1620422 41.3846177, 2.1620652 41.3845981, 2.162092 41.3845766, 2.1621127 41.3845599)",,2,,,,,,,,
