u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,bridge,access,est_width,tunnel,ref,junction
4379966524,3552744835,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.505,"LINESTRING (-73.93195729999999 40.867397, -73.9319752 40.8673971)",,,,,,,,
4379966524,4379966526,0,278059226,False,Fort Washington Park Greenway,cycleway,,2.084,"LINESTRING (-73.93195729999999 40.867397, -73.9319386 40.8674093)",,,,,,,,
4379966525,4379966527,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.813,"LINESTRING (-73.9319837 40.8674068, -73.931983 40.8674231)",,,,,,,,
4379966525,3552744835,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.294,"LINESTRING (-73.9319837 40.8674068, -73.9319752 40.8673971)",,,,,,,,
4379966526,4379966524,0,278059226,False,Fort Washington Park Greenway,cycleway,,2.084,"LINESTRING (-73.9319386 40.8674093, -73.93195729999999 40.867397)",,,,,,,,
4379966526,3552744834,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.947,"LINESTRING (-73.9319386 40.8674093, -73.9319247 40.8674233)",,,,,,,,
4379966527,3552744836,0,278059226,False,Fort Washington Park Greenway,cycleway,,2.173,"LINESTRING (-73.931983 40.8674231, -73.93197360000001 40.8674413)",,,,,,,,
4379966527,4379966525,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.813,"LINESTRING (-73.931983 40.8674231, -73.9319837 40.8674068)",,,,,,,,
4379966528,4379966529,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.461,"LINESTRING (-73.9313878 40.8679989, -73.9313865 40.868012)",,,,,,,,
4379966528,3552744830,0,278059226,False,Fort Washington Park Greenway,cycleway,,2.51,"LINESTRING (-73.9313878 40.8679989, -73.9314 40.8679783)",,,,,,,,
4379966529,3552744831,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.408,"LINESTRING (-73.9313865 40.868012, -73.9313966 40.8680221)",,,,,,,,
4379966529,4379966528,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.461,"LINESTRING (-73.9313865 40.868012, -73.9313878 40.8679989)",,,,,,,,
4379966530,3552744832,0,278059226,False,Fort Washington Park Greenway,cycleway,,3.542,"LINESTRING (-73.93142760000001 40.8680146, -73.9314523 40.8679888)",,,,,,,,
4379966530,4379966531,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.485,"LINESTRING (-73.93142760000001 40.8680146, -73.9314129 40.868022)",,,,,,,,
4379966531,4379966530,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.485,"LINESTRING (-73.9314129 40.868022, -73.93142760000001 40.8680146)",,,,,,,,
4379966531,3552744831,0,278059226,False,Fort Washington Park Greenway,cycleway,,1.371,"LINESTRING (-73.9314129 40.868022, -73.9313966 40.8680221)",,,,,,,,
4379966532,4379966535,0,278059226,False,Fort Washington Park Greenway,cycleway,,23.533,"LINESTRING (-73.93137400000001 40.8685346, -73.9312791 40.8687337)",,,,,,,,
4379966532,3552744837,0,278059226,False,Fort Washington Park Greenway,cycleway,,100.131,"LINESTRING (-73.93137400000001 40.8685346, -73.93181389999999 40.8676978)",,,,,,,,
4379966535,4515465266,0,278059226,False,Fort Washington Park Greenway,cycleway,,13.624,"LINESTRING (-73.9312791 40.8687337, -73.9312243 40.868849)",,,,,,,,
4379966535,4379966532,0,278059226,False,Fort Washington Park Greenway,cycleway,,23.533,"LINESTRING (-73.9312791 40.8687337, -73.93137400000001 40.8685346)",,,,,,,,
4379966535,1764661442,0,517694719,True,,unclassified,,3.518,"LINESTRING (-73.9312791 40.8687337, -73.93123749999999 40.8687303)",,,,,,,,
4401241777,598195027,0,442439747,False,East River Esplanade,cycleway,,28.51,"LINESTRING (-73.9744098 40.7366068, -73.9744894 40.7363576)",,,,,,,,
