u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,width,access,est_width,bridge,junction,tunnel,ref,area
361736,966840493,0,3630649,,Rue du Château des Rentiers,residential,30,False,10.826,"LINESTRING (2.3599644 48.832001, 2.3600551 48.8319241)",,,,,,,,,
361739,659360428,0,733182172,,Place d'Italie,residential,30,True,43.885,"LINESTRING (2.3567175 48.8318002, 2.356841 48.831414)",,,,,,,,,
361740,253549784,0,51560040,,Place d'Italie,residential,30,True,13.713,"LINESTRING (2.3560813 48.8322428, 2.3562089 48.8321525)",,,,,,,,,
361742,6475521565,0,4434919,,Place des Alpes,residential,30,True,3.58,"LINESTRING (2.3589341 48.8320387, 2.3588902 48.8320529)",,,,,,,,,
361744,6865885342,0,2573,,Place des Alpes,residential,30,True,2.697,"LINESTRING (2.3584105 48.8321857, 2.3583784 48.8321738)",,,,,,,,,
361744,2625387002,0,1345035,,Rue Fagon,residential,30,False,9.256,"LINESTRING (2.3584105 48.8321857, 2.358297 48.8322224)",,,,,,,,,
361745,1928023421,0,2573,,Place des Alpes,residential,30,True,3.466,"LINESTRING (2.358415 48.8320005, 2.3584614 48.8319943)",,,,,,,,,
361746,6865885340,0,2573,,Place des Alpes,residential,30,True,3.459,"LINESTRING (2.3586191 48.8320895, 2.3586137 48.8321204)",,,,,,,,,
361747,1920074474,0,1345035,,Rue Fagon,residential,30,False,12.706,"LINESTRING (2.3564892 48.8328074, 2.356645 48.832757)",,,,,,,,,
361748,2272081782,0,3630709,,Avenue Stephen Pichon,residential,30,False,34.962,"LINESTRING (2.3588028 48.8325125, 2.3590128 48.8327949)",,,,,,,,,
361748,2650782889,0,3630709,,Avenue Stephen Pichon,residential,30,False,37.607,"LINESTRING (2.3588028 48.8325125, 2.358577 48.8322087)",,,,,,,,,
361749,2650782900,0,3630709,,Avenue Stephen Pichon,residential,30,False,84.256,"LINESTRING (2.3593046 48.8331875, 2.3598106 48.8338681)",,,,,,,,,
361749,2272081783,0,3630709,,Avenue Stephen Pichon,residential,30,False,31.046,"LINESTRING (2.3593046 48.8331875, 2.3591182 48.8329367)",,,,,,,,,
361769,2264971743,0,3630650,,Rue Nationale,tertiary,30,False,9.734,"LINESTRING (2.3634307 48.8317901, 2.3635211 48.8317259)",,,,,,,,,
361769,2301514744,0,3630650,,Rue Nationale,tertiary,30,False,83.013,"LINESTRING (2.3634307 48.8317901, 2.3626819 48.8323508)",,,,,,,,,
361795,1928023436,0,2573,,Place des Alpes,residential,30,True,3.246,"LINESTRING (2.3585528 48.8321761, 2.3585128 48.8321887)",,,,,,,,,
361795,2650782889,0,3630709,,Avenue Stephen Pichon,residential,30,False,4.035,"LINESTRING (2.3585528 48.8321761, 2.358577 48.8322087)",,,,,,,,,
366594,2301475371,0,56760466,,Rue de Tolbiac,secondary,30,False,8.145,"LINESTRING (2.3664849 48.8270179, 2.366594 48.8270323)",,,,,,,,,
366594,2301475374,0,57941687,,Rue Nationale,tertiary,30,True,10.2,"LINESTRING (2.3664849 48.8270179, 2.3664325 48.8271029)",,,,,,,,,
366594,2301475365,0,209282568,2,Rue de Tolbiac,secondary,30,False,7.28,"LINESTRING (2.3664849 48.8270179, 2.3663875 48.8270047)",,,,,,,,,
366595,2529812278,0,3630659,,Rue de Patay,tertiary,30,False,17.39,"LINESTRING (2.3713592 48.8276787, 2.3711914 48.8277894)",,,,,,,,,
366595,3375711590,0,166755012,,Rue de Tolbiac,secondary,30,False,11.992,"LINESTRING (2.3713592 48.8276787, 2.3711988 48.8276568)",,,,,,,,,
366596,3375712096,0,166755012,,Rue de Tolbiac,secondary,30,False,10.893,"LINESTRING (2.3691247 48.8273743, 2.3692704 48.8273942)",,,,,,,,,
366596,6331439628,0,166755012,,Rue de Tolbiac,secondary,30,False,38.707,"LINESTRING (2.3691247 48.8273743, 2.3686069 48.8273038)",,,,,,,,,
367504,2734064446,0,22617761,,Place Saint-Germain des Prés,residential,30,True,13.604,"LINESTRING (2.3333421 48.8537953, 2.3333923 48.8539131)",,,,,,,,,
367508,25095598,0,22706102,,Rue Danton,tertiary,30,True,65.231,"LINESTRING (2.3427988 48.8529535, 2.3421118 48.8525796)",,,,,,,,,
367618,1179767097,0,4209521,,Avenue René Coty,tertiary,30,True,9.813,"LINESTRING (2.332712 48.8333972, 2.3326588 48.8333162)",,,,,,,,,
367908,6046911445,0,122617706,,Avenue Gourgaud,residential,30,False,12.05,"LINESTRING (2.297261 48.885359, 2.2972551 48.8854673)",,,,,,,,,
367914,1987590727,0,4039534,,Boulevard Pereire,secondary,30,True,35.27,"LINESTRING (2.3105625 48.8881726, 2.3100824 48.8881417)",,,,,,,,,
367915,403567195,0,24038199,,Rue Cardinet,secondary,30,False,14.351,"LINESTRING (2.3141215 48.8873505, 2.31427 48.8874349)",,,,,,,,,
367928,2323405635,0,32785178,,Rue de Londres,secondary,30,True,13.121,"LINESTRING (2.3269497 48.8778593, 2.3267882 48.8779107)",,,,,,,,,
367929,2503004960,0,10662784,,Rue Lepic,residential,30,True,7.123,"LINESTRING (2.3327896 48.8838764, 2.3328434 48.8839298)",,,,,,,,,
367929,2503004948,0,10664081,,Rue Puget,residential,30,True,8.798,"LINESTRING (2.3327896 48.8838764, 2.3329019 48.8839048)",,,,,,,,,
367934,1233136959,0,4018050,,Rue Le Peletier,tertiary,30,True,12.501,"LINESTRING (2.3398698 48.875888, 2.3398234 48.8757798)",,,,,,,,,
367943,7287923181,0,48964074,,Quai de Jemmapes,living_street,30,True,7.926,"LINESTRING (2.3675966 48.8794119, 2.3676985 48.8794362)",,,,,,,,,
367943,621240917,0,819754996,,Quai de Jemmapes,living_street,30,True,61.849,"LINESTRING (2.3675966 48.8794119, 2.3671858 48.8789257)",,,,,,,,,
367947,602283747,0,606386831,,Quai de Jemmapes,tertiary,30,True,9.045,"LINESTRING (2.3635398 48.8740589, 2.3635103 48.8741379)",,,,,,,,,
367986,2385164996,0,120726597,,Avenue Ledru-Rollin,tertiary,30,True,13.294,"LINESTRING (2.3761292 48.8512901, 2.375995 48.8512095)",,,,,,,,,
367988,1350641912,0,34322442,,Avenue Ledru-Rollin,secondary,30,True,8.395,"LINESTRING (2.3714593 48.8480061, 2.3713728 48.8479565)",,,,,,,,,
367989,355323671,0,19837416,,Avenue Ledru-Rollin,secondary,30,True,4.874,"LINESTRING (2.3725375 48.8486286, 2.3724869 48.8486001)",,,,,,,,,
367989,2284436498,0,41114143,,Avenue Daumesnil,secondary,30,True,45.447,"LINESTRING (2.3725375 48.8486286, 2.3720372 48.8488708)",,,,,,,,,
367989,616883313,0,191714990,,Avenue Ledru-Rollin,tertiary,30,False,5.534,"LINESTRING (2.3725375 48.8486286, 2.3725949 48.848661)",,,,,,,,,
367991,1573155823,0,120726600,,Rue de Prague,residential,30,False,6.25,"LINESTRING (2.3760584 48.8484349, 2.3760275 48.8483825)",,,,,,,,,
367991,2558367467,0,120726600,,Rue de Prague,residential,30,False,18.544,"LINESTRING (2.3760584 48.8484349, 2.3760325 48.8486008)",,,,,,,,,
367994,665309036,0,4039482,,Rue de Bercy,residential,30,True,3.956,"LINESTRING (2.3694048 48.8468478, 2.3693684 48.8468741)",,,,,,,,,
367994,2284436486,0,191714991,,Avenue Ledru-Rollin,secondary,30,True,8.769,"LINESTRING (2.3694048 48.8468478, 2.3693143 48.8467961)",,,,,,,,,
367995,5208501902,0,159314594,4,Rue de Bercy,tertiary,30,False,19.923,"LINESTRING (2.3722312 48.8444983, 2.3720719 48.8446436)",,,,,,,,,
367995,3476651847,0,739119860,1,Rue Van Gogh,unclassified,30,True,13.56,"LINESTRING (2.3722312 48.8444983, 2.3720946 48.8444159)",,,no,,,,,,
367998,1284603893,0,4517277,2,Rue de Rambouillet,unclassified,30,False,7.427,"LINESTRING (2.3815641 48.8442794, 2.3816485 48.8443165)",,,,,,,,,
368000,25009018,0,809612799,,Rue du Faubourg Saint-Antoine,primary,30,False,16.211,"LINESTRING (2.3847292 48.8500762, 2.3845112 48.8501022)",,,,,,,,,
368000,2297964803,0,809612799,,Rue du Faubourg Saint-Antoine,primary,30,False,11.981,"LINESTRING (2.3847292 48.8500762, 2.3848901 48.8500562)",,,,,,,,,
368001,5905114102,0,363716776,,Quai d'Austerlitz,primary,30,False,11.2,"LINESTRING (2.367868 48.8419094, 2.3677599 48.8419807)",,,,,,,,,
368001,5422262858,0,625418135,2,Avenue Pierre Mendès France,tertiary,30,False,8.69,"LINESTRING (2.367868 48.8419094, 2.3678049 48.8418432)",,,,,,,,,
368003,1784413125,0,4039782,,Avenue du Bel Air,residential,30,False,9.351,"LINESTRING (2.3967168 48.8474701, 2.396774 48.8473949)",,,,,,,,,
368006,6814266586,0,526161790,,Avenue de Taillebourg,secondary,30,False,8.662,"LINESTRING (2.397058 48.8491238, 2.3971335 48.8491838)",,,,,,,,,
368008,1017950103,0,4039061,,Avenue Philippe Auguste,secondary,30,False,25.948,"LINESTRING (2.3953051 48.8493599, 2.3954393 48.8491439)",,,,,,,,,
368008,1017950047,0,707097179,,Avenue Philippe Auguste,secondary,30,False,9.925,"LINESTRING (2.3953051 48.8493599, 2.3952537 48.8494425)",,,,,,,,,
368010,1784413162,0,34491643,,Rue du Faubourg Saint-Antoine,primary,30,False,9.054,"LINESTRING (2.3943563 48.8486112, 2.3942357 48.8486294)",,,,,,,,,
368010,5686909806,0,707097184,,Rue du Faubourg Saint-Antoine,primary,30,False,16.73,"LINESTRING (2.3943563 48.8486112, 2.3945791 48.8485774)",,,,,,,,,
368011,1784413131,0,34683401,,Avenue Dorian,residential,30,False,10.724,"LINESTRING (2.3946869 48.847716, 2.3945785 48.8476511)",,,,,,,,,
368012,1784413119,0,668036641,,Rue Fabre d'Églantine,tertiary,30,False,10.086,"LINESTRING (2.39573 48.8473365, 2.3957095 48.8472468)",,,,,,,,,
368014,2014216830,0,32695452,,Rue de Reuilly,tertiary,30,False,13.386,"LINESTRING (2.3867729 48.8473461, 2.3866885 48.8474529)",,,,,,,,,
368014,1784416560,0,34717498,,Rue de Reuilly,tertiary,30,False,13.876,"LINESTRING (2.3867729 48.8473461, 2.3868616 48.8472358)",,,,,,,,,
368014,2014216827,0,596105328,,Boulevard Diderot,secondary,30,False,11.446,"LINESTRING (2.3867729 48.8473461, 2.386619 48.8473277)",,,,,,,,,
368015,1376158953,0,34717498,,Rue de Reuilly,tertiary,30,False,63.259,"LINESTRING (2.3878147 48.8462764, 2.3883436 48.8458264)",,,,,,,,,
368015,257936424,0,34717498,,Rue de Reuilly,tertiary,30,False,42.359,"LINESTRING (2.3878147 48.8462764, 2.3874691 48.846582)",,,,,,,,,
368041,1798401001,0,4039425,,Rue des Rondeaux,residential,30,True,12.527,"LINESTRING (2.3955541 48.8649684, 2.3956459 48.8648733)",,,,,,,,,
368041,6454520747,0,15410384,,Rue de la Bidassoa,residential,30,True,9.002,"LINESTRING (2.3955541 48.8649684, 2.3954857 48.8650357)",,,,,,,,,
368041,4963220334,0,307919389,,Avenue Gambetta,primary,30,True,17.757,"LINESTRING (2.3955541 48.8649684, 2.3953427 48.8648899)",,,,,,,,,
368044,4005550091,0,23846826,,Rue de la Cour des Noues,residential,30,True,4.871,"LINESTRING (2.4015893 48.8644132, 2.401649 48.8643938)",,,,,,,,,
368047,2311924060,0,52514166,3,Rue de Bagnolet,tertiary,30,False,13.98,"LINESTRING (2.4085287 48.8644023, 2.4083589 48.8643446)",,,,,,,,,
368058,2325477519,0,22768259,,Avenue de Saint-Mandé,residential,30,True,13.982,"LINESTRING (2.4101755 48.8442874, 2.410117 48.8444071)",,,,,,,,,
368061,4691027102,0,4039782,,Avenue du Bel Air,residential,30,False,11.628,"LINESTRING (2.3982497 48.8453024, 2.3982405 48.8454068)",,,,,,,,,
368065,420550826,0,4039796,,Rue Lamblardie,residential,30,True,19.046,"LINESTRING (2.3961013 48.8397185, 2.3963116 48.8398194)",,,,,,,,,
368068,1088436971,0,130891742,3,Place Édouard Renard,secondary,30,True,13.524,"LINESTRING (2.406596 48.8353603, 2.4067511 48.8352942)",,,,,,,,,
368074,2720107789,0,516982835,2,Place Édouard Renard,secondary,30,True,17.754,"LINESTRING (2.4080632 48.8348528, 2.4083052 48.8348637)",,,,,,,,,
368075,5737319516,0,24677104,,Avenue du Général Dodds,residential,30,False,9.967,"LINESTRING (2.4057115 48.8333363, 2.405634 48.83341)",,,,,,,,,
368079,1284603862,0,4236169,2,Rue Montgallet,residential,30,False,6.994,"LINESTRING (2.3854014 48.8424248, 2.3854788 48.8424617)",,,,,,,,,
368082,6199587298,0,4039289,,Rue Proudhon,tertiary,30,False,10.822,"LINESTRING (2.3912093 48.8372975, 2.3910683 48.8372682)",,,,,,,,,
368082,2689407078,0,23782860,2,Rue de Charenton,secondary,30,False,10.439,"LINESTRING (2.3912093 48.8372975, 2.3912866 48.8372186)",,,,,,,,,
368082,1252378174,0,120689569,,Rue de Charenton,secondary,30,False,19.282,"LINESTRING (2.3912093 48.8372975, 2.3910553 48.8374382)",,,,,,,,,
368083,6199598326,0,4039268,,Rue Coriolis,residential,30,True,10.115,"LINESTRING (2.3900187 48.8370497, 2.3900951 48.8369739)",,,,,,,,,
368083,6199598325,0,4039289,,Rue Proudhon,tertiary,30,False,7.408,"LINESTRING (2.3900187 48.8370497, 2.3901152 48.8370698)",,,,,,,,,
368086,6817994916,0,4039710,,Rue de Bercy,residential,30,True,70.481,"LINESTRING (2.3795847 48.8398591, 2.3802051 48.8393743)",,,,,,,,,
368094,6475521578,0,4039598,,Avenue Pierre Mendès France,tertiary,30,True,4.356,"LINESTRING (2.3713522 48.8363674, 2.3713211 48.8364008)",,,,,,,,,
368096,432807838,0,583872430,,Rue George Balanchine,residential,30,True,5.917,"LINESTRING (2.3743687 48.8367538, 2.3743074 48.8367191)",,,,,,,,,
368133,2165221570,0,551416291,1,Rue Saint-Martin,residential,30,True,8.788,"LINESTRING (2.3492488 48.8573196, 2.3492889 48.8573941)",,,,,,,,,
368139,5092153447,0,4527583,,Rue Castex,residential,30,True,7.807,"LINESTRING (2.3665458 48.8535418, 2.3665154 48.8534745)",,,,,,,,,
368140,277500566,0,4527572,,Rue Saint-Paul,residential,30,True,8.924,"LINESTRING (2.3604658 48.8523738, 2.3605396 48.8524377)",,,,,,,,,
368141,6834588185,0,4294232,,Parc Rives de Seine - Georges Pompidou,service,30,False,10.25,"LINESTRING (2.3589713 48.8529093, 2.3589009 48.8528296)",,,no,,,,,,
