u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
5677833146,5677833171,0,595838404,True,Rue Rébeval,cycleway,30,4.369,"LINESTRING (2.3805739 48.8747658, 2.3805145 48.87477)",,,,,,,,,
5677833150,5677833147,0,595838404,True,Rue Rébeval,cycleway,30,18.438,"LINESTRING (2.3759185 48.8741458, 2.3757103 48.8742393)",,,,,,,,,
5677833151,5677833150,0,595838404,True,Rue Rébeval,cycleway,30,15.668,"LINESTRING (2.3761321 48.8741566, 2.3759185 48.8741458)",,,,,,,,,
5677833152,5677833151,0,595838404,True,Rue Rébeval,cycleway,30,22.373,"LINESTRING (2.3764375 48.8741683, 2.3761321 48.8741566)",,,,,,,,,
5677833153,5677833152,0,595838404,True,Rue Rébeval,cycleway,30,6.963,"LINESTRING (2.3765327 48.8741692, 2.3764375 48.8741683)",,,,,,,,,
5677833154,5677833153,0,595838404,True,Rue Rébeval,cycleway,30,9.08,"LINESTRING (2.3766565 48.874163, 2.3765327 48.8741692)",,,,,,,,,
5677833155,5677833154,0,595838404,True,Rue Rébeval,cycleway,30,10.42,"LINESTRING (2.3767989 48.8741599, 2.3766565 48.874163)",,,,,,,,,
5677833156,5677833155,0,595838404,True,Rue Rébeval,cycleway,30,7.947,"LINESTRING (2.3769072 48.8741657, 2.3767989 48.8741599)",,,,,,,,,
5677833157,5677833156,0,595838404,True,Rue Rébeval,cycleway,30,7.377,"LINESTRING (2.3770068 48.8741762, 2.3769072 48.8741657)",,,,,,,,,
5677833158,5677833157,0,595838404,True,Rue Rébeval,cycleway,30,5.777,"LINESTRING (2.3770839 48.8741875, 2.3770068 48.8741762)",,,,,,,,,
5677833159,5677833158,0,595838404,True,Rue Rébeval,cycleway,30,8.634,"LINESTRING (2.3771976 48.8742084, 2.3770839 48.8741875)",,,,,,,,,
5677833160,5677833159,0,595838404,True,Rue Rébeval,cycleway,30,12.75,"LINESTRING (2.3773589 48.8742519, 2.3771976 48.8742084)",,,,,,,,,
5677833160,96141927,0,661605394,False,,cycleway,30,5.79,"LINESTRING (2.3773589 48.8742519, 2.3773896 48.8742039)",,,,,,,,,
5677833161,5677833160,0,595838404,True,Rue Rébeval,cycleway,30,39.748,"LINESTRING (2.3778574 48.8743943, 2.3773589 48.8742519)",,,,,,,,,
5677833162,5677833161,0,595838404,True,Rue Rébeval,cycleway,30,3.473,"LINESTRING (2.3778997 48.8744085, 2.3778574 48.8743943)",,,,,,,,,
5677833163,5677833162,0,595838404,True,Rue Rébeval,cycleway,30,20.362,"LINESTRING (2.3781564 48.8744794, 2.3778997 48.8744085)",,,,,,,,,
5677833164,6661626700,0,595838404,True,Rue Rébeval,cycleway,30,2.347,"LINESTRING (2.3787231 48.874639, 2.3786936 48.8746307)",,,,,,,,,
5677833165,5677833164,0,595838404,True,Rue Rébeval,cycleway,30,3.151,"LINESTRING (2.378763 48.8746497, 2.3787231 48.874639)",,,,,,,,,
5677833166,5677833165,0,595838404,True,Rue Rébeval,cycleway,30,10.903,"LINESTRING (2.3789035 48.8746825, 2.378763 48.8746497)",,,,,,,,,
5677833167,5677833166,0,595838404,True,Rue Rébeval,cycleway,30,34.385,"LINESTRING (2.3793397 48.8747979, 2.3789035 48.8746825)",,,,,,,,,
5677833168,94197384,0,10816878,False,Rue Rampal,cycleway,30,5.473,"LINESTRING (2.3795184 48.8747986, 2.3795742 48.8747658)",,,,,,,,,
5677833168,5677833167,0,595838404,True,Rue Rébeval,cycleway,30,13.069,"LINESTRING (2.3795184 48.8747986, 2.3793397 48.8747979)",,,,,,,,,
5677833169,5677833168,0,595838404,True,Rue Rébeval,cycleway,30,7.141,"LINESTRING (2.3796159 48.8748021, 2.3795184 48.8747986)",,,,,,,,,
5677833170,5677833169,0,595838404,True,Rue Rébeval,cycleway,30,10.312,"LINESTRING (2.3797569 48.8748016, 2.3796159 48.8748021)",,,,,,,,,
5677833171,5677833170,0,595838404,True,Rue Rébeval,cycleway,30,55.517,"LINESTRING (2.3805145 48.87477, 2.3797569 48.8748016)",,,,,,,,,
5677833172,5677833146,0,595838404,True,Rue Rébeval,cycleway,30,3.925,"LINESTRING (2.3806265 48.8747588, 2.3805739 48.8747658)",,,,,,,,,
5677833173,5677833172,0,595838404,True,Rue Rébeval,cycleway,30,25.325,"LINESTRING (2.3809644 48.874709, 2.3806265 48.8747588)",,,,,,,,,
5679631379,2125049824,0,693110778,True,,cycleway,,4.075,"LINESTRING (2.325783 48.8230347, 2.3257926 48.8230708)",,,,,,,,,
5686907268,7141465099,0,52719929,True,Boulevard de la Villette,cycleway,,0.416,"LINESTRING (2.3741867 48.8743215, 2.3741901 48.8743185)",,,,,,,,,
5686907268,5982504211,0,597187985,False,,cycleway,,3.571,"LINESTRING (2.3741867 48.8743215, 2.3742264 48.8743402)",,,,,,,,,
5686907269,5982504211,0,597187985,False,,cycleway,,18.295,"LINESTRING (2.3744301 48.8744357, 2.3742264 48.8743402)",,,,,,,,,
5686907269,5686907270,0,597187985,False,,cycleway,,4.312,"LINESTRING (2.3744301 48.8744357, 2.3744778 48.8744585)",,,,,,,,,
5686907270,2295723942,0,52719941,True,Boulevard de la Villette,cycleway,,3.262,"LINESTRING (2.3744778 48.8744585, 2.3744535 48.8744831)",,,,,,,,,
5686907270,5686907269,0,597187985,False,,cycleway,,4.312,"LINESTRING (2.3744778 48.8744585, 2.3744301 48.8744357)",,,,,,,,,
5686907274,7141465096,0,52719929,True,Boulevard de la Villette,cycleway,,7.229,"LINESTRING (2.3750102 48.8735974, 2.3750687 48.873545)",,,,,,,,,
5686907278,7141465101,0,52719929,True,Boulevard de la Villette,cycleway,,4.094,"LINESTRING (2.3731232 48.8752435, 2.3731575 48.8752144)",,,,,,,,,
5694829931,884215450,0,76607825,False,Quai de la Gironde,cycleway,30,4.662,"LINESTRING (2.3837095 48.8957202, 2.3836899 48.8957601)",,,,,,,,,
5694829931,7198860361,0,76607825,False,Quai de la Gironde,cycleway,30,4.02,"LINESTRING (2.3837095 48.8957202, 2.3837294 48.8956865)",,,,,,,,,
5700735553,7648578728,0,555380241,False,Rue Alain,cycleway,,7.827,"LINESTRING (2.3177052 48.8372608, 2.3178114 48.8372525)",,,,,,,,,
5700735553,5326007936,0,555380241,False,Rue Alain,cycleway,,32.151,"LINESTRING (2.3177052 48.8372608, 2.317269 48.837295)",,,,,,,,,
5701726013,7077729570,0,728029441,False,Quai d'Austerlitz,cycleway,,3.665,"LINESTRING (2.3679563 48.8417902, 2.3679993 48.8417733)",,,,,,,,,
5701726013,5422262858,0,728029441,False,Quai d'Austerlitz,cycleway,,12.55,"LINESTRING (2.3679563 48.8417902, 2.3678049 48.8418432)",,,,,,,,,
5701726014,5701726015,0,728029441,False,Quai d'Austerlitz,cycleway,,161.695,"LINESTRING (2.3680653 48.8417278, 2.3695507 48.8406513)",,,,,,,,,
5701726014,7077729570,0,728029441,False,Quai d'Austerlitz,cycleway,,6.995,"LINESTRING (2.3680653 48.8417278, 2.3679993 48.8417733)",,,,,,,,,
