u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,access,tunnel,bridge,junction,service
178762915,2289602077,0,14002360,,Rue Antoine Fratacci,primary,50,True,27.533,"LINESTRING (2.2861291 48.8218495, 2.2864876 48.8217747)",D 50,,,,,
178763173,3263832099,0,84068305,,Boulevard Malesherbes,secondary,50,False,10.577,"LINESTRING (2.3206392 48.8738005, 2.3205731 48.8738851)",,,,,,
178763173,29604243,0,84068305,,Boulevard Malesherbes,secondary,50,False,35.481,"LINESTRING (2.3206392 48.8738005, 2.3208299 48.8735071)",,,,,,
178763582,34909027,0,84068305,,Boulevard Malesherbes,secondary,50,False,52.404,"LINESTRING (2.3220943 48.871718, 2.3217869 48.8721437)",,,,,,
178763582,2712550023,0,374057844,,Boulevard Malesherbes,secondary,50,False,12.7,"LINESTRING (2.3220943 48.871718, 2.3221654 48.8716138)",,,,,,
178764025,6698829309,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,6.427,"LINESTRING (2.2830328 48.8206321, 2.282952 48.8206095)",,,,,,
178803742,178803766,0,17249305,3,Pont Marie,residential,30,False,89.299,"LINESTRING (2.3577171 48.8532252, 2.3571243 48.8525232)",,,,yes,,
178803766,178803742,0,17249305,3,Pont Marie,residential,30,False,89.299,"LINESTRING (2.3571243 48.8525232, 2.3577171 48.8532252)",,,,yes,,
181894563,7260525035,0,17566328,2,Avenue Pablo Picasso,tertiary,50,False,5.126,"LINESTRING (2.230121 48.8899467, 2.230121 48.8899928)",,,,,,
181894563,2958486847,0,305029860,,,tertiary,,True,5.929,"LINESTRING (2.230121 48.8899467, 2.2300412 48.8899372)",,,,,roundabout,
181894572,7260518928,0,550654077,2,Avenue Pablo Picasso,tertiary,50,False,6.16,"LINESTRING (2.2301104 48.8907868, 2.2301107 48.8907314)",,,,,,
202802037,507047961,0,83279328,,Rue de Rennes,secondary,50,False,42.042,"LINESTRING (2.3268714 48.8469442, 2.3271803 48.847263)",,,,,,
202802037,4090974115,0,673142311,,Rue de Rennes,secondary,50,False,14.92,"LINESTRING (2.3268714 48.8469442, 2.3267564 48.8468334)",,,,,,
203318837,5583956876,0,23041344,,Rue Sigmund Freud,residential,,False,5.632,"LINESTRING (2.3981398 48.8860761, 2.3981203 48.8860271)",,,,,,
203464048,203464050,0,19593867,,,tertiary,,True,8.775,"LINESTRING (2.2299331 48.8895863, 2.2300424 48.8895537)",,,,,roundabout,
203464048,4230197379,0,35359757,2,Avenue Pablo Picasso,tertiary,50,False,2.512,"LINESTRING (2.2299331 48.8895863, 2.2299155 48.8895669)",,,,,,
203464050,536523647,0,19593867,,,tertiary,,True,9.021,"LINESTRING (2.2300424 48.8895537, 2.2301651 48.8895452)",,,,,roundabout,
203464051,536523646,0,680305210,,,tertiary,,True,6.609,"LINESTRING (2.2304314 48.8896948, 2.230441 48.8897539)",,,,,roundabout,
203464052,536523648,0,680305210,,,tertiary,,True,3.128,"LINESTRING (2.2303838 48.8898634, 2.2303562 48.8898849)",,,,,roundabout,
203464055,2958486836,0,305029860,,,tertiary,,True,5.933,"LINESTRING (2.2298609 48.8898352, 2.2298347 48.8897847)",,,,,roundabout,
