u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel
2841476350,2875012642,0,40036535,,Avenue Pasteur,secondary,,True,35.321,"LINESTRING (2.4256925 48.8763053, 2.4252103 48.8762873)",D 20a,
2841627125,212623968,0,44774303,,Rue Adelaïde Lahaye,tertiary,,True,13.022,"LINESTRING (2.4150534 48.8683403, 2.415199 48.8682729)",,
2875012642,7127121978,0,40036535,,Avenue Pasteur,secondary,,True,72.675,"LINESTRING (2.4252103 48.8762873, 2.4242181 48.8762508)",D 20a,
2880104589,27286668,0,630455863,6,Avenue de la Grande Armée,primary,50,False,43.078,"LINESTRING (2.2847301 48.8770554, 2.2852611 48.8768877)",,
2880104589,6139281686,0,630455863,6,Avenue de la Grande Armée,primary,50,False,6.357,"LINESTRING (2.2847301 48.8770554, 2.2846517 48.8770801)",,
2883697215,6170765615,0,630455864,8,Avenue de la Grande Armée,primary,50,False,9.476,"LINESTRING (2.2885616 48.8758375, 2.2886775 48.8757994)",,
2883697215,6773759433,0,630455864,8,Avenue de la Grande Armée,primary,50,False,52.351,"LINESTRING (2.2885616 48.8758375, 2.2879174 48.8760428)",,
2893714445,975859030,0,286494116,,Boulevard Paul-Émile Victor,residential,,True,4.066,"LINESTRING (2.2632076 48.8937771, 2.2631706 48.8937498)",,
2893714447,2893714445,0,286494116,,Boulevard Paul-Émile Victor,residential,,True,20.923,"LINESTRING (2.2633978 48.8939177, 2.2632076 48.8937771)",,
2893753516,487558856,0,34572386,,Boulevard du Parc,residential,,True,9.569,"LINESTRING (2.263567 48.8925168, 2.2636714 48.8925687)",,
2893753522,401350158,0,713004892,,Boulevard Paul-Émile Victor,residential,,True,16.02,"LINESTRING (2.2621338 48.8927777, 2.2620403 48.8926474)",,
3151038868,21657548,0,298746802,4,Avenue d'Italie,primary,50,False,18.842,"LINESTRING (2.3571405 48.8265943, 2.3570888 48.8267603)",,
3151038868,4813903016,0,309765259,4,Avenue d'Italie,primary,50,False,1.136,"LINESTRING (2.3571405 48.8265943, 2.3571437 48.8265843)",,
3382902028,597719321,0,13621545,,Avenue de la Porte de la Plaine,tertiary,,False,127.585,"LINESTRING (2.2923216 48.8280663, 2.2923201 48.8292137)",,
3382902028,125385335,0,13621545,,Avenue de la Porte de la Plaine,tertiary,,False,30.434,"LINESTRING (2.2923216 48.8280663, 2.292322 48.8277926)",,
3478671192,7064513617,0,756051209,2,Rue Parmentier,tertiary,30,True,22.536,"LINESTRING (2.2399409 48.8778003, 2.2401733 48.8776672)",,
3666483457,5790624346,0,100995819,2,Rue Henri Farman,residential,30,False,17.964,"LINESTRING (2.2687749 48.8324763, 2.2689692 48.832575)",,
3666483457,2634446131,0,100995819,2,Rue Henri Farman,residential,30,False,3.051,"LINESTRING (2.2687749 48.8324763, 2.2687428 48.8324588)",,
3685653368,76461939,0,364531487,,Avenue de Verdun,primary,50,False,4.372,"LINESTRING (2.2426108 48.8189995, 2.2425515 48.8189949)",D 989,
3685653368,1168644430,0,364531487,,Avenue de Verdun,primary,50,False,3.687,"LINESTRING (2.2426108 48.8189995, 2.2426611 48.819001)",D 989,
3700078775,6199595272,0,55490386,,Boulevard de Reuilly,primary,50,False,27.094,"LINESTRING (2.3894096 48.8389982, 2.3897766 48.8390302)",,
3700078775,14950171,0,55490386,,Boulevard de Reuilly,primary,50,False,13.536,"LINESTRING (2.3894096 48.8389982, 2.3892265 48.838981)",,
4209530028,654056315,0,4786972,,Rue Hoche,residential,30,True,8.016,"LINESTRING (2.2720302 48.825014, 2.2721221 48.8250532)",,
4229001606,244420732,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,219.453,"LINESTRING (2.4090028 48.8443869, 2.4060289 48.8446412)",,
4229001606,5895963302,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,73.764,"LINESTRING (2.4090028 48.8443869, 2.4100024 48.8443014)",,
4414622806,2284939902,0,219327905,,Avenue du Roule,residential,,False,9.423,"LINESTRING (2.2771105 48.8825734, 2.2772313 48.8825439)",,
4414622806,5678423705,0,219327905,,Avenue du Roule,residential,,False,23.478,"LINESTRING (2.2771105 48.8825734, 2.276809 48.882646)",,
4465728878,239794403,0,620793263,2,Boulevard Rouget de Lisle,residential,30,True,3.396,"LINESTRING (2.4370189 48.8583172, 2.4370356 48.8583457)",,
4475042493,2368960683,0,756358941,2,Rue Parmentier,tertiary,30,True,2.879,"LINESTRING (2.240748 48.8773383, 2.2407777 48.8773213)",,
4622395525,5261634769,0,648489615,,Rue de Courcelles,residential,,False,39.782,"LINESTRING (2.2940237 48.8882653, 2.2943241 48.887967)",,
4687297180,15378827,0,438204230,,Avenue Daumesnil,secondary,30,False,17.369,"LINESTRING (2.3992174 48.8382508, 2.3994244 48.8381744)",,
4687297180,268221897,0,438204230,,Avenue Daumesnil,secondary,30,False,6.659,"LINESTRING (2.3992174 48.8382508, 2.3991378 48.8382798)",,
4747711462,21657556,0,733321547,4,Avenue d'Italie,primary,50,False,31.46,"LINESTRING (2.3566885 48.8280737, 2.356773 48.8277963)",,
4747711462,1701682734,0,733321547,4,Avenue d'Italie,primary,50,False,28.829,"LINESTRING (2.3566885 48.8280737, 2.356611 48.8283279)",,
4747711463,1920074452,0,733321547,4,Avenue d'Italie,primary,50,False,12.775,"LINESTRING (2.3568068 48.8276855, 2.3568383 48.8275725)",,
4747711463,21657556,0,733321547,4,Avenue d'Italie,primary,50,False,12.566,"LINESTRING (2.3568068 48.8276855, 2.356773 48.8277963)",,
4813903016,6288229358,0,309765259,4,Avenue d'Italie,primary,50,False,27.148,"LINESTRING (2.3571437 48.8265843, 2.357218 48.8263451)",,
4813903016,3151038868,0,309765259,4,Avenue d'Italie,primary,50,False,1.136,"LINESTRING (2.3571437 48.8265843, 2.3571405 48.8265943)",,
4845091723,1920074460,0,733321547,4,Avenue d'Italie,primary,50,False,96.616,"LINESTRING (2.3560309 48.8302311, 2.3562906 48.8293792)",,
4845091723,6238057451,0,733321547,4,Avenue d'Italie,primary,50,False,37.584,"LINESTRING (2.3560309 48.8302311, 2.3559299 48.8305625)",,
4848176484,6291071027,0,685719842,4,Avenue d'Italie,primary,50,False,3.556,"LINESTRING (2.3574265 48.8256734, 2.3574357 48.825642)",,
4848176484,6400990781,0,685719842,4,Avenue d'Italie,primary,50,False,4.801,"LINESTRING (2.3574265 48.8256734, 2.3574141 48.8257158)",,
4848176485,52025142,0,685719842,4,Avenue d'Italie,primary,50,False,47.981,"LINESTRING (2.3574647 48.825543, 2.3575888 48.8251193)",,
4848176485,6291071027,0,685719842,4,Avenue d'Italie,primary,50,False,11.211,"LINESTRING (2.3574647 48.825543, 2.3574357 48.825642)",,
4865803222,6773759432,0,630455864,8,Avenue de la Grande Armée,primary,50,False,1.395,"LINESTRING (2.2889593 48.8757108, 2.2889757 48.8757044)",,
4865803222,6170765615,0,630455864,8,Avenue de la Grande Armée,primary,50,False,22.842,"LINESTRING (2.2889593 48.8757108, 2.2886775 48.8757994)",,
5261634769,2052621893,0,648489615,,Rue de Courcelles,residential,,False,34.561,"LINESTRING (2.2943241 48.887967, 2.2945904 48.8877102)",,
5261634769,4622395525,0,648489615,,Rue de Courcelles,residential,,False,39.782,"LINESTRING (2.2943241 48.887967, 2.2940237 48.8882653)",,
5263805755,299017904,0,470987535,8,Avenue de la Grande Armée,primary,50,False,40.899,"LINESTRING (2.2912309 48.8749877, 2.2917343 48.8748275)",,
5263805755,27286709,0,470987535,8,Avenue de la Grande Armée,primary,50,False,5.965,"LINESTRING (2.2912309 48.8749877, 2.2911575 48.8750111)",,
5295211210,2140279463,0,477385895,,Boulevard Arago,secondary,50,False,40.373,"LINESTRING (2.3375053 48.834633, 2.3380557 48.834657)",,
5295211213,5653114721,0,548078044,,Boulevard Arago,secondary,50,False,13.336,"LINESTRING (2.3357963 48.8345545, 2.3356147 48.8345447)",,
5354702362,367887,0,27067642,,Avenue de Saint-Cloud,unclassified,50,False,25.472,"LINESTRING (2.2633894 48.8623658, 2.2637168 48.8624438)",,
5354702362,965881198,0,27067642,,Avenue de Saint-Cloud,unclassified,50,False,6.709,"LINESTRING (2.2633894 48.8623658, 2.2633032 48.8623452)",,
5361391537,5361391544,0,84760679,,Avenue de Stalingrad,secondary,,False,5.592,"LINESTRING (2.4288392 48.8733466, 2.4287852 48.8733822)",D 20,
5361391537,5361391543,0,84760679,,Avenue de Stalingrad,secondary,,False,5.391,"LINESTRING (2.4288392 48.8733466, 2.4288844 48.8733083)",D 20,
5361391543,5361391537,0,84760679,,Avenue de Stalingrad,secondary,,False,5.391,"LINESTRING (2.4288844 48.8733083, 2.4288392 48.8733466)",D 20,
5361391543,256234784,0,84760679,,Avenue de Stalingrad,secondary,,False,11.578,"LINESTRING (2.4288844 48.8733083, 2.4289716 48.8732214)",D 20,
5361391544,5361391545,0,84760679,,Avenue de Stalingrad,secondary,,False,5.372,"LINESTRING (2.4287852 48.8733822, 2.4287295 48.8734137)",D 20,
5361391544,5361391537,0,84760679,,Avenue de Stalingrad,secondary,,False,5.592,"LINESTRING (2.4287852 48.8733822, 2.4288392 48.8733466)",D 20,
