u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,tunnel,service,width
3835960987,272861589,0,335769011,False,2,Kulbanevej,tertiary,50,19.315,"LINESTRING (12.4948233 55.6576645, 12.4945607 55.6575738)",,,,,,,
3835960989,3428791969,0,335769011,False,2,Kulbanevej,tertiary,50,19.443,"LINESTRING (12.4954317 55.6577884, 12.4957352 55.6578239)",,,,,,,
3835960989,3428791966,0,335769011,False,2,Kulbanevej,tertiary,50,20.54,"LINESTRING (12.4954317 55.6577884, 12.4951184 55.6577347)",,,,,,,
3835960994,3835960996,0,335769011,False,2,Kulbanevej,tertiary,50,19.266,"LINESTRING (12.498141 55.6579999, 12.4984348 55.6580504)",,,,,,,
3835960994,3428791967,0,335769011,False,2,Kulbanevej,tertiary,50,20.77,"LINESTRING (12.498141 55.6579999, 12.4978193 55.6579557)",,,,,,,
3835960996,3428791972,0,335769011,False,2,Kulbanevej,tertiary,50,19.554,"LINESTRING (12.4984348 55.6580504, 12.4987238 55.6581163)",,,,,,,
3835960996,3835960994,0,335769011,False,2,Kulbanevej,tertiary,50,19.266,"LINESTRING (12.4984348 55.6580504, 12.498141 55.6579999)",,,,,,,
3835960997,1524487767,0,335769018,False,2,Retortvej,tertiary,50,12.63,"LINESTRING (12.4996885 55.6580653, 12.4995747 55.658159)",,,,,,,
3835960997,3428791975,0,335769018,False,2,Retortvej,tertiary,50,15.867,"LINESTRING (12.4996885 55.6580653, 12.4998052 55.6579387)",,,,,,,
3835961004,3835961008,0,335769011,False,2,Kulbanevej,tertiary,50,12.868,"LINESTRING (12.4990271 55.6582026, 12.4992044 55.6582608)",,,,,,,
3835961004,3428791972,0,335769011,False,2,Kulbanevej,tertiary,50,21.309,"LINESTRING (12.4990271 55.6582026, 12.4987238 55.6581163)",,,,,,,
3835961008,3428791968,0,335769011,False,2,Kulbanevej,tertiary,50,9.19,"LINESTRING (12.4992044 55.6582608, 12.4993322 55.6583012)",,,,,,,
3835961008,3835961004,0,335769011,False,2,Kulbanevej,tertiary,50,12.868,"LINESTRING (12.4992044 55.6582608, 12.4990271 55.6582026)",,,,,,,
3835961015,93421946,0,234338975,False,2,Retortvej,tertiary,50,27.922,"LINESTRING (12.498038 55.6588122, 12.4977099 55.6589819)",,,,,,,
3835961015,3396250678,0,234338975,False,2,Retortvej,tertiary,50,63.497,"LINESTRING (12.498038 55.6588122, 12.4988789 55.6584943)",,,,,,,
3835961019,1064256570,0,234338975,False,2,Retortvej,tertiary,50,11.782,"LINESTRING (12.497355 55.6593211, 12.4972729 55.6594164)",,,,,,,
3835961019,3630528969,0,234338975,False,2,Retortvej,tertiary,50,19.138,"LINESTRING (12.497355 55.6593211, 12.4975077 55.6591721)",,,,,,,
3836572171,5930099409,0,237108789,False,,Teglholmsgade,residential,40,14.453,"LINESTRING (12.5545327 55.6507822, 12.5543386 55.6508522)",,,,,,,
3836572174,5930099409,0,237108789,False,,Teglholmsgade,residential,40,46.061,"LINESTRING (12.5537199 55.6510752, 12.5543386 55.6508522)",,,,,,,
3836572174,2933614551,0,237108789,False,,Teglholmsgade,residential,40,13.62,"LINESTRING (12.5537199 55.6510752, 12.5535376 55.6511417)",,,,,,,
3836572174,6145003762,0,631776203,False,,Topstykket,residential,50,7.401,"LINESTRING (12.5537199 55.6510752, 12.5537831 55.6511314)",,,,,,,
3836572200,5930049368,0,631776203,False,,Topstykket,residential,50,74.069,"LINESTRING (12.5552431 55.6524447, 12.5546085 55.651883)",,,,,,,
3860827332,280411341,0,156523349,False,,Virum Stationsvej,tertiary,,47.534,"LINESTRING (12.4688773 55.7922939, 12.4693658 55.7926215)",,,,,,,
3860827332,1687616364,0,156523349,False,,Virum Stationsvej,tertiary,,27.19,"LINESTRING (12.4688773 55.7922939, 12.4685979 55.7921065)",,,,,,,
3861554762,6389227824,0,156163484,False,,Fuglevadsvej,tertiary,50,9.398,"LINESTRING (12.5009229 55.7808071, 12.5008439 55.780879)",,,,,,,
3861554762,1684471179,0,156163484,False,,Fuglevadsvej,tertiary,50,7.287,"LINESTRING (12.5009229 55.7808071, 12.5009857 55.7807519)",,,,,,,
3861554964,6389191318,0,156001805,False,,Virumvej,tertiary,50,17.113,"LINESTRING (12.4856804 55.788725, 12.4854338 55.7887918)",,,,,,,
3861554964,1683220312,0,156001805,False,,Virumvej,tertiary,50,19.496,"LINESTRING (12.4856804 55.788725, 12.4859463 55.7886334)",,,,,,,
3861555012,3861555013,0,682270696,False,2,Bredevej,tertiary,50,9.857,"LINESTRING (12.485632 55.791583, 12.4857803 55.7916131)",,,,,,,
3861555013,3861555012,0,682270696,False,2,Bredevej,tertiary,50,9.857,"LINESTRING (12.4857803 55.7916131, 12.485632 55.791583)",,,,,,,
3861555013,3913134347,0,682270696,False,2,Bredevej,tertiary,50,11.19,"LINESTRING (12.4857803 55.7916131, 12.4859462 55.7916509)",,,,,,,
3861555177,3379333619,0,11551215,False,,Ørholmvej,tertiary,,8.413,"LINESTRING (12.501139 55.8014382, 12.5012405 55.8013885)",,,,,,,
3861555177,393195215,0,11551215,False,,Ørholmvej,tertiary,,13.376,"LINESTRING (12.501139 55.8014382, 12.5009776 55.8015172)",,,,,,,
3884889453,267138810,0,339889597,False,,Ørholmvej,tertiary,,31.138,"LINESTRING (12.5057166 55.7997801, 12.5061778 55.7996742)",,,,,,,
3884889453,2027870,0,339889597,False,,Ørholmvej,tertiary,,8.643,"LINESTRING (12.5057166 55.7997801, 12.5055876 55.7998081)",,,,,,,
3885205977,1370377855,0,4158593,False,2,Islevdalvej,tertiary,50,33.692,"LINESTRING (12.4322794 55.6993295, 12.4323033 55.6990268)",,,,,,,
3885205977,366088985,0,4158593,False,2,Islevdalvej,tertiary,50,23.92,"LINESTRING (12.4322794 55.6993295, 12.4322624 55.6995444)",,,,,,,
3886973926,282197772,0,4362707,False,,Rudersdalsvej,residential,,22.435,"LINESTRING (12.4824106 55.8181189, 12.4827662 55.8180907)",,,,,,,
3886973926,26591158,0,4362707,False,,Rudersdalsvej,residential,,29.013,"LINESTRING (12.4824106 55.8181189, 12.481948 55.818142)",,,,,,,
3886973927,4238749791,0,403445142,False,2,Vasevej,tertiary,,15.988,"LINESTRING (12.458224 55.8270607, 12.4584661 55.8271074)",,,,,,,
3886973934,30619571,0,26331556,False,2,Vasevej,tertiary,50,50.219,"LINESTRING (12.4437823 55.8282552, 12.442979 55.828275)",,,,,,,
3886973934,20947560,0,26331556,False,2,Vasevej,tertiary,50,47.045,"LINESTRING (12.4437823 55.8282552, 12.4445332 55.8282218)",,,,,,,
3888266566,1612056989,0,631645363,False,,Peter Bangs Vej,tertiary,50,12.912,"LINESTRING (12.5171276 55.6790659, 12.5169218 55.6790614)",,,,,,,
3888266566,8088739,0,631645363,False,,Peter Bangs Vej,tertiary,50,10.779,"LINESTRING (12.5171276 55.6790659, 12.5172994 55.6790697)",,,,,,,
3888266567,8088739,0,631645363,False,,Peter Bangs Vej,tertiary,50,12.453,"LINESTRING (12.5174977 55.6790762, 12.5172994 55.6790697)",,,,,,,
3888266567,271437678,0,631645363,False,,Peter Bangs Vej,tertiary,50,7.53,"LINESTRING (12.5174977 55.6790762, 12.5176176 55.6790802)",,,,,,,
3900950273,26576794,0,486815455,False,2,Ellegårdsvej,tertiary,50,18.767,"LINESTRING (12.5250544 55.7395508, 12.5253022 55.7394558)",,,,,,,
3900950273,4793647909,0,486815455,False,2,Ellegårdsvej,tertiary,50,35.206,"LINESTRING (12.5250544 55.7395508, 12.5245697 55.7397114)",,,,,,,
3910317858,8086162,0,3992562,False,,Randbølvej,residential,50,75.974,"LINESTRING (12.499747 55.6895303, 12.4991412 55.6901221)",,,,,,,
3910317858,7005951313,0,3992562,False,,Randbølvej,residential,50,82.887,"LINESTRING (12.499747 55.6895303, 12.5004217 55.6888892)",,,,,,,
3910317864,20919918,0,3992562,False,,Randbølvej,residential,50,146.061,"LINESTRING (12.4986299 55.690609, 12.4974429 55.6917394)",,,,,,,
3910317864,8086162,0,3992562,False,,Randbølvej,residential,50,62.914,"LINESTRING (12.4986299 55.690609, 12.4991412 55.6901221)",,,,,,,
3910317879,3910317880,0,42211592,False,,Randbølvej,residential,,68.053,"LINESTRING (12.4968113 55.6923396, 12.4962574 55.692866)",,,,,,,
3910317879,20919918,0,42211592,False,,Randbølvej,residential,,77.596,"LINESTRING (12.4968113 55.6923396, 12.4974429 55.6917394)",,,,,,,
3910317880,20917720,0,42211592,False,,Randbølvej,residential,,33.431,"LINESTRING (12.4962574 55.692866, 12.4959853 55.6931246)",,,,,,,
