u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,lanes,ref,junction
1341467370,46287164,0,7381563,Olympiaweg,tertiary,50,False,26.559,"LINESTRING (4.8631722 52.3492271, 4.8629383 52.3490357)",,,,,,
1342102773,46331882,0,7371956,Eerste Weteringplantsoen,unclassified,50,False,7.525,"LINESTRING (4.8902556 52.3592942, 4.8901448 52.3592954)",,,,,,
1342102773,46331976,0,7371956,Eerste Weteringplantsoen,unclassified,50,False,6.676,"LINESTRING (4.8902556 52.3592942, 4.8903539 52.3592932)",,,,,,
1342194263,5654516270,0,120514957,Louis Davidsstraat,tertiary,50,False,11.341,"LINESTRING (4.8103682 52.3523698, 4.8103156 52.3524666)",,,,,,
1342194267,4621843832,0,120514957,Louis Davidsstraat,tertiary,50,False,26.214,"LINESTRING (4.8098865 52.3532567, 4.8100053 52.3530324)",,,,,,
1344302552,3295383123,0,258875415,Ferdinand Bolstraat,secondary,50,True,2.628,"LINESTRING (4.8914927 52.350653, 4.8914948 52.3506294)",,,,1,,
1344302565,3295383121,0,21521118,Ferdinand Bolstraat,secondary,50,True,7.504,"LINESTRING (4.8916824 52.3505561, 4.8916743 52.3506234)",,,,1,,
1349021679,46280045,0,27474913,Diepenbrockstraat,secondary,50,False,9.452,"LINESTRING (4.8801019 52.3471232, 4.8800169 52.3471905)",,,,,S109,
1349021679,46277919,0,27474913,Diepenbrockstraat,secondary,50,False,67.165,"LINESTRING (4.8801019 52.3471232, 4.8807185 52.346651)",,,,,S109,
1349265026,6343517850,0,7374018,Van Heenvlietlaan,unclassified,30,False,98.544,"LINESTRING (4.8825365 52.3281303, 4.8825608 52.3290164)",,,,,,
1349265026,46191586,0,7374018,Van Heenvlietlaan,unclassified,30,False,7.696,"LINESTRING (4.8825365 52.3281303, 4.8825343 52.3280611)",,,,,,
1350128699,46260148,0,120403093,Stadionkade,residential,,False,123.799,"LINESTRING (4.8579425 52.3426216, 4.8597287 52.3428423)",,,,,,
