u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,lanes,access
73827255,4540173001,0,9546409,,service,,False,15.434,"LINESTRING (4.9402924 52.3184441, 4.9404001 52.3183219)",,,
73827255,73827254,0,9546409,,service,,False,47.587,"LINESTRING (4.9402924 52.3184441, 4.9399477 52.3188166)",,,
73827715,6899331498,0,9546409,,service,,False,8.142,"LINESTRING (4.9406304 52.3181454, 4.9405411 52.3181942)",,,
75521212,46297817,0,7040418,Oude Waelweg,residential,30,False,17.131,"LINESTRING (4.9715322 52.3513557, 4.9717776 52.3513913)",,,
75521212,46297553,0,7040418,Oude Waelweg,residential,30,False,10.864,"LINESTRING (4.9715322 52.3513557, 4.9713782 52.3513293)",,,
75615307,861498831,0,72582416,Fritz Dietrich Kahlenbergstraat,residential,30,False,100.61,"LINESTRING (5.0051598 52.3459454, 5.0061417 52.3466228)",yes,,
75619296,75619297,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0076071 52.3476518, 5.0079735 52.347923)",yes,,
75619297,75619296,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0079735 52.347923, 5.0076071 52.3476518)",yes,,
75660446,75660522,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0097732 52.3464999, 5.0099406 52.3466162)",yes,,
75660522,75660446,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0099406 52.3466162, 5.0097732 52.3464999)",yes,,
