u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
296915667,296914440,0,27060953,False,,,path,,34.04,"LINESTRING (12.3444602 41.789838, 12.3441191 41.7900084)",,,,,,,,
296915722,296914214,0,27060953,False,,,path,,31.56,"LINESTRING (12.3389029 41.7915477, 12.339283 41.791532)",,,,,,,,
296915722,296914210,0,27060953,False,,,path,,23.317,"LINESTRING (12.3389029 41.7915477, 12.338625 41.79158)",,,,,,,,
296916028,296914420,0,27061175,False,,,path,,21.341,"LINESTRING (12.3442857 41.7851927, 12.344031 41.785165)",,,,,,,,
296916028,296916037,0,27061176,False,,,path,,63.807,"LINESTRING (12.3442857 41.7851927, 12.3450472 41.7852756)",yes,,,,,,,
296916037,296916028,0,27061176,False,,,path,,63.807,"LINESTRING (12.3450472 41.7852756, 12.3442857 41.7851927)",yes,,,,,,,
296916037,296914419,0,27061210,False,,,path,,109.583,"LINESTRING (12.3450472 41.7852756, 12.346355 41.785418)",,,,,,,,
296916343,296916367,0,27061207,False,,,path,,94.897,"LINESTRING (12.3458926 41.7877422, 12.3457247 41.7885864)",yes,,,,,,,
296916343,1334394010,0,27061210,False,,,path,,18.919,"LINESTRING (12.3458926 41.7877422, 12.3459261 41.7875739)",,,,,,,,
296916367,296916343,0,27061207,False,,,path,,94.897,"LINESTRING (12.3457247 41.7885864, 12.3458926 41.7877422)",yes,,,,,,,
296916367,1444548674,0,82209009,False,,,path,,5.756,"LINESTRING (12.3457247 41.7885864, 12.3457154 41.7886377)",,,,,,,,
299615595,1709242939,0,25694082,False,2,,path,,21.95,"LINESTRING (12.4819471 41.9163362, 12.4817199 41.9164381)",,,,,,,,
299615595,280135460,0,25694082,False,2,,path,,65.414,"LINESTRING (12.4819471 41.9163362, 12.4826273 41.9160364)",,,,,,,,
299615596,2121189610,0,25694082,False,2,,path,,3.714,"LINESTRING (12.4805533 41.9169633, 12.4805149 41.9169806)",,,,,,,,
299615596,1300215138,0,25694082,False,2,,path,,81.053,"LINESTRING (12.4805533 41.9169633, 12.4813912 41.9165857)",,,,,,,,
299615605,299615606,0,25694082,False,2,,path,,16.23,"LINESTRING (12.4797252 41.9173259, 12.4795646 41.9174097)",,,,,,,,
299615605,1425153020,0,25694082,False,2,,path,,6.215,"LINESTRING (12.4797252 41.9173259, 12.4797909 41.9172988)",,,,,,,,
299615606,299615607,0,25694082,False,2,,path,,9.69,"LINESTRING (12.4795646 41.9174097, 12.4794815 41.9174711)",,,,,,,,
299615606,299615605,0,25694082,False,2,,path,,16.23,"LINESTRING (12.4795646 41.9174097, 12.4797252 41.9173259)",,,,,,,,
299615607,299615608,0,25694082,False,2,,path,,7.64,"LINESTRING (12.4794815 41.9174711, 12.479432 41.9175291)",,,,,,,,
299615607,299615606,0,25694082,False,2,,path,,9.69,"LINESTRING (12.4794815 41.9174711, 12.4795646 41.9174097)",,,,,,,,
299615608,1303806938,0,25694082,False,2,,path,,5.845,"LINESTRING (12.479432 41.9175291, 12.4794094 41.9175789)",,,,,,,,
299615608,299615607,0,25694082,False,2,,path,,7.64,"LINESTRING (12.479432 41.9175291, 12.4794815 41.9174711)",,,,,,,,
299615609,299615610,0,25694082,False,2,,path,,13.724,"LINESTRING (12.4794099 41.9176229, 12.4794265 41.9177457)",,,,,,,,
299615609,1303806938,0,25694082,False,2,,path,,4.893,"LINESTRING (12.4794099 41.9176229, 12.4794094 41.9175789)",,,,,,,,
299615610,299615611,0,25694082,False,2,,path,,14.912,"LINESTRING (12.4794265 41.9177457, 12.4794462 41.917879)",,,,,,,,
299615610,299615609,0,25694082,False,2,,path,,13.724,"LINESTRING (12.4794265 41.9177457, 12.4794099 41.9176229)",,,,,,,,
299615611,299615612,0,25694082,False,2,,path,,12.003,"LINESTRING (12.4794462 41.917879, 12.4794261 41.9179859)",,,,,,,,
299615611,299615610,0,25694082,False,2,,path,,14.912,"LINESTRING (12.4794462 41.917879, 12.4794265 41.9177457)",,,,,,,,
