u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,width,access,tunnel,ref
255333402,1677491198,0,23578714,False,2,,cycleway,10,4.293,"LINESTRING (12.492687 41.8564651, 12.4927186 41.8564345)",,,,,
255333404,4527208616,0,23578714,False,2,,cycleway,10,5.822,"LINESTRING (12.494862 41.8580308, 12.4948849 41.8580803)",,,,,
255333404,570809626,0,23578714,False,2,,cycleway,10,117.709,"LINESTRING (12.494862 41.8580308, 12.4938331 41.8573005)",,,,,
255333453,255333454,0,23578714,False,2,,cycleway,10,4.761,"LINESTRING (12.4958639 41.8587203, 12.4959204 41.8587282)",,,,,
255333453,6859712840,0,23578714,False,2,,cycleway,10,27.721,"LINESTRING (12.4958639 41.8587203, 12.4956263 41.8585447)",,,,,
255333454,255333455,0,23578714,False,2,,cycleway,10,5.124,"LINESTRING (12.4959204 41.8587282, 12.4959798 41.8587153)",,,,,
255333454,255333453,0,23578714,False,2,,cycleway,10,4.761,"LINESTRING (12.4959204 41.8587282, 12.4958639 41.8587203)",,,,,
255333455,255333456,0,23578714,False,2,,cycleway,10,3.171,"LINESTRING (12.4959798 41.8587153, 12.4960174 41.8587099)",,,,,
255333455,255333454,0,23578714,False,2,,cycleway,10,5.124,"LINESTRING (12.4959798 41.8587153, 12.4959204 41.8587282)",,,,,
255333456,255333455,0,23578714,False,2,,cycleway,10,3.171,"LINESTRING (12.4960174 41.8587099, 12.4959798 41.8587153)",,,,,
257668875,259577674,0,23946454,False,2,Pista ciclabile del Tevere,cycleway,,39.973,"LINESTRING (12.4715373 41.8716985, 12.4713865 41.87204)",,,,,
257668875,2804378082,0,167467566,False,2,Pista ciclabile del Tevere,cycleway,,11.781,"LINESTRING (12.4715373 41.8716985, 12.471579 41.8715972)",,,,,
257668876,1278003697,0,167467566,False,2,Pista ciclabile del Tevere,cycleway,,119.497,"LINESTRING (12.4724342 41.8697723, 12.4719419 41.8707825)",,,,,
257668876,1788601267,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,44.707,"LINESTRING (12.4724342 41.8697723, 12.4726178 41.8693942)",,,,,
257668878,265767607,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,18.094,"LINESTRING (12.4731084 41.868407, 12.473195 41.8682576)",,,,,
257668878,3134423850,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,34.952,"LINESTRING (12.4731084 41.868407, 12.4729594 41.8687011)",,,,,
257668879,257668880,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,61.595,"LINESTRING (12.4733538 41.8680286, 12.4737297 41.8675506)",,,,,
257668879,2959679591,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,16.905,"LINESTRING (12.4733538 41.8680286, 12.4732549 41.8681616)",,,,,
257668880,3934550248,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,33.87,"LINESTRING (12.4737297 41.8675506, 12.473953 41.8672954)",,,,,
257668880,257668879,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,61.595,"LINESTRING (12.4737297 41.8675506, 12.4733538 41.8680286)",,,,,
257668881,257668882,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,19.078,"LINESTRING (12.4741739 41.8670816, 12.474323 41.8669508)",,,,,
257668881,3934550247,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,15.882,"LINESTRING (12.4741739 41.8670816, 12.4740559 41.8671942)",,,,,
257668882,3078609891,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,14.89,"LINESTRING (12.474323 41.8669508, 12.4744454 41.8668527)",,,,,
257668882,257668881,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,19.078,"LINESTRING (12.474323 41.8669508, 12.4741739 41.8670816)",,,,,
257668883,3934550246,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,20.818,"LINESTRING (12.4745623 41.8667314, 12.4746935 41.8665717)",,,,,
257668883,3078609891,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,16.602,"LINESTRING (12.4745623 41.8667314, 12.4744454 41.8668527)",,,,,
257668884,257668885,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,39.131,"LINESTRING (12.4748193 41.8664295, 12.4751193 41.8661576)",,,,,
257668884,3934550246,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,18.935,"LINESTRING (12.4748193 41.8664295, 12.4746935 41.8665717)",,,,,
257668885,3934550245,0,275759325,False,,Pista ciclabile del Tevere,cycleway,,2.682,"LINESTRING (12.4751193 41.8661576, 12.4751378 41.8661378)",,,,,
