u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5568690303,310723291,0,28294748,,Via Cerchiara,residential,30,False,7.164,"LINESTRING (12.624061 41.9349017, 12.6241291 41.9349415)",,,,,,,,
5568911470,310723349,0,28294748,,Via Cerchiara,residential,30,False,17.476,"LINESTRING (12.6202506 41.9343318, 12.620051 41.9342803)",,,,,,,,
5568911470,2013089648,0,28294748,,Via Cerchiara,residential,30,False,17.493,"LINESTRING (12.6202506 41.9343318, 12.620453 41.9343774)",,,,,,,,
5568911471,310723653,0,28294748,,Via Cerchiara,residential,30,False,61.659,"LINESTRING (12.6197307 41.9341779, 12.6190638 41.9339302)",,,,,,,,
5568911471,310723652,0,28294748,,Via Cerchiara,residential,30,False,14.073,"LINESTRING (12.6197307 41.9341779, 12.6198855 41.9342304)",,,,,,,,
5568911472,310723367,0,28294748,,Via Cerchiara,residential,30,False,23.437,"LINESTRING (12.6208271 41.9344345, 12.6205491 41.9343938)",,,,,,,,
5568911472,310723366,0,28294748,,Via Cerchiara,residential,30,False,23.152,"LINESTRING (12.6208271 41.9344345, 12.621105 41.9344593)",,,,,,,,
5568911473,310723366,0,28294748,,Via Cerchiara,residential,30,False,38.872,"LINESTRING (12.6215742 41.9344788, 12.621105 41.9344593)",,,,,,,,
5568911473,310723365,0,28294748,,Via Cerchiara,residential,30,False,15.896,"LINESTRING (12.6215742 41.9344788, 12.621766 41.9344877)",,,,,,,,
5568911474,310723365,0,28294748,,Via Cerchiara,residential,30,False,16.026,"LINESTRING (12.6219588 41.9345019, 12.621766 41.9344877)",,,,,,,,
5568911474,310723364,0,28294748,,Via Cerchiara,residential,30,False,35.741,"LINESTRING (12.6219588 41.9345019, 12.6223871 41.9345443)",,,,,,,,
5569843631,394259870,0,34362846,,,service,10,False,4.296,"LINESTRING (12.5272257 41.9074039, 12.5272527 41.9073709)",alley,,,,,,,
5569843631,394259869,0,34362846,,,service,10,False,3.979,"LINESTRING (12.5272257 41.9074039, 12.5271921 41.9074295)",alley,,,,,,,
5569843632,5752587046,0,34362846,,,service,10,False,5.372,"LINESTRING (12.5272605 41.9071743, 12.5272275 41.9071327)",alley,,,,,,,
5569843632,394259874,0,34362846,,,service,10,False,5.668,"LINESTRING (12.5272605 41.9071743, 12.5272999 41.907216)",alley,,,,,,,
5569843633,394259878,0,582365223,,,service,10,False,6.1,"LINESTRING (12.5272096 41.9071114, 12.527235 41.9070599)",alley,,,,,,,
5569843633,5752587047,0,582365223,,,service,10,False,2.114,"LINESTRING (12.5272096 41.9071114, 12.5271948 41.9071269)",alley,,,,,,,
