u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width
476178254,388715,0,41764798,False,4,Avenida Portugal,secondary,387.543,"LINESTRING (-70.6344608 -33.4516114, -70.6347299 -33.4505359, -70.63475459999999 -33.450447, -70.6349831 -33.4495544, -70.6353257 -33.4482017)",,,,
1070152557,265664853,0,13858323,True,2,Portugal,secondary,9.358,"LINESTRING (-70.6333236 -33.4562455, -70.6333049 -33.4563282)",,,,
1070152557,1262182617,0,92188031,False,,Ciclovía Matta,cycleway,326.059,"LINESTRING (-70.6333236 -33.4562455, -70.6331258 -33.4562159, -70.6330562 -33.4561657, -70.6329295 -33.4561663, -70.6325775 -33.4560938, -70.6324762 -33.4560361, -70.632154 -33.4559792, -70.6318912 -33.4559289, -70.63129410000001 -33.4558073, -70.6307582 -33.4557045, -70.63061190000001 -33.4556777, -70.62993729999999 -33.4555331)",,yes,,
1070152557,7086673115,0,92188031,False,,Ciclovía Matta,cycleway,593.111,"LINESTRING (-70.6333236 -33.4562455, -70.6342808 -33.4564522, -70.6343308 -33.4564648, -70.6344673 -33.4564747, -70.6357726 -33.4567527, -70.6358065 -33.4567294, -70.635848 -33.456755, -70.63596579999999 -33.4567658, -70.6359908 -33.4567823, -70.6360617 -33.4568306, -70.6361624 -33.4568377, -70.63628610000001 -33.4568659, -70.63681819999999 -33.4569632, -70.636938 -33.456996, -70.6377334 -33.4571701, -70.638141 -33.4572565, -70.63820680000001 -33.4572968, -70.6382667 -33.4573095, -70.6383538 -33.4573016, -70.6394145 -33.4575263, -70.639475 -33.4575389)",,yes,,
1691362559,285738885,0,814502479,False,6,Puente Loreto,primary,11.704,"LINESTRING (-70.6427778 -33.4345971, -70.6428001 -33.4347007)",,,,
1691362559,5262599268,0,"[456672273, 675433822]",False,,Ciclovía Parque Forestal,"['cycleway', 'path']",732.1609999999998,"LINESTRING (-70.6427778 -33.4345971, -70.64262479999999 -33.434627, -70.6389947 -33.4354328, -70.63888350000001 -33.4354613, -70.636899 -33.4359101, -70.63553899999999 -33.4362231, -70.6355394 -33.4363015, -70.6355459 -33.4363736, -70.6355654 -33.4365506)",,,,1
1691362559,6700679120,0,"[323913760, 323913763, 532827076, 532827077, 532827078, 321238223, 321238224, 456672273, 562615861]",False,,"['Mapocho 42K', 'Ciclovía Parque Forestal']",cycleway,2829.493000000001,"LINESTRING (-70.6427778 -33.4345971, -70.6429399 -33.4345571, -70.64296160000001 -33.4345523, -70.64544429999999 -33.4339781, -70.6478552 -33.4333805, -70.6480493 -33.4333464, -70.6485479 -33.4332314, -70.6485979 -33.4332132, -70.6487479 -33.4331708, -70.6488798 -33.4330939, -70.65039659999999 -33.4327396, -70.651672 -33.4324318, -70.6529377 -33.4321534, -70.6530815 -33.4321196, -70.6536385 -33.4319882, -70.6553572 -33.4315932, -70.657195 -33.4311712, -70.65946169999999 -33.4306535, -70.6595185 -33.4307084, -70.6595378 -33.4307227, -70.6595552 -33.4307356, -70.65957710000001 -33.430749, -70.6596023 -33.430763, -70.6596311 -33.4307768, -70.6596639 -33.4307906, -70.65970110000001 -33.4308054, -70.6597347 -33.4308183, -70.65976240000001 -33.4308273, -70.659791 -33.4308363, -70.6598094 -33.4308442, -70.65982959999999 -33.4308587, -70.6598565 -33.4308817, -70.65992970000001 -33.4308535, -70.659994 -33.4308268, -70.6600297 -33.4308134, -70.660048 -33.4308078, -70.6600744 -33.4308043, -70.66010230000001 -33.430805, -70.6601381 -33.4308074, -70.6601845 -33.430811, -70.66026359999999 -33.4308124, -70.6603025 -33.4308111, -70.660346 -33.4308059, -70.6604451 -33.4307859, -70.66059300000001 -33.4307336, -70.6611924 -33.4305358, -70.6613821 -33.4304401, -70.6614675 -33.4303982, -70.66152049999999 -33.4303461, -70.6615382 -33.4302738, -70.66213860000001 -33.430113, -70.66383449999999 -33.4295588, -70.6646647 -33.4292868, -70.6654929 -33.4290166, -70.66817399999999 -33.428154, -70.67111370000001 -33.4271232, -70.67114719999999 -33.4271248, -70.6711698 -33.4271364, -70.6711988 -33.427148, -70.671267 -33.4271455, -70.67133509999999 -33.4271539, -70.6715487 -33.4271116)",,,yes,1
1857514321,1857514325,0,353008506,False,,Ciclovía Alameda,cycleway,10.267,"LINESTRING (-70.6646351 -33.4472699, -70.6647423 -33.4472928)",,,,
1857514321,4978288358,0,"[43704635, 445511083, 447781291]",True,2,"['Almirante Latorre', 'Avenida Brasil']",secondary,833.4879999999999,"LINESTRING (-70.6646351 -33.4472699, -70.6645572 -33.4470108, -70.66453540000001 -33.4468925, -70.6645163 -33.4467389, -70.66475629999999 -33.4448238, -70.6648282 -33.4442749, -70.66495740000001 -33.4433541, -70.6649839 -33.4421651, -70.66498900000001 -33.4420911, -70.6649678 -33.44112, -70.6649675 -33.4411085, -70.6649659 -33.4410712, -70.6649637 -33.4409977, -70.6649537 -33.4406592, -70.6649134 -33.4402476, -70.6648445 -33.4400057, -70.66484060000001 -33.4399922, -70.6648198 -33.4399191, -70.6648356 -33.4398164)",,,,
1857514321,5292080454,0,"[353008506, 547718580, 547718581, 547718582]",False,,Ciclovía Alameda,cycleway,711.9259999999999,"LINESTRING (-70.6646351 -33.4472699, -70.66458419999999 -33.4472571, -70.6645547 -33.4471814, -70.6642109 -33.4471061, -70.66363269999999 -33.4469727, -70.6635192 -33.4470061, -70.66327080000001 -33.446942, -70.6632288 -33.4468984, -70.6632073 -33.4468029, -70.663073 -33.44677, -70.66283230000001 -33.4467112, -70.6627589 -33.4465804, -70.6626061 -33.4465476, -70.6625172 -33.4465302, -70.66240740000001 -33.446684, -70.6619938 -33.4465938, -70.6618263 -33.4466096, -70.6617552 -33.4466786, -70.6616523 -33.4466566, -70.6615473 -33.4466313, -70.6615542 -33.4466145, -70.6615638 -33.4465927, -70.6615815 -33.4465456, -70.6615796 -33.4465305, -70.6615778 -33.4465163, -70.66156839999999 -33.4465009, -70.661556 -33.4464898, -70.6615453 -33.4464822, -70.6608722 -33.4463177, -70.6608269 -33.4463066, -70.6608133 -33.4463726, -70.6607951 -33.4464642, -70.66070790000001 -33.4464427, -70.6606013 -33.4464178, -70.6605359 -33.4464004, -70.6605763 -33.4460403, -70.6603448 -33.4459876, -70.6601167 -33.4459625, -70.6600096 -33.4460777, -70.659486 -33.4459482, -70.65942200000001 -33.4458238, -70.65874119999999 -33.4456553, -70.6585924 -33.4456234)",,,,
