u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
253348623,253351472,0,477783978,,True,Eleuterio Ramírez,tertiary,175.363,"LINESTRING (-70.6546397 -33.4503462, -70.6564997 -33.4506268)",2,,,
253351435,6285254256,0,370353651,,True,Tarapacá,secondary,66.451,"LINESTRING (-70.6535954 -33.4478048, -70.6543054 -33.4478834)",3,,,
253351438,253348623,0,477783978,,True,Eleuterio Ramírez,tertiary,136.769,"LINESTRING (-70.65324099999999 -33.4499577, -70.6546397 -33.4503462)",2,,,
253351451,253351435,0,13858411,,True,Tarapacá,primary,60.895,"LINESTRING (-70.6529457 -33.4477271, -70.6535954 -33.4478048)",3,,,
253351454,253351438,0,477783978,,True,Eleuterio Ramírez,tertiary,66.583,"LINESTRING (-70.6525563 -33.4497783, -70.65324099999999 -33.4499577)",2,,,
253351459,253351461,0,518091963,,True,Arturo Prat,residential,141.143,"LINESTRING (-70.6491146 -33.4502614, -70.6488648 -33.4515135)",2,,,
253351461,253351463,0,518091963,,True,Arturo Prat,residential,107.546,"LINESTRING (-70.6488648 -33.4515135, -70.648667 -33.4524665)",2,,,
253351461,253351467,0,627916822,,True,Santa Isabel,secondary,74.859,"LINESTRING (-70.6488648 -33.4515135, -70.64810629999999 -33.4512839)",3,,,
253351463,149809129,0,518091963,,True,Arturo Prat,residential,170.089,"LINESTRING (-70.648667 -33.4524665, -70.64835549999999 -33.4539739)",2,,,
253351472,4400227120,0,23400632,,True,Rosales,tertiary,11.71,"LINESTRING (-70.6564997 -33.4506268, -70.65662570000001 -33.4506207)",,,,
253351481,4400227119,0,23400632,,True,Rosales,tertiary,9.059,"LINESTRING (-70.656909 -33.4505871, -70.65700560000001 -33.4505752)",,,,
253351485,14760678,0,23400434,,True,Vidaurre,secondary,62.553,"LINESTRING (-70.6562366 -33.4481334, -70.65690379999999 -33.4482143)",3,,,
253352520,6214736583,0,519185503,,True,Dieciocho,tertiary,22.258,"LINESTRING (-70.65815739999999 -33.4472171, -70.65820189999999 -33.4470204)",2,,,
253354801,3456753078,0,447770575,,True,Santa Isabel,secondary,5.411,"LINESTRING (-70.6582607 -33.4524085, -70.65831780000001 -33.4524184)",,,,
253354811,2247539561,0,8000329,,True,Santa Isabel,secondary,9.341,"LINESTRING (-70.6573784 -33.4526146, -70.65745699999999 -33.4525621)",,,,
253354815,4400238526,0,8000329,,True,Santa Isabel,secondary,7.572,"LINESTRING (-70.65698620000001 -33.4529394, -70.65702589999999 -33.4528799)",,,,
253354815,1999003644,0,769739557,,True,Dieciocho,tertiary,30.453,"LINESTRING (-70.65698620000001 -33.4529394, -70.6570478 -33.4526704)",2,60,,
253359434,253359457,0,518091963,,True,Arturo Prat,residential,158.148,"LINESTRING (-70.64811210000001 -33.4552275, -70.6478144 -33.4566279)",2,,,
253359457,253359463,0,518091963,,True,Arturo Prat,residential,130.115,"LINESTRING (-70.6478144 -33.4566279, -70.6475717 -33.4577804)",2,,,
253359463,253359466,0,653482738,,True,Arturo Prat,residential,144.935,"LINESTRING (-70.6475717 -33.4577804, -70.6473149 -33.4590661)",,60,,
253359466,1070152542,0,653482738,,True,Arturo Prat,residential,9.665,"LINESTRING (-70.6473149 -33.4590661, -70.64729749999999 -33.4591518)",,60,,
253411520,253411522,0,447766844,,True,General Bulnes,tertiary,135.185,"LINESTRING (-70.66987520000001 -33.4428963, -70.6700329 -33.4416877)",2,,,
253411522,5419066246,0,447766844,,True,General Bulnes,tertiary,65.519,"LINESTRING (-70.6700329 -33.4416877, -70.670102 -33.4411013)",2,,,
253411525,3458654252,0,443094737,,True,General Bulnes,tertiary,128.136,"LINESTRING (-70.6701796 -33.4405017, -70.67031249999999 -33.4393547)",2,,,
253411532,253282016,0,447766844,,True,General Bulnes,tertiary,157.731,"LINESTRING (-70.6692692 -33.4467991, -70.669505 -33.4453943)",2,,,
254343740,7671897194,0,223877454,,True,General Bulnes,tertiary,202.451,"LINESTRING (-70.6706925 -33.4367815, -70.6709455 -33.4349731)",2,,,
254343740,254343949,0,238513077,,True,Rosas,residential,108.565,"LINESTRING (-70.6706925 -33.4367815, -70.6718584 -33.436863)",,,,
254343801,253281823,0,238513077,,True,Rosas,residential,82.546,"LINESTRING (-70.67273520000001 -33.4369227, -70.67362180000001 -33.4369835)",,,,
254343949,254343801,0,238513077,,True,Rosas,residential,81.63,"LINESTRING (-70.6718584 -33.436863, -70.67273520000001 -33.4369227)",,,,
254344556,6014021370,0,675481989,,False,Matucana,primary,12.739,"LINESTRING (-70.68014030000001 -33.4374167, -70.68015130000001 -33.4373025)",3,,,
254344648,254344701,0,238513077,,True,Rosas,residential,100.191,"LINESTRING (-70.6769232 -33.4371851, -70.6780004 -33.4372469)",,,,
254344701,254347180,0,293796405,,True,Rosas,residential,94.794,"LINESTRING (-70.6780004 -33.4372469, -70.6790156 -33.4373421)",,,,
254344725,7009080338,0,447781291,,True,Avenida Brasil,secondary,8.175,"LINESTRING (-70.6649659 -33.4410712, -70.6649637 -33.4409977)",2,,,
254344952,6809887194,0,508533725,,True,Avenida Brasil,secondary,4.108,"LINESTRING (-70.66490039999999 -33.4399257, -70.664918 -33.4399596)",2,,,
254346503,3014327370,0,92360510,,True,Avenida Brasil,secondary,63.201,"LINESTRING (-70.66461580000001 -33.4387707, -70.6647344 -33.4393304)",2,,,
254346565,254346671,0,262442723,,True,Rosas,residential,11.881,"LINESTRING (-70.6686972 -33.4366456, -70.6688248 -33.4366544)",,,,
254346671,2041792921,0,238513077,,True,Rosas,residential,97.89,"LINESTRING (-70.6688248 -33.4366544, -70.6698762 -33.4367265)",,,,
254346739,605145766,0,144917235,,True,Mapocho,secondary,99.859,"LINESTRING (-70.6691208 -33.4321334, -70.6680453 -33.4321034)",2,,,
254346740,254346739,0,144917235,,True,Mapocho,secondary,12.405,"LINESTRING (-70.6692544 -33.4321372, -70.6691208 -33.4321334)",2,,,
254346742,264246077,0,27989202,,True,Mapocho,secondary,90.607,"LINESTRING (-70.6722815 -33.432323, -70.67130899999999 -33.4322502)",2,,,
254346783,254345906,0,675481989,,False,Matucana,primary,144.388,"LINESTRING (-70.68040000000001 -33.434554, -70.6802634 -33.4358475)",3,,,
254346784,254346783,0,238513527,,True,Martínez de Rozas,tertiary,105.579,"LINESTRING (-70.6792652 -33.4344854, -70.68040000000001 -33.434554)",2,,,
254346785,254346784,0,238513527,,True,Martínez de Rozas,tertiary,97.885,"LINESTRING (-70.678214 -33.4344121, -70.6792652 -33.4344854)",2,,,
254346786,254346785,0,238513527,,True,Martínez de Rozas,tertiary,99.631,"LINESTRING (-70.6771431 -33.4343477, -70.678214 -33.4344121)",2,,,
254346787,254346786,0,238513527,,True,Martínez de Rozas,tertiary,88.536,"LINESTRING (-70.6761927 -33.4342776, -70.6771431 -33.4343477)",2,,,
254346788,254346787,0,238513527,,True,Martínez de Rozas,tertiary,132.648,"LINESTRING (-70.6747678 -33.4341822, -70.6761927 -33.4342776)",2,,,
254346789,6014083117,0,238513527,,True,Martínez de Rozas,tertiary,39.197,"LINESTRING (-70.6738921 -33.4341316, -70.67431329999999 -33.4341582)",2,,,
254346790,254346789,0,238513527,,True,Martínez de Rozas,tertiary,82.899,"LINESTRING (-70.6730014 -33.4340741, -70.6738921 -33.4341316)",2,,,
254346791,254346790,0,238513527,,True,Martínez de Rozas,tertiary,79.684,"LINESTRING (-70.6721464 -33.4340075, -70.6730014 -33.4340741)",2,,,
254346793,254346862,0,238513527,,True,Martínez de Rozas,tertiary,95.771,"LINESTRING (-70.6690955 -33.4338112, -70.67012440000001 -33.4338787)",2,,,
254346794,254346793,0,238513527,,True,Martínez de Rozas,tertiary,11.809,"LINESTRING (-70.6689686 -33.4338032, -70.6690955 -33.4338112)",2,,,
254346802,254346810,0,238513527,,True,Martínez de Rozas,tertiary,82.766,"LINESTRING (-70.6674878 -33.4337018, -70.6683768 -33.433762)",2,,,
254346810,254346794,0,238513527,,True,Martínez de Rozas,tertiary,55.107,"LINESTRING (-70.6683768 -33.433762, -70.6689686 -33.4338032)",2,,,
