u,v,key,osmid,oneway,name,highway,length,geometry,lanes,access,maxspeed,bridge,tunnel,ref,junction
253281889,253281888,0,448511867,True,Cueto,residential,132.515,"LINESTRING (-70.6723684 -33.440757, -70.6722666 -33.4419457)",,,,,,,
253281906,253281916,0,223893022,True,Moneda,residential,84.434,"LINESTRING (-70.6711395 -33.4442961, -70.6720409 -33.4444003)",,,,,,,
253281906,253281920,0,555863676,True,García Reyes,residential,142.834,"LINESTRING (-70.6711395 -33.4442961, -70.6710281 -33.4454801, -70.6710085 -33.4455756)",2,,,,,,
253281907,253411520,0,173295537,True,Agustinas,secondary,131.414,"LINESTRING (-70.6712775 -33.4430622, -70.66987520000001 -33.4428963)",3,,,,,,
253281907,253281906,0,555863676,True,García Reyes,residential,137.8,"LINESTRING (-70.6712775 -33.4430622, -70.6711395 -33.4442961)",2,,,,,,
253281915,253281920,0,221398098,True,Erasmo Escala,residential,84.577,"LINESTRING (-70.67191339999999 -33.4456674, -70.6710085 -33.4455756)",,,,,,,
253281916,253281915,0,23393716,True,Cueto,residential,141.391,"LINESTRING (-70.6720409 -33.4444003, -70.67191339999999 -33.4456674)",,,,,,,
253281916,253281836,0,223893022,True,Moneda,residential,82.143,"LINESTRING (-70.6720409 -33.4444003, -70.6729175 -33.4445037)",,,,,,,
253281917,609286380,0,448538604,True,García Reyes,residential,29.871,"LINESTRING (-70.6704008 -33.4484633, -70.670422 -33.4486344, -70.6704388 -33.44873)",2,,,,,,
253281917,253411489,0,726515493,True,Avenida Libertador Bernardo O'Higgins,primary,117.35,"LINESTRING (-70.6704008 -33.4484633, -70.67048939999999 -33.4484922, -70.6715976 -33.4488045)",4,,,,,,
253281919,4785281195,0,626816116,True,Romero,residential,86.033,"LINESTRING (-70.6706045 -33.4470899, -70.6706404 -33.4471036, -70.67068209999999 -33.4471197, -70.6707437 -33.4471368, -70.6714953 -33.447301)",,,,,,,
253281919,253281917,0,626816117,True,García Reyes,residential,153.89000000000001,"LINESTRING (-70.6706045 -33.4470899, -70.670419 -33.4482997, -70.6704008 -33.4484633)",2,,,,,,
253281920,253282016,0,448173025,True,Erasmo Escala,residential,140.947,"LINESTRING (-70.6710085 -33.4455756, -70.669505 -33.4453943)",,,,,,,
253281920,253281919,0,448173024,True,García Reyes,residential,172.546,"LINESTRING (-70.6710085 -33.4455756, -70.6708959 -33.4460265, -70.6706106 -33.4470444, -70.6706045 -33.4470899)",2,,,,,,
253281921,4401551570,0,223893020,True,Moneda,residential,100.458,"LINESTRING (-70.6752333 -33.4447615, -70.6763119 -33.4448402)",,,,,,,
253281921,253281985,0,238513067,True,Esperanza,secondary,137.428,"LINESTRING (-70.6752333 -33.4447615, -70.67509219999999 -33.4459918)",2,,,,,,
253281923,253281906,0,223893022,True,Moneda,residential,135.042,"LINESTRING (-70.6696974 -33.444132, -70.6711395 -33.4442961)",,,,,,,
253281923,253411520,0,447766844,True,General Bulnes,tertiary,138.391,"LINESTRING (-70.6696974 -33.444132, -70.66987520000001 -33.4428963)",2,,,,,,
253281928,253281929,0,211203200,True,Maipú,residential,100.851,"LINESTRING (-70.67637689999999 -33.4433121, -70.6764321 -33.4424063)",,,,,,,
253281928,253281942,0,443267575,True,Portales,residential,96.576,"LINESTRING (-70.67637689999999 -33.4433121, -70.6774094 -33.443422)",2,,,,,,
253281929,4401437055,0,211203200,True,Maipú,residential,131.153,"LINESTRING (-70.6764321 -33.4424063, -70.6765359 -33.44123)",,,,,,,
253281929,254343986,0,238513519,True,Huérfanos,residential,99.279,"LINESTRING (-70.6764321 -33.4424063, -70.67682790000001 -33.4424306, -70.67705170000001 -33.4424437, -70.6774987 -33.4424769)",,,,,,,
253281932,254344568,0,23393730,True,Chacabuco,residential,112.96,"LINESTRING (-70.67848549999999 -33.4435576, -70.6784935 -33.4434442, -70.6784995 -33.4433602, -70.6785527 -33.4426746, -70.6785606 -33.4425795, -70.67857530000001 -33.4425459)",,,,,,,
253281932,253281862,0,443267575,True,Portales,residential,105.555,"LINESTRING (-70.67848549999999 -33.4435576, -70.6795187 -33.4436811, -70.6795968 -33.4437246)",2,,,,,,
253281940,605143886,0,223893020,True,Moneda,residential,101.08,"LINESTRING (-70.6772551 -33.4448964, -70.6783413 -33.4449663)",,,,,,,
253281940,605143899,0,293796406,True,Herrera,residential,146.745,"LINESTRING (-70.6772551 -33.4448964, -70.67715200000001 -33.4462133)",,,,,,,
253281942,4464107860,0,293796406,True,Herrera,residential,37.616,"LINESTRING (-70.6774094 -33.443422, -70.67737839999999 -33.4437593)",,,,,,,
253281942,253281932,0,443267575,True,Portales,residential,100.977,"LINESTRING (-70.6774094 -33.443422, -70.67848549999999 -33.4435576)",2,,,,,,
253281985,2041792924,0,626802217,True,Esperanza,secondary,144.578,"LINESTRING (-70.67509219999999 -33.4459918, -70.6747922 -33.4472677)",2,,,,,,
253281985,253281845,0,626802218,True,Erasmo Escala,residential,129.229,"LINESTRING (-70.67509219999999 -33.4459918, -70.6737103 -33.4458465)",,,,,,,
253281997,253281985,0,39944810,True,Erasmo Escala,residential,109.497,"LINESTRING (-70.6762646 -33.4461045, -70.67509219999999 -33.4459918)",,,,,,,
253281997,4401551570,0,211203200,True,Maipú,residential,140.652,"LINESTRING (-70.6762646 -33.4461045, -70.6763119 -33.4448402)",,,,,,,
253281999,1873262215,0,726515493,True,Avenida Libertador Bernardo O'Higgins,primary,107.227,"LINESTRING (-70.6778849 -33.450448, -70.678994 -33.4507192)",4,,,,,,
253281999,14805013,0,8000998,True,Exposición,primary,28.993,"LINESTRING (-70.6778849 -33.450448, -70.6778463 -33.4506348, -70.6778302 -33.4507047)",2,,,,,,
253282004,605143886,0,23393730,True,Chacabuco,residential,150.181,"LINESTRING (-70.6782247 -33.4463134, -70.6783413 -33.4449663)",,,,,,,
253282004,605143899,0,39944810,True,Erasmo Escala,residential,100.147,"LINESTRING (-70.6782247 -33.4463134, -70.67715200000001 -33.4462133)",,,,,,,
253282004,253282026,0,39944812,True,Chacabuco,residential,221.404,"LINESTRING (-70.6782247 -33.4463134, -70.6780535 -33.4482994)",2,,,,,,
253282016,265688241,0,447766844,True,General Bulnes,tertiary,70.512,"LINESTRING (-70.669505 -33.4453943, -70.66960419999999 -33.4447656)",2,,,,,,
253282016,253411560,0,448173025,True,Erasmo Escala,residential,159.338,"LINESTRING (-70.669505 -33.4453943, -70.6678043 -33.4451954)",,,,,,,
253282017,6761913735,0,221398094,True,Erasmo Escala,residential,129.177,"LINESTRING (-70.66769480000001 -33.4451832, -70.66631889999999 -33.4450057)",2,,,,,,
253282017,265688239,0,726515491,True,Avenida Ricardo Cumming,primary,77.462,"LINESTRING (-70.66769480000001 -33.4451832, -70.6677519 -33.4444882)",2,,30,,,,
253282018,276078286,0,221398096,True,Erasmo Escala,residential,56.708,"LINESTRING (-70.66623610000001 -33.4449958, -70.6656309 -33.4449246)",2,,,,,,
253282018,6761913735,0,795027668,False,Erasmo Escala,residential,7.761,"LINESTRING (-70.66623610000001 -33.4449958, -70.66631889999999 -33.4450057)",2,,,,,,
253282019,605144041,0,196772150,True,Avenida Brasil,secondary,46.512,"LINESTRING (-70.6649077 -33.4448416, -70.6648613 -33.4452581)",2,,,,,,
253282019,253282020,0,221398096,True,Erasmo Escala,residential,14.186,"LINESTRING (-70.6649077 -33.4448416, -70.66475629999999 -33.4448238)",2,,,,,,
253282020,265688236,0,447781291,True,Avenida Brasil,secondary,61.398,"LINESTRING (-70.66475629999999 -33.4448238, -70.6648282 -33.4442749)",2,,,,,,
253282020,253282021,0,447781292,True,Erasmo Escala,residential,71.182,"LINESTRING (-70.66475629999999 -33.4448238, -70.66399370000001 -33.4447539)",,,,,,,
253282021,254344734,0,23486497,True,José Toribio Medina,residential,217.764,"LINESTRING (-70.66399370000001 -33.4447539, -70.66372579999999 -33.4466995)",,,,,,,
253282021,265688246,0,221398299,True,Erasmo Escala,residential,95.353,"LINESTRING (-70.66399370000001 -33.4447539, -70.6629715 -33.4446653)",2,,,,,,
253282023,253411565,0,483569402,True,Moneda,residential,11.269,"LINESTRING (-70.66779459999999 -33.4437754, -70.66791310000001 -33.4437976)",,,,,,,
253282023,253411536,0,726515491,True,Avenida Ricardo Cumming,primary,135.17,"LINESTRING (-70.66779459999999 -33.4437754, -70.6678879 -33.4425943, -70.6678926 -33.4425626)",2,,30,,,,
253282026,605143868,0,39944812,True,Chacabuco,residential,56.568,"LINESTRING (-70.6780535 -33.4482994, -70.67799909999999 -33.4488061)",2,,,,,,
253282026,4401400466,0,211203750,True,Romero,residential,96.841,"LINESTRING (-70.6780535 -33.4482994, -70.6790936 -33.4483724)",2,,,,,,
253282028,2212131490,0,626816116,True,Romero,residential,141.508,"LINESTRING (-70.6746303 -33.4479991, -70.6761449 -33.4481489)",,,,,,,
