u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,width,bridge,access,service,tunnel,ref,est_width,area
367967,151357427,0,170809563,False,Avenue de la République,primary,50,40.849999999999994,"LINESTRING (2.3696433 48.8661921, 2.3698143 48.8661597, 2.3701799 48.8660903)",,,,,,,,,,
368058,5895963300,0,22766325,False,Avenue de Saint-Mandé,secondary,50,10.005,"LINESTRING (2.4101755 48.8442874, 2.4100398 48.8442984)",,,,,,,,,,
368058,5895963299,0,22768259,True,Avenue de Saint-Mandé,residential,30,17.311,"LINESTRING (2.4101755 48.8442874, 2.410117 48.8444071, 2.4100718 48.8444105)",,,,,,,,,,
368083,390252,0,"[232206912, 232206913, 232206914, 4039375, 22822719]",False,Rue Proudhon,tertiary,50,181.948,"LINESTRING (2.3900187 48.8370497, 2.3899413 48.8370297, 2.3881176 48.8365766, 2.3879386 48.8365374, 2.3877824 48.8365066, 2.3876847 48.8364877)",,,,,,,"['yes', 'building_passage']",,,
368083,257712873,0,"[4039268, 23785244]",True,"['Rue Nicolaï', 'Rue Coriolis']",residential,30,341.2,"LINESTRING (2.3900187 48.8370497, 2.3900951 48.8369739, 2.3920523 48.835034, 2.3921503 48.8349569, 2.3922087 48.8349481, 2.3922577 48.8349667, 2.3927041 48.8352263, 2.392795 48.8352787)",,,,,,,,,,
368083,368082,0,4039289,False,Rue Proudhon,tertiary,30,91.393,"LINESTRING (2.3900187 48.8370497, 2.3901152 48.8370698, 2.3905844 48.8371674, 2.3906134 48.8371735, 2.3908585 48.8372261, 2.3910683 48.8372682, 2.3912093 48.8372975)",,,,,,,,,,
368243,4508646363,0,"[139093032, 4041057, 139093031]",False,Pont de la Concorde,primary,50,168.861,"LINESTRING (2.3201227 48.8640673, 2.3200824 48.8640103, 2.3200716 48.863997, 2.3200566 48.8639769, 2.3200462 48.8639628, 2.31917 48.8627838, 2.3191379 48.8627407, 2.3191316 48.8627316, 2.3191112 48.8627023)",6,,,yes,,,,,,
368243,5467645825,0,25485930,True,Cours la Reine,path,,127.281,"LINESTRING (2.3201227 48.8640673, 2.3199083 48.8640937, 2.3198703 48.8641027, 2.3198134 48.8641161, 2.3195106 48.8642014, 2.3186529 48.8644759, 2.3185617 48.8645439)",,,,,,,,,,
368243,7446809112,0,749239566,True,Place de la Concorde,primary,50,27.702999999999996,"LINESTRING (2.3201227 48.8640673, 2.3203354 48.8641462, 2.3203903 48.864227)",4,,,,,,,,,
390033,25001426,0,34491643,False,Rue du Faubourg Saint-Antoine,primary,30,143.695,"LINESTRING (2.3920084 48.8489668, 2.3917111 48.8490118, 2.3910952 48.8491051, 2.3902752 48.8492292, 2.390193 48.8492417, 2.3900946 48.8492566)",,,,,,,,,,
390033,25001256,0,34491643,False,Rue du Faubourg Saint-Antoine,primary,30,74.276,"LINESTRING (2.3920084 48.8489668, 2.3922683 48.8489274, 2.3923762 48.8489111, 2.3929976 48.8488169)",,,,,,,,,,
390033,25001430,0,30782971,True,Rue des Boulets,residential,30,197.63100000000003,"LINESTRING (2.3920084 48.8489668, 2.3918299 48.8491364, 2.3912835 48.8497191, 2.390658 48.8503875, 2.3905772 48.8504738)",,,,,,,,,,
390033,1775183418,0,304003330,False,Rue de Picpus,residential,30,109.79899999999999,"LINESTRING (2.3920084 48.8489668, 2.3921503 48.8488084, 2.3927443 48.8481532, 2.3927774 48.8481189)",,,,,,,,,,
390202,15378826,0,438204230,False,Avenue Daumesnil,secondary,30,106.039,"LINESTRING (2.3974499 48.8388965, 2.3975308 48.8388669, 2.3987163 48.8384332)",,,,,,,,,,
390202,1432256094,0,"[438204230, 696354695]",False,Avenue Daumesnil,secondary,30,61.209999999999994,"LINESTRING (2.3974499 48.8388965, 2.3971197 48.8390182, 2.3967202 48.8391655)",,,,,,,,,,
390202,15378834,0,4039496,True,Rue Raoul,residential,30,89.131,"LINESTRING (2.3974499 48.8388965, 2.3963514 48.8386696, 2.3962879 48.8386565)",,,,,,,,,,
390252,368083,0,"[232206912, 232206913, 232206914, 4039375, 22822719]",False,Rue Proudhon,tertiary,50,181.94800000000004,"LINESTRING (2.3876847 48.8364877, 2.3877824 48.8365066, 2.3879386 48.8365374, 2.3881176 48.8365766, 2.3899413 48.8370297, 2.3900187 48.8370497)",,,,,,,"['yes', 'building_passage']",,,
644119,60766874,0,197510652,False,Boulevard Ornano,primary,50,21.018,"LINESTRING (2.3448325 48.8973872, 2.3446898 48.8975513)",,,,,,,,,,
644119,622024413,0,"[197510652, 517784076]",False,Boulevard Ornano,primary,50,123.964,"LINESTRING (2.3448325 48.8973872, 2.3450202 48.8971559, 2.3456627 48.8964152)",,,,,,,,,,
644119,25573659,0,"[520391112, 4261942]",False,Passage du Mont Cenis,service,30,149.886,"LINESTRING (2.3448325 48.8973872, 2.3450287 48.8973601, 2.3451529 48.8973429, 2.3461944 48.8970478, 2.3467311 48.8968885)",,,,,,alley,,,,
661218,21660281,0,41872851,False,Avenue de Wagram,primary,50,23.567,"LINESTRING (2.2960232 48.8751368, 2.2960675 48.8751971, 2.2961635 48.8753276)",,,,,,,,,,
14950171,7129648954,0,120689566,False,Rue de Charenton,secondary,30,7.246,"LINESTRING (2.3892265 48.838981, 2.3891805 48.8390387)",2,,,,,,,,,
14950171,225937067,0,55490386,False,Boulevard de Reuilly,primary,50,44.374,"LINESTRING (2.3892265 48.838981, 2.3894096 48.8389982, 2.3897766 48.8390302, 2.3898273 48.8390347)",,,,,,,,,,
14950171,15378800,0,55490269,False,Boulevard de Bercy,primary,50,79.491,"LINESTRING (2.3892265 48.838981, 2.3885686 48.8389341, 2.3883636 48.8389195, 2.3881454 48.8389187)",,,,,,,,,,
15378826,268221897,0,438204230,False,Avenue Daumesnil,secondary,30,35.25,"LINESTRING (2.3987163 48.8384332, 2.3991378 48.8382798)",,,,,,,,,,
15378826,390202,0,438204230,False,Avenue Daumesnil,secondary,30,106.039,"LINESTRING (2.3987163 48.8384332, 2.3975308 48.8388669, 2.3974499 48.8388965)",,,,,,,,,,
15378827,268221926,0,438204230,False,Avenue Daumesnil,secondary,30,17.008,"LINESTRING (2.3994244 48.8381744, 2.3996271 48.8380996)",,,,,,,,,,
15378827,268221897,0,438204230,False,Avenue Daumesnil,secondary,30,24.028,"LINESTRING (2.3994244 48.8381744, 2.3992174 48.8382508, 2.3991378 48.8382798)",,,,,,,,,,
15378827,15378828,0,15887436,True,Rue Tourneux,residential,30,101.72299999999998,"LINESTRING (2.3994244 48.8381744, 2.3992872 48.838096, 2.3987471 48.8377875, 2.3984541 48.8376202, 2.3983747 48.8375748)",,,,,,,,,,
15378859,368061,0,"[752044043, 123487806]",False,Avenue de Saint-Mandé,tertiary,,273.6,"LINESTRING (2.4019578 48.8449876, 2.4018113 48.8450017, 2.4016648 48.8450157, 2.4010082 48.8450715, 2.4000455 48.8451533, 2.3991248 48.8452316, 2.3987593 48.8452621, 2.3982497 48.8453024)",,,,,,,,,,
17809163,431394904,0,170809562,False,Avenue de la République,primary,50,5.923,"LINESTRING (2.3688858 48.866331, 2.3689635 48.866316)",,,,,,,,,,
17809163,94144498,0,690933459,False,Avenue de la République,primary,50,54.900999999999996,"LINESTRING (2.3688858 48.866331, 2.3685531 48.8663949, 2.3681656 48.86647)",,,,,,,,,,
17809163,17809162,0,3869983,True,Boulevard Richard-Lenoir,tertiary,30,88.87899999999999,"LINESTRING (2.3688858 48.866331, 2.3689715 48.866216, 2.369339 48.8657288, 2.3693723 48.8656846, 2.369425 48.8656147)",2,,,,,,,,,
17975396,1788554939,0,30342035,True,Avenue de Nogent,primary,50,22.183,"LINESTRING (2.4413075 48.8443802, 2.4410209 48.8444452)",2,,,,,,,D 120,,
17975396,3121908777,0,"[228993221, 307133001, 228993226, 228993211, 89635615]",False,Avenue de Nogent,primary,50,622.653,"LINESTRING (2.4413075 48.8443802, 2.4415309 48.844359, 2.4420105 48.8443135, 2.4422487 48.8442909, 2.4425724 48.8442602, 2.4427987 48.8442408, 2.4450374 48.8440402, 2.4454146 48.8440053, 2.4455743 48.8439901, 2.4456877 48.8439768, 2.4457971 48.8439634, 2.4460828 48.8439172, 2.4462304 48.8438906, 2.4463806 48.8438605, 2.4466005 48.8438148, 2.4468151 48.8437619, 2.4469395 48.8437262, 2.4470639 48.843687, 2.4471922 48.8436455, 2.4472694 48.8436098, 2.4473639 48.8435569, 2.4476134 48.843405, 2.4481108 48.8430521, 2.4485419 48.8426577, 2.44877 48.8423904)",4,,,,,,,D 120,,
