u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
57336029,655293831,0,729130045,Rue Marcadet,residential,,True,146.15099999999998,"LINESTRING (2.3475022 48.8903348, 2.3483233 48.8904231, 2.3484592 48.8904353, 2.3486102 48.8904446, 2.3494354 48.8904948, 2.3494848 48.8904966)",,,,,,,,,
63164022,360977,0,"[181918333, 110801688, 58489997, 181918334]",Rue Didot,tertiary,50,True,651.2400000000001,"LINESTRING (2.3130444 48.8263443, 2.3136456 48.8267531, 2.3138134 48.8268672, 2.3138865 48.8269159, 2.3140797 48.8270444, 2.3141341 48.8270806, 2.3143662 48.8272351, 2.3143839 48.8272471, 2.3144355 48.8272819, 2.3146971 48.8274585, 2.3148219 48.8275428, 2.3148784 48.8275809, 2.3150165 48.8276742, 2.3152029 48.8278033, 2.3153483 48.8278983, 2.3154935 48.8279964, 2.3155688 48.8280472, 2.3156286 48.8280875, 2.3156595 48.8281084, 2.3157191 48.8281486, 2.3159274 48.8282895, 2.3160628 48.8283807, 2.3161767 48.8284577, 2.3162946 48.8285373, 2.3163735 48.8285906, 2.3165776 48.8287283, 2.3166149 48.8287536, 2.3167009 48.8288117, 2.3172338 48.8291714, 2.3173183 48.8292285, 2.3173908 48.8292774, 2.3179229 48.8296368, 2.3179875 48.8296807, 2.318042 48.8297168, 2.319124 48.8304401, 2.3191729 48.8304728, 2.319263 48.8305326)",1,,,yes,yes,,,,
82409093,24913023,0,23172694,Rue de la Tombe Issoire,residential,30,True,39.248000000000005,"LINESTRING (2.3318364 48.8262834, 2.3317261 48.8260335, 2.3316904 48.8259438)",,,,,,,,,
82409093,25574314,0,616558131,Rue de la Tombe Issoire,cycleway,,True,71.83500000000001,"LINESTRING (2.3318364 48.8262834, 2.3319162 48.8263117, 2.3321455 48.826819, 2.3321003 48.8268677)",,,,,,,,,
94110200,621240917,0,"[60732337, 48965339, 4039805, 60732335]","['Pont Eugène Varlin', 'Quai de Jemmapes']","['cycleway', 'unclassified']",,True,250.58599999999998,"LINESTRING (2.3653881 48.8776836, 2.3655129 48.8775874, 2.3657469 48.8774925, 2.3658688 48.8773655, 2.3659699 48.8774381, 2.3662247 48.8777472, 2.3671901 48.8788666, 2.3671858 48.8789257)",,,,yes,,,,,
94121562,258046145,0,"[336795938, 261945574, 336795935]",Rue du Général Brunet,residential,,True,277.325,"LINESTRING (2.3903015 48.8801233, 2.390524 48.8802924, 2.3909201 48.8805636, 2.3912222 48.8807639, 2.3914543 48.8809226, 2.3916273 48.881046, 2.3917461 48.8811228, 2.3920332 48.8813212, 2.3924594 48.8816116, 2.3928028 48.8818522, 2.3929134 48.881931)",,,,,,,,,
94143078,6620540068,0,24037088,Rue du Château d'Eau,living_street,20,True,118.042,"LINESTRING (2.3544476 48.872856, 2.3545402 48.8728188, 2.3557728 48.8723242, 2.3558254 48.8723031)",,,,,,,,,
94161165,94161169,0,32445669,Rue des Petites-Écuries,living_street,20,True,164.944,"LINESTRING (2.3526565 48.8733866, 2.3525453 48.8734244, 2.3524627 48.8734525, 2.3519402 48.8736176, 2.3516855 48.8736719, 2.3505969 48.8738007, 2.3505169 48.8738168)",,,,,,,,,
94199676,1757697264,0,"[626990034, 688446462, 429684254, 10661846]",Rue des Récollets,residential,30,True,258.24399999999997,"LINESTRING (2.3594308 48.875227, 2.3595186 48.8751534, 2.3606692 48.8747597, 2.3607112 48.8747444, 2.3608203 48.8747071, 2.3609474 48.8746631, 2.3611237 48.8746037, 2.3613865 48.8745463, 2.3615878 48.8745004, 2.3620746 48.8743954, 2.3621943 48.8743698, 2.3625023 48.8743025, 2.3625323 48.8742961, 2.3626226 48.8742768)",,,,,,,,,
94247453,6222542084,0,"[62148080, 224883158]",Rue Marx Dormoy,primary,50,False,36.275999999999996,"LINESTRING (2.3593476 48.8848962, 2.3593445 48.8847815, 2.3593337 48.8846257, 2.3593299 48.8845702)",,,,,,,,,
123256917,94143079,0,25469131,Rue du Château d'Eau,residential,,True,105.865,"LINESTRING (2.3571452 48.8717748, 2.3570543 48.8718021, 2.3560541 48.8722087, 2.355968 48.8722431, 2.3559135 48.872273)",,,,,,,,,
123497818,123498921,0,15414570,Rue Alexandre Dumas,primary,,True,17.335,"LINESTRING (2.3959136 48.8543083, 2.3960382 48.8543413, 2.3961334 48.8543665)",,,,,,,,,
