u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,ref,bridge,width,service,tunnel,access
360986,116131632,0,59727176,Rue de la Convention,secondary,50,False,64.64399999999999,"LINESTRING (2.2855643 48.8421683, 2.2856308 48.842138, 2.2861622 48.841896, 2.2862907 48.8418375)",,,,,,,,
360986,140145854,0,662409826,Rue de la Convention,secondary,30,False,183.27,"LINESTRING (2.2855643 48.8421683, 2.2854873 48.8422034, 2.2854291 48.8422299, 2.2851524 48.8423559, 2.285061 48.8423975, 2.2849002 48.8424708, 2.2840453 48.8428601, 2.2835796 48.843076, 2.2835065 48.8431076)",,,,,,,,
360988,89163134,0,"[823426442, 86424728, 10427193, 733184763, 244669308, 733068095]",Pont Mirabeau,secondary,50,False,218.344,"LINESTRING (2.2769366 48.8460845, 2.2768641 48.8461186, 2.2768391 48.8461304, 2.27663 48.8462178, 2.2754668 48.8467046, 2.2746009 48.8470669, 2.2745283 48.8470976, 2.274423 48.8471424)","['3', '2']",,,yes,,,,
360988,666986356,0,13871173,Quai André Citroën,primary,50,True,93.763,"LINESTRING (2.2769366 48.8460845, 2.2767863 48.8459532, 2.2767479 48.8459194, 2.2766009 48.8457909, 2.2762895 48.8454515, 2.276237 48.8453801)",3,,,,,,,
360988,141558085,0,235746980,Rond-Point du Pont Mirabeau,secondary,50,False,33.878,"LINESTRING (2.2769366 48.8460845, 2.2770849 48.8460173, 2.2772009 48.8459647, 2.2773179 48.8459117)",6,,,,,,,
360990,166450259,0,5097306,Rue Mirabeau,tertiary,50,True,138.183,"LINESTRING (2.2737147 48.8474292, 2.2732451 48.8472813, 2.2732148 48.8472711, 2.2720693 48.8469154, 2.2720086 48.8468965)",2,,,,,,,
360990,89163134,0,13871245,Rue de l'Amiral Cloué,secondary,50,False,60.87,"LINESTRING (2.2737147 48.8474292, 2.2739186 48.8473534, 2.2739599 48.8473361, 2.274133 48.8472638, 2.2742826 48.8472011, 2.2743144 48.8471878, 2.274423 48.8471424)",,,,,,,,
360990,34819161,0,27631897,Rue de Rémusat,tertiary,50,True,91.695,"LINESTRING (2.2737147 48.8474292, 2.2732648 48.8475347, 2.2732223 48.8475428, 2.2729011 48.8476073, 2.2727126 48.8476466, 2.2725241 48.8476858)",2,,,,,,,
360990,29414561,0,"[451594920, 584386819, 584386820, 454665064]",Avenue de Versailles,primary,50,False,174.103,"LINESTRING (2.2737147 48.8474292, 2.2738732 48.8475801, 2.2738964 48.8476028, 2.2740055 48.8477062, 2.2740239 48.8477251, 2.2741917 48.847883, 2.2745119 48.8481918, 2.2749598 48.8486335, 2.2749924 48.8486668, 2.2750512 48.8487245)",,,,,,,,
360990,244455597,0,"[584386818, 34849338]",Avenue de Versailles,primary,50,False,169.65800000000002,"LINESTRING (2.2737147 48.8474292, 2.2735417 48.8472336, 2.2735097 48.8472025, 2.2733049 48.8470039, 2.2732365 48.8469359, 2.2724937 48.846198, 2.272448 48.8461517)",,,,,,,,
360991,34818713,0,720196717,Avenue Théophile Gautier,tertiary,50,False,34.364,"LINESTRING (2.2699037 48.8482358, 2.2701802 48.8484856)",2,,,,,,,
360991,14798307,0,4039125,Rue Leconte de Lisle,residential,50,True,111.51700000000001,"LINESTRING (2.2699037 48.8482358, 2.2697906 48.8482645, 2.2689646 48.8484504, 2.2686371 48.848519, 2.2684597 48.8485561)",1,,,,,,,
360991,166452976,0,61972265,Avenue Théophile Gautier,tertiary,50,False,97.25099999999999,"LINESTRING (2.2699037 48.8482358, 2.2698337 48.8481746, 2.2694494 48.8478226, 2.2693556 48.8477404, 2.2692464 48.8476398, 2.2691208 48.8475291)",,,,,,,,
360995,224364902,0,5097354,Rue Erlanger,residential,30,True,326.20399999999995,"LINESTRING (2.2622425 48.8479618, 2.2622126 48.8479094, 2.2619771 48.8475515, 2.2613898 48.8466662, 2.2611541 48.846311, 2.2610108 48.8460948, 2.2605477 48.8453958, 2.2605199 48.8453514, 2.2604653 48.8452715)",,,,,,,,
360995,989286407,0,24642293,Rue d'Auteuil,tertiary,50,True,66.866,"LINESTRING (2.2622425 48.8479618, 2.2623126 48.8479672, 2.2629896 48.84802, 2.2631505 48.8480291)",1,,,,,,,
360996,34818779,0,24030739,Place de la Porte d'Auteuil,primary_link,50,True,28.552000000000003,"LINESTRING (2.2597619 48.8479228, 2.2597164 48.8480364, 2.2596654 48.8480822, 2.2595582 48.848125)",,,,,,,,
360996,5569293867,0,582286359,Rue d'Auteuil,tertiary,50,True,29.693,"LINESTRING (2.2597619 48.8479228, 2.2600372 48.8479267, 2.2600902 48.8479274, 2.2601676 48.8479285)",3,,,,,,,
360997,264542426,0,14117429,Boulevard Murat,primary,50,True,50.737,"LINESTRING (2.2585518 48.8479122, 2.2585389 48.8478041, 2.2584977 48.8474573)",4,,,,,,,
360997,392015132,0,670968024,Place de la Porte d'Auteuil,secondary,50,True,27.842000000000002,"LINESTRING (2.2585518 48.8479122, 2.2588112 48.8479132, 2.2589323 48.8479137)",4,,,,,,,
360999,295137123,0,34172802,Boulevard Suchet,primary,50,False,43.722,"LINESTRING (2.2618853 48.8530352, 2.2616612 48.8526707)",4,,,,,,,
360999,295135707,0,"[26934344, 26934427, 26934412]","[""Avenue du Maréchal Franchet d'Esperey"", 'Square Tolstoï', 'Square Henry Bataille']",residential,50,True,390.46600000000007,"LINESTRING (2.2618853 48.8530352, 2.2617241 48.8530814, 2.2608516 48.8533314, 2.2607738 48.8533537, 2.2607989 48.8533936, 2.2614981 48.8544934, 2.2619082 48.8551284, 2.2619498 48.8551584, 2.2620073 48.8551426, 2.2624278 48.855027, 2.2628901 48.8549, 2.2629987 48.8548701)",1,,,,,,,
360999,295135550,0,34172802,Boulevard Suchet,primary,50,False,196.529,"LINESTRING (2.2618853 48.8530352, 2.261941 48.8531253, 2.2620569 48.8533055, 2.2629306 48.8546633)",4,,,,,,,
360999,34818898,0,"[85893201, 85893164, 24030591]",Rue Raffet,residential,50,False,57.845,"LINESTRING (2.2618853 48.8530352, 2.2620188 48.852939, 2.2621426 48.8528814, 2.2623629 48.852785, 2.262429 48.852756, 2.2625129 48.852724)",3,,,yes,,,,
361000,177268309,0,4039497,Place de la Porte de Passy,secondary,50,False,89.357,"LINESTRING (2.2646623 48.8573541, 2.2644772 48.857406, 2.263632 48.8576428, 2.2635387 48.8576692)",,,,,,,,
361000,295135510,0,"[582936818, 26934315]",Boulevard Suchet,primary,50,False,231.952,"LINESTRING (2.2646623 48.8573541, 2.2645473 48.8572016, 2.2645341 48.8571827, 2.2644241 48.8569991, 2.2634266 48.8554335)","['4', '5']",,,,,,,
361000,177268978,0,"[633689344, 4006556, 674498287]",Boulevard Suchet,primary,50,False,232.493,"LINESTRING (2.2646623 48.8573541, 2.2647516 48.8574876, 2.2647696 48.8575199, 2.2648575 48.8576637, 2.2658165 48.8591566, 2.2658963 48.8592808)",4,,,,,,,
361000,134579176,0,"[34824649, 722483413]",Avenue Ingres,secondary,50,False,145.66699999999997,"LINESTRING (2.2646623 48.8573541, 2.2648185 48.8573108, 2.2648312 48.8573073, 2.2650619 48.8572433, 2.2655182 48.8571167, 2.2657841 48.8570429, 2.265908 48.8570207, 2.2660787 48.8569991, 2.2662527 48.8569973, 2.2663668 48.8569991, 2.2664613 48.8570101, 2.2665471 48.8570207)",2,,,,,,,
361001,4414972417,0,24981503,Allée des Fortifications,unclassified,,False,5.653,"LINESTRING (2.2629378 48.8578749, 2.2629091 48.8578277)",2,,,,,,,
361001,6132156249,0,443995225,Route des Lacs à Passy,secondary,50,True,75.399,"LINESTRING (2.2629378 48.8578749, 2.2628703 48.8578929, 2.2619907 48.8581423)",1,,,,,,,
361003,2589568355,0,32004189,Avenue de l'Hippodrome,secondary,,False,26.28,"LINESTRING (2.2559777 48.8583101, 2.2556226 48.8582744)",,,,,,,,
361003,358874150,0,"[32004189, 722476382]","[""Avenue de l'Hippodrome"", 'Route des Lacs à Passy']",secondary,30,False,350.262,"LINESTRING (2.2559777 48.8583101, 2.2567307 48.8583983, 2.2567646 48.8584041, 2.2571438 48.858446, 2.2574304 48.8584718, 2.257742 48.8584794, 2.2580938 48.858466, 2.2581606 48.8584616, 2.2587338 48.8584232, 2.2587838 48.858422, 2.258932 48.8584182, 2.2595226 48.8584218, 2.2595694 48.858422, 2.2601447 48.8584174, 2.260737 48.8583769)",,,,,,,,
361024,358905775,0,4430602,Route des Tribunes,unclassified,,True,56.115,"LINESTRING (2.2325723 48.8637173, 2.2332908 48.8638941)",2,,,,,,,
361024,356300472,0,"[810202377, 31823690]",Route des Tribunes,unclassified,,False,201.05,"LINESTRING (2.2325723 48.8637173, 2.2324708 48.8636774, 2.232058 48.863484, 2.2317573 48.8633219, 2.2314888 48.8631456, 2.2309567 48.8627174, 2.2306891 48.862439, 2.2306833 48.8624307)",,,,,,,,
361027,358913441,0,4430593,Route de Sèvres à Neuilly,secondary,,True,39.342999999999996,"LINESTRING (2.2383105 48.8622922, 2.238358 48.8623729, 2.2385021 48.8626228)",,,,,,,,
361027,1758970671,0,"[404265356, 755492101, 810202375]",Avenue de l'Hippodrome,secondary,50,False,638.295,"LINESTRING (2.2383105 48.8622922, 2.2384539 48.8621783, 2.2384977 48.8621429, 2.2385414 48.8621066, 2.2387662 48.8619295, 2.2388777 48.8618538, 2.2408121 48.8605416, 2.2423694 48.8596333, 2.2433899 48.8591301, 2.2442094 48.8587923, 2.2447382 48.8586123, 2.2448738 48.8585667)",,,,,,,,
361031,26588378,0,4039212,Boulevard Morland,primary,50,True,102.074,"LINESTRING (2.365556 48.8474791, 2.3654234 48.8475651, 2.3653835 48.8475908, 2.3652242 48.8476968, 2.3651058 48.8477756, 2.3649623 48.8481396, 2.3649113 48.8482577)",2,,,,,,,
361031,4603914571,0,4294237,,secondary,50,True,26.378999999999998,"LINESTRING (2.365556 48.8474791, 2.3654425 48.8474289, 2.3653495 48.8473945, 2.3652706 48.8473376)",2,,,,,,,
