u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
458457799,458457895,0,330672834,True,Avenida Vereador Abel Ferreira,primary,189.867,"LINESTRING (-46.5624197 -23.5632776, -46.5625346 -23.5632182, -46.5640427 -23.5624395)",2,50,,,,,,,,
458457895,6093463311,0,"[38693425, 408027092]",True,Rua Jacob Faith,secondary,125.571,"LINESTRING (-46.5640427 -23.5624395, -46.5640298 -23.5624416, -46.5637725 -23.562055, -46.5634961 -23.5615541, -46.5634485 -23.5614607)",,,,,,,,,,
458457895,130009903,0,"[408027089, 330672834, 408027087]",True,Avenida Vereador Abel Ferreira,primary,1559.146,"LINESTRING (-46.5640427 -23.5624395, -46.5647361 -23.5620868, -46.5650875 -23.5619, -46.5652099 -23.5618102, -46.5652313 -23.5617948, -46.5652654 -23.5617704, -46.5654473 -23.5616092, -46.5655812 -23.5614565, -46.5656983 -23.5613223, -46.5657927 -23.5611648, -46.565876 -23.5610022, -46.5659286 -23.560878, -46.5659821 -23.5607516, -46.5660819 -23.560441, -46.5661488 -23.5602546, -46.5664686 -23.5599674, -46.5665266 -23.5599199, -46.5667953 -23.5597, -46.5669157 -23.5595807, -46.5675149 -23.5587579, -46.5676919 -23.5585587, -46.567944 -23.5583768, -46.5684711 -23.5581692, -46.5686477 -23.5580873, -46.5687666 -23.5580315, -46.570712 -23.5571981, -46.5718845 -23.5566709, -46.5761605 -23.5548113, -46.5762774 -23.554762)",2,50,,,,,,,,
459347802,172008334,0,"[183853728, 231281377, 231281378, 8103468, 290026189, 517410414, 241249714, 241249715, 241249716, 196799735]",True,"['Avenida da Liberdade', 'Rua Vergueiro']",primary,1983.0169999999996,"LINESTRING (-46.6406849 -23.5765532, -46.6406506 -23.5761921, -46.6405548 -23.5751799, -46.6405461 -23.5750811, -46.6405415 -23.5750402, -46.6404994 -23.5746116, -46.6404228 -23.5743229, -46.640274 -23.5737766, -46.640234 -23.5736296, -46.640215 -23.573558, -46.6399318 -23.5725218, -46.639864 -23.5722282, -46.6397461 -23.5714352, -46.6397372 -23.5714066, -46.6397328 -23.5713111, -46.6397269 -23.5712204, -46.6397578 -23.570244, -46.6397845 -23.5699135, -46.6398554 -23.5690273, -46.6398608 -23.5689598, -46.6398662 -23.5688369, -46.6398745 -23.5686522, -46.6398791 -23.568537, -46.639888 -23.5683186, -46.6398854 -23.5681281, -46.6398548 -23.567964, -46.639548 -23.5662856, -46.6392247 -23.5647609, -46.6390888 -23.5640971, -46.638935 -23.5633461, -46.6389263 -23.5633037, -46.6388461 -23.5629192, -46.6388189 -23.5628078, -46.6388021 -23.562723, -46.6386518 -23.5620298, -46.6386364 -23.5619556, -46.6383842 -23.5608538, -46.6383532 -23.5607745, -46.6383378 -23.5607372, -46.6378155 -23.5597553, -46.6376078 -23.5593687, -46.6375372 -23.5592263, -46.6374877 -23.5591263)",3,50,,,,,,,,
465994486,4097830881,0,128027698,True,Rua Lisboa,tertiary,182.831,"LINESTRING (-46.6833258 -23.5543706, -46.6825316 -23.5555032, -46.6824674 -23.5555941, -46.6823972 -23.5557056, -46.6823641 -23.5557583)",,40,,,,,,,,
465994486,1962733020,0,337854427,False,Rua Asia,tertiary,84.772,"LINESTRING (-46.6833258 -23.5543706, -46.6830424 -23.5541833, -46.6828995 -23.55408, -46.6828268 -23.5540039, -46.6827067 -23.553869)",,,,,,,,,,
466174486,6359839113,0,679184991,False,Rua Artur de Azevedo,residential,10.156,"LINESTRING (-46.6730414 -23.5574638, -46.6731403 -23.5574749)",2,40,,,,,,,,
466875948,1952682661,0,15808047,True,Rua Itatiara,residential,258.672,"LINESTRING (-46.6645769 -23.5445994, -46.664534 -23.5446389, -46.6628468 -23.5460024, -46.6626745 -23.5461387)",,,,,,,,,,
467743555,3757946684,0,"[248648356, 231285605, 513802087, 231285610, 235556498, 183798227, 151882389, 56301755, 231284700, 244035455]",True,"['Rua Vergueiro', 'Avenida Professor Noé Azevedo']",primary,1395.3909999999996,"LINESTRING (-46.6345678 -23.5892083, -46.6345424 -23.589016, -46.6345375 -23.5889786, -46.6344863 -23.5882493, -46.6344935 -23.5881248, -46.6345132 -23.5879378, -46.6345482 -23.5877173, -46.6345639 -23.5876187, -46.6346297 -23.5873529, -46.6346648 -23.5872246, -46.6347686 -23.5868893, -46.6348657 -23.586668, -46.6349011 -23.5865897, -46.6349539 -23.5864728, -46.635025 -23.5863238, -46.6354222 -23.5857686, -46.6358396 -23.5851289, -46.6361668 -23.5846471, -46.6363091 -23.5844291, -46.6364726 -23.5841867, -46.63672 -23.5838142, -46.6367593 -23.5837546, -46.6375819 -23.5825025, -46.6375989 -23.5824735, -46.6376481 -23.5823994, -46.6377142 -23.5822984, -46.6377541 -23.5822376, -46.6380842 -23.5817338, -46.6383585 -23.5813127, -46.6383754 -23.5812867, -46.6383989 -23.5812499, -46.6385473 -23.5810156, -46.6387495 -23.5806964, -46.6390839 -23.5801684, -46.6394059 -23.5796606, -46.6395414 -23.5794493, -46.6398929 -23.5789015, -46.6401522 -23.5784976, -46.6403474 -23.578194, -46.6404042 -23.5781037)",4,50,,,,,,,,
468053115,2528656522,0,245726670,False,,path,11.013,"LINESTRING (-46.4966264 -23.5094851, -46.496677 -23.5093976)",,,,,,,,,,
