u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
2376013333,3653503098,0,"[649260324, 649260325, 649260326, 649260327, 649260328, 649260329, 198576050, 198576058, 198576059]",False,,cycleway,12583.57399999999,"LINESTRING (-46.4454643 -23.4819579, -46.4457082 -23.4818637, -46.4476233 -23.4819806, -46.4480766 -23.4820974, -46.4512443 -23.4822918, -46.4522153 -23.4823607, -46.4525103 -23.4824935, -46.4528536 -23.4825722, -46.453551 -23.4827125, -46.4537543 -23.482774, -46.4540459 -23.4828896, -46.4562024 -23.4832069, -46.4566436 -23.4832241, -46.4569887 -23.483274, -46.4573819 -23.4833311, -46.4591622 -23.4835317, -46.4607138 -23.4835563, -46.4611255 -23.4834738, -46.4615116 -23.4834585, -46.4616493 -23.483456, -46.4633893 -23.4834431, -46.4643601 -23.4834376, -46.465334 -23.4833202, -46.4662378 -23.4831331, -46.4684424 -23.4821608, -46.4691615 -23.4817014, -46.4693653 -23.4814799, -46.4697354 -23.4813422, -46.4718115 -23.4810826, -46.472168 -23.4810291, -46.4724123 -23.480924, -46.4728468 -23.4806386, -46.4730467 -23.4803434, -46.4731094 -23.4800586, -46.4732974 -23.4798809, -46.4745581 -23.4791133, -46.4751938 -23.478892, -46.4760413 -23.4787541, -46.4765802 -23.4788273, -46.4775619 -23.4791939, -46.4777391 -23.4791699, -46.4787369 -23.4786779, -46.4789837 -23.4786755, -46.4794611 -23.4787837, -46.4800459 -23.479133, -46.4804696 -23.4794873, -46.4806974 -23.4795949, -46.4809203 -23.4796398, -46.4811617 -23.4797579, -46.4813139 -23.4801269, -46.4815211 -23.4808981, -46.4817247 -23.4810857, -46.4819784 -23.4812302, -46.4834185 -23.481333, -46.4848079 -23.481531, -46.4861237 -23.4815587, -46.4865958 -23.4814553, -46.4868088 -23.4812985, -46.4869632 -23.4811072, -46.4877625 -23.4789632, -46.4878994 -23.4787197, -46.4881622 -23.478272, -46.4883714 -23.4781096, -46.4892188 -23.4778211, -46.4897984 -23.4775388, -46.4902528 -23.477441, -46.490485 -23.4774318, -46.4908656 -23.4774718, -46.4913755 -23.477465, -46.4942723 -23.4774798, -46.497098 -23.4775154, -46.497609 -23.4775683, -46.498239 -23.4776575, -46.4986429 -23.4777024, -46.499803 -23.4777848, -46.5001141 -23.477898, -46.5002151 -23.477984, -46.5004197 -23.4781582, -46.5005944 -23.4784219, -46.5007229 -23.478616, -46.5010178 -23.4790365, -46.5013531 -23.4794498, -46.5016428 -23.479777, -46.5018681 -23.4800402, -46.5021309 -23.4803896, -46.5025038 -23.4809062, -46.5031608 -23.4818312, -46.5037482 -23.482643, -46.5040808 -23.4831029, -46.5041854 -23.4832432, -46.5041171 -23.4833133, -46.5040541 -23.4833625, -46.5040361 -23.4833561, -46.5040263 -23.4833714, -46.5043543 -23.4840649, -46.5044094 -23.4841626, -46.5048944 -23.4847857, -46.5050198 -23.4849281, -46.5053195 -23.4852124, -46.5054253 -23.4853447, -46.5054689 -23.4854842, -46.5055166 -23.4855425, -46.5056515 -23.4856395, -46.508388 -23.4894558, -46.5086986 -23.4898756, -46.5090219 -23.490267, -46.5098261 -23.4910174, -46.5102281 -23.4913732, -46.5106536 -23.4916854, -46.5115056 -23.4922605, -46.5115682 -23.4922906, -46.5117132 -23.4923344, -46.5121388 -23.4925532, -46.5124628 -23.4928172, -46.5126736 -23.4929622, -46.5131338 -23.4931733, -46.5139795 -23.4935164, -46.5146003 -23.49373, -46.5146519 -23.4937403, -46.5147464 -23.4937403, -46.5147774 -23.4937507, -46.5148504 -23.4938108, -46.5165922 -23.4944379, -46.5167793 -23.4945297, -46.5172639 -23.4947244, -46.5174089 -23.4948548, -46.5176184 -23.4949664, -46.518146 -23.4951259, -46.5183631 -23.4951242, -46.5194665 -23.4955305, -46.5200666 -23.4957514, -46.5200993 -23.4957702, -46.520147 -23.4958226, -46.5204231 -23.4963457, -46.5204416 -23.4963579, -46.520543 -23.4963819, -46.5208484 -23.4964543, -46.5209318 -23.4964623, -46.5210259 -23.4964558, -46.5211798 -23.4963599, -46.5212057 -23.4963565, -46.5214166 -23.4964045, -46.5214854 -23.4964081, -46.5215555 -23.4963948, -46.5216959 -23.4963269, -46.521738 -23.4963286, -46.5223807 -23.4965585, -46.522406 -23.4965808, -46.5224144 -23.4966091, -46.5223845 -23.4967472, -46.5223994 -23.4968785, -46.5224144 -23.4969051, -46.5224396 -23.4969257, -46.5230655 -23.4970792, -46.5231141 -23.4970681, -46.5231478 -23.4970398, -46.523218 -23.4967978, -46.5232507 -23.4967592, -46.5233068 -23.4967352, -46.5240621 -23.4968076, -46.5243368 -23.4968168, -46.5244232 -23.4968188, -46.5245868 -23.4968224, -46.5247006 -23.4968244, -46.5256926 -23.4968432, -46.5257355 -23.4967931, -46.5257715 -23.4967943, -46.5270846 -23.4968374, -46.5274306 -23.4968202, -46.5283131 -23.4968325, -46.5299358 -23.4968891, -46.5300484 -23.4969186, -46.5309979 -23.4969555, -46.5322881 -23.4969948, -46.5325992 -23.4970244, -46.5329935 -23.4970908, -46.5333342 -23.497167, -46.5338411 -23.4973195, -46.53434 -23.4975163, -46.5346994 -23.4977131, -46.5351607 -23.4980181, -46.5355389 -23.4983502, -46.5359144 -23.4987093, -46.5367379 -23.4995727, -46.5368961 -23.4996539, -46.536982 -23.4997154, -46.5373843 -23.5000942, -46.5374755 -23.5002516, -46.5384277 -23.5012232, -46.5385645 -23.5014347, -46.5387844 -23.501661, -46.5389266 -23.5017717, -46.5391867 -23.5019783, -46.5397661 -23.502635, -46.5408497 -23.5037296, -46.5416168 -23.5045019, -46.5418448 -23.504743, -46.5421533 -23.5049644, -46.5427085 -23.5054686, -46.5429418 -23.5056727, -46.5432851 -23.5059015, -46.5440871 -23.5066, -46.5442561 -23.5067328, -46.5445029 -23.5067599, -46.5447228 -23.506755, -46.5451949 -23.5069567, -46.5455194 -23.5071313, -46.5463536 -23.5073945, -46.5465413 -23.5073797, -46.5470322 -23.5074781, -46.5471422 -23.5075371, -46.5472924 -23.507547, -46.5473809 -23.5075371, -46.5477001 -23.5075986, -46.5477859 -23.5075863, -46.5478992 -23.5075176)",,,,yes,,,,,,
2390039145,445160734,0,285514973,False,Rua do Bosque,tertiary,82.309,"LINESTRING (-46.6532814 -23.5257476, -46.6534164 -23.5257489, -46.6539973 -23.525759, -46.6540886 -23.5257606)",2,40,,,,,,,,
2458918349,3023628922,0,410069078,False,,cycleway,279.75200000000007,"LINESTRING (-46.709526 -23.5667297, -46.7095805 -23.5667051, -46.7104908 -23.5662608, -46.7105828 -23.5661823, -46.7109493 -23.5660223, -46.7111714 -23.5658915, -46.7113629 -23.5658302, -46.7114712 -23.5657752, -46.71156 -23.5656617, -46.7115981 -23.5656385, -46.7116425 -23.5656327, -46.7116935 -23.5656465, -46.7118015 -23.5656068, -46.7119072 -23.5655589)",,,,,,,,,,
2458918349,568843199,0,"[238022556, 363208038]",False,,cycleway,34.191,"LINESTRING (-46.709526 -23.5667297, -46.7095764 -23.5668126, -46.7095967 -23.5668419, -46.7095602 -23.5670166)",,,,,,,,,,
2458918349,4119375780,0,410069079,False,,cycleway,401.645,"LINESTRING (-46.709526 -23.5667297, -46.7082532 -23.5673361, -46.7080944 -23.567424, -46.7077048 -23.5676877, -46.7076076 -23.5678012, -46.707576 -23.5678442, -46.7074711 -23.5680612, -46.7067697 -23.569133)",,,,,,,,,,
2520196897,3023628922,0,298458429,False,,footway,14.267,"LINESTRING (-46.7119088 -23.5654306, -46.7119072 -23.5655589)",,,,,,,,,,
2520923733,3023628922,0,298458429,False,,footway,13.633,"LINESTRING (-46.7119076 -23.5656815, -46.7119072 -23.5655589)",,,,,,,,,,
3005930800,887376574,0,337873116,False,Rua Santa Albina,residential,3.056,"LINESTRING (-46.728819 -23.5851246, -46.7288359 -23.5851019)",,,,,,,,,,
3005930800,887376570,0,337873116,False,Rua Santa Albina,residential,13.226,"LINESTRING (-46.728819 -23.5851246, -46.7287456 -23.5852227)",,,,,,,,,,
3005930800,4183708291,0,"[298259051, 296781796, 296781797, 296781799]",False,Ciclovia da Avenida Eliseu de Almeida,cycleway,2383.0119999999993,"LINESTRING (-46.728819 -23.5851246, -46.7287076 -23.5850502, -46.7283471 -23.5848094, -46.7278697 -23.584421, -46.7269739 -23.5836835, -46.7258718 -23.5827894, -46.7254365 -23.5824262, -46.7253377 -23.5823441, -46.7250631 -23.5821159, -46.7245062 -23.5816531, -46.7242192 -23.5814417, -46.7238974 -23.5812524, -46.7233579 -23.5810275, -46.7226957 -23.5808197, -46.7220637 -23.5806486, -46.7214378 -23.5804362, -46.7209462 -23.5801867, -46.7208595 -23.5801417, -46.7207468 -23.5800659, -46.7204212 -23.5798512, -46.7198714 -23.5793497, -46.7194878 -23.5790473, -46.7191659 -23.5788703, -46.7187663 -23.5787253, -46.718305 -23.5786491, -46.7179813 -23.5786567, -46.7177416 -23.5786805, -46.7174735 -23.5786958, -46.7171221 -23.5787032, -46.7167133 -23.5786871, -46.7166637 -23.5786768, -46.7164957 -23.5786416, -46.7163179 -23.5785969, -46.715891 -23.578445, -46.7155959 -23.5782828, -46.715266 -23.5780517, -46.7150809 -23.5778821, -46.715038 -23.5778382, -46.7148288 -23.577624, -46.7146411 -23.5773339, -46.7144211 -23.5769111, -46.7143629 -23.5768294, -46.714293 -23.5767353, -46.7141727 -23.5766333, -46.7140134 -23.5764981, -46.7137264 -23.576326, -46.7134716 -23.5761932, -46.7123826 -23.5756524, -46.7121251 -23.5754164, -46.7120098 -23.5752025, -46.711991 -23.5749739, -46.7120179 -23.5747969, -46.7120557 -23.5746454, -46.7120776 -23.5745918, -46.7119672 -23.5745411, -46.7119193 -23.5745609, -46.7118081 -23.5745934, -46.7116285 -23.5745494, -46.7108667 -23.5743627, -46.71061 -23.5741875, -46.7104773 -23.5739681, -46.710378 -23.5739804, -46.7103675 -23.5739587)",,,3.5,,,,,,,
