u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
17546846,1712726740,0,3663847,False,Mozarts Plads,residential,30,20.58,"LINESTRING (12.5335804 55.6487185, 12.5338094 55.648586)",,2,,,
17550998,17550999,0,87177100,True,Sankt Annæ Plads,residential,30,60.964,"LINESTRING (12.5934616 55.6809093, 12.5943431 55.6806778)",,,,,
17550999,2523049923,0,3543679,False,Kvæsthusgade,residential,30,104.562,"LINESTRING (12.5943431 55.6806778, 12.5936354 55.6798263)",,,,,
17550999,4296947278,0,733746164,True,Sankt Annæ Plads,residential,30,23.876,"LINESTRING (12.5943431 55.6806778, 12.5944883 55.6808763)",,1,,,
17551000,7659490167,0,3543679,False,Kvæsthusgade,residential,30,56.288,"LINESTRING (12.593225 55.6793324, 12.5936059 55.6797908)",,,,,
17852690,4519617491,0,132725246,False,,service,30,16.814,"LINESTRING (12.5384396 55.7167399, 12.5386792 55.7166717)",,,,,
18164861,279991458,0,3663853,True,Beethovensvej,residential,30,139.298,"LINESTRING (12.5330612 55.6486074, 12.5335608 55.6473868)",,2,,,
18164874,1712726740,0,3663847,False,Mozarts Plads,residential,30,21.111,"LINESTRING (12.5340799 55.6484731, 12.5338094 55.648586)",,2,,,
18164880,18164885,0,3663840,False,Scandiagade,residential,30,40.834,"LINESTRING (12.539097 55.6508293, 12.5394219 55.6511475)",,2,,,
18164880,1625289369,0,3663840,False,Scandiagade,residential,30,22.869,"LINESTRING (12.539097 55.6508293, 12.5389135 55.6506516)",,2,,,
18164884,282709773,0,3663840,False,Scandiagade,residential,30,87.266,"LINESTRING (12.5368974 55.64874, 12.5376108 55.6494137)",,2,,,
18164884,7206346860,0,3663840,False,Scandiagade,residential,30,36.834,"LINESTRING (12.5368974 55.64874, 12.5365891 55.6484581)",,2,,,
18164885,18164880,0,3663840,False,Scandiagade,residential,30,40.834,"LINESTRING (12.5394219 55.6511475, 12.539097 55.6508293)",,2,,,
18164886,7206346860,0,3663840,False,Scandiagade,residential,30,17.233,"LINESTRING (12.5364449 55.6483262, 12.5365891 55.6484581)",,2,,,
18164892,1615418677,0,3663846,False,Louis Pios Gade,residential,30,46.494,"LINESTRING (12.5344849 55.6504466, 12.5349015 55.6507924)",,2,,,
18164893,286514389,0,737390307,True,Louis Pios Gade,residential,30,9.169,"LINESTRING (12.5332952 55.6493981, 12.5333306 55.6494781)",,2,,,
18222669,18222670,0,38240878,False,Buskager,residential,30,20.466,"LINESTRING (12.4861018 55.6786225, 12.4861785 55.6784436)",,,,,
18222669,10775870,0,38240878,False,Buskager,residential,30,33.179,"LINESTRING (12.4861018 55.6786225, 12.4858129 55.6788725)",,,,,
18222670,18222669,0,38240878,False,Buskager,residential,30,20.466,"LINESTRING (12.4861785 55.6784436, 12.4861018 55.6786225)",,,,,
18222672,2584912552,0,8125079,False,Buskager,residential,30,8.639,"LINESTRING (12.4865962 55.6788631, 12.4866471 55.6787909)",,,,,
18222672,6162389058,0,8125079,False,Buskager,residential,30,5.483,"LINESTRING (12.4865962 55.6788631, 12.4865463 55.6789036)",,,,,
18222673,2584912552,0,8125079,False,Buskager,residential,30,41.602,"LINESTRING (12.4867805 55.6784244, 12.4866471 55.6787909)",,,,,
18222674,2584912555,0,8125077,False,Buskager,residential,30,8.938,"LINESTRING (12.4871248 55.6790946, 12.4871761 55.6790196)",,,,,
18222674,6162389060,0,8125077,False,Buskager,residential,30,5.097,"LINESTRING (12.4871248 55.6790946, 12.4870804 55.679133)",,,,,
18222675,2584912555,0,8125077,False,Buskager,residential,30,42.439,"LINESTRING (12.4873075 55.6786452, 12.4871761 55.6790196)",,,,,
18222676,2584912558,0,8125076,False,Buskager,residential,30,9.57,"LINESTRING (12.4876445 55.6793222, 12.4877034 55.6792428)",,,,,
18222676,6162389059,0,8125076,False,Buskager,residential,30,3.869,"LINESTRING (12.4876445 55.6793222, 12.4876091 55.6793507)",,,,,
