u,v,key,osmid,bridge,lanes,name,highway,maxspeed,oneway,length,geometry,access,tunnel,width
3774409800,1279206641,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,12.72,"LINESTRING (9.2130458 45.507746, 9.2129467 45.5076551)",,,
3774409801,136778875,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,11.344,"LINESTRING (9.2135151 45.5086622, 9.213497800000001 45.5085609)",,,
3774409801,280073724,0,374036851,,2,Via Ernesto Breda,unclassified,50,False,38.266,"LINESTRING (9.2135151 45.5086622, 9.2135734 45.5090039)",,,
3815277089,4187901869,0,111696614,,2,Via San Dionigi,tertiary,,False,5.076,"LINESTRING (9.2263822 45.4299391, 9.226353899999999 45.4299802)",,,
3815277090,4187901869,0,111696614,,2,Via San Dionigi,tertiary,,False,41.507,"LINESTRING (9.226122200000001 45.4303162, 9.226353899999999 45.4299802)",,,
3815277090,3815277091,0,111696614,,2,Via San Dionigi,tertiary,,False,6.696,"LINESTRING (9.226122200000001 45.4303162, 9.2260768 45.4303673)",,,
3815277091,3815277090,0,111696614,,2,Via San Dionigi,tertiary,,False,6.696,"LINESTRING (9.2260768 45.4303673, 9.226122200000001 45.4303162)",,,
3815277091,3815277092,0,111696614,,2,Via San Dionigi,tertiary,,False,5.761,"LINESTRING (9.2260768 45.4303673, 9.2260326 45.4304088)",,,
3815277092,3815277091,0,111696614,,2,Via San Dionigi,tertiary,,False,5.761,"LINESTRING (9.2260326 45.4304088, 9.2260768 45.4303673)",,,
3815277092,3815277093,0,111696614,,2,Via San Dionigi,tertiary,,False,5.905,"LINESTRING (9.2260326 45.4304088, 9.225979300000001 45.4304465)",,,
3815277093,3815277092,0,111696614,,2,Via San Dionigi,tertiary,,False,5.905,"LINESTRING (9.225979300000001 45.4304465, 9.2260326 45.4304088)",,,
3815277093,3815277094,0,111696614,,2,Via San Dionigi,tertiary,,False,179.467,"LINESTRING (9.225979300000001 45.4304465, 9.2243128 45.4315588)",,,
3815277094,3815277093,0,111696614,,2,Via San Dionigi,tertiary,,False,179.467,"LINESTRING (9.2243128 45.4315588, 9.225979300000001 45.4304465)",,,
4187901869,3815277089,0,111696614,,2,Via San Dionigi,tertiary,,False,5.076,"LINESTRING (9.226353899999999 45.4299802, 9.2263822 45.4299391)",,,
4187901869,3815277090,0,111696614,,2,Via San Dionigi,tertiary,,False,41.507,"LINESTRING (9.226353899999999 45.4299802, 9.226122200000001 45.4303162)",,,
4187901869,4046732809,0,402260617,,,,cycleway,,False,4.573,"LINESTRING (9.226353899999999 45.4299802, 9.226405099999999 45.4300002)",,,
4187901869,4046732808,0,402260617,,,,cycleway,,False,5.987,"LINESTRING (9.226353899999999 45.4299802, 9.2262868 45.4299541)",,,
5955578188,256031729,0,23594378,,,Via Varesina,tertiary,,False,58.186,"LINESTRING (9.148500800000001 45.4943882, 9.1481028 45.4948309)",,,
5955578188,2887448440,0,23594378,,,Via Varesina,tertiary,,False,87.958,"LINESTRING (9.148500800000001 45.4943882, 9.1490749 45.4937072)",,,
6324304063,705722212,0,277011151,,,Via Varesina,tertiary,,False,4.177,"LINESTRING (9.1393728 45.5028522, 9.1393398 45.5028818)",,,
6324304063,256039109,0,277011151,,,Via Varesina,tertiary,,False,54.983,"LINESTRING (9.1393728 45.5028522, 9.139807599999999 45.5024628)",,,
6324304063,6324304072,0,675314994,,,,cycleway,,False,3.964,"LINESTRING (9.1393728 45.5028522, 9.1393562 45.5028185)",,,
6721542688,256038169,0,276231929,,,Via Varesina,tertiary,,False,5.049,"LINESTRING (9.1413101 45.5011638, 9.1412697 45.5011993)",,,
6721542688,2659378091,0,276231929,,,Via Varesina,tertiary,,False,58.665,"LINESTRING (9.1413101 45.5011638, 9.1417801 45.5007517)",,,
6721542689,256039873,0,276231930,,,Via Varesina,tertiary,,False,63.582,"LINESTRING (9.1411712 45.5012857, 9.1406619 45.5017324)",,,
6721542689,1481358375,0,276231930,,,Via Varesina,tertiary,,False,9.084,"LINESTRING (9.1411712 45.5012857, 9.141244 45.5012219)",,,
7294905810,2659364693,0,274289398,,,Via Varesina,tertiary,,False,12.341,"LINESTRING (9.148058900000001 45.4948811, 9.147976099999999 45.4949757)",,,
7294905810,256031729,0,274289398,,,Via Varesina,tertiary,,False,6.547,"LINESTRING (9.148058900000001 45.4948811, 9.1481028 45.4948309)",,,
21226136,3062660711,0,8311379,,,Bastioni di Porta Venezia,secondary,,True,8.718,"LINESTRING (9.2043555 45.4745374, 9.2042658 45.4745842)",,,
21227099,2517370907,0,129032121,,,Viale Città di Fiume,secondary,,True,5.612,"LINESTRING (9.2009542 45.4760856, 9.2008946 45.4761139)",,,
21306375,2517370896,0,129032132,,,Bastioni di Porta Venezia,secondary,,True,4.911,"LINESTRING (9.200866400000001 45.4759912, 9.2009189 45.4759668)",,,
21306384,3665773153,0,273266772,,,Bastioni di Porta Venezia,secondary,,True,43.595,"LINESTRING (9.2034582 45.4749498, 9.2029839 45.4751574)",,,
153558266,2086444850,0,32278154,,,Via Principe Eugenio,residential,,False,60.468,"LINESTRING (9.1676824 45.4919445, 9.1682647 45.4923038)",,,
153558267,2915921003,0,267292075,,,Via Principe Eugenio,residential,,False,73.514,"LINESTRING (9.1682907 45.4924591, 9.167648700000001 45.4929434)",,,
153558267,4457862221,0,288045507,,,Via Principe Eugenio,residential,,False,4.217,"LINESTRING (9.1682907 45.4924591, 9.1683112 45.492424)",,,
153558268,153558269,0,267292075,,,Via Principe Eugenio,residential,,False,54.661,"LINESTRING (9.166736500000001 45.4936272, 9.166199799999999 45.4939436)",,,
153558268,4457862353,0,267292075,,,Via Principe Eugenio,residential,,False,41.225,"LINESTRING (9.166736500000001 45.4936272, 9.1670991 45.4933573)",,,
153558269,153558268,0,267292075,,,Via Principe Eugenio,residential,,False,54.661,"LINESTRING (9.166199799999999 45.4939436, 9.166736500000001 45.4936272)",,,
280518137,280518713,0,25765153,,,Via Domokos,residential,,False,69.195,"LINESTRING (9.123273899999999 45.4679024, 9.122560999999999 45.4675319)",,,
280518137,3723515155,0,25765153,,,Via Domokos,residential,,False,5.709,"LINESTRING (9.123273899999999 45.4679024, 9.123335900000001 45.4679297)",,,
280518139,2548316522,0,25765153,,,Via Domokos,residential,,False,6.75,"LINESTRING (9.122143700000001 45.4674135, 9.122228399999999 45.467426)",,,
280518139,3723515152,0,26971424,,,Via Domokos,residential,,False,6.26,"LINESTRING (9.122143700000001 45.4674135, 9.122064099999999 45.4674062)",,,
280518713,3723515144,0,25765153,,,Via Domokos,residential,,False,7.571,"LINESTRING (9.122560999999999 45.4675319, 9.122478600000001 45.4674959)",,,
280518713,280518137,0,25765153,,,Via Domokos,residential,,False,69.195,"LINESTRING (9.122560999999999 45.4675319, 9.123273899999999 45.4679024)",,,
280524806,3723515151,0,25765153,,,Via Domokos,residential,,False,8.342,"LINESTRING (9.123506000000001 45.4679666, 9.1234024 45.4679479)",,,
280524806,3724268649,0,25765153,,,Via Domokos,residential,,False,2.66,"LINESTRING (9.123506000000001 45.4679666, 9.1235389 45.4679729)",,,
295560572,2548316520,0,26971424,,,Via Domokos,residential,,False,9.969,"LINESTRING (9.1219184 45.4678455, 9.1218409 45.4677742)",,,
310062493,1993153586,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,11.921,"LINESTRING (9.199972900000001 45.4248599, 9.1999742 45.4247527)",,,
310063995,310063996,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,9.131,"LINESTRING (9.200388999999999 45.4235742, 9.2003868 45.4234921)",,,
310063996,310063998,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,11.212,"LINESTRING (9.2003868 45.4234921, 9.200358100000001 45.4233933)",,,
310063998,2711555992,0,265503741,,,Via Vincenzo Amidani,unclassified,,True,12.244,"LINESTRING (9.200358100000001 45.4233933, 9.2002983 45.4232915)",,,
461975172,737330479,0,270652200,,,Viale Città di Fiume,secondary,,True,36.276,"LINESTRING (9.1992148 45.4768848, 9.1988249 45.4770628)",,,
518775020,2756659146,0,129032121,,,Viale Città di Fiume,secondary,,True,62.965,"LINESTRING (9.200658000000001 45.4762259, 9.1999823 45.476536)",,,
737330479,3893104710,0,270652200,,,Viale Città di Fiume,secondary,,True,20.891,"LINESTRING (9.1988249 45.4770628, 9.198610199999999 45.4771752)",,,
1408209811,2725186516,0,233508508,yes,,Cavalcavia Eugenio Bussa,unclassified,50,True,34.587,"LINESTRING (9.1851748 45.4841328, 9.1854738 45.4843626)",yes,,
1408209811,7859210713,0,402263138,yes,,Cavalcavia Eugenio Bussa,cycleway,,False,2.14,"LINESTRING (9.1851748 45.4841328, 9.1851714 45.4841519)",,,
1424534594,2756686978,0,270655061,,,Viale Città di Fiume,secondary,,True,69.541,"LINESTRING (9.199152 45.4768004, 9.1998804 45.4764395)",,,
1424534596,2529889904,0,270668143,,,Bastioni di Porta Venezia,secondary,,True,118.578,"LINESTRING (9.2029116 45.475068, 9.2041986 45.4744999)",,,
1856296884,21306384,0,273266772,,,Bastioni di Porta Venezia,secondary,,True,59.517,"LINESTRING (9.204098200000001 45.4746581, 9.2034582 45.4749498)",,,
1922372818,31013212,0,275503412,,,Viale Regina Giovanna,tertiary,,True,16.038,"LINESTRING (9.210930299999999 45.4746781, 9.2111059 45.474603)",,,
1948003244,3845152421,0,173087882,,,Piazza Otto Novembre,unclassified,,True,5.286,"LINESTRING (9.2109696 45.4743696, 9.2109019 45.4743721)",,,
1948003245,2298799497,0,173087882,,,Piazza Otto Novembre,unclassified,,True,20.268,"LINESTRING (9.2108425 45.4743884, 9.2106204 45.4744831)",,,
1948017299,2517370914,0,274103139,,,Viale Città di Fiume,secondary,,True,13.903,"LINESTRING (9.2006558 45.476086, 9.200805900000001 45.4760185)",,,
1993153574,310063995,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,14.875,"LINESTRING (9.2003673 45.4237071, 9.200388999999999 45.4235742)",,,
1993153577,1993153578,0,265503734,,,Via Antegnati,unclassified,,True,4.316,"LINESTRING (9.199423599999999 45.4226365, 9.1993723 45.422651)",,,
1993153578,2711555982,0,265503734,,,Via Antegnati,unclassified,,True,14.326,"LINESTRING (9.1993723 45.422651, 9.199219599999999 45.4227225)",,,
1993153580,1993153574,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,109.635,"LINESTRING (9.1999599 45.4246507, 9.2003673 45.4237071)",,,
1993153583,2711555981,0,265503741,,,Via Vincenzo Amidani,unclassified,,True,5.576,"LINESTRING (9.1996135 45.4227044, 9.199560200000001 45.422671)",,,
1993153586,1993153580,0,28230273,,,Via Vincenzo Amidani,unclassified,,True,11.397,"LINESTRING (9.1999742 45.4247527, 9.1999599 45.4246507)",,,
2086444850,153558266,0,32278154,,,Via Principe Eugenio,residential,,False,60.468,"LINESTRING (9.1682647 45.4923038, 9.1676824 45.4919445)",,,
2086444850,4457862203,0,288045507,,,Via Principe Eugenio,residential,,False,3.929,"LINESTRING (9.1682647 45.4923038, 9.1682945 45.4923323)",,,
2298799497,3699746574,0,173087882,,,Piazza Otto Novembre,unclassified,,True,3.908,"LINESTRING (9.2106204 45.4744831, 9.2105801 45.474504)",,,
2517370896,2517370916,0,129032132,,,Bastioni di Porta Venezia,secondary,,True,10.502,"LINESTRING (9.2009189 45.4759668, 9.201030100000001 45.4759135)",,,
