u,v,key,osmid,highway,oneway,length,geometry,bridge,name,maxspeed,service,lanes,access,width
4460652053,6726933044,0,264036339,primary,True,12.978,"LINESTRING (-6.8384106 34.0144427, -6.8384126 34.0145594)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
4460652055,6727197402,0,264036339,primary,True,0.681,"LINESTRING (-6.8385046 34.0149391, -6.8385087 34.0149442)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
4501133372,4460652052,0,264036339,primary,True,16.113,"LINESTRING (-6.8384998 34.0139797, -6.8384575 34.0141203)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
5771399828,2423964909,0,609299334,tertiary,False,44.912,"LINESTRING (-6.8514008 33.9929749, -6.8514026 33.9933788)",,Avenue Ibn Sina شارع ابن سينا,20,,4,,
5771399829,6969816730,0,609299334,tertiary,False,7.919,"LINESTRING (-6.851397 33.9935787, -6.851399 33.9935075)",,Avenue Ibn Sina شارع ابن سينا,20,,4,,
5790236003,6775179270,0,240002999,residential,True,15.732,"LINESTRING (-6.8859148 33.9568073, -6.8860198 33.9566958)",,,30,,1,destination,
5790236005,6775179271,0,240002999,residential,True,12.572,"LINESTRING (-6.8862957 33.9563999, -6.8863839 33.9563137)",,,30,,1,destination,
5790236007,6800103856,0,240002999,residential,True,6.097,"LINESTRING (-6.8866729 33.9560067, -6.8867105 33.9559616)",,,30,,1,destination,
6726933022,1686040451,0,264036339,primary,True,15.58,"LINESTRING (-6.8385923 34.01349, -6.8385903 34.0136301)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933037,1686040425,0,264036339,primary,True,13.573,"LINESTRING (-6.8385775 34.0137179, -6.8385447 34.0138369)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933038,6726933039,0,264036339,primary,True,11.784,"LINESTRING (-6.8384253 34.0147084, -6.8384361 34.014814)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933039,1686040423,0,264036339,primary,True,4.81,"LINESTRING (-6.8384361 34.014814, -6.8384458 34.0148565)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933040,6726933045,0,264036339,primary,True,3.244,"LINESTRING (-6.8384609 34.0148802, -6.838478 34.0149057)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933041,6726933043,0,264036339,primary,True,12.332,"LINESTRING (-6.838434 34.0141976, -6.8384179 34.0143077)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933042,4460652053,0,264036339,primary,True,7.23,"LINESTRING (-6.8384126 34.0143777, -6.8384106 34.0144427)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933043,6726933042,0,264036339,primary,True,7.799,"LINESTRING (-6.8384179 34.0143077, -6.8384126 34.0143777)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933044,6726933038,0,264036339,primary,True,16.609,"LINESTRING (-6.8384126 34.0145594, -6.8384253 34.0147084)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933045,4460652055,0,264036339,primary,True,4.45,"LINESTRING (-6.838478 34.0149057, -6.8385046 34.0149391)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933046,6727197403,0,264036339,primary,True,1.725,"LINESTRING (-6.8385291 34.0149728, -6.8385374 34.0149867)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933047,6726933046,0,264036339,primary,True,2.623,"LINESTRING (-6.8385148 34.0149524, -6.8385291 34.0149728)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6726933048,1686040428,0,264036339,primary,True,2.522,"LINESTRING (-6.8385418 34.0149944, -6.8385527 34.0150152)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6727197402,6726933047,0,264036339,primary,True,1.071,"LINESTRING (-6.8385087 34.0149442, -6.8385148 34.0149524)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6727197403,6726933048,0,264036339,primary,True,0.947,"LINESTRING (-6.8385374 34.0149867, -6.8385418 34.0149944)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
6757497151,6769481195,0,721631637,pedestrian,False,53.975,"LINESTRING (-6.8682817 33.9743982, -6.8679249 33.974783)",,veto_route,20,,,,
6769303587,6769303589,0,208636990,unclassified,False,16.46,"LINESTRING (-6.8643475 33.9807918, -6.8642369 33.980908)",,Accès principal,20,,1,,
6769303587,6769303588,0,208636990,unclassified,False,8.442,"LINESTRING (-6.8643475 33.9807918, -6.8643958 33.9807273)",,Accès principal,20,,1,,
6769303588,6769303587,0,208636990,unclassified,False,8.442,"LINESTRING (-6.8643958 33.9807273, -6.8643475 33.9807918)",,Accès principal,20,,1,,
6769303588,2189092297,0,208636990,unclassified,False,11.785,"LINESTRING (-6.8643958 33.9807273, -6.8644562 33.9806339)",,Accès principal,20,,1,,
6769303589,6925637362,0,208636990,unclassified,False,13.707,"LINESTRING (-6.8642369 33.980908, -6.8641438 33.9810041)",,Accès principal,20,,1,,
6769303589,6769303587,0,208636990,unclassified,False,16.46,"LINESTRING (-6.8642369 33.980908, -6.8643475 33.9807918)",,Accès principal,20,,1,,
6769303590,2189092296,0,208636990,unclassified,False,16.499,"LINESTRING (-6.864082 33.9813912, -6.8642221 33.9814835)",,Accès principal,20,,1,,
6769303590,6769303591,0,208636990,unclassified,False,8.807,"LINESTRING (-6.864082 33.9813912, -6.8640063 33.9813429)",,Accès principal,20,,1,,
6769303591,6769303590,0,208636990,unclassified,False,8.807,"LINESTRING (-6.8640063 33.9813429, -6.864082 33.9813912)",,Accès principal,20,,1,,
6769303591,7042486050,0,208636990,unclassified,False,2.706,"LINESTRING (-6.8640063 33.9813429, -6.8639831 33.981328)",,Accès principal,20,,1,,
6769303592,7042486050,0,208636990,unclassified,False,4.353,"LINESTRING (-6.8639459 33.9813039, -6.8639831 33.981328)",,Accès principal,20,,1,,
6769303592,6769303593,0,208636990,unclassified,False,2.71,"LINESTRING (-6.8639459 33.9813039, -6.8639291 33.9812839)",,Accès principal,20,,1,,
6769303593,6769303592,0,208636990,unclassified,False,2.71,"LINESTRING (-6.8639291 33.9812839, -6.8639459 33.9813039)",,Accès principal,20,,1,,
6769303593,6770127105,0,208636990,unclassified,False,2.096,"LINESTRING (-6.8639291 33.9812839, -6.8639254 33.9812653)",,Accès principal,20,,1,,
6769303593,6925637372,0,739669222,service,False,42.815,"LINESTRING (-6.8639291 33.9812839, -6.8635744 33.9810354)",,Parking_etudiant,20,,,,
6769303594,6770127105,0,208636990,unclassified,False,2.272,"LINESTRING (-6.8639298 33.9812452, -6.8639254 33.9812653)",,Accès principal,20,,1,,
6769303594,6769303595,0,208636990,unclassified,False,3.892,"LINESTRING (-6.8639298 33.9812452, -6.8639505 33.9812147)",,Accès principal,20,,1,,
