u,v,key,osmid,oneway,lanes,name,highway,length,geometry,bridge,maxspeed
4525660952,4789281697,0,486270237,False,,,cycleway,15.839,"LINESTRING (-74.08453539999999 4.6513691, -74.0845015 4.6513562, -74.0845265 4.6512849, -74.08453729999999 4.6512561)",,
4789281697,262545795,0,678005123,False,2,Calle 59,residential,4.956,"LINESTRING (-74.08453729999999 4.6512561, -74.08457629999999 4.6512779)",,
4789281697,3850741726,0,"[678005121, 90657798, 90657809, 312441777, 90657811]",False,2,Calle 59,"['cycleway', 'residential']",698.0999999999999,"LINESTRING (-74.08453729999999 4.6512561, -74.084436 4.6511996, -74.08438769999999 4.6511727, -74.0838554 4.65095, -74.0831762 4.6506806, -74.08308959999999 4.6506439, -74.0829979 4.6506052, -74.0829536 4.6505816, -74.0823805 4.6503469, -74.0822842 4.6503081, -74.0818254 4.6501573, -74.08131469999999 4.6500296, -74.081292 4.6500238, -74.08097480000001 4.6499581, -74.0808351 4.6511872, -74.0807756 4.651738, -74.0807228 4.6521551, -74.0806936 4.6523695, -74.0806857 4.6524278)",,
4789281697,4525660952,0,486270237,False,,,cycleway,15.839,"LINESTRING (-74.08453729999999 4.6512561, -74.0845265 4.6512849, -74.0845015 4.6513562, -74.08453539999999 4.6513691)",,
4789281697,5762889021,0,"[678005122, 392825874, 608214166, 706475799]",False,,,cycleway,1878.0819999999999,"LINESTRING (-74.08453729999999 4.6512561, -74.0846114 4.651065, -74.0854678 4.6488738, -74.08591439999999 4.6477311, -74.0860928 4.6472822, -74.0861147 4.6472289, -74.08614679999999 4.6471505, -74.0862937 4.6467926, -74.0863161 4.6467396, -74.0864024 4.6464919, -74.0865093 4.6462009, -74.0865977 4.645967, -74.0867106 4.6457455, -74.0868098 4.6455759, -74.0869029 4.6454156, -74.0869811 4.6452936, -74.0873371 4.6448012, -74.08761610000001 4.6444617, -74.0877977 4.6442651, -74.088004 4.6440807, -74.0882349 4.6438978, -74.08850579999999 4.6437119, -74.08885789999999 4.6434717, -74.0891663 4.6432718, -74.089564 4.6430244, -74.0902401 4.642583, -74.09032209999999 4.6425296, -74.0903711 4.6424977, -74.09064239999999 4.6423211, -74.09069270000001 4.6422884, -74.0908355 4.6421954, -74.09129799999999 4.6418845, -74.0917721 4.6415712, -74.0921771 4.6413194, -74.09294490000001 4.6408692, -74.0932498 4.6406634, -74.0934693 4.6405178, -74.0937242 4.6403652, -74.0944331 4.6399381, -74.09544630000001 4.6392572)",yes,
5184892528,3925624332,0,389396351,False,2,Carrera 119,residential,202.804,"LINESTRING (-74.1307764 4.7206655, -74.13079140000001 4.7207685, -74.1307655 4.7215485, -74.1307071 4.7224417, -74.1307049 4.7224859)",,30
5186530401,3925624332,0,606813958,True,2,Calle 77B,tertiary,546.289,"LINESTRING (-74.1354619 4.7236202, -74.1348945 4.7233911, -74.13432539999999 4.7231725, -74.1338816 4.7230152, -74.1326818 4.722678, -74.1324674 4.7226334, -74.1320193 4.722568, -74.1317269 4.7225333, -74.1314077 4.7225065, -74.1310617 4.7224905, -74.1307049 4.7224859)",,30
5723974409,329170908,0,29875846,False,,,cycleway,1044.525,"LINESTRING (-74.0429192 4.740761, -74.0428969 4.7407446, -74.0428745 4.7407281, -74.042852 4.7407058, -74.0428367 4.7406768, -74.0428351 4.7406504, -74.0428357 4.7406478, -74.0429729 4.7400716, -74.0433165 4.7385941, -74.04352299999999 4.7376999, -74.0437484 4.7367285, -74.0437921 4.7365458, -74.04380039999999 4.7365166, -74.0438094 4.7364773, -74.0444334 4.7337493, -74.0444961 4.7334883, -74.0445527 4.7332009, -74.0446231 4.7329017, -74.0449466 4.7316462)",,
5752390677,1062715835,0,91495647,False,2,Carrera 116C,residential,196.29799999999997,"LINESTRING (-74.1294997 4.7206344, -74.1294759 4.72072, -74.1293407 4.721511, -74.12917880000001 4.7223512, -74.1291746 4.7223693)",,30
5762889021,4789281697,0,"[678005122, 392825874, 608214166, 706475799]",False,,,cycleway,1878.0819999999999,"LINESTRING (-74.09544630000001 4.6392572, -74.0944331 4.6399381, -74.0937242 4.6403652, -74.0934693 4.6405178, -74.0932498 4.6406634, -74.09294490000001 4.6408692, -74.0921771 4.6413194, -74.0917721 4.6415712, -74.09129799999999 4.6418845, -74.0908355 4.6421954, -74.09069270000001 4.6422884, -74.09064239999999 4.6423211, -74.0903711 4.6424977, -74.09032209999999 4.6425296, -74.0902401 4.642583, -74.089564 4.6430244, -74.0891663 4.6432718, -74.08885789999999 4.6434717, -74.08850579999999 4.6437119, -74.0882349 4.6438978, -74.088004 4.6440807, -74.0877977 4.6442651, -74.08761610000001 4.6444617, -74.0873371 4.6448012, -74.0869811 4.6452936, -74.0869029 4.6454156, -74.0868098 4.6455759, -74.0867106 4.6457455, -74.0865977 4.645967, -74.0865093 4.6462009, -74.0864024 4.6464919, -74.0863161 4.6467396, -74.0862937 4.6467926, -74.08614679999999 4.6471505, -74.0861147 4.6472289, -74.0860928 4.6472822, -74.08591439999999 4.6477311, -74.0854678 4.6488738, -74.0846114 4.651065, -74.08453729999999 4.6512561)",yes,
