u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge,access,width,tunnel,area,junction,service
261137446,308858711,0,90047918,False,2,Calle 33 Sur,tertiary,151.159,"LINESTRING (-74.1308324 4.6059794, -74.1307955 4.6059548, -74.1296988 4.6052236)",30,,,,,,,
261137446,261137444,0,90048234,True,2,Avenida Carrera 68,primary,50.081999999999994,"LINESTRING (-74.1308324 4.6059794, -74.1307764 4.6060913, -74.1307284 4.6061788, -74.1306644 4.6062927, -74.1306124 4.6063724)",30,,,,,,,
261137608,266893864,0,90691209,True,2,Avenida Carrera 68,primary,972.325,"LINESTRING (-74.0909091 4.6695026, -74.0907591 4.6696502, -74.0905372 4.6699221, -74.0904561 4.6700257, -74.0900322 4.6705668, -74.08992499999999 4.6707037, -74.0895766 4.6711611, -74.0894005 4.6714269, -74.0892048 4.6717144, -74.0891512 4.6717933, -74.0890407 4.6719673, -74.0888657 4.6722541, -74.08872169999999 4.672487, -74.0884951 4.6728875, -74.0882045 4.6733754, -74.08791530000001 4.6738694, -74.08766489999999 4.6743262, -74.0875515 4.6745294, -74.0871513 4.6752124, -74.08678519999999 4.6758589, -74.0863703 4.6765725, -74.0862451 4.6767923, -74.08620519999999 4.67686)",30,,,,,,,
261137809,311257612,0,89979116,False,2,Carrera 47A,residential,61.115,"LINESTRING (-74.05978690000001 4.6873432, -74.0597957 4.6872981, -74.05989169999999 4.6868036)",30,,,,,,,
261138202,1008249707,0,758142146,True,4,Calle 19,tertiary,8.583,"LINESTRING (-74.113066 4.6426702, -74.1130021 4.6426266)",30,,,,,,,
261138202,261138223,0,375276941,True,2,Avenida Carrera 68,primary,431.53999999999996,"LINESTRING (-74.113066 4.6426702, -74.1130972 4.6426384, -74.11329840000001 4.6424338, -74.11389749999999 4.6418443, -74.1142366 4.6415303, -74.1145473 4.6412345, -74.1147388 4.6410371, -74.11504979999999 4.6407306, -74.1158131 4.6399213)",30,,,,,,,
261138223,312766919,0,90647466,True,2,Avenida Carrera 68,primary,11.179,"LINESTRING (-74.1158131 4.6399213, -74.1158806 4.6398466)",30,,,,,,,
261138223,1857423683,0,"[90635017, 90634445]",True,3,Avenida Calle 17,tertiary,1236.1819999999998,"LINESTRING (-74.1158131 4.6399213, -74.1158559 4.6399557, -74.1158832 4.6399776, -74.1163844 4.640367, -74.1173211 4.6411041, -74.1176148 4.6413456, -74.11828680000001 4.6418652, -74.11963950000001 4.6429353, -74.11979030000001 4.6430465, -74.1211945 4.6441971, -74.1227016 4.6454438, -74.1244784 4.6469194)",30,,,,,,,
261138271,6916078305,0,28412169,False,4,Avenida Carrera 10,secondary,547.298,"LINESTRING (-74.1034719 4.5660333, -74.10365849999999 4.5658109, -74.10376410000001 4.565685, -74.1040144 4.5653868, -74.104071 4.5653193, -74.1041359 4.5652535, -74.1042123 4.5651924, -74.1043153 4.565133, -74.10442380000001 4.5650904, -74.1045235 4.5650672, -74.10457599999999 4.5650601, -74.1046559 4.5650499, -74.10472710000001 4.5650544, -74.104793 4.5650659, -74.1048789 4.5650871, -74.10494199999999 4.56511, -74.1055605 4.5654123, -74.10602710000001 4.5656404, -74.10606490000001 4.5656563, -74.1061187 4.5656758, -74.1061818 4.5656905, -74.1062733 4.5656998, -74.1065998 4.5657259, -74.10666790000001 4.5657238, -74.10673989999999 4.5657123, -74.10681580000001 4.5656937, -74.10692210000001 4.5656581, -74.10731319999999 4.5654974, -74.1075769 4.5653967, -74.10778089999999 4.5653146)",30,,,,,,,
261138567,6878974417,0,734521938,False,2,Calle 18 Sur,residential,540.308,"LINESTRING (-74.0934821 4.5774417, -74.0935211 4.5774766, -74.0939231 4.5778369, -74.09399550000001 4.5779019, -74.0942969 4.5781729, -74.0949212 4.5787314, -74.0950165 4.5788165, -74.0950844 4.5788773, -74.09549199999999 4.5792417, -74.0958916 4.5795988, -74.0962397 4.5799099, -74.0962961 4.5799599, -74.0967058 4.5803256, -74.0971105 4.5806866)",30,,,,,,,
261138601,309811175,0,118110490,False,2,Calle 34 Sur,secondary,104.934,"LINESTRING (-74.1023424 4.5673084, -74.10224169999999 4.5671371, -74.1021913 4.5670514, -74.1020978 4.5668923, -74.1018278 4.5665175)",30,,,,,,,
261138604,309811175,0,"[738573120, 540803586, 89628292, 784339103]",True,2,"['Carrera 9', 'Diagonal 35 Sur', 'Calle 35 Sur']",tertiary,174.98,"LINESTRING (-74.10318359999999 4.5664357, -74.10301339999999 4.5663536, -74.1029618 4.566329, -74.10268569999999 4.5661973, -74.1025166 4.5661141, -74.10247219999999 4.5660913, -74.1023868 4.5660987, -74.10230230000001 4.5661362, -74.10199249999999 4.5663798, -74.1018278 4.5665175)",30,,,,,,,
261138604,1927493673,0,"[790046313, 529301227, 548026063]",False,2,Diagonal 35 Sur,"['tertiary', 'residential']",276.524,"LINESTRING (-74.10318359999999 4.5664357, -74.1032472 4.5664659, -74.10367429999999 4.5666688, -74.1038537 4.5667543, -74.1039195 4.5667857, -74.10402089999999 4.5668301, -74.10407549999999 4.5668528, -74.1041276 4.5668745, -74.1041633 4.5668854, -74.1042029 4.5668975, -74.1043023 4.566911, -74.1043976 4.5669137, -74.1044796 4.5669137, -74.10453560000001 4.5669137, -74.10490129999999 4.5669065, -74.1052244 4.5669085, -74.1055071 4.5669156, -74.105576 4.566914)",30,,,,,,,
261139344,290384878,0,89455686,False,2,Calle 106,secondary,267.199,"LINESTRING (-74.0557238 4.6936162, -74.0556259 4.6935998, -74.054984 4.6934922, -74.0542645 4.6933717, -74.0535635 4.6932534, -74.0533463 4.6932167)",30,,,,,,,
261139346,1037474804,0,89456543,False,4,Calle 104,tertiary,267.59,"LINESTRING (-74.05612309999999 4.6912254, -74.05602330000001 4.6912078, -74.0553127 4.6910824, -74.0540544 4.6908746, -74.0537422 4.6908251)",30,,,,,,,
261187536,261187560,0,"[90698841, 815043086]",True,2,"['Carrera 68D', 'Calle 87']",unclassified,381.35,"LINESTRING (-74.0798879 4.685189, -74.0799682 4.6854105, -74.0799726 4.6854969, -74.079954 4.6855574, -74.0799146 4.6856183, -74.0798631 4.6856643, -74.0797993 4.6857121, -74.0791577 4.6861947, -74.0789954 4.6863441, -74.078908 4.6863859, -74.0788154 4.6863942, -74.07872399999999 4.6863759, -74.07862160000001 4.6863093, -74.0779474 4.6854566, -74.0778949 4.6853413, -74.0778949 4.6852555, -74.07792070000001 4.685159)",30,,,,,,,
261187771,261187510,0,24084269,True,2,Calle 87,unclassified,17.357,"LINESTRING (-74.07755349999999 4.6853575, -74.07765670000001 4.6853413, -74.0777087 4.6853452)",30,,,,,,,
261188406,2549891862,0,24265786,False,2,Carrera 45,tertiary,6.752,"LINESTRING (-74.0922769 4.6369101, -74.0922331 4.6369523)",30,,,,,,,
261188610,261188643,0,90717741,True,3,Avenida Calle 26,primary,185.198,"LINESTRING (-74.10210530000001 4.6522685, -74.1030069 4.6536708)",30,,,,,,,
261188610,261188613,0,24084398,True,2,Carrera 67A,residential,33.881,"LINESTRING (-74.10210530000001 4.6522685, -74.1021295 4.652423, -74.10213229999999 4.6525713)",30,,,,,,,
261188643,5168356041,0,90717741,True,3,Avenida Calle 26,primary,72.644,"LINESTRING (-74.1030069 4.6536708, -74.1030768 4.6537811, -74.10336340000001 4.654219)",30,,,,,,,
261629720,316162256,0,28756046,True,2,Transversal 21A,tertiary,301.074,"LINESTRING (-74.1050853 4.5845031, -74.1050132 4.5845046, -74.104122 4.5845235, -74.1037776 4.5845308, -74.1034576 4.5845375, -74.1034222 4.5845383, -74.10273100000001 4.5845527, -74.1023696 4.5845606)",30,,,,,,,
261629720,6552012149,0,28851622,False,2,Avenida Carrera 24,secondary,492.0319999999999,"LINESTRING (-74.1050853 4.5845031, -74.10528480000001 4.5844939, -74.10535280000001 4.5844908, -74.1056543 4.5844769, -74.1056707 4.5844761, -74.1060299 4.5844596, -74.1064858 4.5844452, -74.1071366 4.5844247, -74.1073171 4.584419, -74.1076322 4.5844091, -74.1079223 4.5843995, -74.1086071 4.584377, -74.1087002 4.5843739, -74.1089456 4.5843659, -74.1092136 4.584357, -74.10952159999999 4.5843469)",30,,,,,,,
261629721,317206837,0,89619495,True,2,Carrera 24D,residential,310.147,"LINESTRING (-74.106216 4.5859182, -74.106177 4.5859551, -74.1055101 4.5865875, -74.104861 4.5872029, -74.10418850000001 4.5878405)",30,,,,,,,
261629725,261630253,0,89619628,True,3,Avenida Calle 22 Sur,primary,271.61600000000004,"LINESTRING (-74.11116 4.5923962, -74.1111791 4.5924239, -74.1112711 4.5925573, -74.11163790000001 4.5931419, -74.11179180000001 4.5934025, -74.1120289 4.5938126, -74.1122381 4.594181, -74.11230279999999 4.594295, -74.11237269999999 4.5944065, -74.1124238 4.5944881)",30,,,,,,,
261629820,266529309,0,89481272,True,2,Avenida Calle 22 Sur,secondary,252.25900000000001,"LINESTRING (-74.09309279999999 4.5742297, -74.09282779999999 4.5739328, -74.09223249999999 4.5732661, -74.0915609 4.5725522)",30,,,,,,,
261629820,5098993497,0,"[523853424, 89481588]",True,2,"['Carrera 8', 'Avenida Carrera 8']","['tertiary', 'secondary']",545.9789999999999,"LINESTRING (-74.09309279999999 4.5742297, -74.0936294 4.5736553, -74.0938795 4.5733875, -74.09445669999999 4.5727859, -74.0949354 4.572291, -74.09539959999999 4.5718111, -74.0958741 4.5713175, -74.0963544 4.5708187, -74.096484 4.570669)",30,,,,,,,
