u,v,key,osmid,highway,oneway,length,geometry,name,bridge,lanes,width,maxspeed,tunnel,area,access
668104341,262713832,0,239949227,path,False,101.107,"LINESTRING (-74.0848084 4.6376295, -74.0851571 4.6377336, -74.0856823 4.6378904)",,,,,,,,
668104545,1862320737,0,175665760,path,False,140.688,"LINESTRING (-74.08399609999999 4.6360403, -74.08377179999999 4.6362344, -74.083609 4.636314, -74.08313870000001 4.6365439, -74.082989 4.6366176, -74.08289910000001 4.6366618)",,,,,,,,
721428200,5764970671,0,"[58139960, 58139978, 608498040]","['footway', 'cycleway']",False,301.8620000000001,"LINESTRING (-74.0935016 4.6665593, -74.09357300000001 4.6667732, -74.0936281 4.666959, -74.09353299999999 4.6669927, -74.0933974 4.667095, -74.09304469999999 4.6674308, -74.092541 4.6678992, -74.09219109999999 4.6683369, -74.0920148 4.6685714)",,,,,,yes,,
721428220,889749521,0,"[58139946, 58139958]",footway,False,96.927,"LINESTRING (-74.09330730000001 4.6657924, -74.09328960000001 4.6656476, -74.0932609 4.6655264, -74.09320200000001 4.6653905, -74.0930457 4.6650297, -74.09302169999999 4.6649744)",,,,,,"['no', 'yes']",,
721832272,721832275,0,"[58201769, 747967789]",cycleway,False,2584.0190000000007,"LINESTRING (-74.08559820000001 4.6662558, -74.0858695 4.6658115, -74.08618060000001 4.6653019, -74.0865065 4.6647028, -74.08706789999999 4.6635216, -74.087525 4.6625023, -74.0880046 4.6614548, -74.0880406 4.6613796, -74.08813290000001 4.6611561, -74.0884923 4.6603675, -74.0885674 4.6602205, -74.08862379999999 4.6601643, -74.08871499999999 4.6601322, -74.0888035 4.6601242, -74.0888866 4.6601509, -74.0889483 4.6602124, -74.08902879999999 4.6603247, -74.0890909 4.6604139, -74.0891575 4.6605092, -74.08935870000001 4.6608032, -74.089643 4.661231, -74.08973400000001 4.6613604, -74.0900453 4.6618031, -74.09041000000001 4.6623321, -74.09083390000001 4.6629473, -74.09105390000001 4.6632627, -74.0916493 4.6641716, -74.0916909 4.6642414, -74.0917163 4.664284, -74.0918532 4.6645138, -74.09209629999999 4.6648226, -74.092144 4.6648832, -74.0922144 4.6650196, -74.0923372 4.6652565, -74.0924004 4.6654293, -74.09246779999999 4.66571, -74.09248359999999 4.6658957, -74.0924835 4.6660456, -74.0924637 4.6661683, -74.0924218 4.6664279, -74.0923306 4.6669465, -74.09226080000001 4.6672941, -74.0921723 4.6675079, -74.0920919 4.6676844, -74.09205799999999 4.6677808, -74.0920194 4.6678635, -74.0919778 4.6679301, -74.0918827 4.6680747, -74.0918156 4.6681549, -74.09177270000001 4.6681656, -74.0917525 4.6681926, -74.091711 4.6682484, -74.0917029 4.6683073, -74.0913164 4.6688278, -74.0906943 4.6696018, -74.0906122 4.669704, -74.0903934 4.6699807, -74.0900024 4.6704753, -74.0899732 4.6705139, -74.0896034 4.6710029, -74.0893244 4.6714026, -74.0891092 4.6717431, -74.08905559999999 4.671828, -74.0888222 4.6722245, -74.08857810000001 4.6726433, -74.088182 4.6733179, -74.0880047 4.6736195, -74.0878659 4.6738392)",,,,3,,,,
721832275,721832272,0,"[58201769, 747967789]",cycleway,False,2584.019,"LINESTRING (-74.0878659 4.6738392, -74.0880047 4.6736195, -74.088182 4.6733179, -74.08857810000001 4.6726433, -74.0888222 4.6722245, -74.08905559999999 4.671828, -74.0891092 4.6717431, -74.0893244 4.6714026, -74.0896034 4.6710029, -74.0899732 4.6705139, -74.0900024 4.6704753, -74.0903934 4.6699807, -74.0906122 4.669704, -74.0906943 4.6696018, -74.0913164 4.6688278, -74.0917029 4.6683073, -74.091711 4.6682484, -74.0917525 4.6681926, -74.09177270000001 4.6681656, -74.0918156 4.6681549, -74.0918827 4.6680747, -74.0919778 4.6679301, -74.0920194 4.6678635, -74.09205799999999 4.6677808, -74.0920919 4.6676844, -74.0921723 4.6675079, -74.09226080000001 4.6672941, -74.0923306 4.6669465, -74.0924218 4.6664279, -74.0924637 4.6661683, -74.0924835 4.6660456, -74.09248359999999 4.6658957, -74.09246779999999 4.66571, -74.0924004 4.6654293, -74.0923372 4.6652565, -74.0922144 4.6650196, -74.092144 4.6648832, -74.09209629999999 4.6648226, -74.0918532 4.6645138, -74.0917163 4.664284, -74.0916909 4.6642414, -74.0916493 4.6641716, -74.09105390000001 4.6632627, -74.09083390000001 4.6629473, -74.09041000000001 4.6623321, -74.0900453 4.6618031, -74.08973400000001 4.6613604, -74.089643 4.661231, -74.08935870000001 4.6608032, -74.0891575 4.6605092, -74.0890909 4.6604139, -74.08902879999999 4.6603247, -74.0889483 4.6602124, -74.0888866 4.6601509, -74.0888035 4.6601242, -74.08871499999999 4.6601322, -74.08862379999999 4.6601643, -74.0885674 4.6602205, -74.0884923 4.6603675, -74.08813290000001 4.6611561, -74.0880406 4.6613796, -74.0880046 4.6614548, -74.087525 4.6625023, -74.08706789999999 4.6635216, -74.0865065 4.6647028, -74.08618060000001 4.6653019, -74.0858695 4.6658115, -74.08559820000001 4.6662558)",,,,3,,,,
724113211,724113215,0,58390750,path,False,149.79000000000002,"LINESTRING (-74.07793650000001 4.6857472, -74.0776011 4.6853443, -74.0773248 4.6849972, -74.0770859 4.6847004)",,yes,,,,,,
724113215,724113211,0,58390750,path,False,149.79,"LINESTRING (-74.0770859 4.6847004, -74.0773248 4.6849972, -74.0776011 4.6853443, -74.07793650000001 4.6857472)",,yes,,,,,,
726142561,5684044676,0,"[371269961, 24615460]",cycleway,False,1588.4399999999998,"LINESTRING (-74.0502548 4.6964104, -74.049898 4.6963551, -74.04981220000001 4.6963203, -74.0494453 4.6961458, -74.0494077 4.6961387, -74.04929009999999 4.6960879, -74.048011 4.6955123, -74.0473394 4.6951897, -74.0465446 4.6950418, -74.04389190000001 4.694513, -74.04379969999999 4.6945008, -74.0436377 4.6944792, -74.04353829999999 4.6944661, -74.0429302 4.6943332, -74.04225940000001 4.6940713, -74.0416658 4.6938345, -74.04118389999999 4.6936464, -74.04111519999999 4.6936149, -74.0408374 4.693455, -74.0406684 4.6933577, -74.0405633 4.6933004, -74.04045069999999 4.6932389, -74.04006939999999 4.6930083, -74.0399109 4.6927773, -74.0398213 4.6925295, -74.03975920000001 4.6921475, -74.0396554 4.6919014, -74.0392475 4.691688, -74.0391351 4.6915529, -74.0391044 4.6914536, -74.03912750000001 4.6913551, -74.0392009 4.6911936, -74.039255 4.6910967, -74.0394802 4.6906938, -74.0394443 4.6906627, -74.039322 4.6905659, -74.0391941 4.6904538, -74.0392804 4.6902849, -74.0392866 4.6902434, -74.03928399999999 4.6902297, -74.0392804 4.6902112, -74.039241 4.6901578)",,,,1,,,,
726142572,6760342213,0,720328834,cycleway,False,8.147,"LINESTRING (-74.0550872 4.6969503, -74.0551596 4.696963)",,,,,,,,
735028242,599389290,0,59278388,cycleway,False,26.951,"LINESTRING (-74.0347165 4.6945071, -74.03479470000001 4.6942776)",,,,,,,,
737196739,382802768,0,59452268,footway,False,458.625,"LINESTRING (-74.0765832 4.6805329, -74.0768613 4.6803343, -74.07652969999999 4.6797783, -74.0765538 4.6796928, -74.0763285 4.6792597, -74.0761488 4.6788881, -74.0760496 4.6786422, -74.0759637 4.6783508, -74.0758484 4.6778937, -74.0757948 4.6775488, -74.0757519 4.677196, -74.07563879999999 4.676809)",,,,,,,,
