u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,access,bridge,junction,area,service,width,tunnel
332574683,332616108,0,89982068,False,2,Transversal 43B,tertiary,30,382.724,"LINESTRING (-74.10630380000001 4.620265, -74.10635720000001 4.6202567, -74.1068223 4.6201849, -74.10728930000001 4.6201155, -74.10761789999999 4.6200687, -74.1077454 4.6200626, -74.108069 4.6200597, -74.1085276 4.62006, -74.1089905 4.6200604, -74.10943570000001 4.6200607, -74.10974210000001 4.6200609)",,,,,,,
332575629,4071963557,0,404953455,False,2,Carrera 42B,unclassified,30,257.31399999999996,"LINESTRING (-74.10161410000001 4.6227856, -74.10165720000001 4.6227397, -74.10212199999999 4.6222359, -74.10263209999999 4.6216771, -74.1031656 4.6210644)",,,,,,,
332616108,332574683,0,89982068,False,2,Transversal 43B,tertiary,30,382.72400000000005,"LINESTRING (-74.10974210000001 4.6200609, -74.10943570000001 4.6200607, -74.1089905 4.6200604, -74.1085276 4.62006, -74.108069 4.6200597, -74.1077454 4.6200626, -74.10761789999999 4.6200687, -74.10728930000001 4.6201155, -74.1068223 4.6201849, -74.10635720000001 4.6202567, -74.10630380000001 4.620265)",,,,,,,
332616967,332622994,0,89982057,True,2,Calle 4F,residential,30,142.244,"LINESTRING (-74.1113253 4.6180283, -74.1116696 4.6182803, -74.1119856 4.6185457, -74.1123367 4.618815)",,,,,,,
332617146,332620846,0,"[89982078, 89982012, 89982029, 89982022]",False,2,"['Diagonal 5H', 'Diagonal 5G', 'Transversal 44A']",residential,30,452.358,"LINESTRING (-74.1076046 4.6226111, -74.10759849999999 4.6215281, -74.107612 4.6208514, -74.1074452 4.6208494, -74.1071395 4.6208429, -74.1071263 4.6215221, -74.1071324 4.62268)",,,,,,,
332620846,332617146,0,"[89982022, 89982012, 89982029, 89982078]",False,2,"['Diagonal 5H', 'Transversal 44A', 'Diagonal 5G']",residential,30,452.358,"LINESTRING (-74.1071324 4.62268, -74.1071263 4.6215221, -74.1071395 4.6208429, -74.1074452 4.6208494, -74.107612 4.6208514, -74.10759849999999 4.6215281, -74.1076046 4.6226111)",,,,,,,
332621189,280074011,0,"[585235470, 89981439]",False,2,"['Transversal 45', 'Calle 5C']",residential,30,180.055,"LINESTRING (-74.10948670000001 4.621718, -74.1098928 4.6217202, -74.11032470000001 4.6217162, -74.1104273 4.6217254, -74.110567 4.6217485, -74.11061530000001 4.6217735, -74.11071339999999 4.6218352, -74.110974 4.6220991)",,,,,,,
332621870,280075658,0,89981685,False,2,Transversal 42A,residential,30,244.583,"LINESTRING (-74.1105852 4.617379, -74.109578 4.617784, -74.1085357 4.6181944)",,,,,,,
332622994,280074188,0,"[89982057, 25688377]",True,2,Calle 4F,"['tertiary', 'residential']",30,117.407,"LINESTRING (-74.1123367 4.618815, -74.1127058 4.6191223, -74.11278849999999 4.6192131, -74.1130979 4.6195461)",,,,,,,
332622994,332622997,0,89982071,False,2,Carrera 45,residential,30,208.175,"LINESTRING (-74.1123367 4.618815, -74.111901 4.6194147, -74.1117685 4.6195642, -74.1116351 4.6197253, -74.1111782 4.6202873)",,,,,,,
332622997,2078920673,0,89982071,False,2,Carrera 45,residential,30,148.584,"LINESTRING (-74.1111782 4.6202873, -74.1103347 4.6213259)",,,,,,,
332622997,332622994,0,89982071,False,2,Carrera 45,residential,30,208.175,"LINESTRING (-74.1111782 4.6202873, -74.1116351 4.6197253, -74.1117685 4.6195642, -74.111901 4.6194147, -74.1123367 4.618815)",,,,,,,
332622997,280075658,0,639510207,True,2,Calle 5A,tertiary,30,374.359,"LINESTRING (-74.1111782 4.6202873, -74.1108596 4.6200277, -74.1105233 4.6197561, -74.11018900000001 4.6194849, -74.10983969999999 4.6192133, -74.1094643 4.6189291, -74.10909669999999 4.6186507, -74.1087313 4.6183739, -74.1085853 4.6182566, -74.1085357 4.6181944)",,,,,,,
332623549,4053845268,0,30189224,False,2,Carrera 45,residential,30,191.583,"LINESTRING (-74.1135675 4.6161689, -74.1133377 4.6167233, -74.11331970000001 4.6167631, -74.1128756 4.6177476)",,,,,,,
332710263,3270544761,0,89993487,False,2,Transversal 52C,residential,30,76.717,"LINESTRING (-74.1208261 4.6117902, -74.1214717 4.6115414)",,,,,,,
332710263,332711495,0,89993487,False,2,Transversal 52C,residential,30,151.902,"LINESTRING (-74.1208261 4.6117902, -74.1195479 4.6122831)",,,,,,,
332710263,332710265,0,89993635,False,2,Calle 1,residential,30,51.353,"LINESTRING (-74.1208261 4.6117902, -74.1206739 4.611354)",,,,,,,
332710265,3270544762,0,89993365,False,2,Transversal 52B,residential,30,61.27,"LINESTRING (-74.1206739 4.611354, -74.121194 4.6111673)",,,,,,,
332710265,332710267,0,89993635,False,2,Calle 1,residential,30,50.027,"LINESTRING (-74.1206739 4.611354, -74.1204863 4.6109448)",,,,,,,
332710265,332710263,0,89993635,False,2,Calle 1,residential,30,51.353,"LINESTRING (-74.1206739 4.611354, -74.1208261 4.6117902)",,,,,,,
332710265,331637387,0,89993365,False,2,Transversal 52B,residential,30,153.448,"LINESTRING (-74.1206739 4.611354, -74.1202816 4.6115008, -74.1193845 4.6118564)",,,,,,,
332710267,2045403980,0,30195070,False,2,Transversal 52A Bis,residential,30,54.076,"LINESTRING (-74.1204863 4.6109448, -74.120943 4.6107737)",,,,,,,
332710267,332710265,0,89993635,False,2,Calle 1,residential,30,50.027,"LINESTRING (-74.1204863 4.6109448, -74.1206739 4.611354)",,,,,,,
332710267,332711312,0,30195070,False,2,Transversal 52A Bis,residential,30,153.002,"LINESTRING (-74.1204863 4.6109448, -74.1200588 4.6111057, -74.1196327 4.611272, -74.1191974 4.6114375)",,,,,,,
332710267,332710268,0,89993635,False,2,Calle 1,residential,30,146.06400000000002,"LINESTRING (-74.1204863 4.6109448, -74.1202285 4.6103785, -74.119935 4.6097517)",,,,,,,
332710268,2045403978,0,89993566,False,2,Transversal 52,tertiary,30,54.149,"LINESTRING (-74.119935 4.6097517, -74.12037890000001 4.6095483)",,,,,,,
332710268,331637388,0,"[177076323, 89993566]",False,2,Transversal 52,tertiary,30,152.787,"LINESTRING (-74.119935 4.6097517, -74.119513 4.6099452, -74.1190943 4.6101223, -74.1186654 4.6102857)",,,,,,,
332710268,332710270,0,89993635,False,2,Calle 1,residential,30,224.862,"LINESTRING (-74.119935 4.6097517, -74.1194876 4.6087962, -74.1194746 4.6087684, -74.1191352 4.6080437, -74.11905179999999 4.6079931, -74.1190175 4.6079723)",,,,,,,
332710268,332710267,0,89993635,False,2,Calle 1,residential,30,146.06400000000002,"LINESTRING (-74.119935 4.6097517, -74.1202285 4.6103785, -74.1204863 4.6109448)",,,,,,,
332710270,2333064963,0,89993468,False,2,Carrera 51,residential,30,77.333,"LINESTRING (-74.1190175 4.6079723, -74.11935769999999 4.6073651)",,,,,,,
332710270,5241854449,0,89993468,False,2,Carrera 51,residential,30,177.12199999999999,"LINESTRING (-74.1190175 4.6079723, -74.1189771 4.6080444, -74.11886079999999 4.6082519, -74.1187553 4.6084403, -74.1183442 4.6091739, -74.1182383 4.609363)",,,,,,,
332710270,332710268,0,89993635,False,2,Calle 1,residential,30,224.862,"LINESTRING (-74.1190175 4.6079723, -74.11905179999999 4.6079931, -74.1191352 4.6080437, -74.1194746 4.6087684, -74.1194876 4.6087962, -74.119935 4.6097517)",,,,,,,
