u,v,key,osmid,highway,oneway,length,geometry,bridge,name,width,lanes,access,tunnel,area
321702417,5143953509,0,29251741,cycleway,False,22.739,"LINESTRING (-74.0547705 4.7323614, -74.0547361 4.732563)",,,,,,,
321702417,5143953512,0,29251741,cycleway,False,5.428,"LINESTRING (-74.0547705 4.7323614, -74.0547866 4.7323153)",,,,,,,
321702418,5143953508,0,29251741,cycleway,False,5.432,"LINESTRING (-74.0547363 4.7326119, -74.0547528 4.7326579)",,,,,,,
321702418,5143953509,0,29251741,cycleway,False,5.437,"LINESTRING (-74.0547363 4.7326119, -74.0547361 4.732563)",,,,,,,
321702419,5143953507,0,29251741,cycleway,False,5.427,"LINESTRING (-74.05478359999999 4.7326958, -74.0548253 4.7327214)",,,,,,,
321702419,5143953508,0,29251741,cycleway,False,5.423,"LINESTRING (-74.05478359999999 4.7326958, -74.0547528 4.7326579)",,,,,,,
321702420,5143953510,0,29251741,cycleway,False,5.439,"LINESTRING (-74.0548732 4.7327318, -74.0549219 4.7327257)",,,,,,,
321702420,5143953507,0,29251741,cycleway,False,5.433,"LINESTRING (-74.0548732 4.7327318, -74.0548253 4.7327214)",,,,,,,
321702421,5143953511,0,29251741,cycleway,False,5.165,"LINESTRING (-74.0549657 4.7327038, -74.0549984 4.7326707)",,,,,,,
321702421,5143953510,0,29251741,cycleway,False,5.43,"LINESTRING (-74.0549657 4.7327038, -74.0549219 4.7327257)",,,,,,,
323790760,323790761,0,706246770,cycleway,False,46.392,"LINESTRING (-74.048163 4.7519346, -74.0480409 4.7519279, -74.04775309999999 4.7518574)",,,,,,,
323790760,715767292,0,706246771,cycleway,False,2211.6430000000005,"LINESTRING (-74.048163 4.7519346, -74.0490506 4.7520917, -74.0494475 4.7522424, -74.0496172 4.7522961, -74.05012739999999 4.7524251, -74.0503618 4.7524826, -74.0506963 4.7525638, -74.0512762 4.7526921, -74.0518484 4.7527422, -74.0519424 4.7527617, -74.05205770000001 4.7527764, -74.0521301 4.7528058, -74.0524818 4.7529202, -74.0526375 4.752962, -74.0534182 4.7531349, -74.0539153 4.7532469, -74.0542885 4.7533236, -74.05442410000001 4.7533098, -74.0545554 4.7533208, -74.05462970000001 4.7533269, -74.05496979999999 4.7534346, -74.0552359 4.7534938, -74.0562984 4.7536682, -74.0565938 4.7537314, -74.05720650000001 4.7538437, -74.0574429 4.7538844, -74.05757 4.753945, -74.0576799 4.7540557, -74.05779269999999 4.7541661, -74.0579513 4.7542811, -74.0580803 4.7543746, -74.0581306 4.754411, -74.0582352 4.7544967, -74.05844430000001 4.7547369, -74.0586445 4.7549645, -74.0592031 4.7554873, -74.0594084 4.7556458, -74.0596029 4.7558012, -74.05970000000001 4.755879, -74.059816 4.7559903, -74.0600422 4.7561662, -74.06039749999999 4.7564329, -74.0605843 4.75657, -74.06099620000001 4.7568722, -74.06142130000001 4.7571793, -74.0621654 4.7577326, -74.0629165 4.7582924, -74.06350999999999 4.758727, -74.0640058 4.7590897, -74.0644447 4.7594067, -74.06505660000001 4.7598643, -74.06555299999999 4.7602263, -74.0656475 4.7602918)",,,,,,,
323790760,2044482814,0,706246771,cycleway,False,136.05700000000002,"LINESTRING (-74.048163 4.7519346, -74.0480498 4.7518919, -74.047588 4.7517821, -74.0469729 4.7516374)",,,,,,,
323790761,323790760,0,706246770,cycleway,False,46.392,"LINESTRING (-74.04775309999999 4.7518574, -74.0480409 4.7519279, -74.048163 4.7519346)",,,,,,,
323790763,865003158,0,30090927,cycleway,False,23.382,"LINESTRING (-74.04574599999999 4.7513914, -74.0455412 4.7513408)",,,,,,,
326221535,4894014309,0,"[606442337, 393878878]",cycleway,False,1375.3320000000006,"LINESTRING (-74.0902703 4.6963151, -74.0903146 4.6963361, -74.0907017 4.6965196, -74.0909401 4.6966325, -74.0912467 4.6967932, -74.0915238 4.6969412, -74.0917956 4.6970822, -74.0921365 4.6972653, -74.0923684 4.6973929, -74.092496 4.6974604, -74.0926207 4.6975357, -74.0927471 4.6976308, -74.0928863 4.6977494, -74.09301189999999 4.6978136, -74.0930721 4.6978412, -74.0931291 4.6978443, -74.09314500000001 4.6978474, -74.0932 4.6978581, -74.0932785 4.6978811, -74.09342340000001 4.697941, -74.0937931 4.6981406, -74.0939631 4.698231, -74.0939795 4.6982542, -74.093981 4.6982788, -74.0939625 4.6983233, -74.0939302 4.6983955, -74.09392250000001 4.6984384, -74.093924 4.6984834, -74.09394380000001 4.6985314, -74.0941902 4.6986249, -74.0944238 4.698712, -74.09501090000001 4.6989195, -74.0952071 4.6989416, -74.0952755 4.6989611, -74.0959592 4.6993885, -74.0964283 4.6997116, -74.0967447 4.6999486, -74.0971416 4.7002457, -74.0973231 4.7003835, -74.09750510000001 4.7005298, -74.09761520000001 4.700626, -74.097989 4.7009226, -74.0983085 4.7011761, -74.0989762 4.7017068, -74.0995556 4.7021922, -74.09990500000001 4.702492, -74.1000062 4.7025775, -74.1001323 4.7026908, -74.10019250000001 4.7027493, -74.1002431 4.7028059, -74.100298 4.7028919, -74.1003453 4.7029816)",,,,,,,
326228306,326228315,0,648017861,cycleway,False,231.374,"LINESTRING (-74.0933773 4.7108251, -74.09292000000001 4.7104124, -74.09253820000001 4.7100735, -74.0923574 4.7099606, -74.09216549999999 4.7098996, -74.0920071 4.7098507, -74.0918568 4.7097329, -74.0916836 4.7096605)",,Avenida Del Congreso Eucaristico,,,,,
326228315,2349925469,0,73248395,cycleway,False,13.76,"LINESTRING (-74.0916836 4.7096605, -74.09165489999999 4.7097809)",,,,,,,
326228315,2350020514,0,"[91151837, 648017861]",cycleway,False,610.522,"LINESTRING (-74.0916836 4.7096605, -74.0913753 4.709557, -74.0912343 4.7094241, -74.09112399999999 4.7092674, -74.0910276 4.7090013, -74.0909205 4.7087722, -74.0907921 4.7085838, -74.0906373 4.7084359, -74.0902585 4.708128, -74.0900942 4.7079469, -74.0899795 4.7077405, -74.0898371 4.7070547, -74.0897657 4.7067844, -74.08966789999999 4.7066479, -74.0896065 4.7066001, -74.0895045 4.7065523, -74.0892805 4.7065065, -74.0891337 4.7064607, -74.0886074 4.7061424, -74.0883 4.705934, -74.08820350000001 4.7058403)",,Avenida Del Congreso Eucaristico,,,,,
326228315,326228306,0,648017861,cycleway,False,231.374,"LINESTRING (-74.0916836 4.7096605, -74.0918568 4.7097329, -74.0920071 4.7098507, -74.09216549999999 4.7098996, -74.0923574 4.7099606, -74.09253820000001 4.7100735, -74.09292000000001 4.7104124, -74.0933773 4.7108251)",,Avenida Del Congreso Eucaristico,,,,,
326228357,5728428251,0,91151837,cycleway,False,350.7200000000001,"LINESTRING (-74.0883086 4.6986985, -74.0881735 4.6986222, -74.0880404 4.698576, -74.0878005 4.698586, -74.0876212 4.6985406, -74.08721180000001 4.6982094, -74.0866418 4.6976645, -74.0862779 4.697302, -74.0861495 4.6971626, -74.0860572 4.6970258, -74.08594239999999 4.6967972)",,,,,,,
326228357,2350020514,0,91151837,cycleway,False,817.8579999999998,"LINESTRING (-74.0883086 4.6986985, -74.0883791 4.6987367, -74.0884073 4.698797, -74.08839930000001 4.6988472, -74.0883025 4.6990261, -74.0882864 4.6992853, -74.0884538 4.7002614, -74.0885213 4.7006549, -74.088489 4.7010938, -74.08845839999999 4.701254, -74.0884167 4.7014726, -74.0884396 4.7018926, -74.088448 4.7020464, -74.08850200000001 4.7026667, -74.0885127 4.7030528, -74.0884535 4.7036165, -74.0883705 4.7038927, -74.0882107 4.7041565, -74.0881466 4.7043533, -74.0881146 4.7045402, -74.088099 4.7046351, -74.0880708 4.7051799, -74.08807349999999 4.7055826, -74.0881648 4.7058028, -74.08820350000001 4.7058403)",,,,,,,
326228357,261785571,0,184365415,cycleway,False,258.867,"LINESTRING (-74.0883086 4.6986985, -74.0886854 4.6980305, -74.0887786 4.6978654, -74.0889093 4.6976348, -74.0892523 4.6970256, -74.0894132 4.6967404, -74.08943170000001 4.6967077, -74.0894534 4.6966692)",,,,,,,
326228370,5728428251,0,603427980,cycleway,False,4.459,"LINESTRING (-74.0859798 4.6967824, -74.08594239999999 4.6967972)",,,,,,,
326228373,5728485841,0,29979976,cycleway,False,9.796,"LINESTRING (-74.0856754 4.6961846, -74.085633 4.6961073)",,,,,,,
326839055,2549929163,0,90893482,cycleway,False,993.6530000000001,"LINESTRING (-74.117469 4.6600552, -74.1168638 4.6608067, -74.1167684 4.660922, -74.1166477 4.6610642, -74.1165481 4.6611886, -74.1161328 4.661653, -74.1159261 4.6618861, -74.1158476 4.661971, -74.115044 4.6629177, -74.1149446 4.6630295, -74.1148209 4.6631612, -74.11464170000001 4.6633332, -74.11429149999999 4.6637372, -74.11396790000001 4.6641079, -74.11367850000001 4.6644646, -74.1132242 4.6649802, -74.1129281 4.6653573, -74.1128762 4.6654363, -74.1128411 4.6655198, -74.1127786 4.6657686, -74.1127297 4.6657713, -74.1126572 4.6657742, -74.11260799999999 4.6658068, -74.1125279 4.6658881, -74.11247539999999 4.6659683, -74.11244809999999 4.666042, -74.11243260000001 4.6661269, -74.1124252 4.6661631, -74.11240960000001 4.6662193, -74.1123635 4.666294, -74.1122857 4.6663502, -74.11220419999999 4.6664046, -74.1121467 4.6664508, -74.1120784 4.6665057, -74.1117448 4.6667761)",,,,,,,
329428650,3592507617,0,"[29893562, 72928503, 120104806, 29893647]",cycleway,False,1149.776,"LINESTRING (-74.0520061 4.686146, -74.0519966 4.6862085, -74.0518859 4.6869303, -74.051754 4.687756, -74.0515814 4.6887817, -74.05141329999999 4.6897766, -74.0513261 4.690331, -74.05131299999999 4.6904279, -74.05129549999999 4.6905679, -74.0511454 4.691428, -74.05107270000001 4.6918526, -74.05094 4.6925887, -74.0509088 4.6927654, -74.05079000000001 4.6935411, -74.05070619999999 4.6940726, -74.0505574 4.694973, -74.0505374 4.69517, -74.05040030000001 4.6960035, -74.0503332 4.6963499)",,,,,,,
