u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1946093481,3509173108,0,485753210,,cycleway,,False,5.396,"LINESTRING (4.9112095 52.4005525, 4.9112889 52.4005553)",,3.50,,,,,,,,,
1946093481,297270340,0,485753210,,cycleway,,False,69.755,"LINESTRING (4.9112095 52.4005525, 4.9103513 52.4005258, 4.9102601 52.4005249, 4.9101827 52.4005286)",,3.50,,,,,,,,,
1946104597,286684732,0,762535245,,cycleway,,False,4.284,"LINESTRING (4.9114321 52.4015706, 4.9113721 52.4015826)",,,,,,,,,,,
1946104623,286684745,0,184165466,,cycleway,,True,19.349,"LINESTRING (4.911469 52.4001444, 4.9114237 52.4001622, 4.9112336 52.4002426)",,,,,,,,,,,
1948695020,444500937,0,311078580,,cycleway,,False,4.688,"LINESTRING (4.9443698 52.4024261, 4.9443333 52.4023903)",,,,,,,,,,,
1956860782,352775622,0,31522684,,cycleway,,True,20.412,"LINESTRING (4.9014552 52.3905768, 4.9014305 52.3905184, 4.9014152 52.3904728, 4.9014152 52.3904401, 4.9014504 52.3904017)",,,,,,,,,,,
1963429749,1963429751,0,185689329,,cycleway,,False,134.672,"LINESTRING (4.9348487 52.3943879, 4.9348885 52.3944243, 4.9349824 52.3944685, 4.9351406 52.3944767, 4.9365066 52.3939277)",,3.50,,,,,,,,,
1963429749,1258564252,0,379223599,,cycleway,,False,70.10100000000001,"LINESTRING (4.9348487 52.3943879, 4.9345213 52.3945229, 4.9344574 52.3945479, 4.9340576 52.3947042, 4.9339841 52.3947329)",,3.50,,,,,,,,,
1963429749,611866900,0,"[469571544, 41736709, 379223599]",,cycleway,,False,126.90200000000002,"LINESTRING (4.9348487 52.3943879, 4.9360649 52.3938625, 4.936363 52.3937738, 4.9364065 52.3937608)",yes,3.50,,,,,,,,,
1963429751,1258539789,0,110094238,Baanakkerspad,cycleway,,False,175.54600000000002,"LINESTRING (4.9365066 52.3939277, 4.9376408 52.3943097, 4.9386977 52.394688, 4.9387549 52.3947085)",,3.50,,,,,,,,,
1963429751,611866895,0,"[110094242, 110094238, 469571543]",Baanakkerspad,cycleway,,False,180.44600000000003,"LINESTRING (4.9365066 52.3939277, 4.936346 52.3938619, 4.9358195 52.3936742, 4.9357844 52.3936612, 4.9355919 52.393598, 4.9352799 52.3934761, 4.9348346 52.3933607, 4.9342727 52.3932454, 4.9341518 52.3931919)",,3.50,,yes,,,,,,,
1963429751,1963429749,0,185689329,,cycleway,,False,134.67200000000003,"LINESTRING (4.9365066 52.3939277, 4.9351406 52.3944767, 4.9349824 52.3944685, 4.9348885 52.3944243, 4.9348487 52.3943879)",,3.50,,,,,,,,,
1963437141,46495380,0,7041297,Buikslotermeerplein,cycleway,,False,258.86199999999997,"LINESTRING (4.9421175 52.3980919, 4.9420878 52.3980135, 4.9416743 52.3976334, 4.9411569 52.3971509, 4.9410708 52.3971355, 4.94039 52.39738, 4.9402784 52.3973735, 4.9402184 52.3973139, 4.9397554 52.3968542)",,,,,,,,,,,
1963437141,2027044402,0,185692664,Slufter,cycleway,,False,68.928,"LINESTRING (4.9421175 52.3980919, 4.9423939 52.3984044, 4.9424045 52.3984123, 4.9426406 52.3985845, 4.9426677 52.3986096)",,,,,,,,,,,
