u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
5735502258,6027437655,0,612940713,False,,pedestrian,13.411,"LINESTRING (101.5141869 3.0799339, 101.5142948 3.0798797)",,,,,,
5735502258,5735502257,0,612940713,False,,pedestrian,35.448,"LINESTRING (101.5141869 3.0799339, 101.5139052 3.0800839)",,,,,,
5735502259,5735502260,0,612940713,False,,pedestrian,15.35,"LINESTRING (101.5148386 3.0796065, 101.5149613 3.0795429)",,,,,,
5735502259,6027438096,0,612940713,False,,pedestrian,56.813,"LINESTRING (101.5148386 3.0796065, 101.5143815 3.0798361)",,,,,,
5735502260,5735502261,0,612940713,False,,pedestrian,15.679,"LINESTRING (101.5149613 3.0795429, 101.5150773 3.0794625)",,,,,,
5735502260,5735502259,0,612940713,False,,pedestrian,15.35,"LINESTRING (101.5149613 3.0795429, 101.5148386 3.0796065)",,,,,,
5735502261,5735502244,0,612940713,False,,pedestrian,33.713,"LINESTRING (101.5150773 3.0794625, 101.5153569 3.0793443)",,,,,,
5735502261,5735502260,0,612940713,False,,pedestrian,15.679,"LINESTRING (101.5150773 3.0794625, 101.5149613 3.0795429)",,,,,,
5735502262,5735502263,0,612940713,False,,pedestrian,68.576,"LINESTRING (101.5155776 3.0792509, 101.5161408 3.0789978)",,,,,,
5735502262,5735502244,0,612940713,False,,pedestrian,26.615,"LINESTRING (101.5155776 3.0792509, 101.5153569 3.0793443)",,,,,,
5735502263,5735502264,0,612940713,False,,pedestrian,53.817,"LINESTRING (101.5161408 3.0789978, 101.5165848 3.0788037)",,,,,,
5735502263,5735502262,0,612940713,False,,pedestrian,68.576,"LINESTRING (101.5161408 3.0789978, 101.5155776 3.0792509)",,,,,,
5735502264,5735502265,0,612940713,False,,pedestrian,14.13,"LINESTRING (101.5165848 3.0788037, 101.5167014 3.0787528)",,,,,,
5735502264,5735502263,0,612940713,False,,pedestrian,53.817,"LINESTRING (101.5165848 3.0788037, 101.5161408 3.0789978)",,,,,,
5735502265,5735502266,0,612940713,False,,pedestrian,12.458,"LINESTRING (101.5167014 3.0787528, 101.5168134 3.0787461)",,,,,,
5735502265,5735502264,0,612940713,False,,pedestrian,14.13,"LINESTRING (101.5167014 3.0787528, 101.5165848 3.0788037)",,,,,,
5735502266,5735502267,0,612940713,False,,pedestrian,16.199,"LINESTRING (101.5168134 3.0787461, 101.5169589 3.0787568)",,,,,,
5735502266,5735502265,0,612940713,False,,pedestrian,12.458,"LINESTRING (101.5168134 3.0787461, 101.5167014 3.0787528)",,,,,,
5735502267,5735502268,0,612940713,False,,pedestrian,28.932,"LINESTRING (101.5169589 3.0787568, 101.5172178 3.0787862)",,,,,,
5735502267,5735502266,0,612940713,False,,pedestrian,16.199,"LINESTRING (101.5169589 3.0787568, 101.5168134 3.0787461)",,,,,,
5735502268,5735502269,0,612940713,False,,pedestrian,68.093,"LINESTRING (101.5172178 3.0787862, 101.5178159 3.0789215)",,,,,,
5735502268,5735502267,0,612940713,False,,pedestrian,28.932,"LINESTRING (101.5172178 3.0787862, 101.5169589 3.0787568)",,,,,,
5735502269,5735502270,0,612940713,False,,pedestrian,16.98,"LINESTRING (101.5178159 3.0789215, 101.5179688 3.0789242)",,,,,,
5735502269,5735502268,0,612940713,False,,pedestrian,68.093,"LINESTRING (101.5178159 3.0789215, 101.5172178 3.0787862)",,,,,,
5735502270,5735502271,0,612940713,False,,pedestrian,19.964,"LINESTRING (101.5179688 3.0789242, 101.5181404 3.0788706)",,,,,,
5735502270,5735502269,0,612940713,False,,pedestrian,16.98,"LINESTRING (101.5179688 3.0789242, 101.5178159 3.0789215)",,,,,,
5735502271,5735502272,0,612940713,False,,pedestrian,20.447,"LINESTRING (101.5181404 3.0788706, 101.5183201 3.0788304)",,,,,,
5735502271,5735502270,0,612940713,False,,pedestrian,19.964,"LINESTRING (101.5181404 3.0788706, 101.5179688 3.0789242)",,,,,,
5735502272,5735502273,0,612940713,False,,pedestrian,20.066,"LINESTRING (101.5183201 3.0788304, 101.5184918 3.0788867)",,,,,,
5735502272,5735502271,0,612940713,False,,pedestrian,20.447,"LINESTRING (101.5183201 3.0788304, 101.5181404 3.0788706)",,,,,,
5735502273,5735502274,0,612940713,False,,pedestrian,68.13,"LINESTRING (101.5184918 3.0788867, 101.5190604 3.079117)",,,,,,
