u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,service,tunnel
5755264666,1712738064,0,159174737,False,,residential,30,21.826,"LINESTRING (101.5002595 3.0705075, 101.500065 3.0704791)",,Jalan Tonggek,,,
5755264670,1982369130,0,187592888,False,,residential,30,25.829,"LINESTRING (101.4991768 3.0680971, 101.4994077 3.0680689)",,,,,
5755264670,6607658805,0,187592888,False,,residential,30,21.492,"LINESTRING (101.4991768 3.0680971, 101.4989891 3.0680499)",,,,,
5755264685,5753549805,0,374099159,False,,residential,30,8.247,"LINESTRING (101.5055418 3.0675556, 101.5056051 3.0675944)",,,,,
5755264685,3775033483,0,374099159,False,,residential,30,3.453,"LINESTRING (101.5055418 3.0675556, 101.5055117 3.0675478)",,,,,
5755264686,5755264688,0,374099159,False,,residential,30,3.315,"LINESTRING (101.5056219 3.0676399, 101.5056209 3.0676697)",,,,,
5755264686,5755264687,0,374099159,False,,residential,30,2.931,"LINESTRING (101.5056219 3.0676399, 101.5056182 3.0676138)",,,,,
5755264687,5755264686,0,374099159,False,,residential,30,2.931,"LINESTRING (101.5056182 3.0676138, 101.5056219 3.0676399)",,,,,
5755264687,5753549805,0,374099159,False,,residential,30,2.602,"LINESTRING (101.5056182 3.0676138, 101.5056051 3.0675944)",,,,,
5755264688,5753549803,0,374099159,False,,residential,30,3.677,"LINESTRING (101.5056209 3.0676697, 101.5056074 3.0676999)",,,,,
5755264688,5755264686,0,374099159,False,,residential,30,3.315,"LINESTRING (101.5056209 3.0676697, 101.5056219 3.0676399)",,,,,
5755781824,1712782514,0,311525772,False,,tertiary,30,0.786,"LINESTRING (101.4973627 3.0716668, 101.4973677 3.0716718)",,Jalan Ilmu 1/1,,,
5755781824,3171967851,0,311525772,False,,tertiary,30,12.894,"LINESTRING (101.4973627 3.0716668, 101.4973591 3.0715509)",,Jalan Ilmu 1/1,,,
5772630869,276683184,0,760120878,True,,primary,20,33.505,"LINESTRING (101.5546171 3.0556654, 101.5543639 3.0555015)",MBSA 17,Persiaran Jubli Perak,,,
5797995813,5797995816,0,30275748,True,,primary_link,20,2.462,"LINESTRING (101.5151602 3.0441899, 101.5151558 3.0441682)",,,,,
5797995814,5797995813,0,30275748,True,,primary_link,20,3.922,"LINESTRING (101.5151625 3.0442251, 101.5151602 3.0441899)",,,,,
5797995815,5797995814,0,30275748,True,,primary_link,20,3.245,"LINESTRING (101.5151578 3.0442539, 101.5151625 3.0442251)",,,,,
5797995816,270207884,0,30275748,True,,primary_link,20,2.558,"LINESTRING (101.5151558 3.0441682, 101.5151464 3.0441472)",,,,,
5797995817,5797995818,0,30275748,True,,primary_link,20,6.537,"LINESTRING (101.5151008 3.0443858, 101.5151236 3.0443316)",,,,,
5797995818,5797995815,0,30275748,True,,primary_link,20,9.438,"LINESTRING (101.5151236 3.0443316, 101.5151578 3.0442539)",,,,,
6183107325,5716394173,0,601446156,False,,service,10,9.396,"LINESTRING (101.5167468 3.0863119, 101.5167088 3.0862364)",,Jalan Takbir 5/1,,,
6183107325,4559933886,0,601446156,False,,service,10,6.383,"LINESTRING (101.5167468 3.0863119, 101.5167726 3.0863632)",,Jalan Takbir 5/1,,,
6607658805,5755264670,0,187592888,False,,residential,30,21.492,"LINESTRING (101.4989891 3.0680499, 101.4991768 3.0680971)",,,,,
6607658805,1982369106,0,187592888,False,,residential,30,30.29,"LINESTRING (101.4989891 3.0680499, 101.4987288 3.0679684)",,,,,
6625304786,7844737591,0,604845279,False,,residential,30,16.657,"LINESTRING (101.5356658 3.1945393, 101.5357978 3.1944681)",,Jalan Tempayan Emas 1,,,
6625304786,2159291010,0,604845279,False,,residential,30,7.434,"LINESTRING (101.5356658 3.1945393, 101.5356069 3.1945711)",,Jalan Tempayan Emas 1,,,
6625409717,2900298459,0,205933060,False,,unclassified,30,20.665,"LINESTRING (101.5448914 3.1934147, 101.5450775 3.1934113)",,Jalan Tempayan Emas 1,,,
6625409717,5738198850,0,205933060,False,,unclassified,30,18.913,"LINESTRING (101.5448914 3.1934147, 101.5447211 3.1934189)",,Jalan Tempayan Emas 1,,,
6625428406,2487545590,0,205933060,False,,unclassified,30,44.867,"LINESTRING (101.5376246 3.1940437, 101.5380282 3.1940232)",,Jalan Tempayan Emas 1,,,
6625428406,2159290956,0,205933060,False,,unclassified,30,6.27,"LINESTRING (101.5376246 3.1940437, 101.5375682 3.1940466)",,Jalan Tempayan Emas 1,,,
6625428408,2159290961,0,604845279,False,,residential,30,12.632,"LINESTRING (101.5368566 3.1940781, 101.5369662 3.1940476)",,Jalan Tempayan Emas 1,,,
6625428408,2159291002,0,604845279,False,,residential,30,79.984,"LINESTRING (101.5368566 3.1940781, 101.5361627 3.1942715)",,Jalan Tempayan Emas 1,,,
6625432161,7854231213,0,205933060,False,,unclassified,30,82.181,"LINESTRING (101.5453739 3.193406, 101.546114 3.1933928)",,Jalan Tempayan Emas 1,,,
6625432161,2900298459,0,205933060,False,,unclassified,30,32.912,"LINESTRING (101.5453739 3.193406, 101.5450775 3.1934113)",,Jalan Tempayan Emas 1,,,
