u,v,key,osmid,oneway,name,highway,length,geometry,tunnel,bridge,service,maxspeed,lanes,ref
4897863786,4897863788,0,498339335,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,26.139,"LINESTRING (101.5021484 3.0634363, 101.5023823 3.0634097)",,,,,,
4897863786,4897863788,1,498339329,True,,cycleway,39.64,"LINESTRING (101.5021484 3.0634363, 101.5022458 3.0632904, 101.5023823 3.0634097)",,,,,,
4897863788,4897863784,0,498339335,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,1678.8139999999999,"LINESTRING (101.5023823 3.0634097, 101.5026463 3.063383, 101.5027642 3.0633526, 101.502876 3.0633059, 101.5029583 3.0632542, 101.5030529 3.063174, 101.5031504 3.0630481, 101.5032317 3.0629365, 101.5033171 3.0628533, 101.5034431 3.062768, 101.5036322 3.0626767, 101.5037907 3.062626, 101.5039858 3.0625894, 101.5043965 3.0625874, 101.5053315 3.0626726, 101.5067199 3.0628086, 101.5082058 3.0629852, 101.5083867 3.063034, 101.5085656 3.0630827, 101.5087973 3.0631111, 101.5090318 3.0631628, 101.5096782 3.0633457, 101.5103801 3.0635562, 101.5117001 3.0639494, 101.5139076 3.0646152, 101.5146272 3.0648506, 101.5151069 3.0650414, 101.5153021 3.0651673, 101.5165285 3.0661368)",,,,,,
4897863789,4897863790,0,498339332,True,,cycleway,16.588,"LINESTRING (101.5006177 3.0630965, 101.5007248 3.0632005)",,,,,,
4897863790,4897863786,0,498339335,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,161.989,"LINESTRING (101.5007248 3.0632005, 101.5007518 3.0631984, 101.5009957 3.0632105, 101.5014714 3.0633567, 101.5017315 3.0634379, 101.5018332 3.063446, 101.5021484 3.0634363)",,,,,,
4897863791,4897863792,0,498339333,True,,cycleway,23.585,"LINESTRING (101.493789 3.0631905, 101.4939942 3.0632453)",,,,,,
4897863792,4897863697,0,498339335,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,652.6940000000001,"LINESTRING (101.4939942 3.0632453, 101.4941942 3.0632105, 101.4949381 3.063109, 101.4961415 3.0629507, 101.4969749 3.0628898, 101.4984792 3.0628898, 101.4993207 3.062902, 101.4994224 3.0629467, 101.4995525 3.06304, 101.4997557 3.0631984)",,,,,,
4897863793,4897863794,0,498339336,True,,cycleway,21.18,"LINESTRING (101.4890663 3.0634675, 101.4892516 3.0634223)",,,,,,
4897863793,4897863792,0,"[498339335, 498339334, 498339319]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,583.738,"LINESTRING (101.4890663 3.0634675, 101.4896368 3.0636936, 101.4900027 3.0638641, 101.4903645 3.0640468, 101.4905108 3.0641158, 101.4906816 3.0641564, 101.4907873 3.0641767, 101.4909093 3.0641767, 101.4917061 3.0640793, 101.4919012 3.0640346, 101.4921492 3.0639656, 101.4923647 3.0638763, 101.4925842 3.0637464, 101.4928404 3.06358, 101.4930802 3.063446, 101.4933526 3.0633567, 101.4939942 3.0632453)",,yes,,,,
4897863795,4897863946,0,498339337,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,1368.485,"LINESTRING (101.5245151 3.0675816, 101.5247087 3.0675893, 101.524851 3.0675934, 101.525038 3.0675649, 101.525534 3.0674594, 101.5258186 3.0674147, 101.5260869 3.0674025, 101.5264894 3.0674228, 101.5271521 3.0674513, 101.5276765 3.0674553, 101.5281644 3.0674553, 101.5286644 3.0674756, 101.5300055 3.0675757, 101.530624 3.0676218, 101.531807 3.0677314, 101.532364 3.0677476, 101.5337584 3.0678572, 101.5345228 3.0679384, 101.5349496 3.0679871, 101.5352464 3.068044, 101.5355838 3.0681373, 101.5360148 3.0682916, 101.5366785 3.0686162)",,,,,,
