u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,bridge,width,access,area,service
25267632,60432784,0,"[28007162, 30323418]",,"['Schottengasse', 'Freyung']",residential,30,True,244.786,"LINESTRING (16.363544 48.2129356, 16.363576 48.2128722, 16.3639914 48.2123037, 16.3641616 48.2120537, 16.364451 48.2118693, 16.3645051 48.2118535, 16.3646588 48.2118067, 16.3648306 48.2117746, 16.3651732 48.2117074, 16.3654043 48.2116567, 16.3657801 48.2115107)",,,,,,,
29646678,108215556,0,"[148755837, 817781934]",,Simmeringer Hauptstraße,primary,50,False,166.009,"LINESTRING (16.4164829 48.1742571, 16.4166497 48.1740849, 16.4169523 48.1737742, 16.4170302 48.1736942, 16.417157 48.1735663, 16.4175898 48.1731143, 16.417635 48.1730675, 16.4176975 48.173003)",3,,,,,,
30677555,1935894498,0,183224119,,,cycleway,,False,5.19,"LINESTRING (16.3619917 48.1941987, 16.3620462 48.1941694)",,,,,,,
30854182,294372705,0,31512973,,Fendigasse,residential,30,False,15.959,"LINESTRING (16.349932 48.1815489, 16.3500531 48.1815886, 16.3501271 48.1815678)",,,,,,,
31900583,2277143340,0,"[218466969, 35077306]",,Biberhaufenweg,secondary,40,False,161.119,"LINESTRING (16.4759139 48.2042722, 16.475963 48.2043693, 16.4760165 48.2045028, 16.4760747 48.2048284, 16.4761603 48.2054742, 16.4761987 48.2057049)",,,yes,,,,
33183674,303162812,0,27608716,,,cycleway,,False,16.883000000000003,"LINESTRING (16.3550563 48.2099671, 16.355161 48.2099713, 16.355265 48.2099276)",,,,,,,
33242082,105782235,0,11816519,,Heigerleinstraße,cycleway,,False,305.752,"LINESTRING (16.3120506 48.2185888, 16.3122454 48.2191557, 16.3123132 48.2192408, 16.3130439 48.2201836, 16.3137515 48.2210776)",,,,,,,
33469787,1749000878,0,"[34748238, 82329397, 721497310]",,Wehlistraße,"['tertiary', 'residential']",30,False,41.236000000000004,"LINESTRING (16.4310854 48.2056725, 16.4311802 48.2056114, 16.4312449 48.2055622, 16.4313119 48.2055113, 16.4314617 48.2053996)",,,,,,,
33469787,4245904641,0,425262597,,Wehlistraße,residential,30,True,110.41900000000001,"LINESTRING (16.4310854 48.2056725, 16.430995 48.2057742, 16.4308016 48.2059332, 16.4307063 48.2059978, 16.4305537 48.2061013, 16.4303595 48.2062194, 16.4300634 48.2063875)",,,,,,,
46921743,253297897,0,"[5841267, 11337926, 192637639]",,Margaretenstraße,tertiary,"['50', '30']",True,122.57499999999997,"LINESTRING (16.345481 48.1862294, 16.3448021 48.1858919, 16.3447598 48.1858709, 16.3446514 48.18582, 16.3445792 48.1857807, 16.3445514 48.1857661, 16.3444907 48.1857374, 16.3443238 48.1856595, 16.3441957 48.1855969, 16.3441508 48.185575)",,,,,,,
48753672,48753680,0,"[29066035, 26930739]",,"['Kantgasse', 'Christinengasse']",residential,30,True,125.39500000000001,"LINESTRING (16.3758938 48.2013202, 16.3759504 48.2013764, 16.3762942 48.2017177, 16.3763145 48.2017506, 16.3763232 48.2017648, 16.3763192 48.2017936, 16.3762999 48.2018231, 16.3762883 48.2018284, 16.3757364 48.2020838, 16.3757038 48.2021014, 16.3756819 48.2021132, 16.3756435 48.202134)",,,,,,,
59843161,9900518,0,21031865,,,cycleway,,False,81.463,"LINESTRING (16.4267503 48.3017559, 16.4269672 48.3016992, 16.4274785 48.3016762, 16.427834 48.3016861)",,,,,,,
59985862,59838952,0,23312531,,Rotensterngasse,residential,30,True,400.235,"LINESTRING (16.3808067 48.2179681, 16.3809161 48.2179709, 16.3809527 48.2179719, 16.3817326 48.2178224, 16.3819496 48.2177831, 16.3833023 48.2175392, 16.3835866 48.2174606, 16.3844596 48.2171191, 16.3849575 48.2169225, 16.3850413 48.2168894, 16.3851217 48.2168582, 16.3856064 48.2166704, 16.3857517 48.2166141)",,,,,,,
60141603,83472540,0,8043778,,Krottenhofgasse,secondary,30,True,81.288,"LINESTRING (16.3923463 48.2942906, 16.3925629 48.2950073)",,,,,,,
61767997,1523533156,0,11338175,,Flurschützstraße,tertiary,50,False,13.16,"LINESTRING (16.3377002 48.1787262, 16.3378625 48.1787741)",,,,,,,
61767997,4813537518,0,540036003,,,cycleway,,True,14.197000000000001,"LINESTRING (16.3377002 48.1787262, 16.3378109 48.178698, 16.3378791 48.1786807)",,,,,,,
61850481,297364756,0,10620306,,Gutheil-Schoder-Gasse,tertiary,50,False,84.999,"LINESTRING (16.3304761 48.1551814, 16.3301365 48.1547792, 16.3299299 48.1545096)",,,,,,,
