u,v,key,osmid,highway,oneway,length,geometry,name,maxspeed,access,service,lanes,tunnel
2916981300,2916981295,0,288148082,cycleway,False,39.762,"LINESTRING (106.949043 47.9031202, 106.9485158 47.9030658)",Дугуйн зам,,,,,
2925739474,2916981045,0,288148082,cycleway,False,44.832,"LINESTRING (106.9434076 47.8978846, 106.9437697 47.8982065)",Дугуйн зам,,,,,
2925739474,2916981041,0,288148082,cycleway,False,17.623,"LINESTRING (106.9434076 47.8978846, 106.9432752 47.8977533)",Дугуйн зам,,,,,
3086947898,2916981152,0,288148082,cycleway,False,40.151,"LINESTRING (106.946301 47.9005938, 106.9463407 47.9009539)",Дугуйн зам,,,,,
3086947898,2916981083,0,288148082,cycleway,False,22.2,"LINESTRING (106.946301 47.9005938, 106.9462678 47.9003954)",Дугуйн зам,,,,,
3086947930,2916981295,0,288148082,cycleway,False,25.635,"LINESTRING (106.9481982 47.9029774, 106.9485158 47.9030658)",Дугуйн зам,,,,,
3086947930,2916981287,0,288148082,cycleway,False,34.319,"LINESTRING (106.9481982 47.9029774, 106.9478095 47.902812)",Дугуйн зам,,,,,
3086969529,3086969760,0,288148082,cycleway,False,6.163,"LINESTRING (106.9455783 47.8993154, 106.9456214 47.8993627)",Дугуйн зам,,,,,
3086969529,2916981054,0,288148082,cycleway,False,32.531,"LINESTRING (106.9455783 47.8993154, 106.9453073 47.8990861)",Дугуйн зам,,,,,
3086969756,2916981259,0,288148082,cycleway,False,26.185,"LINESTRING (106.946768 47.9020637, 106.9469445 47.9022673)",Дугуйн зам,,,,,
3086969756,2916981229,0,288148082,cycleway,False,27.716,"LINESTRING (106.946768 47.9020637, 106.9465952 47.901843)",Дугуйн зам,,,,,
3086969760,2916981057,0,288148082,cycleway,False,19.308,"LINESTRING (106.9456214 47.8993627, 106.9457477 47.8995143)",Дугуйн зам,,,,,
3086969760,3086969529,0,288148082,cycleway,False,6.163,"LINESTRING (106.9456214 47.8993627, 106.9455783 47.8993154)",Дугуйн зам,,,,,
3086969762,2916981054,0,288148082,cycleway,False,19.032,"LINESTRING (106.945126 47.8989656, 106.9453073 47.8990861)",Дугуйн зам,,,,,
3086969762,2916981051,0,288148082,cycleway,False,21.965,"LINESTRING (106.945126 47.8989656, 106.9449168 47.8988265)",Дугуйн зам,,,,,
3086969791,3086969796,0,288148082,cycleway,False,19.819,"LINESTRING (106.9458259 47.8996164, 106.9459321 47.8997798)",Дугуйн зам,,,,,
3086969791,2916981057,0,288148082,cycleway,False,12.762,"LINESTRING (106.9458259 47.8996164, 106.9457477 47.8995143)",Дугуйн зам,,,,,
3086969794,2916981076,0,288148082,cycleway,False,27.992,"LINESTRING (106.9459845 47.8998605, 106.9461152 47.9000965)",Дугуйн зам,,,,,
3086969794,3086969796,0,288148082,cycleway,False,9.787,"LINESTRING (106.9459845 47.8998605, 106.9459321 47.8997798)",Дугуйн зам,,,,,
3086969796,3086969794,0,288148082,cycleway,False,9.787,"LINESTRING (106.9459321 47.8997798, 106.9459845 47.8998605)",Дугуйн зам,,,,,
3086969796,3086969791,0,288148082,cycleway,False,19.819,"LINESTRING (106.9459321 47.8997798, 106.9458259 47.8996164)",Дугуйн зам,,,,,
3086969797,2916981083,0,288148082,cycleway,False,26.877,"LINESTRING (106.9461511 47.9001667, 106.9462678 47.9003954)",Дугуйн зам,,,,,
3086969797,2916981076,0,288148082,cycleway,False,8.252,"LINESTRING (106.9461511 47.9001667, 106.9461152 47.9000965)",Дугуйн зам,,,,,
3575634889,2916981033,0,288148082,cycleway,False,12.013,"LINESTRING (106.9429702 47.8964904, 106.9430122 47.8965947)",Дугуйн зам,,,,,
3575634889,2916981030,0,288148082,cycleway,False,32.93,"LINESTRING (106.9429702 47.8964904, 106.9431204 47.8962119)",Дугуйн зам,,,,,
480748138,1772198776,0,165675360,footway,False,717.175,"LINESTRING (106.9095147 47.8908401, 106.9094037 47.8908266, 106.9094285 47.8907466, 106.9094161 47.8907066, 106.9093515 47.8906782, 106.9084308 47.8905539, 106.9025892 47.8897656, 106.9002886 47.8894518)",,,,,,
1772198742,1772198776,0,165675360,footway,False,2745.4330000000004,"LINESTRING (106.8640908 47.8885259, 106.8643598 47.888521, 106.8648851 47.8885414, 106.8651486 47.8885772, 106.8655612 47.8886372, 106.8662506 47.8887601, 106.8668945 47.8889003, 106.8674712 47.8890336, 106.8680599 47.8891876, 106.8688817 47.8894049, 106.8695637 47.8895699, 106.8702668 47.8897161, 106.8720174 47.8900508, 106.8733884 47.8902677, 106.8748719 47.8904421, 106.8754356 47.8904992, 106.87623 47.8905699, 106.8779104 47.8906736, 106.8785431 47.8906783, 106.8790001 47.8907019, 106.8803922 47.8907066, 106.8822408 47.8906703, 106.8824157 47.8906604, 106.8835723 47.8905871, 106.8850221 47.8904787, 106.886604 47.8903279, 106.8883705 47.8901537, 106.8891568 47.890063, 106.8903788 47.8899104, 106.8910874 47.8898122, 106.891894 47.8896886, 106.8924942 47.8895818, 106.8940005 47.8894062, 106.8947576 47.8893406, 106.896567 47.8892826, 106.897448 47.8892882, 106.8982037 47.8893015, 106.8994863 47.8893748, 106.9002886 47.8894518)",,,,,,
1772198776,7622160534,0,808241004,footway,False,29.454,"LINESTRING (106.9002886 47.8894518, 106.9002295 47.8897137)",,,,,,
1772198776,1772198742,0,165675360,footway,False,2745.4329999999995,"LINESTRING (106.9002886 47.8894518, 106.8994863 47.8893748, 106.8982037 47.8893015, 106.897448 47.8892882, 106.896567 47.8892826, 106.8947576 47.8893406, 106.8940005 47.8894062, 106.8924942 47.8895818, 106.891894 47.8896886, 106.8910874 47.8898122, 106.8903788 47.8899104, 106.8891568 47.890063, 106.8883705 47.8901537, 106.886604 47.8903279, 106.8850221 47.8904787, 106.8835723 47.8905871, 106.8824157 47.8906604, 106.8822408 47.8906703, 106.8803922 47.8907066, 106.8790001 47.8907019, 106.8785431 47.8906783, 106.8779104 47.8906736, 106.87623 47.8905699, 106.8754356 47.8904992, 106.8748719 47.8904421, 106.8733884 47.8902677, 106.8720174 47.8900508, 106.8702668 47.8897161, 106.8695637 47.8895699, 106.8688817 47.8894049, 106.8680599 47.8891876, 106.8674712 47.8890336, 106.8668945 47.8889003, 106.8662506 47.8887601, 106.8655612 47.8886372, 106.8651486 47.8885772, 106.8648851 47.8885414, 106.8643598 47.888521, 106.8640908 47.8885259)",,,,,,
1772198776,480748138,0,165675360,footway,False,717.1749999999998,"LINESTRING (106.9002886 47.8894518, 106.9025892 47.8897656, 106.9084308 47.8905539, 106.9093515 47.8906782, 106.9094161 47.8907066, 106.9094285 47.8907466, 106.9094037 47.8908266, 106.9095147 47.8908401)",,,,,,
7622160534,1772198776,0,808241004,footway,False,29.454,"LINESTRING (106.9002295 47.8897137, 106.9002886 47.8894518)",,,,,,
2371710266,2371710502,0,228497066,residential,False,553.083,"LINESTRING (107.0440259 47.9159412, 107.0428135 47.915898, 107.0421698 47.9160562, 107.0418694 47.9161281, 107.0414402 47.9161425, 107.0411076 47.9160994, 107.0410755 47.9158621, 107.0410755 47.9155529, 107.0410164 47.9153001, 107.0411613 47.9149992, 107.0413329 47.9148338, 107.041451 47.9147907, 107.0416119 47.9148698, 107.0417514 47.9148266, 107.0419338 47.9149345, 107.0420947 47.9149848, 107.0426419 47.9147619, 107.0428672 47.9148841, 107.0434894 47.9148482)",сургуулийн гудамж,30,,,,
2371710502,2371710266,0,228497066,residential,False,553.083,"LINESTRING (107.0434894 47.9148482, 107.0428672 47.9148841, 107.0426419 47.9147619, 107.0420947 47.9149848, 107.0419338 47.9149345, 107.0417514 47.9148266, 107.0416119 47.9148698, 107.041451 47.9147907, 107.0413329 47.9148338, 107.0411613 47.9149992, 107.0410164 47.9153001, 107.0410755 47.9155529, 107.0410755 47.9158621, 107.0411076 47.9160994, 107.0414402 47.9161425, 107.0418694 47.9161281, 107.0421698 47.9160562, 107.0428135 47.915898, 107.0440259 47.9159412)",сургуулийн гудамж,30,,,,
