u,v,key,osmid,highway,oneway,length,geometry,name
2916981172,2916981209,0,288148082,cycleway,False,37.702,"LINESTRING (106.9528127 47.9012394, 106.9525025 47.9015072)",Дугуйн зам
2916981185,2916981229,0,288148082,cycleway,False,38.927,"LINESTRING (106.9464155 47.9015143, 106.9465952 47.901843)",Дугуйн зам
2916981185,2916981142,0,288148082,cycleway,False,35.649,"LINESTRING (106.9464155 47.9015143, 106.9463524 47.9011965)",Дугуйн зам
2916981209,2916981172,0,288148082,cycleway,False,37.702,"LINESTRING (106.9525025 47.9015072, 106.9528127 47.9012394)",Дугуйн зам
2916981209,2916981260,0,288148082,cycleway,False,60.636,"LINESTRING (106.9525025 47.9015072, 106.9520562 47.9019631)",Дугуйн зам
2916981229,3086969756,0,288148082,cycleway,False,27.716,"LINESTRING (106.9465952 47.901843, 106.946768 47.9020637)",Дугуйн зам
2916981229,2916981185,0,288148082,cycleway,False,38.927,"LINESTRING (106.9465952 47.901843, 106.9464155 47.9015143)",Дугуйн зам
2916981259,2916981277,0,288148082,cycleway,False,41.558,"LINESTRING (106.9469445 47.9022673, 106.9473238 47.9025412)",Дугуйн зам
2916981259,3086969756,0,288148082,cycleway,False,26.185,"LINESTRING (106.9469445 47.9022673, 106.946768 47.9020637)",Дугуйн зам
2916981260,2916981209,0,288148082,cycleway,False,60.636,"LINESTRING (106.9520562 47.9019631, 106.9525025 47.9015072)",Дугуйн зам
2916981260,2916981276,0,288148082,cycleway,False,55.568,"LINESTRING (106.9520562 47.9019631, 106.9516015 47.9023591)",Дугуйн зам
2916981276,2916981260,0,288148082,cycleway,False,55.568,"LINESTRING (106.9516015 47.9023591, 106.9520562 47.9019631)",Дугуйн зам
2916981276,2916981286,0,288148082,cycleway,False,56.321,"LINESTRING (106.9516015 47.9023591, 106.9511001 47.902738)",Дугуйн зам
2916981277,2916981287,0,288148082,cycleway,False,47.091,"LINESTRING (106.9473238 47.9025412, 106.9478095 47.902812)",Дугуйн зам
2916981277,2916981259,0,288148082,cycleway,False,41.558,"LINESTRING (106.9473238 47.9025412, 106.9469445 47.9022673)",Дугуйн зам
2916981286,2916981276,0,288148082,cycleway,False,56.321,"LINESTRING (106.9511001 47.902738, 106.9516015 47.9023591)",Дугуйн зам
2916981286,2916981291,0,288148082,cycleway,False,38.663,"LINESTRING (106.9511001 47.902738, 106.9506666 47.9029289)",Дугуйн зам
2916981287,3086947930,0,288148082,cycleway,False,34.319,"LINESTRING (106.9478095 47.902812, 106.9481982 47.9029774)",Дугуйн зам
2916981287,2916981277,0,288148082,cycleway,False,47.091,"LINESTRING (106.9478095 47.902812, 106.9473238 47.9025412)",Дугуйн зам
2916981291,2916981286,0,288148082,cycleway,False,38.663,"LINESTRING (106.9506666 47.9029289, 106.9511001 47.902738)",Дугуйн зам
2916981291,2916981294,0,288148082,cycleway,False,45.284,"LINESTRING (106.9506666 47.9029289, 106.9500929 47.9030628)",Дугуйн зам
2916981294,2916981291,0,288148082,cycleway,False,45.284,"LINESTRING (106.9500929 47.9030628, 106.9506666 47.9029289)",Дугуйн зам
2916981294,2916981299,0,288148082,cycleway,False,46.314,"LINESTRING (106.9500929 47.9030628, 106.949479 47.9031269)",Дугуйн зам
2916981295,2916981300,0,288148082,cycleway,False,39.762,"LINESTRING (106.9485158 47.9030658, 106.949043 47.9031202)",Дугуйн зам
2916981295,3086947930,0,288148082,cycleway,False,25.635,"LINESTRING (106.9485158 47.9030658, 106.9481982 47.9029774)",Дугуйн зам
