u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,service,lanes,tunnel
1776774437,1776774436,0,166194653,,residential,20,False,22.635,"LINESTRING (106.9338906 47.9152654, 106.933589 47.9152414)",,,,
1776774439,1710976197,0,166194653,,residential,20,False,27.739,"LINESTRING (106.9340341 47.9151315, 106.9339336 47.9148913)",,,,
1776774439,6226234809,0,166194653,,residential,20,False,7.183,"LINESTRING (106.9340341 47.9151315, 106.9340394 47.915196)",,,,
1776774441,1776774448,0,166194653,,residential,20,False,44.916,"LINESTRING (106.9318519 47.9159883, 106.9324529 47.9160186)",,,,
1776774441,1776774454,0,166194653,,residential,20,False,73.977,"LINESTRING (106.9318519 47.9159883, 106.9317834 47.916652)",,,,
1776774446,2921518611,0,166194653,,residential,20,False,9.079,"LINESTRING (106.9315946 47.917277, 106.9315771 47.9171962)",,,,
1776774446,1776774455,0,166194653,,residential,20,False,8.61,"LINESTRING (106.9315946 47.917277, 106.9316375 47.9173489)",,,,
1776774447,1776774452,0,166194653,,residential,20,False,6.345,"LINESTRING (106.9329786 47.9153085, 106.9329925 47.9152522)",,,,
1776774447,1776774457,0,166194653,,residential,20,False,13.623,"LINESTRING (106.9329786 47.9153085, 106.9329679 47.9154308)",,,,
1776774448,1776774450,0,166194653,,residential,20,False,41.583,"LINESTRING (106.9324529 47.9160186, 106.9324636 47.9156447)",,,,
1776774448,1776774441,0,166194653,,residential,20,False,44.916,"LINESTRING (106.9324529 47.9160186, 106.9318519 47.9159883)",,,,
1776774449,6226234810,0,166194653,,residential,20,False,7.221,"LINESTRING (106.9324744 47.9155009, 106.9325428 47.9154549)",,,,
1776774449,1776774450,0,166194653,,residential,20,False,16.01,"LINESTRING (106.9324744 47.9155009, 106.9324636 47.9156447)",,,,
1776774450,1776774449,0,166194653,,residential,20,False,16.01,"LINESTRING (106.9324636 47.9156447, 106.9324744 47.9155009)",,,,
1776774450,1776774448,0,166194653,,residential,20,False,41.583,"LINESTRING (106.9324636 47.9156447, 106.9324529 47.9160186)",,,,
1776774451,1776774436,0,166194653,,residential,20,False,40.516,"LINESTRING (106.9330457 47.9152284, 106.933589 47.9152414)",,,,
1776774451,1776774452,0,166194653,,residential,20,False,4.767,"LINESTRING (106.9330457 47.9152284, 106.9329925 47.9152522)",,,,
1776774452,1776774451,0,166194653,,residential,20,False,4.767,"LINESTRING (106.9329925 47.9152522, 106.9330457 47.9152284)",,,,
1776774452,1776774447,0,166194653,,residential,20,False,6.345,"LINESTRING (106.9329925 47.9152522, 106.9329786 47.9153085)",,,,
1776774453,1776774454,0,166194653,,residential,20,False,6.646,"LINESTRING (106.9317674 47.9167108, 106.9317834 47.916652)",,,,
1776774453,2921518611,0,166194653,,residential,20,False,55.806,"LINESTRING (106.9317674 47.9167108, 106.9315771 47.9171962)",,,,
1776774454,1776774441,0,166194653,,residential,20,False,73.977,"LINESTRING (106.9317834 47.916652, 106.9318519 47.9159883)",,,,
1776774454,1776774453,0,166194653,,residential,20,False,6.646,"LINESTRING (106.9317834 47.916652, 106.9317674 47.9167108)",,,,
1776774455,1776774446,0,166194653,,residential,20,False,8.61,"LINESTRING (106.9316375 47.9173489, 106.9315946 47.917277)",,,,
1776774455,1776770702,0,166194653,,residential,20,False,4.469,"LINESTRING (106.9316375 47.9173489, 106.9316811 47.9173765)",,,,
1776774456,6226234811,0,166194653,,residential,20,False,3.325,"LINESTRING (106.9328928 47.9154667, 106.9329357 47.9154585)",,,,
1776774456,1776774458,0,166194653,,residential,20,False,16.886,"LINESTRING (106.9328928 47.9154667, 106.9326675 47.9154506)",,,,
1776774457,1776774447,0,166194653,,residential,20,False,13.623,"LINESTRING (106.9329679 47.9154308, 106.9329786 47.9153085)",,,,
1776774457,6226234811,0,166194653,,residential,20,False,3.905,"LINESTRING (106.9329679 47.9154308, 106.9329357 47.9154585)",,,,
1776774458,1776774456,0,166194653,,residential,20,False,16.886,"LINESTRING (106.9326675 47.9154506, 106.9328928 47.9154667)",,,,
1776774458,6226234810,0,166194653,,residential,20,False,9.306,"LINESTRING (106.9326675 47.9154506, 106.9325428 47.9154549)",,,,
1776774459,6226234809,0,166194653,,residential,20,False,5.995,"LINESTRING (106.9340171 47.9152478, 106.9340394 47.915196)",,,,
1776774459,6226234808,0,166194653,,residential,20,False,4.889,"LINESTRING (106.9340171 47.9152478, 106.9339563 47.9152643)",,,,
1827538524,5816838220,0,619300008,,residential,20,False,35.619,"LINESTRING (106.9321927 47.8899543, 106.9321109 47.8896387)",,,,
2084990251,3148694492,0,309519204,,residential,20,False,27.295,"LINESTRING (106.8945278 47.9267353, 106.8946672 47.9269623)",,,,
2084990372,3148694485,0,309519204,,residential,20,False,6.702,"LINESTRING (106.8940391 47.9281906, 106.8940476 47.9281306)",,,,
2086204972,3913796444,0,388164738,,residential,20,False,51.575,"LINESTRING (106.9267943 47.9354219, 106.9274045 47.935641)",,,,
2088257461,4388974714,0,700141155,Тээвэрчдийн гудамж,service,30,False,122.343,"LINESTRING (106.8871543 47.9031142, 106.8887814 47.9029702)",,,2,
2371479706,5477060763,0,387356423,,residential,20,False,22.026,"LINESTRING (106.9452315 47.9230629, 106.9449377 47.9230847)",,,,
2490559779,2490559781,0,241409483,,residential,20,False,7.313,"LINESTRING (106.9334279 47.9146984, 106.9333325 47.914683)",,,,
2490559779,2491840549,0,241409483,,residential,20,False,7.044,"LINESTRING (106.9334279 47.9146984, 106.9335223 47.9147016)",,,,
2490559781,2490559783,0,241409483,,residential,20,False,26.834,"LINESTRING (106.9333325 47.914683, 106.9333111 47.9144421)",,,,
2490559781,2490559779,0,241409483,,residential,20,False,7.313,"LINESTRING (106.9333325 47.914683, 106.9334279 47.9146984)",,,,
2490559783,2490559781,0,241409483,,residential,20,False,26.834,"LINESTRING (106.9333111 47.9144421, 106.9333325 47.914683)",,,,
2490559783,2490559784,0,241409484,,residential,20,False,30.0,"LINESTRING (106.9333111 47.9144421, 106.9329087 47.9144493)",,,,
2490559784,2490559786,0,241409484,,residential,20,False,16.393,"LINESTRING (106.9329087 47.9144493, 106.9326888 47.9144529)",,,,
2490559784,2490559783,0,241409484,,residential,20,False,30.0,"LINESTRING (106.9329087 47.9144493, 106.9333111 47.9144421)",,,,
2490559786,2490559799,0,241409484,,residential,20,False,19.659,"LINESTRING (106.9326888 47.9144529, 106.9324259 47.9144385)",,,,
2490559786,2490559784,0,241409484,,residential,20,False,16.393,"LINESTRING (106.9326888 47.9144529, 106.9329087 47.9144493)",,,,
2490559799,2490559801,0,241409484,,residential,20,False,13.092,"LINESTRING (106.9324259 47.9144385, 106.9322543 47.9144637)",,,,
2490559799,2490559786,0,241409484,,residential,20,False,19.659,"LINESTRING (106.9324259 47.9144385, 106.9326888 47.9144529)",,,,
2490559801,2490559803,0,241409484,,residential,20,False,31.2,"LINESTRING (106.9322543 47.9144637, 106.9318358 47.9144565)",,,,
2490559801,2490559799,0,241409484,,residential,20,False,13.092,"LINESTRING (106.9322543 47.9144637, 106.9324259 47.9144385)",,,,
2490559803,2921518612,0,241409484,,residential,20,False,12.946,"LINESTRING (106.9318358 47.9144565, 106.9317059 47.9143792)",,,,
2490559803,2490559801,0,241409484,,residential,20,False,31.2,"LINESTRING (106.9318358 47.9144565, 106.9322543 47.9144637)",,,,
2491832806,2491832813,0,241573298,,residential,20,False,19.804,"LINESTRING (106.8994811 47.916951, 106.8997358 47.9170018)",,,,
2491832813,2491832814,0,241573298,,residential,20,False,6.086,"LINESTRING (106.8997358 47.9170018, 106.8998109 47.9170233)",,,,
2491832813,2491832806,0,241573298,,residential,20,False,19.804,"LINESTRING (106.8997358 47.9170018, 106.8994811 47.916951)",,,,
2491832814,2491832815,0,241573298,,residential,20,False,15.377,"LINESTRING (106.8998109 47.9170233, 106.9000147 47.9170449)",,,,
2491832814,2491832813,0,241573298,,residential,20,False,6.086,"LINESTRING (106.8998109 47.9170233, 106.8997358 47.9170018)",,,,
2491832815,2491832816,0,241573298,,residential,20,False,22.804,"LINESTRING (106.9000147 47.9170449, 106.9003186 47.9170689)",,,,
2491832815,2491832814,0,241573298,,residential,20,False,15.377,"LINESTRING (106.9000147 47.9170449, 106.8998109 47.9170233)",,,,
2491832816,1264935122,0,241573298,,residential,20,False,13.853,"LINESTRING (106.9003186 47.9170689, 106.9005036 47.9170811)",,,,
2491832816,2491832815,0,241573298,,residential,20,False,22.804,"LINESTRING (106.9003186 47.9170689, 106.9000147 47.9170449)",,,,
2491832876,2491832892,0,241573299,,residential,20,False,20.548,"LINESTRING (106.8999896 47.9174235, 106.9002614 47.9174546)",,,,
2491832892,2491832876,0,241573299,,residential,20,False,20.548,"LINESTRING (106.9002614 47.9174546, 106.8999896 47.9174235)",,,,
2491832892,2491832896,0,241573299,,residential,20,False,10.128,"LINESTRING (106.9002614 47.9174546, 106.9003829 47.9174954)",,,,
2491832896,2491832892,0,241573299,,residential,20,False,10.128,"LINESTRING (106.9003829 47.9174954, 106.9002614 47.9174546)",,,,
2491832896,2491832908,0,241573299,,residential,20,False,7.923,"LINESTRING (106.9003829 47.9174954, 106.9004616 47.9175433)",,,,
2491832908,2491832896,0,241573299,,residential,20,False,7.923,"LINESTRING (106.9004616 47.9175433, 106.9003829 47.9174954)",,,,
2491832908,2491832949,0,241573299,,residential,20,False,35.916,"LINESTRING (106.9004616 47.9175433, 106.9007547 47.9177997)",,,,
2491832949,2491832908,0,241573299,,residential,20,False,35.916,"LINESTRING (106.9007547 47.9177997, 106.9004616 47.9175433)",,,,
2491832949,2491832950,0,241573299,,residential,20,False,10.201,"LINESTRING (106.9007547 47.9177997, 106.9008298 47.9178764)",,,,
2491832950,2491832949,0,241573299,,residential,20,False,10.201,"LINESTRING (106.9008298 47.9178764, 106.9007547 47.9177997)",,,,
2491832950,2491832952,0,241573299,,residential,20,False,7.515,"LINESTRING (106.9008298 47.9178764, 106.9009034 47.9179226)",,,,
2491832952,2491832950,0,241573299,,residential,20,False,7.515,"LINESTRING (106.9009034 47.9179226, 106.9008298 47.9178764)",,,,
2491840549,2490559779,0,241409483,,residential,20,False,7.044,"LINESTRING (106.9335223 47.9147016, 106.9334279 47.9146984)",,,,
2491840549,1710976188,0,241409483,,residential,20,False,9.805,"LINESTRING (106.9335223 47.9147016, 106.9336535 47.9147082)",,,,
2498061699,6558148779,0,388672558,,service,30,False,14.671,"LINESTRING (106.9132089 47.9259811, 106.9131365 47.9261038)",,,,
2498061699,3918420981,0,388672558,,service,30,False,25.468,"LINESTRING (106.9132089 47.9259811, 106.9133643 47.9257771)",,,,
2498128237,2498128238,0,242313454,,service,20,False,11.967,"LINESTRING (106.9131521 47.9176052, 106.9129928 47.9176188)",,emergency_access,,
2498128237,2498128239,0,242313454,,service,20,False,14.638,"LINESTRING (106.9131521 47.9176052, 106.9133469 47.9176221)",,emergency_access,,
2498128238,2498128240,0,242313454,,service,20,False,7.428,"LINESTRING (106.9129928 47.9176188, 106.9129017 47.9176459)",,emergency_access,,
2498128238,2498128237,0,242313454,,service,20,False,11.967,"LINESTRING (106.9129928 47.9176188, 106.9131521 47.9176052)",,emergency_access,,
2498128239,2498128237,0,242313454,,service,20,False,14.638,"LINESTRING (106.9133469 47.9176221, 106.9131521 47.9176052)",,emergency_access,,
2498128239,2498128241,0,242313454,,service,20,False,27.565,"LINESTRING (106.9133469 47.9176221, 106.9137034 47.9176882)",,emergency_access,,
2498128240,2498128242,0,242313454,,service,20,False,8.467,"LINESTRING (106.9129017 47.9176459, 106.9128689 47.9177188)",,emergency_access,,
2498128240,2498128238,0,242313454,,service,20,False,7.428,"LINESTRING (106.9129017 47.9176459, 106.9129928 47.9176188)",,emergency_access,,
2498128241,2498128239,0,242313454,,service,20,False,27.565,"LINESTRING (106.9137034 47.9176882, 106.9133469 47.9176221)",,emergency_access,,
2498128241,2498128243,0,242313454,,service,20,False,28.261,"LINESTRING (106.9137034 47.9176882, 106.9140626 47.9177697)",,emergency_access,,
2498128242,2498128244,0,242313454,,service,20,False,8.095,"LINESTRING (106.9128689 47.9177188, 106.9128689 47.9177916)",,emergency_access,,
2498128242,2498128240,0,242313454,,service,20,False,8.467,"LINESTRING (106.9128689 47.9177188, 106.9129017 47.9176459)",,emergency_access,,
2498128243,2498128241,0,242313454,,service,20,False,28.261,"LINESTRING (106.9140626 47.9177697, 106.9137034 47.9176882)",,emergency_access,,
2498128244,2498128242,0,242313454,,service,20,False,8.095,"LINESTRING (106.9128689 47.9177916, 106.9128689 47.9177188)",,emergency_access,,
