u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name
5776368642,5776368640,0,609870684,cycleway,False,11.257,"LINESTRING (69.19904 41.3604825, 69.1990387 41.3604796, 69.1990373 41.3604693, 69.19903789999999 41.360459, 69.19904080000001 41.3604486, 69.1990459 41.3604392, 69.19905319999999 41.3604304, 69.199062 41.3604224, 69.1990729 41.360416, 69.1990845 41.3604104, 69.19909749999999 41.3604067, 69.1991038 41.3604057)",,,
5776368681,5776424738,0,"[609870688, 609870692, 609870693]",cycleway,False,70.122,"LINESTRING (69.1981006 41.3606037, 69.1981967 41.3605916, 69.1984806 41.360556, 69.1989287 41.3604971)",yes,,
5776424736,5776424738,0,609878834,cycleway,False,31.102,"LINESTRING (69.1988628 41.3602218, 69.1989287 41.3604971)",,,
5776424737,5776424738,0,609878834,cycleway,False,30.447,"LINESTRING (69.1989932 41.3607666, 69.1989287 41.3604971)",,,
5776424738,5776368642,0,609870688,cycleway,False,9.43,"LINESTRING (69.1989287 41.3604971, 69.19904 41.3604825)",,,
5776424738,5776424737,0,609878834,cycleway,False,30.447,"LINESTRING (69.1989287 41.3604971, 69.1989932 41.3607666)",,,
5776424738,5776424736,0,609878834,cycleway,False,31.102,"LINESTRING (69.1989287 41.3604971, 69.1988628 41.3602218)",,,
5776424738,5776368681,0,"[609870688, 609870692, 609870693]",cycleway,False,70.122,"LINESTRING (69.1989287 41.3604971, 69.1984806 41.360556, 69.1981967 41.3605916, 69.1981006 41.3606037)",yes,,
5858443885,5858443886,0,619975817,cycleway,False,7.833,"LINESTRING (69.3060698 41.3659554, 69.3059835 41.3659831)",,,
5858443885,5858443922,0,619975817,cycleway,False,19.274,"LINESTRING (69.3060698 41.3659554, 69.30610679999999 41.3657843)",,,
5858443886,5858443887,0,619975817,cycleway,False,16.399,"LINESTRING (69.3059835 41.3659831, 69.30583559999999 41.365886)",,,
5858443886,5858443885,0,619975817,cycleway,False,7.833,"LINESTRING (69.3059835 41.3659831, 69.3060698 41.3659554)",,,
5858443887,5858443888,0,619975817,cycleway,False,19.548,"LINESTRING (69.30583559999999 41.365886, 69.3057001 41.3657426)",,,
5858443887,5858443886,0,619975817,cycleway,False,16.399,"LINESTRING (69.30583559999999 41.365886, 69.3059835 41.3659831)",,,
5858443888,5858443889,0,619975817,cycleway,False,24.763,"LINESTRING (69.3057001 41.3657426, 69.30550289999999 41.3655762)",,,
5858443888,5858443887,0,619975817,cycleway,False,19.548,"LINESTRING (69.3057001 41.3657426, 69.30583559999999 41.365886)",,,
5858443889,5858443890,0,619975817,cycleway,False,27.382,"LINESTRING (69.30550289999999 41.3655762, 69.3053488 41.3653588)",,,
5858443889,5858443888,0,619975817,cycleway,False,24.763,"LINESTRING (69.30550289999999 41.3655762, 69.3057001 41.3657426)",,,
5858443890,5858443891,0,619975817,cycleway,False,27.879,"LINESTRING (69.3053488 41.3653588, 69.3055152 41.3651414)",,,
5858443890,5858443889,0,619975817,cycleway,False,27.382,"LINESTRING (69.3053488 41.3653588, 69.30550289999999 41.3655762)",,,
5858443891,5858443892,0,619975817,cycleway,False,18.572,"LINESTRING (69.3055152 41.3651414, 69.3056631 41.3650166)",,,
5858443891,5858443890,0,619975817,cycleway,False,27.879,"LINESTRING (69.3055152 41.3651414, 69.3053488 41.3653588)",,,
5858443892,5858443893,0,619975817,cycleway,False,17.556,"LINESTRING (69.3056631 41.3650166, 69.3058418 41.3649333)",,,
5858443892,5858443891,0,619975817,cycleway,False,18.572,"LINESTRING (69.3056631 41.3650166, 69.3055152 41.3651414)",,,
5858443893,5858443894,0,619975817,cycleway,False,15.846,"LINESTRING (69.3058418 41.3649333, 69.3060267 41.3649657)",,,
5858443893,5858443892,0,619975817,cycleway,False,17.556,"LINESTRING (69.3058418 41.3649333, 69.3056631 41.3650166)",,,
5858443894,5858443895,0,619975817,cycleway,False,23.663,"LINESTRING (69.3060267 41.3649657, 69.3062362 41.3651091)",,,
5858443894,5858443893,0,619975817,cycleway,False,15.846,"LINESTRING (69.3060267 41.3649657, 69.3058418 41.3649333)",,,
5858443895,5858443896,0,619975817,cycleway,False,13.716,"LINESTRING (69.3062362 41.3651091, 69.3062731 41.3652293)",,,
5858443895,5858443894,0,619975817,cycleway,False,23.663,"LINESTRING (69.3062362 41.3651091, 69.3060267 41.3649657)",,,
5858443896,5858443897,0,619975817,cycleway,False,19.031,"LINESTRING (69.3062731 41.3652293, 69.3061314 41.3653634)",,,
5858443896,5858443895,0,619975817,cycleway,False,13.716,"LINESTRING (69.3062731 41.3652293, 69.3062362 41.3651091)",,,
5858443897,5858443898,0,619975817,cycleway,False,20.033,"LINESTRING (69.3061314 41.3653634, 69.30595270000001 41.3654837)",,,
5858443897,5858443896,0,619975817,cycleway,False,19.031,"LINESTRING (69.3061314 41.3653634, 69.3062731 41.3652293)",,,
5858443898,5858443899,0,619975817,cycleway,False,9.2,"LINESTRING (69.30595270000001 41.3654837, 69.3058541 41.3655207)",,,
5858443898,5858443897,0,619975817,cycleway,False,20.033,"LINESTRING (69.30595270000001 41.3654837, 69.3061314 41.3653634)",,,
5858443899,5858443900,0,619975817,cycleway,False,11.078,"LINESTRING (69.3058541 41.3655207, 69.3058048 41.3654282)",,,
5858443899,5858443898,0,619975817,cycleway,False,9.2,"LINESTRING (69.3058541 41.3655207, 69.30595270000001 41.3654837)",,,
5858443900,5858443901,0,619975817,cycleway,False,15.625,"LINESTRING (69.3058048 41.3654282, 69.30586030000001 41.365294)",,,
5858443900,5858443899,0,619975817,cycleway,False,11.078,"LINESTRING (69.3058048 41.3654282, 69.3058541 41.3655207)",,,
5858443901,5858443902,0,619975817,cycleway,False,18.536,"LINESTRING (69.30586030000001 41.365294, 69.3059342 41.3651368)",,,
5858443901,5858443900,0,619975817,cycleway,False,15.625,"LINESTRING (69.30586030000001 41.365294, 69.3058048 41.3654282)",,,
5858443902,5858443903,0,619975817,cycleway,False,6.901,"LINESTRING (69.3059342 41.3651368, 69.3058972 41.3650813)",,,
5858443902,5858443901,0,619975817,cycleway,False,18.536,"LINESTRING (69.3059342 41.3651368, 69.30586030000001 41.365294)",,,
5858443903,5858443904,0,619975817,cycleway,False,14.629,"LINESTRING (69.3058972 41.3650813, 69.3057309 41.3651229)",,,
5858443903,5858443902,0,619975817,cycleway,False,6.901,"LINESTRING (69.3058972 41.3650813, 69.3059342 41.3651368)",,,
5858443904,5858443905,0,619975817,cycleway,False,24.964,"LINESTRING (69.3057309 41.3651229, 69.3055707 41.3653125)",,,
5858443904,5858443903,0,619975817,cycleway,False,14.629,"LINESTRING (69.3057309 41.3651229, 69.3058972 41.3650813)",,,
5858443905,5858443906,0,619975817,cycleway,False,19.876,"LINESTRING (69.3055707 41.3653125, 69.3056138 41.3654883)",,,
5858443905,5858443904,0,619975817,cycleway,False,24.964,"LINESTRING (69.3055707 41.3653125, 69.3057309 41.3651229)",,,
5858443906,5858443907,0,619975817,cycleway,False,17.819,"LINESTRING (69.3056138 41.3654883, 69.3057678 41.3655993)",,,
5858443906,5858443905,0,619975817,cycleway,False,19.876,"LINESTRING (69.3056138 41.3654883, 69.3055707 41.3653125)",,,
5858443907,5858443908,0,619975817,cycleway,False,12.555,"LINESTRING (69.3057678 41.3655993, 69.3058911 41.365664)",,,
5858443907,5858443906,0,619975817,cycleway,False,17.819,"LINESTRING (69.3057678 41.3655993, 69.3056138 41.3654883)",,,
5858443908,5858443909,0,619975817,cycleway,False,18.172,"LINESTRING (69.3058911 41.365664, 69.3060883 41.3655947)",,,
5858443908,5858443907,0,619975817,cycleway,False,12.555,"LINESTRING (69.3058911 41.365664, 69.3057678 41.3655993)",,,
5858443909,5858443910,0,619975817,cycleway,False,25.946,"LINESTRING (69.3060883 41.3655947, 69.3062855 41.3654143)",,,
5858443909,5858443908,0,619975817,cycleway,False,18.172,"LINESTRING (69.3060883 41.3655947, 69.3058911 41.365664)",,,
5858443910,5858443911,0,619975817,cycleway,False,16.366,"LINESTRING (69.3062855 41.3654143, 69.306421 41.3653079)",,,
5858443910,5858443909,0,619975817,cycleway,False,25.946,"LINESTRING (69.3062855 41.3654143, 69.3060883 41.3655947)",,,
5858443911,5858443912,0,619975817,cycleway,False,11.124,"LINESTRING (69.306421 41.3653079, 69.3065319 41.3653634)",,,
5858443911,5858443910,0,619975817,cycleway,False,16.366,"LINESTRING (69.306421 41.3653079, 69.3062855 41.3654143)",,,
5858443912,5858443913,0,619975817,cycleway,False,16.271,"LINESTRING (69.3065319 41.3653634, 69.3066429 41.3654837)",,,
5858443912,5858443911,0,619975817,cycleway,False,11.124,"LINESTRING (69.3065319 41.3653634, 69.306421 41.3653079)",,,
5858443913,5858443914,0,619975817,cycleway,False,13.985,"LINESTRING (69.3066429 41.3654837, 69.3067415 41.3655854)",,,
5858443913,5858443912,0,619975817,cycleway,False,16.271,"LINESTRING (69.3066429 41.3654837, 69.3065319 41.3653634)",,,
5858443914,5858443915,0,619975817,cycleway,False,9.819,"LINESTRING (69.3067415 41.3655854, 69.3068277 41.3656455)",,,
5858443914,5858443913,0,619975817,cycleway,False,13.985,"LINESTRING (69.3067415 41.3655854, 69.3066429 41.3654837)",,,
5858443915,5858443916,0,619975817,cycleway,False,7.223,"LINESTRING (69.3068277 41.3656455, 69.30682160000001 41.3657103)",,,
5858443915,5858443914,0,619975817,cycleway,False,9.819,"LINESTRING (69.3068277 41.3656455, 69.3067415 41.3655854)",,,
5858443916,5858443917,0,619975817,cycleway,False,7.274,"LINESTRING (69.30682160000001 41.3657103, 69.3067353 41.3657195)",,,
5858443916,5858443915,0,619975817,cycleway,False,7.223,"LINESTRING (69.30682160000001 41.3657103, 69.3068277 41.3656455)",,,
5858443917,5858443918,0,619975817,cycleway,False,11.991,"LINESTRING (69.3067353 41.3657195, 69.3066121 41.365664)",,,
5858443917,5858443916,0,619975817,cycleway,False,7.274,"LINESTRING (69.3067353 41.3657195, 69.30682160000001 41.3657103)",,,
5858443918,5858443919,0,619975817,cycleway,False,17.712,"LINESTRING (69.3066121 41.365664, 69.306421 41.3655947)",,,
5858443918,5858443917,0,619975817,cycleway,False,11.991,"LINESTRING (69.3066121 41.365664, 69.3067353 41.3657195)",,,
5858443919,5858443920,0,619975817,cycleway,False,15.431,"LINESTRING (69.306421 41.3655947, 69.3062362 41.3655993)",,,
5858443919,5858443918,0,619975817,cycleway,False,17.712,"LINESTRING (69.306421 41.3655947, 69.3066121 41.365664)",,,
5858443920,5858443921,0,619975817,cycleway,False,10.704,"LINESTRING (69.3062362 41.3655993, 69.3061314 41.3656548)",,,
