u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,width,tunnel,bridge,est_width,access
255882805,1426313422,0,"[342977450, 342973810]",,,path,,False,100.693,"LINESTRING (9.104786900000001 48.820055, 9.1050728 48.8200554, 9.1055466 48.8200775, 9.1058559 48.8201031, 9.1060131 48.8201238, 9.106097500000001 48.8201213, 9.106155299999999 48.8201237)",,,,,,
268210749,2218284543,0,581658642,,,cycleway,,True,11.062,"LINESTRING (9.1880291 48.7892145, 9.1880823 48.7893076)",,,,,,
271798912,1665493929,0,"[48655009, 369183620, 26743748, 290422760, 48655774, 273590271]",,,"['cycleway', 'path']",,False,573.2190000000002,"LINESTRING (9.2192188 48.8375705, 9.2192811 48.8375332, 9.219374699999999 48.8375267, 9.219641299999999 48.837544, 9.2199875 48.8375577, 9.220761400000001 48.8375602, 9.221708400000001 48.8375728, 9.2226342 48.8375839, 9.222790399999999 48.8375782, 9.2229688 48.8375593, 9.223127 48.8375373, 9.2232558 48.8375408, 9.2233666 48.8375651, 9.223418499999999 48.8375098, 9.2235344 48.8374101, 9.223573200000001 48.8373853, 9.2236514 48.8373794, 9.2237031 48.8373864, 9.223745600000001 48.8374011, 9.223783299999999 48.8374302, 9.2238381 48.8375579, 9.2238434 48.8375701, 9.223872999999999 48.8376645, 9.2238703 48.8388647, 9.2238706 48.8388696, 9.223875700000001 48.8389155, 9.223881499999999 48.8389753, 9.223899400000001 48.8390489, 9.223946400000001 48.8391465, 9.224037900000001 48.8392344, 9.2241585 48.8393105, 9.224248899999999 48.839351)",,,,yes,,
274826901,1505326038,0,"[153482914, 578652022]",,,cycleway,,False,45.196,"LINESTRING (9.2113292 48.8045519, 9.211392200000001 48.8045457, 9.211477199999999 48.8045405, 9.2115507 48.8045776, 9.211599400000001 48.804604, 9.2116574 48.8046355, 9.211695499999999 48.804653, 9.2117764 48.8046988, 9.211819800000001 48.8047293, 9.2118339 48.8047392)",,2.4,,,,
278335143,21451986,0,"[346573453, 591504518]",,,cycleway,,True,23.319000000000003,"LINESTRING (9.1126317 48.7298476, 9.112754799999999 48.7297579, 9.112814800000001 48.7298373)",,,,,,
281435062,3885555972,0,385198386,,,cycleway,,True,30.616,"LINESTRING (9.1824859 48.7762644, 9.182469599999999 48.7761656, 9.182574499999999 48.7760038)",,1.5,,,,
283556458,1348268315,0,563870021,,,cycleway,,False,28.663,"LINESTRING (9.172992199999999 48.7503664, 9.1729711 48.7503518, 9.172856700000001 48.7502704, 9.1728328 48.7502444, 9.1728048 48.7501727, 9.172799400000001 48.7501508)",,,,,,
285388103,59653321,0,7975274,,,cycleway,,False,23.642000000000003,"LINESTRING (9.153458199999999 48.8108724, 9.153489 48.8109457, 9.1535122 48.8110011, 9.1536303 48.8110155)",,,,,,
293531302,313867090,0,"[255518956, 24376407]",,,path,,False,147.209,"LINESTRING (9.136091199999999 48.7740319, 9.136099700000001 48.7740798, 9.136095600000001 48.7741236, 9.136116700000001 48.7741676, 9.1361033 48.7743232, 9.136119600000001 48.7744308, 9.1361477 48.7745339, 9.136217500000001 48.7747264, 9.136331 48.775024, 9.136472700000001 48.7753218)",,"['2.3', '2']",,,,
293531302,1680013249,0,155604034,,,path,,False,15.426,"LINESTRING (9.136091199999999 48.7740319, 9.1360627 48.7740168, 9.1359169 48.7739543)",,,,,,
293531853,293531514,0,"[39841438, 255525175]",,,path,,False,459.011,"LINESTRING (9.146867200000001 48.7841665, 9.1472286 48.7844239, 9.147474799999999 48.7846008, 9.148357600000001 48.7852646, 9.149524299999999 48.7861817, 9.150465000000001 48.7868972, 9.150779099999999 48.7871553, 9.1508751 48.7872722, 9.150900800000001 48.7873168)",,2.5,,,,
293531853,5181704172,0,"[255524736, 338986458]",,,path,,False,1258.135,"LINESTRING (9.146867200000001 48.7841665, 9.1467698 48.7840992, 9.1463661 48.7838306, 9.146193200000001 48.7837278, 9.1460221 48.7836184, 9.1457066 48.7834118, 9.1452527 48.7831259, 9.144603699999999 48.78272, 9.1440532 48.7823723, 9.1435756 48.7820917, 9.143083300000001 48.7818124, 9.1428698 48.7816924, 9.142694199999999 48.781607, 9.1425079 48.7815344, 9.142216100000001 48.7814576, 9.141689100000001 48.7813448, 9.140894100000001 48.7811699, 9.140448599999999 48.7810654, 9.1402406 48.7809833, 9.1397855 48.7807215, 9.1394901 48.7805552, 9.139289 48.7804312, 9.139189500000001 48.7803388, 9.138991900000001 48.7801217, 9.1385595 48.7796119, 9.1381394 48.7790904, 9.137940800000001 48.7788565, 9.137821799999999 48.778716, 9.137692700000001 48.7785636, 9.1375122 48.7783458, 9.1370773 48.7778243, 9.137037599999999 48.7777596, 9.136990300000001 48.7776239, 9.136932399999999 48.7772761, 9.136866100000001 48.7768447, 9.136779600000001 48.7762825, 9.136765 48.7761874, 9.136725200000001 48.7759956, 9.1366902 48.77585)",,"['3', '2']",,,,
355755987,2885271330,0,38108668,,,cycleway,,False,47.256,"LINESTRING (9.189606400000001 48.7859785, 9.1896719 48.785972, 9.189738699999999 48.7859748, 9.189776200000001 48.7859865, 9.189871 48.786051, 9.189993899999999 48.7861502, 9.190096199999999 48.7862129)",,,,,,
355755987,3739297326,0,360827401,,,path,,False,10.026,"LINESTRING (9.189606400000001 48.7859785, 9.1896437 48.7859498, 9.1896928 48.7859086)",,,,,,
355755987,3729272725,0,368761463,,,path,,False,18.127,"LINESTRING (9.189606400000001 48.7859785, 9.189522699999999 48.7860685, 9.189444099999999 48.7860934)",,,,,,
399489714,2229152131,0,213173892,,,cycleway,,True,20.082,"LINESTRING (9.1732113 48.8256241, 9.1732847 48.8256077, 9.173332 48.825599, 9.1734735 48.8255711)",,,,,,
429610974,2289443147,0,"[333925960, 646240229, 226095087]",,,path,,True,96.413,"LINESTRING (9.189606599999999 48.7926392, 9.189534 48.7923064, 9.1894791 48.792213, 9.189455199999999 48.7921724, 9.1894226 48.7921424, 9.189363800000001 48.7921083, 9.1892844 48.7920839, 9.189201499999999 48.7920656, 9.189118799999999 48.7920542, 9.1890409 48.7920511, 9.188925299999999 48.7920546)",,2,,,,
429612658,429610990,0,529222624,,,cycleway,,True,8.523,"LINESTRING (9.1900251 48.7929113, 9.189935500000001 48.7929602)",,,,,,
444833637,20296593,0,"[477299708, 35825575]",,,"['cycleway', 'path']",,False,23.805,"LINESTRING (9.1902551 48.7881015, 9.190161 48.7881424, 9.1901774 48.7882182, 9.190168999999999 48.7882812)",,"['3.5', '2.5']",,,,
444833637,20956175,0,176133835,,,cycleway,,False,256.48800000000006,"LINESTRING (9.1902551 48.7881015, 9.1901654 48.788022, 9.1900709 48.7879607, 9.189958900000001 48.7878956, 9.1898631 48.7878511, 9.1897389 48.7878028, 9.1896357 48.7877693, 9.189542599999999 48.7877306, 9.1894341 48.7876667, 9.1893467 48.7875919, 9.1892602 48.787483, 9.189183699999999 48.7873696, 9.1890731 48.787151, 9.189025600000001 48.7870054, 9.189011000000001 48.7868253, 9.1890318 48.786738, 9.1890892 48.7866337, 9.189251799999999 48.7864755, 9.1893361 48.7863606, 9.189408 48.7862182, 9.1894212 48.7861831)",,3.5,,,,
444833637,20966637,0,358213717,,,cycleway,,False,43.8,"LINESTRING (9.1902551 48.7881015, 9.190375700000001 48.7882246, 9.190424200000001 48.7882901, 9.1904591 48.7883714, 9.1904697 48.788411, 9.190454600000001 48.7884598)",,3.5,,,,
520108010,2449831994,0,255588007,,,cycleway,,False,96.80799999999999,"LINESTRING (9.221369599999999 48.8103428, 9.2213206 48.8104061, 9.221234900000001 48.8104997, 9.221053400000001 48.810659, 9.220841800000001 48.8108317, 9.220639500000001 48.8109919, 9.2206803 48.8110465)",,,,,,
706624345,946080858,0,56320112,,,cycleway,,True,10.418000000000001,"LINESTRING (9.1524412 48.7288875, 9.1524111 48.7288604, 9.152362500000001 48.7288575, 9.1523634 48.7288296)",,,,,,
726825820,429610974,0,408853560,,,cycleway,,True,12.814,"LINESTRING (9.189704499999999 48.7927347, 9.189606599999999 48.7926392)",,,,,,
797883085,3426830287,0,350963305,,,cycleway,,False,2.903,"LINESTRING (9.2493745 48.780381, 9.2494111 48.780391)",,,,,,
802779128,1724301669,0,160384013,,,cycleway,,True,32.721999999999994,"LINESTRING (9.132867600000001 48.7765327, 9.1328204 48.7764661, 9.132802999999999 48.7763887, 9.132798599999999 48.7762462)",,1.3,,,,
874512131,3658263676,0,614732658,,,cycleway,,True,15.846,"LINESTRING (9.1721687 48.7747566, 9.1721906 48.7748575, 9.1722026 48.7748973)",,,,,,
1131552914,1682844630,0,"[155950883, 233166495]",,,cycleway,,True,16.89,"LINESTRING (9.1348193 48.7453409, 9.1347512 48.7453366, 9.1347068 48.7453332, 9.1346674 48.7453321, 9.1345896 48.7453319)",,,,,,
1131552914,133437823,0,"[233166496, 60144257, 60144258, 40104043, 343774284, 233166510, 22909174, 343774295, 172776154, 233167837, 233167838]",,,"['cycleway', 'path']",,False,1350.2430000000002,"LINESTRING (9.1348193 48.7453409, 9.134869500000001 48.7453243, 9.134914699999999 48.7453094, 9.134947 48.7453722, 9.135004800000001 48.7454958, 9.1350677 48.7456013, 9.135114 48.745698, 9.1352093 48.7458745, 9.135266 48.7459734, 9.1354483 48.7462748, 9.1354715 48.7463098, 9.1357973 48.7468057, 9.1360367 48.7472507, 9.136063699999999 48.7473286, 9.1361221 48.7474885, 9.1362188 48.7478149, 9.1364488 48.7485483, 9.136627799999999 48.7491213, 9.136817499999999 48.749685, 9.137139599999999 48.7506279, 9.137192300000001 48.7507823, 9.137289000000001 48.751076, 9.1375609 48.751866, 9.137678599999999 48.7521684, 9.1378491 48.7525303, 9.1380059 48.7527596, 9.1382273 48.7530292, 9.1382934 48.753083, 9.138342400000001 48.7530945, 9.1384252 48.7530983, 9.138485899999999 48.7531021, 9.1385588 48.7531149, 9.138925499999999 48.7534841, 9.139170999999999 48.7536571, 9.139333300000001 48.7537537, 9.1399727 48.7540668, 9.1402991 48.7542224, 9.1406376 48.7544013, 9.141291900000001 48.7547401, 9.1413525 48.754748, 9.141362600000001 48.7547506, 9.142269900000001 48.7551974, 9.142296699999999 48.7552383, 9.142353 48.7553268, 9.1423536 48.75535, 9.1423396 48.7553863, 9.142310500000001 48.7554281, 9.1423098 48.7554713, 9.142345000000001 48.755504, 9.1423633 48.7555148, 9.142551599999999 48.7555787, 9.1426093 48.7556015)",,"['4', '3.5', '4.5', '2.5']",,,,
1153160139,2885271330,0,361384401,,,cycleway,,True,18.13,"LINESTRING (9.190317500000001 48.786262, 9.1902121 48.7862667, 9.1901648 48.7862461, 9.190096199999999 48.7862129)",,,,,,
