u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel,width,bridge,est_width,access
5304720758,1048704385,0,549148827,3,Augsburger Straße,secondary,50,False,26.769,"LINESTRING (9.249676900000001 48.7822468, 9.249605499999999 48.7824829)",L 1198,,,,,
5327315696,5814515233,0,343685697,3,Silberburgstraße,residential,30,False,14.686,"LINESTRING (9.164275999999999 48.7772026, 9.164186900000001 48.7773209)",,,,,,
5327315696,1351725874,0,343685697,3,Silberburgstraße,residential,30,False,2.669,"LINESTRING (9.164275999999999 48.7772026, 9.1642919 48.777181)",,,,,,
5498172323,3926878973,0,154049414,3,Schmidener Straße,secondary,50,False,8.573,"LINESTRING (9.245819900000001 48.8215498, 9.245761699999999 48.8214829)",K 9512,,,,,
5498172323,28839660,0,572271451,2,Schmidener Straße,secondary,50,False,26.598,"LINESTRING (9.245819900000001 48.8215498, 9.2460091 48.821754)",K 9512,,,,,
5498172324,1528811309,0,154049414,3,Schmidener Straße,secondary,50,False,8.773,"LINESTRING (9.245504199999999 48.8211663, 9.245559200000001 48.8212364)",K 9512,,,,,
5498172324,268860263,0,154049414,3,Schmidener Straße,secondary,50,False,16.512,"LINESTRING (9.245504199999999 48.8211663, 9.2454006 48.8210344)",K 9512,,,,,
5728685832,496372450,0,603465158,,Bottroper Straße,residential,50,False,20.224,"LINESTRING (9.213353100000001 48.8191012, 9.213540200000001 48.8189674)",,,6,,,
5728733084,267273583,0,389820847,,Bottroper Straße,residential,50,False,23.751,"LINESTRING (9.2136683 48.818891, 9.2139401 48.8187744)",,,6,,,
5728733084,496372450,0,389820847,,Bottroper Straße,residential,50,False,12.654,"LINESTRING (9.2136683 48.818891, 9.213540200000001 48.8189674)",,,6,,,
5814515233,1746675042,0,343685697,3,Silberburgstraße,residential,30,False,8.891,"LINESTRING (9.164186900000001 48.7773209, 9.1641329 48.7773925)",,,,,,
5814515233,5327315696,0,343685697,3,Silberburgstraße,residential,30,False,14.686,"LINESTRING (9.164186900000001 48.7773209, 9.164275999999999 48.7772026)",,,,,,
54829170,5579942105,0,7418930,3,Leobener Straße,residential,50,False,12.038,"LINESTRING (9.160436499999999 48.8143247, 9.160489399999999 48.8142222)",,,,,,
3618341254,5579942104,0,7418930,3,Leobener Straße,residential,50,False,60.134,"LINESTRING (9.1608903 48.8136107, 9.1605592 48.8141056)",,,,,,
3618341255,5579942104,0,7418930,3,Leobener Straße,residential,50,False,7.656,"LINESTRING (9.1605188 48.8141691, 9.1605592 48.8141056)",,,,,,
3618341255,5579942105,0,7418930,3,Leobener Straße,residential,50,False,6.285,"LINESTRING (9.1605188 48.8141691, 9.160489399999999 48.8142222)",,,,,,
5579942104,3618341254,0,7418930,3,Leobener Straße,residential,50,False,60.134,"LINESTRING (9.1605592 48.8141056, 9.1608903 48.8136107)",,,,,,
5579942104,3618341255,0,7418930,3,Leobener Straße,residential,50,False,7.656,"LINESTRING (9.1605592 48.8141056, 9.1605188 48.8141691)",,,,,,
5579942105,3618341255,0,7418930,3,Leobener Straße,residential,50,False,6.285,"LINESTRING (9.160489399999999 48.8142222, 9.1605188 48.8141691)",,,,,,
5579942105,54829170,0,7418930,3,Leobener Straße,residential,50,False,12.038,"LINESTRING (9.160489399999999 48.8142222, 9.160436499999999 48.8143247)",,,,,,
643066,5517266282,0,587885854,,,cycleway,,True,11.792,"LINESTRING (9.135835699999999 48.7717825, 9.135720600000001 48.7717084)",,,,,,
643083,4049166614,0,288983375,,,cycleway,,True,5.83,"LINESTRING (9.144793200000001 48.7746963, 9.144821500000001 48.7747453)",,,1.5,,,
12620668,3219353724,0,27257804,2,Friedrichsplatz,cycleway,,False,10.002,"LINESTRING (9.177412 48.7830686, 9.1775345 48.7830289)",,,,,,
12620828,2353997375,0,226623653,,,cycleway,,True,6.329,"LINESTRING (9.173226100000001 48.8221861, 9.1731599 48.8221495)",,,,,,
13887933,3773677483,0,373943278,,,cycleway,,True,12.556,"LINESTRING (9.2052514 48.8081581, 9.2051394 48.8082436)",,,,,,
18240910,3210020776,0,361287364,,,path,,False,6.692,"LINESTRING (9.1714766 48.7753341, 9.171500399999999 48.7753922)",,,,,,
18240910,1889893484,0,361287364,,,path,,False,13.692,"LINESTRING (9.1714766 48.7753341, 9.171421199999999 48.7752165)",,,,,,
20276225,745910041,0,45046703,,Ferdinand-Leitner-Steg,cycleway,,False,23.174,"LINESTRING (9.184783100000001 48.782097, 9.184993 48.7822529)",,,2.4,yes,,
20956174,20956175,0,176133835,,,cycleway,,False,4.021,"LINESTRING (9.189408 48.7862182, 9.1894212 48.7861831)",,,3.5,,,
20956174,3653842553,0,176133835,,,cycleway,,False,16.687,"LINESTRING (9.189408 48.7862182, 9.1893361 48.7863606)",,,3.5,,,
20956175,20956174,0,176133835,,,cycleway,,False,4.021,"LINESTRING (9.1894212 48.7861831, 9.189408 48.7862182)",,,3.5,,,
20956175,455230014,0,3996728,,,path,,False,14.189,"LINESTRING (9.1894212 48.7861831, 9.189607000000001 48.7861471)",,,6,,,
20956175,3729254023,0,3996728,,,path,,False,33.073,"LINESTRING (9.1894212 48.7861831, 9.1889997 48.7860766)",,,6,,,
20956175,3729272725,0,368761433,,,path,,False,10.114,"LINESTRING (9.1894212 48.7861831, 9.189444099999999 48.7860934)",,,,,,
20956176,355755985,0,38108668,,,cycleway,,False,9.984,"LINESTRING (9.189776200000001 48.7859865, 9.189871 48.786051)",,,,,,
20956176,1153159891,0,38108668,,,cycleway,,False,3.04,"LINESTRING (9.189776200000001 48.7859865, 9.189738699999999 48.7859748)",,,,,,
20958585,3657815503,0,361287362,,,cycleway,,True,17.211,"LINESTRING (9.170003700000001 48.7760825, 9.170066200000001 48.7759333)",,,,,,
20966637,1824439905,0,358213717,,,cycleway,,False,5.538,"LINESTRING (9.190454600000001 48.7884598, 9.1904697 48.788411)",,,3.5,,,
20966637,2452183087,0,37902141,,,path,,False,5.346,"LINESTRING (9.190454600000001 48.7884598, 9.1904339 48.7885059)",,,4,,,
20966637,20966627,0,221622849,,,path,,False,7.398,"LINESTRING (9.190454600000001 48.7884598, 9.190379399999999 48.7884154)",,,3.5,,,
21097747,1307556473,0,120802595,,,cycleway,,False,7.394,"LINESTRING (9.2075879 48.797711, 9.207676299999999 48.7977431)",,,2.5,,,
21097747,1353679200,0,120802595,,,cycleway,,False,8.518,"LINESTRING (9.2075879 48.797711, 9.207512100000001 48.7976529)",,,2.5,,,
21097748,1353679200,0,120802595,,,cycleway,,False,8.305,"LINESTRING (9.207440099999999 48.7975952, 9.207512100000001 48.7976529)",,,2.5,,,
21097748,21097749,0,120802595,,,cycleway,,False,9.284,"LINESTRING (9.207440099999999 48.7975952, 9.207376699999999 48.7975229)",,,2.5,,,
21097749,21097748,0,120802595,,,cycleway,,False,9.284,"LINESTRING (9.207376699999999 48.7975229, 9.207440099999999 48.7975952)",,,2.5,,,
21097749,21097750,0,120802595,,,cycleway,,False,7.779,"LINESTRING (9.207376699999999 48.7975229, 9.2073281 48.7974607)",,,2.5,,,
21097750,21097749,0,120802595,,,cycleway,,False,7.779,"LINESTRING (9.2073281 48.7974607, 9.207376699999999 48.7975229)",,,2.5,,,
21097750,1353679197,0,120802595,,,cycleway,,False,4.735,"LINESTRING (9.2073281 48.7974607, 9.2072775 48.7974342)",,,2.5,,,
21097750,1307555570,0,115832916,,,path,,False,7.744,"LINESTRING (9.2073281 48.7974607, 9.207429899999999 48.7974795)",,,3,,,
21097751,1353679197,0,120802595,,,cycleway,,False,6.183,"LINESTRING (9.207198 48.7974155, 9.2072775 48.7974342)",,,2.5,,,
21097751,21097752,0,120802595,,,cycleway,,False,6.698,"LINESTRING (9.207198 48.7974155, 9.207106599999999 48.7974175)",,,2.5,,,
21097752,21097751,0,120802595,,,cycleway,,False,6.698,"LINESTRING (9.207106599999999 48.7974175, 9.207198 48.7974155)",,,2.5,,,
21097752,1353679195,0,120802595,,,cycleway,,False,10.476,"LINESTRING (9.207106599999999 48.7974175, 9.2069638 48.7974227)",,,2.5,,,
21097753,1307554992,0,120802595,,,cycleway,,False,8.266,"LINESTRING (9.206758000000001 48.7973671, 9.206856399999999 48.7974035)",,,2.5,,,
21097753,5851142284,0,120802595,,,cycleway,,False,4.706,"LINESTRING (9.206758000000001 48.7973671, 9.206713300000001 48.7973367)",,,2.5,,,
21097754,5851142284,0,120802595,,,cycleway,,False,3.498,"LINESTRING (9.2066888 48.7973097, 9.206713300000001 48.7973367)",,,2.5,,,
21097754,1353679192,0,115832915,,,path,,False,5.047,"LINESTRING (9.2066888 48.7973097, 9.2067566 48.7973178)",,,3,,,
21097754,21097755,0,215420375,,,path,,False,16.443,"LINESTRING (9.2066888 48.7973097, 9.206516000000001 48.7972153)",,,3,,,
31231176,293531853,0,343537520,,,cycleway,,True,8.535,"LINESTRING (9.1469483 48.7841114, 9.146867200000001 48.7841665)",,,1.5,,,
35627616,4210880759,0,444874452,,,path,,True,3.068,"LINESTRING (9.2047755 48.8082885, 9.2047338 48.8082912)",,,,,,
38690543,5507777567,0,573500373,,,cycleway,,False,7.773,"LINESTRING (9.2034953 48.8179928, 9.203494600000001 48.8180627)",,,,,,
54875512,3511073018,0,344357598,,,cycleway,,True,20.7,"LINESTRING (9.1492136 48.8108426, 9.148937999999999 48.810884)",,,,,,
59647122,7712959009,0,826082418,,,cycleway,,True,14.523,"LINESTRING (9.129796300000001 48.7213117, 9.1299109 48.7212052)",,,,,,
59653321,3415161391,0,7975274,,,cycleway,,False,8.795,"LINESTRING (9.1536303 48.8110155, 9.1535122 48.8110011)",,,,,,
59720818,1505326012,0,153482914,,,cycleway,,False,6.252,"LINESTRING (9.211392200000001 48.8045457, 9.211477199999999 48.8045405)",,,2.4,,,
59720818,274826901,0,153482914,,,cycleway,,False,4.665,"LINESTRING (9.211392200000001 48.8045457, 9.2113292 48.8045519)",,,2.4,,,
59720819,5544430569,0,578652022,,,cycleway,,False,4.648,"LINESTRING (9.2117764 48.8046988, 9.211819800000001 48.8047293)",,,2.4,,,
59720819,726533852,0,578652022,,,cycleway,,False,7.813,"LINESTRING (9.2117764 48.8046988, 9.211695499999999 48.804653)",,,2.4,,,
59720930,1668401839,0,105068711,,,cycleway,,False,8.994,"LINESTRING (9.213727499999999 48.8260164, 9.2138163 48.8259605)",,,,,,
60015144,1716476872,0,159538057,,,cycleway,,True,18.195,"LINESTRING (9.1310073 48.7285747, 9.1307597 48.7285647)",,,,,,
60015144,1716427054,0,621968505,,,path,,False,70.707,"LINESTRING (9.1310073 48.7285747, 9.131971200000001 48.7285657)",,,3,,,
60015144,1716427064,0,651947544,,,path,,False,5.917,"LINESTRING (9.1310073 48.7285747, 9.130932 48.7285938)",,,3,,,
71711299,3219353724,0,27257804,2,Friedrichsplatz,cycleway,,False,8.454,"LINESTRING (9.177632900000001 48.7829892, 9.1775345 48.7830289)",,,,,,
71746026,3812063594,0,137227135,,,cycleway,,True,7.246,"LINESTRING (9.171625000000001 48.7719661, 9.1716938 48.7720129)",,,,,,
73801853,3658545381,0,361370529,,,cycleway,,True,11.372,"LINESTRING (9.1832204 48.7758864, 9.1830798 48.7759297)",,,1.5,,,
117791242,3815809045,0,354909248,,,cycleway,,False,6.191,"LINESTRING (9.205015599999999 48.7275063, 9.204974699999999 48.7274576)",,,,,,
130137937,3654714517,0,360930780,,,cycleway,,True,10.167,"LINESTRING (9.2136066 48.8003665, 9.213576099999999 48.8004557)",,,2.2,,,
137537375,1182983483,0,233168761,,,path,,False,6.013,"LINESTRING (9.2133447 48.8006469, 9.2132626 48.8006465)",,,,,,
154506012,3033705175,0,485900650,,,cycleway,,True,9.798,"LINESTRING (9.2250614 48.8181489, 9.225194699999999 48.8181411)",,,,,,
227140151,3743397028,0,622961421,,,cycleway,,True,17.415,"LINESTRING (9.1116774 48.8136995, 9.1114658 48.813628)",,,,,,
245389105,5364206928,0,22811312,,,cycleway,,False,5.574,"LINESTRING (9.080070600000001 48.7274859, 9.080042600000001 48.7274393)",,,,,,
245389109,759959161,0,22811312,,,cycleway,,False,36.739,"LINESTRING (9.079714600000001 48.7270967, 9.079560600000001 48.7267823)",,,,,,
